,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118993977_3331336650245510_7829738919275385933_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=-QQeWsz3fvAAX_eUMjJ&_nc_ht=scontent-atl3-1.xx&oh=eb92755c126c597f98161988dd1cbf69&oe=5F807102,14.0,,3331336830245492,"📢 Families! It's time to get connected! Thank you for being patient as we got our students & Seesaw Class connected first! Now, teachers will be inviting families into the Seesaw Family app🎉",https://facebook.com/story.php?story_fbid=3331336830245492&id=380168585362346,,0.0,"📢 Families! It's time to get connected! Thank you for being patient as we got our students & Seesaw Class connected first! Now, teachers will be inviting families into the Seesaw Family app🎉",2020-09-09 08:58:35,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118523857_3289550501090792_3905863915963536922_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=RQIQz6pCb4YAX_eU8UX&_nc_ht=scontent-atl3-1.xx&oh=5723e50579135ddc0142c853e30ef89e&oe=5F8071BF,8.0,https://docs.google.com/presentation/d/1xKzJvl5NGW7vzucyHWP1O_F0ibcXIeRqm9xjfW64ecQ/edit?usp=sharing,3289552981090544,"As you're becoming familiar with Seesaw Class and Seesaw Family, here is a ""fridge helper"" view of some key points! We're SO excited for this year! 🎉

https://docs.google.com/presentation/d/1xKzJvl5NGW7vzucyHWP1O_F0ibcXIeRqm9xjfW64ecQ/edit?usp=sharing",https://facebook.com/story.php?story_fbid=3289552981090544&id=380168585362346,,0.0,"As you're becoming familiar with Seesaw Class and Seesaw Family, here is a ""fridge helper"" view of some key points! We're SO excited for this year! 🎉

https://docs.google.com/presentation/d/1xKzJvl5NGW7vzucyHWP1O_F0ibcXIeRqm9xjfW64ecQ/edit?usp=sharing",2020-09-01 17:00:12,,
2,1.0,,10.0,,3295658377146671,"Good morning! As you begin to prepare for the first day of school, please enjoy watching this useful video to better understand how to help your Learning at Home or Cohort B student be ready for Monday, August 31! 🌟👍👀 Cohort A students, this will be helpful for your first virtual day later this week.Thank you for patience as we begin this journey together! #zephyrtough",,,0.0,"Good morning! As you begin to prepare for the first day of school, please enjoy watching this useful video to better understand how to help your Learning at Home or Cohort B student be ready for Monday, August 31! 🌟👍👀 Cohort A students, this will be helpful for your first virtual day later this week.Thank you for patience as we begin this journey together! #zephyrtough",2020-08-29 08:00:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118022465_1334139703584656_4951822938830129220_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=bYuBHNRlmQUAX9gKweX&_nc_ht=video-atl3-1.xx&oh=9642f46545681e5ed73c083186687ea8&oe=5F5C8AEB,
3,0.0,,11.0,https://docs.google.com/presentation/d/1iE8lc8qFHC22mmqjkLhjy7k9AeFNgVUyDdwUdHF78xg/edit?usp=sharing,3289543607758148,"Seesaw is a phenomenal resource we will be using at Gockley this school year to build a community of learning for students, teachers and families. Although you cannot log in just yet, I hope you find this informative slideshow helpful in getting to know the platform! 🌟https://docs.google.com/presentation/d/1iE8lc8qFHC22mmqjkLhjy7k9AeFNgVUyDdwUdHF78xg/edit?usp=sharing",https://facebook.com/story.php?story_fbid=3289543607758148&id=380168585362346,"DOCS.GOOGLE.COM
Welcome to Seesaw (FAQ for Parents)",5.0,"Seesaw is a phenomenal resource we will be using at Gockley this school year to build a community of learning for students, teachers and families. Although you cannot log in just yet, I hope you find this informative slideshow helpful in getting to know the platform! 🌟https://docs.google.com/presentation/d/1iE8lc8qFHC22mmqjkLhjy7k9AeFNgVUyDdwUdHF78xg/edit?usp=sharing

DOCS.GOOGLE.COM
Welcome to Seesaw (FAQ for Parents)",2020-08-28 09:00:27,,
4,0.0,,28.0,,3289481507764358,"Welcome, Gockley!",,,0.0,"Welcome, Gockley!",2020-08-26 22:17:45,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_940820159729698_4081264358479555325_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=MjYqO6mQdcUAX9dLTvg&_nc_ht=video-atl3-1.xx&oh=54d256ae88d20ea401923488fe09d3d2&oe=5F5C8556,
5,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117831685_3272616982784144_8509100983881978795_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=Vn1pwtPUS1cAX_v8NHv&_nc_oc=AQl6YRyIJocx52W_7gJF6nOoEYWGyeeBGlXLnUqDlhIIf-wWc3ORmOX3hk91hJlVjCU&_nc_ht=scontent-atl3-1.xx&oh=693c2db1c20bb269605977fd3965a40a&oe=5F82395A,19.0,https://bit.ly/gockleysupplylist,3272617232784119,Hi parents! We've updated the supply list! Please follow this link: https://bit.ly/gockleysupplylist,https://facebook.com/story.php?story_fbid=3272617232784119&id=380168585362346,,0.0,Hi parents! We've updated the supply list! Please follow this link: https://bit.ly/gockleysupplylist,2020-08-21 11:02:06,,
6,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117905720_3270235459688963_3628944633084167344_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=5UyDuD4AVegAX_uvWgT&_nc_ht=scontent-atl3-1.xx&oh=70f2b149cf77366ee885b99268f8a6fc&oe=5F82366A,26.0,,3270236539688855,"Reminder: Tomorrow, August 21st, is the first day to access the Parent Portal for your child's school information. Parents will be able to log on beginning at 3:30 p.m. for their child's information.",https://facebook.com/story.php?story_fbid=3270236539688855&id=380168585362346,,0.0,"Reminder: Tomorrow, August 21st, is the first day to access the Parent Portal for your child's school information. Parents will be able to log on beginning at 3:30 p.m. for their child's information.",2020-08-20 16:13:08,,
7,0.0,,7.0,https://www.whitehallcoplay.org/cms/lib/PA50000018/Centricity/ModuleInstance/4671/Supply%20Lists.pdf,3251769428202233,Please follow the link to find Gockley supply lists for the upcoming school year! https://www.whitehallcoplay.org/cms/lib/PA50000018/Centricity/ModuleInstance/4671/Supply%20Lists.pdf,https://facebook.com/story.php?story_fbid=3251769428202233&id=380168585362346,"WHITEHALLCOPLAY.ORG
www.whitehallcoplay.org",3.0,"Please follow the link to find Gockley supply lists for the upcoming school year! https://www.whitehallcoplay.org/cms/lib/PA50000018/Centricity/ModuleInstance/4671/Supply%20Lists.pdf

WHITEHALLCOPLAY.ORG
www.whitehallcoplay.org",2020-08-14 10:37:00,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116129010_3198885863490590_6846368815581992936_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=pmZlFCT7Gu8AX-uml2I&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ee1887fb76beb916639237fda95ea3ff&oe=5F8212BD,13.0,https://forms.gle/3YGMisC2RhvFaBKXA,3198887526823757,"If you have not done so already, please remember to complete the Return to School Intent Questionnaire for your kindergarten or first grade child and submit it by this Friday, July 31st. You may access the Gockley questionnaire by highlighting and following the link below:

https://forms.gle/3YGMisC2RhvFaBKXA",https://facebook.com/story.php?story_fbid=3198887526823757&id=380168585362346,,0.0,"If you have not done so already, please remember to complete the Return to School Intent Questionnaire for your kindergarten or first grade child and submit it by this Friday, July 31st. You may access the Gockley questionnaire by highlighting and following the link below:

https://forms.gle/3YGMisC2RhvFaBKXA",2020-07-27 14:37:51,,
9,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/100791821_3044288842283627_6104922679821729792_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=1jIFyL3MqyUAX92MjRG&_nc_ht=scontent-atl3-1.xx&oh=4ee77aebf80bf65a2bbd15f6d71ae3c2&oe=5F8186DB,9.0,,3044289258950252,,https://facebook.com/story.php?story_fbid=3044289258950252&id=380168585362346,,0.0,,2020-06-10 09:00:27,,
