,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,,3497408373630694,Just a reminder that you have until 9pm to order a free breakfast and free lunch for tomorrow. You can use the Nutrislice app or the menus on the Maple Avenue webpage.,https://facebook.com/story.php?story_fbid=3497408373630694&id=819479008090324,,0.0,Just a reminder that you have until 9pm to order a free breakfast and free lunch for tomorrow. You can use the Nutrislice app or the menus on the Maple Avenue webpage.,2020-09-08 15:56:15,,
1,1.0,,1.0,,3492430990795099,,https://facebook.com/story.php?story_fbid=3492430990795099&id=819479008090324,"Mountain View Middle School
September 7 at 4:01 PM ·

Reminder that pick-up of Meal Packages for Remote & Hybrid Home Days is TUESDAY this week from 5-6pm at Mountain View.",0.0,"Mountain View Middle School
September 7 at 4:01 PM ·

Reminder that pick-up of Meal Packages for Remote & Hybrid Home Days is TUESDAY this week from 5-6pm at Mountain View.",2020-09-07 16:02:19,,
2,0.0,,0.0,,,Reminder that pick-up of Meal Packages for Remote & Hybrid Home Days is TUESDAY this week from 5-6pm at Mountain View.,https://facebook.com/story.php?story_fbid=1688031721355812&id=366669333492064,,0.0,Reminder that pick-up of Meal Packages for Remote & Hybrid Home Days is TUESDAY this week from 5-6pm at Mountain View.,2020-09-13 09:30:47.906803,,
3,0.0,,0.0,,3473325892705609,,https://facebook.com/story.php?story_fbid=3473325892705609&id=819479008090324,"Goffstown High School
September 4 at 12:26 PM ·

If you need to pick up either the 2- meal day pack (Hybrid learners) or 3-day meal pack (Remote Learners) for next week, the ordering has closed for pick up Tuesday, 5-6pm at Mountain View but you can call our food line and leave your name, child's name and how many of what pack you need. 660-5487",2.0,"Goffstown High School
September 4 at 12:26 PM ·

If you need to pick up either the 2- meal day pack (Hybrid learners) or 3-day meal pack (Remote Learners) for next week, the ordering has closed for pick up Tuesday, 5-6pm at Mountain View but you can call our food line and leave your name, child's name and how many of what pack you need. 660-5487",2020-09-04 12:27:42,,
4,0.0,,0.0,,,"If you need to pick up either the 2- meal day pack (Hybrid learners) or 3-day meal pack (Remote Learners) for next week, the ordering has closed for pick up Tuesday, 5-6pm at Mountain View but you can call our food line and leave your name, child's name and how many of what pack you need. 660-5487",https://facebook.com/story.php?story_fbid=2780812942134301&id=1567576520124622,,0.0,"If you need to pick up either the 2- meal day pack (Hybrid learners) or 3-day meal pack (Remote Learners) for next week, the ordering has closed for pick up Tuesday, 5-6pm at Mountain View but you can call our food line and leave your name, child's name and how many of what pack you need. 660-5487",2020-09-13 09:30:47.906810,,
5,8.0,,2.0,,3469057469799118,Food Service Updates,,,0.0,Food Service Updates,2020-09-03 13:25:08,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118640981_321668122611014_4969168364763909647_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=y75klrJ6VcoAX92JS7Y&_nc_ht=video-atl3-1.xx&oh=37fa45462dd4175f3fc721ab15cd2f5c&oe=5F5E44E4,
6,0.0,,6.0,https://www.youtube.com/watch?v=gdCUsmCavwU,3430865896951609,https://www.youtube.com/watch?v=gdCUsmCavwU,https://facebook.com/story.php?story_fbid=3430865896951609&id=819479008090324,"YOUTUBE.COM
Hallway Walking Procedure",0.0,"https://www.youtube.com/watch?v=gdCUsmCavwU

YOUTUBE.COM
Hallway Walking Procedure",2020-08-28 09:09:16,,
7,0.0,,7.0,https://www.youtube.com/watch?v=c40vu6zDcAA,3430863173618548,https://www.youtube.com/watch?v=c40vu6zDcAA,https://facebook.com/story.php?story_fbid=3430863173618548&id=819479008090324,"YOUTUBE.COM
Pick Up Procedure",0.0,"https://www.youtube.com/watch?v=c40vu6zDcAA

YOUTUBE.COM
Pick Up Procedure",2020-08-28 09:09:01,,
8,1.0,,3.0,https://www.youtube.com/watch?v=LJ4BW-yNylY,3430859706952228,https://www.youtube.com/watch?v=LJ4BW-yNylY,https://facebook.com/story.php?story_fbid=3430859706952228&id=819479008090324,"YOUTUBE.COM
Drop Off Procedure",0.0,"https://www.youtube.com/watch?v=LJ4BW-yNylY

YOUTUBE.COM
Drop Off Procedure",2020-08-28 09:08:40,,
9,1.0,,16.0,,3373903739314492,,https://facebook.com/story.php?story_fbid=3373903739314492&id=819479008090324,"Goffstown High School
August 12 at 11:33 AM ·",0.0,"Goffstown High School
August 12 at 11:33 AM ·",2020-08-12 11:34:52,,
10,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=2761144854101110&id=1567576520124622,,0.0,,2020-09-13 09:30:47.906820,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117332869_3368350486536484_1088508070698190429_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=Vw0NxdH7k00AX8_-os8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c9822d6c6ac1d9e7d0841a1a90d5f5ea&oe=5F84493E,4.0,,3368350689869797,,https://facebook.com/story.php?story_fbid=3368350689869797&id=819479008090324,,0.0,,2020-08-10 13:10:23,,
12,0.0,,0.0,,3367671013271098,,https://facebook.com/story.php?story_fbid=3367671013271098&id=819479008090324,"Goffstown High School
August 10 at 8:04 AM ·",0.0,"Goffstown High School
August 10 at 8:04 AM ·",2020-08-10 08:06:01,,
13,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=2759304544285141&id=1567576520124622,,0.0,,2020-09-13 09:30:47.906825,,
