,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/89919147_137066641163495_3252829589415657472_n.png?_nc_cat=106&_nc_sid=da1649&_nc_ohc=gsbSaMUzCFEAX9jfiuQ&_nc_ht=scontent-atl3-1.xx&oh=dcee4e23abf4277b6b4e70bb92cbc3c3&oe=5F83F967,8.0,https://buff.ly/39QhqYy,137066637830162,"An Important Message from Golden Door Charter School.

Please visit us at https://buff.ly/39QhqYy for more information.

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving",,,0.0,"An Important Message from Golden Door Charter School.

Please visit us at https://buff.ly/39QhqYy for more information.

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving",2020-03-13 13:57:35,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92353796_145259357010890_5461881705272967168_o.jpg?_nc_cat=105&_nc_sid=da1649&_nc_ohc=w-RFnVh3_NcAX_OjcQD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8b6a591aec09e8b88176c21af8d0a95d&oe=5F8431DA,3.0,,145259347010891,"To All Golden Door Teachers: Thank you for everything that you do for our school!

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #teacherappreciation #thankyouteachers #teachers",,,0.0,"To All Golden Door Teachers: Thank you for everything that you do for our school!

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #teacherappreciation #thankyouteachers #teachers",2020-04-06 08:00:16,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92413231_144938493709643_2607374675742818304_o.jpg?_nc_cat=111&_nc_sid=da1649&_nc_ohc=HYDf5c54kGAAX-kmrIv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=177f98333dad3e7c06ee720a581b60df&oe=5F835449,1.0,,144938487042977,"Follow us on Instagram @GoldenDoorCharterSchool for the latest images from Golden Door Charter School!

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",,,0.0,"Follow us on Instagram @GoldenDoorCharterSchool for the latest images from Golden Door Charter School!

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",2020-04-05 09:00:01,,
3,0.0,,6.0,https://buff.ly/2vOfX6k,144639930406166,"Our defining attributes at Golden Door Charter School are our emphasis on early literacy and mathematics based on the latest researched-based techniques and strategies, specific behavior models (one for elementary and one for middle grades) and character education, technology, music, art, Spanish, physical education, and health.

Learn more about our charter: https://buff.ly/2vOfX6k

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #edchat #edtech #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",,,0.0,"Our defining attributes at Golden Door Charter School are our emphasis on early literacy and mathematics based on the latest researched-based techniques and strategies, specific behavior models (one for elementary and one for middle grades) and character education, technology, music, art, Spanish, physical education, and health.

Learn more about our charter: https://buff.ly/2vOfX6k

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #edchat #edtech #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",2020-04-04 09:00:35,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91491635_144271150443044_8380933722370736128_o.jpg?_nc_cat=103&_nc_sid=da1649&_nc_ohc=Z8LEE53Vz8UAX-afmvZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7e70413bfadbe0b6e26ea40c2ba6a5f6&oe=5F825533,2.0,https://buff.ly/3abOaLQ,144271147109711,"Golden Door Charter School will continue to work tirelessly to ensure that your child receives the very best education there is to offer.

Learn more about our school here: https://buff.ly/3abOaLQ

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",,,0.0,"Golden Door Charter School will continue to work tirelessly to ensure that your child receives the very best education there is to offer.

Learn more about our school here: https://buff.ly/3abOaLQ

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",2020-04-03 08:00:02,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91573660_143947940475365_4042919536825991168_o.jpg?_nc_cat=111&_nc_sid=da1649&_nc_ohc=MwIJU1gvEukAX8j36ZI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=27cf6f56d5c069d69f10da265fd4045f&oe=5F846723,1.0,,143947937142032,"Today, Golden Door Charter School observes World Autism Awareness Day!

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #worldautismday #autismawareness",,,0.0,"Today, Golden Door Charter School observes World Autism Awareness Day!

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #worldautismday #autismawareness",2020-04-02 07:00:08,,
6,0.0,,2.0,,143652633838229,"Parents: How are you pranking your scholar(s) at home today? 😂

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #aprilfools #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",,,0.0,"Parents: How are you pranking your scholar(s) at home today? 😂

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #aprilfools #education #charterschools #school #parents #teachers #hudsoncounty #nj #newjersey",2020-04-01 08:06:00,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91587392_143320817204744_900799004411953152_n.jpg?_nc_cat=105&_nc_sid=da1649&_nc_ohc=pBVhzw39GyEAX_-wETc&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2133094ee22e9d4a03888c24c3ee8ac8&oe=5F855F80,1.0,https://buff.ly/38PIzde,143320813871411,"Serving #JerseyCity for over 20 years, #GoldenDoor Charter School proudly educates students in a prestigious and rigorous learning environment.

Want a better school option for your child(ren)? Enroll HERE: https://buff.ly/38PIzde

#education #parents #school #enrollment #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving",,,0.0,"Serving #JerseyCity for over 20 years, #GoldenDoor Charter School proudly educates students in a prestigious and rigorous learning environment.

Want a better school option for your child(ren)? Enroll HERE: https://buff.ly/38PIzde

#education #parents #school #enrollment #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving",2020-03-31 08:06:00,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91350635_142964410573718_559484550468599808_o.jpg?_nc_cat=106&_nc_sid=da1649&_nc_ohc=0GnSRecsnFUAX9hry9m&_nc_ht=scontent-atl3-1.xx&tp=14&oh=730d7e91efbd8b2c27c612daa3d911da&oe=5F8518C6,1.0,https://buff.ly/37DhREJ,142964403907052,"Golden Door Charter School is fully aware that student achievement is both obtained and measured in numerous ways, including through Art! https://buff.ly/37DhREJ
.
.
.
.
#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #art #education #charterschools #parents #teachers",,,0.0,"Golden Door Charter School is fully aware that student achievement is both obtained and measured in numerous ways, including through Art! https://buff.ly/37DhREJ
.
.
.
.
#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #art #education #charterschools #parents #teachers",2020-03-30 08:01:00,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91327891_142680230602136_4979569058459418624_o.jpg?_nc_cat=110&_nc_sid=da1649&_nc_ohc=cTa-6hFooScAX-85Lxo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5e4102e2b9e596af3d28d70c3eeb3538&oe=5F83E885,2.0,https://buff.ly/3abOaLQ,142680223935470,"Our school is located in a three-story building, built specifically as an elementary school.

Learn more about our school profile: https://buff.ly/3abOaLQ

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #charterschools #parents #teachers",,,0.0,"Our school is located in a three-story building, built specifically as an elementary school.

Learn more about our school profile: https://buff.ly/3abOaLQ

#jerseycity #charterschools #jerseycitymoms #jerseycityparents #jerseycitynj #jerseycitylife #jerseycitylocal #jerseycitymamas #jerseycityevents #jerseycitykids #jerseycityarts #jerseycitymom #jerseycitydowntown #jerseycityliving #education #charterschools #parents #teachers",2020-03-29 10:00:04,,
