,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119148552_3248810275173073_6618088697438319612_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=fZ5bWVhDQecAX_GxOvi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3b29434878648108bbb27fc7976ac879&oe=5F83B8B4,23.0,,3248811378506296,Congratulations to this weeks GES High Five Winners!,https://facebook.com/story.php?story_fbid=3248811378506296&id=246022445451886,,0.0,Congratulations to this weeks GES High Five Winners!,2020-09-10 22:17:19,,
1,1.0,,12.0,,3248809738506460,"In music class, 4th grade had fun with boomwhackers today while the 3rd grade mastered some percussion instruments to the Can-Can!",,,0.0,"In music class, 4th grade had fun with boomwhackers today while the 3rd grade mastered some percussion instruments to the Can-Can!",2020-09-10 22:16:30,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119227808_2499305003701068_4106215597554616235_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=vWRZpoWo7jgAX_Z0QTR&_nc_ht=video-atl3-1.xx&oh=aa54b6331f3b68645aac537d49fe009d&oe=5F5D6D38,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118871408_3242226399164794_1922919687961463055_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=L6anMFopWfIAX9GByh-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2b2d15d97dce35887ff2be029d1953dc&oe=5F82498F,8.0,http://www.bellphoto.com/,3242229469164487,"GES & GMS Picture Day tomorrow Wednesday, September 9th. Students were given order forms last week. If you need a new order form they are available in the front office. You can also place your order online by visiting www.bellphoto.com use code GOODINGES20.",https://facebook.com/story.php?story_fbid=3242229469164487&id=246022445451886,,0.0,"GES & GMS Picture Day tomorrow Wednesday, September 9th. Students were given order forms last week. If you need a new order form they are available in the front office. You can also place your order online by visiting www.bellphoto.com use code GOODINGES20.",2020-09-08 18:11:35,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118846915_638594063461866_6129138675546260764_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=-Od9iBPcSXQAX-Gd4_e&_nc_ht=scontent-atl3-1.xx&tp=14&oh=afabcf2e33dccb6aa96fcc4fc5a087dc&oe=5F82AE42,4.0,,3241735059213928,,https://facebook.com/story.php?story_fbid=3241735059213928&id=246022445451886,"Gooding Child Nutrition
September 8 at 6:08 PM ·",0.0,"Gooding Child Nutrition
September 8 at 6:08 PM ·",2020-09-08 14:08:43,,
4,0.0,,2.0,http://goodingschoolslibrary.lili.org/,3241490429238391,"Check out these great library resources from our AWESOME library staff!

http://goodingschoolslibrary.lili.org",https://facebook.com/story.php?story_fbid=3241490429238391&id=246022445451886,"GOODINGSCHOOLSLIBRARY.LILI.ORG
Gooding Schools Library – Teaching and showing with libraries can do for K-12",0.0,"Check out these great library resources from our AWESOME library staff!

http://goodingschoolslibrary.lili.org

GOODINGSCHOOLSLIBRARY.LILI.ORG
Gooding Schools Library – Teaching and showing with libraries can do for K-12",2020-09-08 12:19:15,,
5,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118876586_3235314133189354_6526962264896362346_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=jPjaiLIl9pQAX8bhEjp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6de68b3d0bb794b2f35ab2f427adbf07&oe=5F845C22,38.0,,3235315046522596,This weeks GES High 5 Winners!,https://facebook.com/story.php?story_fbid=3235315046522596&id=246022445451886,,0.0,This weeks GES High 5 Winners!,2020-09-06 10:48:26,,
6,8.0,,58.0,,3227638210623613,"The world’s best Speech Therapist, aka Teacher Jazz, taking her students outside on this fabulous sunny Thursday morning!",https://facebook.com/story.php?story_fbid=3227638210623613&id=246022445451886,,0.0,"The world’s best Speech Therapist, aka Teacher Jazz, taking her students outside on this fabulous sunny Thursday morning!",2020-09-03 20:59:52,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118786061_3227633447290756_1559290633172025052_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=7V4HuYpICSgAX_B_H3C&_nc_ht=scontent-atl3-1.xx&tp=14&oh=727c58ce45924d504667e1201c4f6f9e&oe=5F814B31,29.0,,3227634550623979,"Mrs. Williams sends a HUGE “THANK YOU” to the Gooding Schools PTA, the Gooding Education Foundation, and donations from members of the Gooding community to fund Ukuleles in her music classroom! She is so excited to have half of the Ukuleles in her classroom funded!",https://facebook.com/story.php?story_fbid=3227634550623979&id=246022445451886,,0.0,"Mrs. Williams sends a HUGE “THANK YOU” to the Gooding Schools PTA, the Gooding Education Foundation, and donations from members of the Gooding community to fund Ukuleles in her music classroom! She is so excited to have half of the Ukuleles in her classroom funded!",2020-09-03 20:57:53,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118630490_634728023848470_6405118362684380211_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=dzzO-zq0tYQAX8-4r_2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c7d589959866cfef6ea7823617e85b2c&oe=5F847BC6,19.0,,3224819094238858,,https://facebook.com/story.php?story_fbid=3224819094238858&id=246022445451886,"Gooding Child Nutrition
September 3 at 2:32 AM ·

USDA just announced......",12.0,"Gooding Child Nutrition
September 3 at 2:32 AM ·

USDA just announced......",2020-09-02 22:32:59,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118591642_3223183411069093_9107402644483886381_n.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=w9Zey55rd9gAX9_5hz0&_nc_ht=scontent-atl3-1.xx&oh=08e72d2f8e3d79a97e78a4363de1cc1b&oe=5F82149D,8.0,,3223184017735699,GES September Senator Newsletter,https://facebook.com/story.php?story_fbid=3223184017735699&id=246022445451886,,0.0,GES September Senator Newsletter,2020-09-02 10:10:48,,
10,0.0,,8.0,http://itunes.apple.com/app/id956629807,3218403304880437,"The MealViewer App is a powerful tool for parents and students. See what’s being served at your student’s school right now. From nutritional information, allergens, favorite foods, school announcements and special menu item information. If it’s happening in your cafeteria, it’s happening on MealViewer. Get updates in real time as menu changes are made and stay up to date on all the dietary information.

Be part of your school’s nutrition program by rating menu items and providing feedback that allows for program improvement. There’s no better or more direct way for your voice to be heard.",https://facebook.com/story.php?story_fbid=3218403304880437&id=246022445451886,MealViewer To Go,4.0,"The MealViewer App is a powerful tool for parents and students. See what’s being served at your student’s school right now. From nutritional information, allergens, favorite foods, school announcements and special menu item information. If it’s happening in your cafeteria, it’s happening on MealViewer. Get updates in real time as menu changes are made and stay up to date on all the dietary information.

Be part of your school’s nutrition program by rating menu items and providing feedback that allows for program improvement. There’s no better or more direct way for your voice to be heard.

MealViewer To Go",2020-08-31 20:45:50,,
11,0.0,,3.0,https://schools.mealviewer.com/school/GoodingHighSchool,3218386498215451,"School Lunch Menu is NOW interactive. Check it out!

https://schools.mealviewer.com/school/GoodingHighSchool

https://schools.mealviewer.com/school/GoodingElementary-MiddleSchool",https://facebook.com/story.php?story_fbid=3218386498215451&id=246022445451886,"SCHOOLS.MEALVIEWER.COM
MealViewer Schools",2.0,"School Lunch Menu is NOW interactive. Check it out!

https://schools.mealviewer.com/school/GoodingHighSchool

https://schools.mealviewer.com/school/GoodingElementary-MiddleSchool

SCHOOLS.MEALVIEWER.COM
MealViewer Schools",2020-08-31 20:36:06,,
12,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118651346_3211306278923473_7872169725198918297_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=qDv4EsrGl4EAX_bjxxp&_nc_ht=scontent-atl3-1.xx&oh=eb503f2394d3bf34919758ecb2a978ce&oe=5F817620,15.0,,3211306415590126,,https://facebook.com/story.php?story_fbid=3211306415590126&id=246022445451886,,0.0,,2020-08-29 11:31:47,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118230527_3206023726118395_1339721781344160703_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=XhokL3zMBvQAX9GjANx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=093a10772ec08e330b599aff6d34dbf4&oe=5F80F017,51.0,,3206024752784959,Congratulations to our first high 👋🏼 five recipients of the new school year! These students showed great Senator PRIDE this week.,https://facebook.com/story.php?story_fbid=3206024752784959&id=246022445451886,,0.0,Congratulations to our first high 👋🏼 five recipients of the new school year! These students showed great Senator PRIDE this week.,2020-08-27 17:43:02,,
14,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118523460_3200391930014908_125781579731618556_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=Cb3TJD2RCiUAX9kVAv3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8070714525afb624b3a3af55919f8180&oe=5F84A397,61.0,,3200392643348170,A great 1st day back at GES!!!,https://facebook.com/story.php?story_fbid=3200392643348170&id=246022445451886,,0.0,A great 1st day back at GES!!!,2020-08-25 21:52:50,,
