,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,3.0,,42.0,,3921088937917893,,https://facebook.com/story.php?story_fbid=3921088937917893&id=126572200702938,,0.0,,2020-08-27 08:24:34,,
1,0.0,,14.0,,3970159646344155,"Girls soccer tied 1-1 just before the half.
Volleyball took care of business and defeated Wawasee 3-1. #RedHawks!",https://facebook.com/story.php?story_fbid=3970159646344155&id=126572200702938,,0.0,"Girls soccer tied 1-1 just before the half.
Volleyball took care of business and defeated Wawasee 3-1. #RedHawks!",2020-09-10 20:39:54,,
2,1.0,,23.0,,3970011093025677,Varsity volleyball playing with the #HeartofaRedHawk 🏐❤️,,,0.0,Varsity volleyball playing with the #HeartofaRedHawk 🏐❤️,2020-09-10 19:30:02,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119299292_3162549267195089_4163646363730365270_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=2lqQR45tfdMAX-y8gT7&_nc_ht=video-atl3-1.xx&oh=37ad6dafe1d55e09736b9b734825c076&oe=5F5E4AE9,
3,0.0,,16.0,,3969788189714634,"Cormac Koop Liechty and Will Nisley, with the #HeartofaRedHawk",,,0.0,"Cormac Koop Liechty and Will Nisley, with the #HeartofaRedHawk",2020-09-10 17:37:40,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119225359_949335038910509_705749882976752706_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=x2D2VRFNdcYAX_W7DRP&_nc_ht=video-atl3-1.xx&oh=3a9c8ec730a92424c936ba4df8ca126b&oe=5F5E4F8F,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118845474_3222290291152420_6074087211202004175_n.png?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=YvJBbKJrgvcAX9qdk3F&_nc_ht=scontent-atl3-1.xx&oh=aad286bb618564826f8308178289e422&oe=5F81E98F,5.0,,3968759209817532,,https://facebook.com/story.php?story_fbid=3968759209817532&id=126572200702938,"Elkhart County Health Department Health Education Division
September 8 at 3:02 PM ·

Below is an updated list of the COVID-19 testing sites in Elkhart County. Please get tested if you have symptoms or have been in close contact with someone who has tested positive.

You can get a COVID-19 test FREE OF CHARGE at:

Center for Healing and Hope in Goshen –
902 S. Main St. Goshen, IN 46526

Heart City Health’s Remote Testing Site at Concord Mall –
3701 S. Main St. Elkhart, IN 46517",8.0,"Elkhart County Health Department Health Education Division
September 8 at 3:02 PM ·

Below is an updated list of the COVID-19 testing sites in Elkhart County. Please get tested if you have symptoms or have been in close contact with someone who has tested positive.

You can get a COVID-19 test FREE OF CHARGE at:

Center for Healing and Hope in Goshen –
902 S. Main St. Goshen, IN 46526

Heart City Health’s Remote Testing Site at Concord Mall –
3701 S. Main St. Elkhart, IN 46517",2020-09-10 10:37:26,,
5,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118928661_3965877606772359_8619431348810415784_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=lgr97utHTCMAX_kGffN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=eeee5bca3ca3990e52a701f331271c10&oe=5F81EF37,58.0,,3965877880105665,,https://facebook.com/story.php?story_fbid=3965877880105665&id=126572200702938,,0.0,,2020-09-09 13:29:20,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119131396_3965789220114531_2562378271488059586_n.jpg?_nc_cat=110&_nc_sid=da1649&_nc_ohc=USsb2bJs-T4AX-h9A46&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3ab870c973c57c7a904bb889f811a20d&oe=5F8555FD,13.0,,3965789213447865,,,,0.0,,2020-09-09 12:53:12,,
7,18.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119021412_3965405983486188_2155282404597032250_n.jpg?_nc_cat=104&_nc_sid=da1649&_nc_ohc=h2xAMWZHqcwAX_j4Tj1&_nc_ht=scontent-atl3-1.xx&tp=14&oh=afec9ac0e24204d42419c866333328d1&oe=5F81E881,26.0,,3965405976819522,,,,0.0,,2020-09-09 10:31:12,,
8,14.0,,38.0,https://www.goshennews.com/news/goshen-secondary-students-will-have-more-days-in-the-classroom/article_14cb2f8a-f237-11ea-ac64-1fe34d510ba1.html#utm_campaign=blox&utm_source=facebook&utm_medium=social,3964980476862072,,https://facebook.com/story.php?story_fbid=3964980476862072&id=126572200702938,"GOSHENNEWS.COM
Goshen secondary students will have more days in the classroom",16.0,"GOSHENNEWS.COM
Goshen secondary students will have more days in the classroom",2020-09-09 08:03:21,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119039807_3962336243793162_2447710101665186072_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=hiice16MtgYAX9hAU9Y&_nc_oc=AQmUJRIpzRHx2aOyZVWuFo6V_2dFSWqWMyPPvCS20QKP_QJBSJVHckdGcaqLlGAFnXY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d02fe8bbaef76b4ba8f3887fbbc9f591&oe=5F8408BD,47.0,,3962336787126441,,https://facebook.com/story.php?story_fbid=3962336787126441&id=126572200702938,,0.0,,2020-09-08 12:42:02,,
