,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,38.0,,178.0,,4398584320183330,,https://facebook.com/story.php?story_fbid=4398584320183330&id=138197196222085,,0.0,,2020-09-07 20:08:08,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119228505_4415978548443907_3744161523689229946_o.jpg?_nc_cat=105&_nc_sid=da1649&_nc_ohc=kQOZNiCQOccAX-5pa9b&_nc_ht=scontent-atl3-1.xx&tp=14&oh=39cbd87a49fe84817086b45eb4ba70c9&oe=5F83676C,77.0,,4415978545110574,"Today marks the 19th anniversary of September 11, 2001. Our nation pauses to honor those who fell. We will never forget.",,,0.0,"Today marks the 19th anniversary of September 11, 2001. Our nation pauses to honor those who fell. We will never forget.",2020-09-11 07:00:35,,
2,1.0,,58.0,,4411502572224838,Here are a few more photos of our happy and determined Gladiators! #GoshenStrong,https://facebook.com/story.php?story_fbid=4411502572224838&id=138197196222085,,0.0,Here are a few more photos of our happy and determined Gladiators! #GoshenStrong,2020-09-10 09:35:51,,
3,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119126262_4406524459389316_4788500657565006185_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=qSXWOW_6FY4AX_2QRqF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cbedb14f9510aaab580d8e07eae5361d&oe=5F8592B4,90.0,,4406619489379813,"We are overwhelmed by these smiling faces! We're so proud of you, Gladiators, and hope you had an amazing first day! #GoshenStrong",https://facebook.com/story.php?story_fbid=4406619489379813&id=138197196222085,,0.0,"We are overwhelmed by these smiling faces! We're so proud of you, Gladiators, and hope you had an amazing first day! #GoshenStrong",2020-09-09 10:13:29,,
4,31.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119084459_4403339196374509_170584875145227154_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=m3Kzukh38mMAX9yqWq4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9719dc23e0cdb41fecddbb3a37ef1c65&oe=5F826A3D,220.0,,4403408036367625,"Our faculty and staff can't help but show their #GoshenPride on the first day of school! It might look a little different this year land there may have been a few hiccups, but they're so excited to learn and grow with you! #GoshenStrong",https://facebook.com/story.php?story_fbid=4403408036367625&id=138197196222085,,0.0,"Our faculty and staff can't help but show their #GoshenPride on the first day of school! It might look a little different this year land there may have been a few hiccups, but they're so excited to learn and grow with you! #GoshenStrong",2020-09-08 19:02:29,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118906087_4386374224737673_2346344958982435230_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=w1xXEdm71a4AX__1K3G&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dccfb1f2f6cd7195b2fa479023a2e32d&oe=5F83CEFF,36.0,,4386376538070775,"PHOTOS WANTED! It may look and feel a little different this year, but the first day of a brand new school year is always a momentous occasion! So let's see those back-to-school photos, whether it's on your front porch, at your child's at-home work station or the living room couch! Please email christina.gore@gcsny.org or send via FB messenger by 5 p.m. Sept. 8. #GoshenStrong",https://facebook.com/story.php?story_fbid=4386376538070775&id=138197196222085,,0.0,"PHOTOS WANTED! It may look and feel a little different this year, but the first day of a brand new school year is always a momentous occasion! So let's see those back-to-school photos, whether it's on your front porch, at your child's at-home work station or the living room couch! Please email christina.gore@gcsny.org or send via FB messenger by 5 p.m. Sept. 8. #GoshenStrong",2020-09-05 09:11:35,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118845267_4381639138544515_4603309954139146074_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=DOXGl2vy8YIAX_EI_2q&_nc_ht=scontent-atl3-1.xx&oh=322f489d8be81371fbdab989f55e0427&oe=5F835ABC,36.0,https://sites.google.com/gcsny.org/meetthesecondgradeteachers/home,4381577531884009,"Although these messages are for our incoming second graders, we think they will resonate with all students and parents: that although the school year may look a little different, we are ready and excited to meet you, work hard and have the best year together! https://sites.google.com/gcsny.org/meetthesecondgradeteachers/home",https://facebook.com/story.php?story_fbid=4381577531884009&id=138197196222085,,0.0,"Although these messages are for our incoming second graders, we think they will resonate with all students and parents: that although the school year may look a little different, we are ready and excited to meet you, work hard and have the best year together! https://sites.google.com/gcsny.org/meetthesecondgradeteachers/home",2020-09-04 09:35:16,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118583900_4372176762824086_4519910169702179980_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=IcwQyqQBXp4AX9o3yVd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1432e002bb61f7d92f3860424927958e&oe=5F861322,114.0,,4372178712823891,"From ice cream socials to back-to-school videos, our staff are getting ready for the start of the school year! #GoshenStrong",https://facebook.com/story.php?story_fbid=4372178712823891&id=138197196222085,,0.0,"From ice cream socials to back-to-school videos, our staff are getting ready for the start of the school year! #GoshenStrong",2020-09-02 12:18:59,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118749625_4366305003411262_6185398922064362259_o.png?_nc_cat=107&_nc_sid=da1649&_nc_ohc=tnZ2hl8PjREAX-iBj1e&_nc_ht=scontent-atl3-1.xx&oh=a0c69424796a80eb80877454cb777d68&oe=5F842ED1,6.0,,4366304996744596,,,,0.0,,2020-09-01 09:08:45,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118113248_4312711415437288_7977949879063456445_o.png?_nc_cat=105&_nc_sid=da1649&_nc_ohc=psLiAywQsLgAX9oaJDU&_nc_ht=scontent-atl3-1.xx&oh=c83b42d9d0d6d8167e65c8f464a622ef&oe=5F82E0C2,14.0,https://www.gcsny.org/2020/08/20/freshmen-bar-b-que-to-be-held-august-25-26-27/,4312711412103955,We hope to see all our incoming freshmen and new students! 🍔🌭https://www.gcsny.org/2020/08/20/freshmen-bar-b-que-to-be-held-august-25-26-27/,,,0.0,We hope to see all our incoming freshmen and new students! 🍔🌭https://www.gcsny.org/2020/08/20/freshmen-bar-b-que-to-be-held-august-25-26-27/,2020-08-21 11:40:19,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117667009_4303734703001626_8539252879707473434_o.png?_nc_cat=107&_nc_sid=da1649&_nc_ohc=SSC_sMTdFowAX_IvNF-&_nc_ht=scontent-atl3-1.xx&oh=09e94d50cdd34a85b99bdc4e52f8aabc&oe=5F84EEA7,29.0,,4303734699668293,"Socially distanced but still delicious! We'll see you at the ice cream social, sixth graders!",,,0.0,"Socially distanced but still delicious! We'll see you at the ice cream social, sixth graders!",2020-08-19 14:07:08,,
11,16.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117310487_4237625849612512_8866443447565596738_o.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=Ys5g9JkzxBsAX-wpb4B&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e077009b5ad48a0b100ac0e7f4e9fd4c&oe=5F85155D,144.0,https://www.gcsny.org/2020/08/04/second-in-the-world-cjh-odyssey-team-receives-trophy/,4237625842945846,Their trophy is here! Congrats again to our CJH Odyssey team members who placed SECOND in the WORLD in the first-ever virtual Odyssey of the Mind World Finals! We are so impressed with your creativity and perseverance! https://www.gcsny.org/2020/08/04/second-in-the-world-cjh-odyssey-team-receives-trophy/,,,0.0,Their trophy is here! Congrats again to our CJH Odyssey team members who placed SECOND in the WORLD in the first-ever virtual Odyssey of the Mind World Finals! We are so impressed with your creativity and perseverance! https://www.gcsny.org/2020/08/04/second-in-the-world-cjh-odyssey-team-receives-trophy/,2020-08-05 09:37:55,,
12,1.0,,32.0,,4237606959614401,,https://facebook.com/story.php?story_fbid=4237606959614401&id=138197196222085,"Goshen Central School District added 4 new photos.
August 5 at 9:32 AM ·",0.0,"Goshen Central School District added 4 new photos.
August 5 at 9:32 AM ·",2020-08-05 09:32:48,,
13,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117170748_4234702603238170_1104461731882529061_o.jpg?_nc_cat=106&_nc_sid=0be424&_nc_ohc=3-9K6rR4BMsAX_hiTS-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c33a00e8f92df2df33d5b0439af59a33&oe=5F830F7F,37.0,,4234703996571364,,https://facebook.com/story.php?story_fbid=4234703996571364&id=138197196222085,"Goshen Central School District added 6 new photos.
August 4 at 5:52 PM ·",0.0,"Goshen Central School District added 6 new photos.
August 4 at 5:52 PM ·",2020-08-04 17:52:16,,
