,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,4.0,https://www.parentsquare.com/feeds/4279343,3498035896881558,,https://facebook.com/story.php?story_fbid=3498035896881558&id=107782842573564,"PARENTSQUARE.COM
Home Varsity Football Game Ticketing Process",7.0,"PARENTSQUARE.COM
Home Varsity Football Game Ticketing Process",2020-09-11 12:21:42,,
1,10.0,,26.0,,244330703586163,,,,0.0,,2020-09-17 09:03:04,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_3254420847986572_6722486167700754526_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=je4RFTDAMEkAX-oVzKo&_nc_ht=scontent-atl3-1.xx&oh=cb1301b73b19956921df6a897787f66f&oe=5F8AFE5E,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119432668_1331106113947810_6945025770623166061_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=tIEFH8mU_4oAX-A2Bdg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4236cd39f63cf5969b0cd784025973e9&oe=5F88618A,3.0,,3514258741925940,,https://facebook.com/story.php?story_fbid=3514258741925940&id=107782842573564,"Graham HS Art Dept.
23 hrs ·

These are Art 2 mixed media still life compositions. I love the color and variety we have here - and a little bit of “trompe l’oeil,” which is the technique of drawing or painting realistically to “fool the eye.”",0.0,"Graham HS Art Dept.
23 hrs ·

These are Art 2 mixed media still life compositions. I love the color and variety we have here - and a little bit of “trompe l’oeil,” which is the technique of drawing or painting realistically to “fool the eye.”",2020-09-16 18:39:13,,
3,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119461190_1331107630614325_5380299525390979028_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=P7Xh5C9JSyIAX8_LrR-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e08bb8f1c7cdd8feecf2df9bfa7c66d3&oe=5F893C0B,21.0,,3514257038592777,,https://facebook.com/story.php?story_fbid=3514257038592777&id=107782842573564,"Graham HS Art Dept.
23 hrs ·

These still life drawings on black paper were done by our Art 3 and 4 students. The arrangement of objects was collaboratively done first period, and all students were allowed to “design” their own composition by adjusting their point of view. But they had to draw at least one of the glass items! Because I’m mean 😜",0.0,"Graham HS Art Dept.
23 hrs ·

These still life drawings on black paper were done by our Art 3 and 4 students. The arrangement of objects was collaboratively done first period, and all students were allowed to “design” their own composition by adjusting their point of view. But they had to draw at least one of the glass items! Because I’m mean 😜",2020-09-16 18:38:21,,
4,0.0,,2.0,https://www.parentsquare.com/feeds/4339664,3513147712037043,,https://facebook.com/story.php?story_fbid=3513147712037043&id=107782842573564,"PARENTSQUARE.COM
Online Box Office Opens at 9:00 am- Graham Steers vs Decatur Eagles",0.0,"PARENTSQUARE.COM
Online Box Office Opens at 9:00 am- Graham Steers vs Decatur Eagles",2020-09-16 10:23:53,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119672439_3511388022213012_524352403168996569_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=HlxMQwtCZuwAX8HoNOj&_nc_ht=scontent-atl3-1.xx&oh=6b859e7ec119d259f63bda5bb0ee0d4d&oe=5F8AF23F,1.0,https://www.duckrace.com/Graham,3511392332212581,"Adopt a Duck... Maybe Win $5000... Definitely Support Pioneer Elementary, Crestview Elementary, Woodland Elementary, Lady Blues Softball, National Junior Honor Society, or the GHS FFA.

Adopt your ducks today at https://www.duckrace.com/Graham.",https://facebook.com/story.php?story_fbid=3511392332212581&id=107782842573564,,0.0,"Adopt a Duck... Maybe Win $5000... Definitely Support Pioneer Elementary, Crestview Elementary, Woodland Elementary, Lady Blues Softball, National Junior Honor Society, or the GHS FFA.

Adopt your ducks today at https://www.duckrace.com/Graham.",2020-09-16 08:00:27,,
6,0.0,,8.0,https://www.parentsquare.com/feeds/4356089,3511307785554369,,https://facebook.com/story.php?story_fbid=3511307785554369&id=107782842573564,"PARENTSQUARE.COM
COVID-19- Requirement to Report",4.0,"PARENTSQUARE.COM
COVID-19- Requirement to Report",2020-09-15 20:00:26,,
7,0.0,,0.0,https://www.parentsquare.com/feeds/4339442,3510031662348648,,https://facebook.com/story.php?story_fbid=3510031662348648&id=107782842573564,"PARENTSQUARE.COM
Online Tickets Only for 9th/JV Football at Decatur- Thursday, September 17",0.0,"PARENTSQUARE.COM
Online Tickets Only for 9th/JV Football at Decatur- Thursday, September 17",2020-09-15 10:40:37,,
8,2.0,,13.0,,3495357827149365,,https://facebook.com/story.php?story_fbid=3495357827149365&id=107782842573564,"Graham HS Art Dept.
September 10 at 7:27 PM ·

It’s an Art 1 tradition! 👟🥾👞 We like to “step into the new year” with this shoe project. It’s a great exercise to get our hands drawing what our eyes really see. These are contour line drawings done by in person and virtual Art 1 students.",0.0,"Graham HS Art Dept.
September 10 at 7:27 PM ·

It’s an Art 1 tradition! 👟🥾👞 We like to “step into the new year” with this shoe project. It’s a great exercise to get our hands drawing what our eyes really see. These are contour line drawings done by in person and virtual Art 1 students.",2020-09-10 16:10:23,,
9,1.0,,6.0,https://www.parentsquare.com/feeds/4235549,3495091097176038,,https://facebook.com/story.php?story_fbid=3495091097176038&id=107782842573564,"PARENTSQUARE.COM
GHS Homecoming Shirts- Order by Monday, September 28",0.0,"PARENTSQUARE.COM
GHS Homecoming Shirts- Order by Monday, September 28",2020-09-10 14:05:57,,
