,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119140438_2797836570499709_3686113873529802768_o.png?_nc_cat=102&_nc_sid=da1649&_nc_ohc=-eZoIFddcpAAX_4PRHQ&_nc_ht=scontent-atl3-1.xx&oh=719737c071812890eaea3f460bf393ef&oe=5F85473A,134.0,,2797836563833043,"Grand Forks Public Schools has received a $10,000 grant from the Turtle Mountain Band of Chippewa Indians (TMBCI).

The funds will be used to assist Native American students with fees including after-school care, band instruments, electronic devices, college applications, testing, sports, and lunch tickets, along with hosting cultural events for the Grand Forks community.

“Grand Forks Public Schools, through the generosity of the Turtle Mountain Band of Chippewa Indians, will be able to assist Native American students with a variety of services as they pursue their education during this uncertain time with COVID-19,” said Chad Ward, Native American liaison for Grand Forks Public Schools.",,,0.0,"Grand Forks Public Schools has received a $10,000 grant from the Turtle Mountain Band of Chippewa Indians (TMBCI).

The funds will be used to assist Native American students with fees including after-school care, band instruments, electronic devices, college applications, testing, sports, and lunch tickets, along with hosting cultural events for the Grand Forks community.

“Grand Forks Public Schools, through the generosity of the Turtle Mountain Band of Chippewa Indians, will be able to assist Native American students with a variety of services as they pursue their education during this uncertain time with COVID-19,” said Chad Ward, Native American liaison for Grand Forks Public Schools.",2020-09-10 12:30:18,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118940701_2796267320656634_979760213492305177_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=WZtBbSbMP_gAX9FmF9J&_nc_ht=scontent-atl3-1.xx&oh=e4db600add8b5920da63d045b8f67217&oe=5F8510C4,9.0,,2796267407323292,"Grand Forks Public Schools, which includes public schools in the city of Grand Forks and Nathan F. Twining Elementary and Middle School on the Grand Forks Air Force Base, had 7,402 students enrolled in the opening days of school.

Of the 7,402 students, 1,324 students are enrolled in remote learning for the first trimester (elementary school students) or semester (middle and high school students).

When comparing this year’s opening enrollment to last year’s opening enrollment of 7,456, there was a decrease of 54 students.

In comparison to the May 2020 enrollment of 7,358 students, there was an increase of 44 students.

An official enrollment report will be completed at the end of September and presented at a Grand Forks School Board meeting in October.",https://facebook.com/story.php?story_fbid=2796267407323292&id=1446425015640878,,0.0,"Grand Forks Public Schools, which includes public schools in the city of Grand Forks and Nathan F. Twining Elementary and Middle School on the Grand Forks Air Force Base, had 7,402 students enrolled in the opening days of school.

Of the 7,402 students, 1,324 students are enrolled in remote learning for the first trimester (elementary school students) or semester (middle and high school students).

When comparing this year’s opening enrollment to last year’s opening enrollment of 7,456, there was a decrease of 54 students.

In comparison to the May 2020 enrollment of 7,358 students, there was an increase of 44 students.

An official enrollment report will be completed at the end of September and presented at a Grand Forks School Board meeting in October.",2020-09-08 16:02:40,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119060661_2794546467495386_6645147823711906409_o.png?_nc_cat=106&_nc_sid=da1649&_nc_ohc=8T1_pVoN2QAAX8Tf9F1&_nc_ht=scontent-atl3-1.xx&oh=c620d52be147785d0f1332531cb22969&oe=5F83BE26,23.0,,2794546460828720,"REMINDER: there is NO SCHOOL tomorrow (Monday, September 7th). School will resume on Tuesday, September 8th.",,,0.0,"REMINDER: there is NO SCHOOL tomorrow (Monday, September 7th). School will resume on Tuesday, September 8th.",2020-09-06 16:00:11,,
3,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118762577_2789732834643416_7611426029610850209_o.png?_nc_cat=108&_nc_sid=da1649&_nc_ohc=rBiVHWEj2YMAX9f2X6M&_nc_ht=scontent-atl3-1.xx&oh=8243db3133c3a3a572f356f20c78e2e6&oe=5F839CFE,40.0,,2789732831310083,Happy first day of school to our 10th-12th grade students! We hope everyone has a wonderful day and a great school year! #GFSchoolsFirstDay,,,0.0,Happy first day of school to our 10th-12th grade students! We hope everyone has a wonderful day and a great school year! #GFSchoolsFirstDay,2020-09-01 09:00:39,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118625769_2789155894701110_1906536638831894974_o.png?_nc_cat=107&_nc_sid=da1649&_nc_ohc=2x2b_57xA5oAX9yT48p&_nc_ht=scontent-atl3-1.xx&oh=04fffa569fc30b14fbd57b44cfeba207&oe=5F846436,43.0,,2789155891367777,"REMINDER: there is NO SCHOOL on Monday, September 7th. School will resume on Tuesday, September 8th.",,,0.0,"REMINDER: there is NO SCHOOL on Monday, September 7th. School will resume on Tuesday, September 8th.",2020-08-31 20:05:03,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118701016_2788738394742860_4412100634368997779_o.png?_nc_cat=103&_nc_sid=da1649&_nc_ohc=SJ3dB0WqVqIAX__MqsQ&_nc_ht=scontent-atl3-1.xx&oh=5ae32cd9c780eee9d97f021d9e9f1914&oe=5F85897D,109.0,,2788738391409527,"Happy first day of school to our Kindergarten-9th grade students! Regardless if you are learning face-to-face or remote, you are part of #TeamGrandForks and we are so happy you are here!

We hope everyone has a wonderful day and a great school year! #GFSchoolsFirstDay",,,0.0,"Happy first day of school to our Kindergarten-9th grade students! Regardless if you are learning face-to-face or remote, you are part of #TeamGrandForks and we are so happy you are here!

We hope everyone has a wonderful day and a great school year! #GFSchoolsFirstDay",2020-08-31 09:00:39,,
6,32.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118478394_2786152741668092_8956502575423421440_o.png?_nc_cat=105&_nc_sid=da1649&_nc_ohc=Hck30_5s-hUAX9uUq2Z&_nc_ht=scontent-atl3-1.xx&oh=c10d74002c2b5f83b59ad121ed489296&oe=5F8319A8,103.0,,2786152738334759,,,,0.0,,2020-08-28 12:49:07,,
7,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118519214_2785326228417410_5249986897755670229_n.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=6MC8zyeGQfMAX_lxcL5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=37dc5df86a73d248ba26e23df35246bc&oe=5F83E194,48.0,https://theforksmpo.com/safe-routes-to-school-maps/,2785326221750744,"As we look to begin another school year, drivers are asked to use extra caution around schools and adjacent intersections. Please watch for buses and children walking or riding their bicycles to school.

According to Grand Forks City Code, the speed when passing a school during school recess or while children are going to or leaving school during opening or closing hours is 20 miles an hour. The speed for a vehicle moving through a school crosswalk equipped with flashing warning lights is 15 miles an hour when the lights are in operation. For Safe Routes to School maps, please visit https://theforksmpo.com/safe-routes-to-school-maps/. You can also watch this video by the Grand Forks Police Department https://www.facebook.com/117998994910029/videos/2477768679116531/

Let's make the 2020-2021 school year a safe one!",,,0.0,"As we look to begin another school year, drivers are asked to use extra caution around schools and adjacent intersections. Please watch for buses and children walking or riding their bicycles to school.

According to Grand Forks City Code, the speed when passing a school during school recess or while children are going to or leaving school during opening or closing hours is 20 miles an hour. The speed for a vehicle moving through a school crosswalk equipped with flashing warning lights is 15 miles an hour when the lights are in operation. For Safe Routes to School maps, please visit https://theforksmpo.com/safe-routes-to-school-maps/. You can also watch this video by the Grand Forks Police Department https://www.facebook.com/117998994910029/videos/2477768679116531/

Let's make the 2020-2021 school year a safe one!",2020-08-27 16:20:01,,
8,22.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118713052_2785175895099110_2494024693327531827_o.png?_nc_cat=105&_nc_sid=da1649&_nc_ohc=yMWDEN6JglYAX9H-BIk&_nc_ht=scontent-atl3-1.xx&oh=0630006704dc503e2445fce3c9fa56aa&oe=5F860479,48.0,,2785175888432444,,,,0.0,,2020-08-27 12:30:14,,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118485163_10158905810441052_4741867125583025441_o.png?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=MvsXcaHGvqQAX-zyDWp&_nc_ht=scontent-atl3-1.xx&oh=80656bbfed9c8b70065f40d6c1eb9526&oe=5F85EA9B,56.0,,2784428338507199,Thank you so much Greater Grand Forks Young Professionals and everyone who donated to the We've Got You Covered mask event. We appreciate your support!,https://facebook.com/story.php?story_fbid=2784428338507199&id=1446425015640878,"Greater Grand Forks Young Professionals
August 26 at 2:29 PM ·

THANK YOU! THANK YOU THANK YOU!

GGFYP and Grand Forks Public Schools are overwhelmed by all of the support shown for our We've Got You Covered Drive-Up & Drop Off.

😷 4500 Resauble Masks
😷 1200 Disposable Masks

We could not have collected so many masks without the following support:

👉 Deeks Pizza donated over 1500 masks!
👉 UND Alumni Association & Foundation donated 1,000 #FightingHawks masks!
👉 AE2S's Grand Forks office collected 950 masks in JUST ONE WEEK!
👉 Gate City Bank set up public collection bins at all three Grand Forks locations AND provided volunteers for the event!

#GGFYP #GFisCooler #SimplyGrand",2.0,"Thank you so much Greater Grand Forks Young Professionals and everyone who donated to the We've Got You Covered mask event. We appreciate your support!

Greater Grand Forks Young Professionals
August 26 at 2:29 PM ·

THANK YOU! THANK YOU THANK YOU!

GGFYP and Grand Forks Public Schools are overwhelmed by all of the support shown for our We've Got You Covered Drive-Up & Drop Off.

😷 4500 Resauble Masks
😷 1200 Disposable Masks

We could not have collected so many masks without the following support:

👉 Deeks Pizza donated over 1500 masks!
👉 UND Alumni Association & Foundation donated 1,000 #FightingHawks masks!
👉 AE2S's Grand Forks office collected 950 masks in JUST ONE WEEK!
👉 Gate City Bank set up public collection bins at all three Grand Forks locations AND provided volunteers for the event!

#GGFYP #GFisCooler #SimplyGrand",2020-08-26 17:28:44,,
