,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119069912_1069541730168995_6298261683758520969_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=0DtVSc5FlFYAX8wcrqv&_nc_ht=scontent-atl3-1.xx&oh=6acf7f113e3bcf8e96d98df4d63b9b98&oe=5F846614,176.0,,1069542023502299,,https://facebook.com/story.php?story_fbid=1069542023502299&id=572657576524082,,0.0,,2020-09-08 07:48:12,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118773062_1064927080630460_1594680609983974411_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=poVV0ats9MsAX-fQtQr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=166ebf65a47956a937de284ef6640f9f&oe=5F8347A8,69.0,,1064930830630085,"We are ready and excited to welcome our students back to the 2020-21 school year! See you all on Tuesday, September 8th! 🌻",https://facebook.com/story.php?story_fbid=1064930830630085&id=572657576524082,,0.0,"We are ready and excited to welcome our students back to the 2020-21 school year! See you all on Tuesday, September 8th! 🌻",2020-09-03 15:02:23,,
2,0.0,,6.0,http://www.ghaps.org/jobs,1063128930810275,"GHAPS is hiring for the 2020-21 School year! We'd love for you to join our team! For more information or to apply, visit www.ghaps.org/jobs",https://facebook.com/story.php?story_fbid=1063128930810275&id=572657576524082,"APPLITRACK.COM
Grand Haven Area Public Schools - Frontline Recruitment",7.0,"GHAPS is hiring for the 2020-21 School year! We'd love for you to join our team! For more information or to apply, visit www.ghaps.org/jobs

APPLITRACK.COM
Grand Haven Area Public Schools - Frontline Recruitment",2020-08-31 15:16:31,,
3,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118586018_1059833051139863_5784356863459041097_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=NJoyqapLODUAX8BabsY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e3c66237575be86caf0b955c9616fae7&oe=5F83B564,116.0,,1059831551140013,"Good Morning GHAPS staff!
It's great to see our buildings full of positive energy and smiling faces!
Go BUCS!",https://facebook.com/story.php?story_fbid=1059831551140013&id=572657576524082,,0.0,"Good Morning GHAPS staff!
It's great to see our buildings full of positive energy and smiling faces!
Go BUCS!",2020-08-27 08:07:14,,
4,1.0,,16.0,https://www.fox17online.com/news/local-news/lakeshore/ottawa/grand-haven-club-teaches-confidence,1057591028030732,"GHAPS students take part in the Cultivate Club- inspiring confidence and growing leaders!

https://www.fox17online.com/news/local-news/lakeshore/ottawa/grand-haven-club-teaches-confidence",https://facebook.com/story.php?story_fbid=1057591028030732&id=572657576524082,"FOX17ONLINE.COM
Grand Haven club teaches confidence",8.0,"GHAPS students take part in the Cultivate Club- inspiring confidence and growing leaders!

https://www.fox17online.com/news/local-news/lakeshore/ottawa/grand-haven-club-teaches-confidence

FOX17ONLINE.COM
Grand Haven club teaches confidence",2020-08-24 15:00:35,,
5,12.0,,39.0,,1053511991771969,"Attention GHAPS families! Please mark the following dates on your calendar, and watch for more details from individual buildings:

9/1: Young Fives and Kindergarten Orientation
9/1-9/3: Device pick-up for all students 5th-12th grade
9/2-9/3: Device pick-up for Elementary Buccaneer Virtual students
9/3: GHHS Freshman Orientation
9/4: Buildings closed for cleaning and sanitization (until 6 am on 9/8)
9/8: First Day of School - 1st-12th grade, In-Person and Buccaneer Virtual
9/9: First Day of School - All Kindergarten and Young Five",https://facebook.com/story.php?story_fbid=1053511991771969&id=572657576524082,,0.0,"Attention GHAPS families! Please mark the following dates on your calendar, and watch for more details from individual buildings:

9/1: Young Fives and Kindergarten Orientation
9/1-9/3: Device pick-up for all students 5th-12th grade
9/2-9/3: Device pick-up for Elementary Buccaneer Virtual students
9/3: GHHS Freshman Orientation
9/4: Buildings closed for cleaning and sanitization (until 6 am on 9/8)
9/8: First Day of School - 1st-12th grade, In-Person and Buccaneer Virtual
9/9: First Day of School - All Kindergarten and Young Five",2020-08-19 13:30:23,,
6,12.0,,61.0,,1050333202089848,"The Board of Education took action on Saturday, August 15, 2020 to delay the start of both in-person and remote learning until Tuesday, September 8, 2020. As the district readjusts our plans additional information will be forthcoming regarding the start of school schedules and the calendar for the remainder of the year.",https://facebook.com/story.php?story_fbid=1050333202089848&id=572657576524082,,0.0,"The Board of Education took action on Saturday, August 15, 2020 to delay the start of both in-person and remote learning until Tuesday, September 8, 2020. As the district readjusts our plans additional information will be forthcoming regarding the start of school schedules and the calendar for the remainder of the year.",2020-08-15 15:04:03,,
7,29.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116794691_1040631889726646_3826947628063642079_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=DVXHsbvcW8UAX8JV7dZ&_nc_ht=scontent-atl3-1.xx&oh=e1fc5285e397fb0449a766b4ba2d59c4&oe=5F83DD5B,34.0,http://www.ghaps.org/returntoschool,1040632249726610,"Thank you for your patience as we worked through our Return to School plan. With the safety of students and staff at the core of our efforts, our plan offers choice and flexibility for GHAPS families. Visit our website to learn more: www.ghaps.org/returntoschool",https://facebook.com/story.php?story_fbid=1040632249726610&id=572657576524082,,0.0,"Thank you for your patience as we worked through our Return to School plan. With the safety of students and staff at the core of our efforts, our plan offers choice and flexibility for GHAPS families. Visit our website to learn more: www.ghaps.org/returntoschool",2020-08-03 11:39:04,,
8,1.0,,7.0,http://www.norarec.org/,1037831680006667,"Check out this video for more information on the NORA Millage that will be on your ballot Monday, August 4th!",https://facebook.com/story.php?story_fbid=1037831680006667&id=572657576524082,"WWW.NORAREC.ORG
NORA Millage 2020

NORA Recreation Authority
June 19 at 12:46 PM ·

We are very excited to share our NORA Millage 2020 video with everyone! Remember to get out and vote on August 4th✅",0.0,"Check out this video for more information on the NORA Millage that will be on your ballot Monday, August 4th!

WWW.NORAREC.ORG
NORA Millage 2020

NORA Recreation Authority
June 19 at 12:46 PM ·

We are very excited to share our NORA Millage 2020 video with everyone! Remember to get out and vote on August 4th✅",2020-07-30 14:24:35,https://scontent-atl3-1.xx.fbcdn.net/v/t42.9040-4/103922988_874852779689226_2274411436956577629_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=G0hmlVWoIWcAX8gH249&_nc_ht=scontent-atl3-1.xx&oh=69b8a973f2c4112dd00e982db0c1df37&oe=5F5E3053,
9,1.0,,6.0,http://www.ghaps.org/emailblast,1036239060165929,A friendly reminder to all GHAPS families- stay connected by signing up for your student's building emails or by simply updating your preferences via our website at www.ghaps.org/emailblast. Don't miss out on important information including our Return to School Plan!,https://facebook.com/story.php?story_fbid=1036239060165929&id=572657576524082,"GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

See more at
ghaps.org",0.0,"A friendly reminder to all GHAPS families- stay connected by signing up for your student's building emails or by simply updating your preferences via our website at www.ghaps.org/emailblast. Don't miss out on important information including our Return to School Plan!

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

GHAPS Home
Website for Grand Haven Area Public Schools

See more at
ghaps.org",2020-07-28 15:00:50,,
