,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,https://www.grandviewchargers.org/article/294514?org=grand-view,1621662424657176,CONVALESCENT PLASMA DONATION NEEDED,https://facebook.com/story.php?story_fbid=1621662424657176&id=123046314518802,"GRANDVIEWCHARGERS.ORG
CONVALESCENT PLASMA DONATION NEEDED",0.0,"CONVALESCENT PLASMA DONATION NEEDED

GRANDVIEWCHARGERS.ORG
CONVALESCENT PLASMA DONATION NEEDED",2020-08-25 16:52:56,,
1,0.0,,2.0,https://www.grandviewchargers.org/article/288979?org=grand-view,1614255138731238,Boy catches bluegill in Tahlequah pond and almost beats a 33-year record,https://facebook.com/story.php?story_fbid=1614255138731238&id=123046314518802,"GRANDVIEWCHARGERS.ORG
Boy catches bluegill in Tahlequah pond and almo...",0.0,"Boy catches bluegill in Tahlequah pond and almost beats a 33-year record

GRANDVIEWCHARGERS.ORG
Boy catches bluegill in Tahlequah pond and almo...",2020-08-17 21:16:40,,
2,1.0,,8.0,https://www.grandviewchargers.org/article/288976?org=grand-view,1614243408732411,Price hits half-century mark as band director,https://facebook.com/story.php?story_fbid=1614243408732411&id=123046314518802,"GRANDVIEWCHARGERS.ORG
Price hits half-century mark as band director",3.0,"Price hits half-century mark as band director

GRANDVIEWCHARGERS.ORG
Price hits half-century mark as band director",2020-08-17 21:06:08,,
3,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117071272_1607775976045821_7470654748803015595_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=A2HCwhfHOIUAX-RlHOC&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=3dc5d6df8efb2ef77d3b76d700a7186d&oe=5F817853,8.0,,1607776162712469,,https://facebook.com/story.php?story_fbid=1607776162712469&id=123046314518802,,0.0,,2020-08-10 18:25:12,,
4,0.0,,0.0,https://www.grandviewchargers.org/article/271420?org=grand-view,1584457518377667,Cherokee Nation’s Respond Recover and Rebuild Education Initiative,https://facebook.com/story.php?story_fbid=1584457518377667&id=123046314518802,"GRANDVIEWCHARGERS.ORG
Cherokee Nation’s Respond Recover and Rebuild E...",0.0,"Cherokee Nation’s Respond Recover and Rebuild Education Initiative

GRANDVIEWCHARGERS.ORG
Cherokee Nation’s Respond Recover and Rebuild E...",2020-07-15 15:11:14,,
5,0.0,,2.0,https://www.grandviewchargers.org/article/260312?org=grand-view,1557415331081886,Why is the census count important for schools?,https://facebook.com/story.php?story_fbid=1557415331081886&id=123046314518802,"GRANDVIEWCHARGERS.ORG
Why is the census count important for schools?",0.0,"Why is the census count important for schools?

GRANDVIEWCHARGERS.ORG
Why is the census count important for schools?",2020-06-14 17:38:06,,
6,1.0,,9.0,,1534922973331122,Blood drive currently going on at Grand View until 6:00 p.m. Walk ins are welcomed.,,,0.0,Blood drive currently going on at Grand View until 6:00 p.m. Walk ins are welcomed.,2020-05-19 17:46:41,https://video.fbna1-2.fna.fbcdn.net/v/t42.9040-2/97524737_246343426614507_8061557527583653888_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=OyzZaEnwhnkAX_8FZDu&_nc_ht=video.fbna1-2.fna&oh=6b106b84e3a067709dd1463670ef4025&oe=5F5D2A66,
7,23.0,,27.0,,800467523813754,8th grade virtual promotion for the 2020 school year.,,,24.0,8th grade virtual promotion for the 2020 school year.,2020-05-14 20:00:12,https://video.fbna1-1.fna.fbcdn.net/v/t42.9040-2/10000000_281772276186375_9185061525574909952_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=n8Yt0PYSc_4AX8b7yeT&_nc_ht=video.fbna1-1.fna&oh=4fd4a62fb6b52e2cedce3d321f391856&oe=5F5D34E1,
8,1.0,,6.0,https://www.grandviewchargers.org/article/247160?org=grand-view,1530341437122609,Grand View Hosting Blood Drive,https://facebook.com/story.php?story_fbid=1530341437122609&id=123046314518802,"GRANDVIEWCHARGERS.ORG
Grand View Hosting Blood Drive",7.0,"Grand View Hosting Blood Drive

GRANDVIEWCHARGERS.ORG
Grand View Hosting Blood Drive",2020-05-14 12:05:02,,
9,1.0,,30.0,https://youtu.be/80GL37mD_Yk,1529673143856105,Grand View School wishes you farewell for this school year.,https://facebook.com/story.php?story_fbid=1529673143856105&id=123046314518802,"YOUTUBE.COM
GV Farewell 2020",22.0,"Grand View School wishes you farewell for this school year.

YOUTUBE.COM
GV Farewell 2020",2020-05-13 16:30:52,,
