,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119607735_1663651003817290_5649213802238630257_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=QHwOMQlS2BgAX_tLPTX&_nc_ht=scontent-atl3-1.xx&oh=246e62818a4bcc84781a962447c684a8&oe=5F8A258E,8.0,,1663651127150611,,https://facebook.com/story.php?story_fbid=1663651127150611&id=178423299006742,,0.0,,2020-09-16 14:45:23,,
1,0.0,,0.0,https://gvsd.tedk12.com/hire/index.aspx,1663608640488193,Great Valley School District is seeking an Elementary Long-Term Substitute Teacher. Please visit our website to apply!,https://facebook.com/story.php?story_fbid=1663608640488193&id=178423299006742,"GVSD.TEDK12.COM
Great Valley School District - TalentEd Hire",0.0,"Great Valley School District is seeking an Elementary Long-Term Substitute Teacher. Please visit our website to apply!

GVSD.TEDK12.COM
Great Valley School District - TalentEd Hire",2020-09-16 13:46:11,,
2,0.0,,1.0,https://gvsd.tedk12.com/hire/index.aspx,1662477933934597,Great Valley School District is seeking an Elementary Long-Term Substitute Special Education Teacher. Please visit our website to apply!,https://facebook.com/story.php?story_fbid=1662477933934597&id=178423299006742,"GVSD.TEDK12.COM
Great Valley School District - TalentEd Hire",2.0,"Great Valley School District is seeking an Elementary Long-Term Substitute Special Education Teacher. Please visit our website to apply!

GVSD.TEDK12.COM
Great Valley School District - TalentEd Hire",2020-09-15 09:55:01,,
3,0.0,,7.0,,1661620964020294,Watch for more information soon!,https://facebook.com/story.php?story_fbid=1661620964020294&id=178423299006742,"KDM Library
September 10 at 5:35 PM ·

Coming soon! Details next week. 🏫 📚 🚙",0.0,"Watch for more information soon!

KDM Library
September 10 at 5:35 PM ·

Coming soon! Details next week. 🏫 📚 🚙",2020-09-14 11:21:18,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119134374_683636175844724_6269455658265492154_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=6Mw3mep1U50AX-L3-M3&_nc_ht=video-atl3-1.xx&oh=7d4c689050c2af3469595fc677874297&oe=5F62DB29,
4,32.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119463433_1661548344027556_7591443354467084378_n.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=_e-JxG63FCEAX82wb-P&_nc_ht=scontent-atl3-1.xx&oh=79805b83c18ff59c2b6b41974c8c2971&oe=5F870FAF,189.0,,1661554540693603,Congratulations to the 11 Great Valley High School students who have been named National Merit Semifinalists!,https://facebook.com/story.php?story_fbid=1661554540693603&id=178423299006742,,0.0,Congratulations to the 11 Great Valley High School students who have been named National Merit Semifinalists!,2020-09-14 09:58:19,,
5,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119123952_1658785527637171_5773935479785832665_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=Ehb3Tc_j8I0AX-JwwIe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=73b1660845f81c39a75002b200909e88&oe=5F876E93,74.0,,1658785590970498,,https://facebook.com/story.php?story_fbid=1658785590970498&id=178423299006742,,0.0,,2020-09-11 09:10:37,,
6,1.0,,4.0,https://gvsd.tedk12.com/hire/index.aspx,1657032237812500,Great Valley School District is seeking a full-time Supervisor of Special Education and a full-time contracted Special Education teacher at GVHS. Please visit our website to apply.,https://facebook.com/story.php?story_fbid=1657032237812500&id=178423299006742,"GVSD.TEDK12.COM
Great Valley School District - TalentEd Hire",8.0,"Great Valley School District is seeking a full-time Supervisor of Special Education and a full-time contracted Special Education teacher at GVHS. Please visit our website to apply.

GVSD.TEDK12.COM
Great Valley School District - TalentEd Hire",2020-09-09 10:35:16,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118648837_1648435482005509_1116752348394438878_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=_GoECwQ7jncAX970s50&_nc_ht=scontent-atl3-1.xx&oh=893759cae812202560a745f8bcb3795b&oe=5F8819AB,4.0,http://www.gvsd.org/walloffame,1648436218672102,Know an outstanding grad who deserves recognition? Learn more at www.gvsd.org/walloffame. Deadline extended!,https://facebook.com/story.php?story_fbid=1648436218672102&id=178423299006742,,0.0,Know an outstanding grad who deserves recognition? Learn more at www.gvsd.org/walloffame. Deadline extended!,2020-09-06 09:00:29,,
8,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118727443_1651499948365729_7883308640667500475_n.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=21G6blRwrLEAX9vaIRA&_nc_ht=scontent-atl3-1.xx&oh=09e37e382ece90a610d252da390c97c9&oe=5F889EE0,20.0,,1651500171699040,,https://facebook.com/story.php?story_fbid=1651500171699040&id=178423299006742,,0.0,,2020-09-03 19:00:47,,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118696616_1651477575034633_2006479439274128611_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=ZQdQPrZzPI8AX95icfH&_nc_ht=scontent-atl3-1.xx&oh=f5e27f78ccaf28f34bfd5a9328648ddf&oe=5F873BD1,24.0,,1651478728367851,"Let us take the worry out of breakfast and lunch! Open and now free for ALL participants, regardless of income.",https://facebook.com/story.php?story_fbid=1651478728367851&id=178423299006742,,0.0,"Let us take the worry out of breakfast and lunch! Open and now free for ALL participants, regardless of income.",2020-09-03 13:38:49,,
