,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://fs26.formsite.com/v3iBFm/5dqehsrxhh/index.html,3420655804659375,"HERE IT IS! The Link below will take you to the T-55 FFA mum pre-order form! Our pick up dates will be next week 9/21, 9/21, and 9/24. We have yellow, bronze, red, and white varieties. They are $15 each and they are first come-first serve when it comes to quantity. Put in your today!
https://fs26.formsite.com/v3iBFm/5dqehsrxhh/index.html",https://facebook.com/story.php?story_fbid=3420655804659375&id=232158760175778,"FS26.FORMSITE.COM
Mum Sale 2020",0.0,"HERE IT IS! The Link below will take you to the T-55 FFA mum pre-order form! Our pick up dates will be next week 9/21, 9/21, and 9/24. We have yellow, bronze, red, and white varieties. They are $15 each and they are first come-first serve when it comes to quantity. Put in your today!
https://fs26.formsite.com/v3iBFm/5dqehsrxhh/index.html

FS26.FORMSITE.COM
Mum Sale 2020",2020-09-15 13:09:39,,
1,0.0,,0.0,,3408465915878364,,https://facebook.com/story.php?story_fbid=3408465915878364&id=232158760175778,,0.0,,2020-09-11 16:13:54,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118989046_3408426282548994_8214777300053820334_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=6hPOkgdXmeQAX_TYgmh&_nc_ht=scontent-atl3-1.xx&oh=bdbdad235d641c5de03886171f238a03&oe=5F85DB1F,24.0,,3408437202547902,,https://facebook.com/story.php?story_fbid=3408437202547902&id=232158760175778,,0.0,,2020-09-11 16:01:24,,
3,0.0,,4.0,,3408333899224899,"VARSITY FOOTBALL TONIGHT POSTPONED ~ 09-11-20

Tonight's Varsity Football Game vs. BGM in Brooklyn has been postponed due to inclement weather and field conditions, and will now be played at 5:00 PM on Saturday, 09-12-20 in Brooklyn.

Due to Saturday's possible weather situation and the challenges of rescheduling workers and officials for Saturday, we may have to be flexible with the Kickoff time being pushed back later, so we'll do our best to keep everyone posted.

GO REBELS! 🏈",https://facebook.com/story.php?story_fbid=3408333899224899&id=232158760175778,,0.0,"VARSITY FOOTBALL TONIGHT POSTPONED ~ 09-11-20

Tonight's Varsity Football Game vs. BGM in Brooklyn has been postponed due to inclement weather and field conditions, and will now be played at 5:00 PM on Saturday, 09-12-20 in Brooklyn.

Due to Saturday's possible weather situation and the challenges of rescheduling workers and officials for Saturday, we may have to be flexible with the Kickoff time being pushed back later, so we'll do our best to keep everyone posted.

GO REBELS! 🏈",2020-09-11 15:14:08,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119078197_3408213565903599_4605560063513308760_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=Xoy_K8ICn7AAX-OQLWE&_nc_ht=scontent-atl3-1.xx&oh=146f51ab15c1a8b3fc966ea4d4320f13&oe=5F877832,5.0,,3408213915903564,"Attached, please find the G-R Weekly Covid Update for September 11, 2020 from Gladbrook-Reinbeck Superintendent, Erik Smith.",https://facebook.com/story.php?story_fbid=3408213915903564&id=232158760175778,,0.0,"Attached, please find the G-R Weekly Covid Update for September 11, 2020 from Gladbrook-Reinbeck Superintendent, Erik Smith.",2020-09-11 14:19:35,,
5,0.0,,8.0,,3407669725957983,"If you've ever considered becoming a Substitute Teacher - now is a great time to get your Authorization! Gladbrook-Reinbeck CSD is in need of more substitutes.
Please call Principal Lehmann at Gladbrook-Reinbeck Elementary for more details [(319) 345-2822].",https://facebook.com/story.php?story_fbid=3407669725957983&id=232158760175778,"GLADBROOK-REINBECK REBEL PAGE
Substitute Teacher",0.0,"If you've ever considered becoming a Substitute Teacher - now is a great time to get your Authorization! Gladbrook-Reinbeck CSD is in need of more substitutes.
Please call Principal Lehmann at Gladbrook-Reinbeck Elementary for more details [(319) 345-2822].

GLADBROOK-REINBECK REBEL PAGE
Substitute Teacher",2020-09-11 10:32:57,,
6,0.0,,0.0,,3407366982654924,"KEEP YOUR EYES OPEN for the T-55 FFA MUM SALE!
The order form will be released on 09-15-20...to be posted on the T-55 Facebook page and also e-mailed to parents.

What a GReat way to beautify the community and support a fantastic student organization!",https://facebook.com/story.php?story_fbid=3407366982654924&id=232158760175778,"T-55 FFA
September 10 at 9:23 PM ·

Attention all Community Members!! Our Mums Pre-Order will be online on Tuesday, September 15th! Please keep your eyes out! We will have 75% of our mums on the Sale, the other 25% will be sold at our in-person sale on the 24th of September! Please spread the word and share everywhere!",0.0,"KEEP YOUR EYES OPEN for the T-55 FFA MUM SALE!
The order form will be released on 09-15-20...to be posted on the T-55 Facebook page and also e-mailed to parents.

What a GReat way to beautify the community and support a fantastic student organization!

T-55 FFA
September 10 at 9:23 PM ·

Attention all Community Members!! Our Mums Pre-Order will be online on Tuesday, September 15th! Please keep your eyes out! We will have 75% of our mums on the Sale, the other 25% will be sold at our in-person sale on the 24th of September! Please spread the word and share everywhere!",2020-09-11 08:37:46,,
7,0.0,,0.0,,,"Attention all Community Members!! Our Mums Pre-Order will be online on Tuesday, September 15th! Please keep your eyes out! We will have 75% of our mums on the Sale, the other 25% will be sold at our in-person sale on the 24th of September! Please spread the word and share everywhere!",https://facebook.com/story.php?story_fbid=377791376940691&id=104384524281379,,0.0,"Attention all Community Members!! Our Mums Pre-Order will be online on Tuesday, September 15th! Please keep your eyes out! We will have 75% of our mums on the Sale, the other 25% will be sold at our in-person sale on the 24th of September! Please spread the word and share everywhere!",2020-09-16 07:15:11.145095,,
8,0.0,,16.0,http://thegrundyregister.com/content/big-swings-push-g-r-volleyball-past-cougars,3404567632934859,"CONGRATULATIONS to the G-R VOLLEYBALL TEAM on the GReat start to the 2020 Season!
http://thegrundyregister.com/content/big-swings-push-g-r-volleyball-past-cougars",https://facebook.com/story.php?story_fbid=3404567632934859&id=232158760175778,"THEGRUNDYREGISTER.COM
Big swings push G-R volleyball past Cougars | The Grundy Register",0.0,"CONGRATULATIONS to the G-R VOLLEYBALL TEAM on the GReat start to the 2020 Season!
http://thegrundyregister.com/content/big-swings-push-g-r-volleyball-past-cougars

THEGRUNDYREGISTER.COM
Big swings push G-R volleyball past Cougars | The Grundy Register",2020-09-10 10:40:17,,
9,0.0,,3.0,http://kdao.com/high-school-volleyball-gladbrook-reinbeck-vs-agwsr-september-8th-730-pm/,3399006693490953,,https://facebook.com/story.php?story_fbid=3399006693490953&id=232158760175778,,0.0,,2020-09-08 16:02:47,,
