,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119128719_3498176836899610_4778734197523014581_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=t5-7TuiL-MkAX8HB2BY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6679b86008c1342f74d6e46a0961cc74&oe=5F82C563,34.0,,3498176826899611,"Congratulations to Olivia Waits (Cross Country), our September Student Athlete of the Month! #GtownWay",,,0.0,"Congratulations to Olivia Waits (Cross Country), our September Student Athlete of the Month! #GtownWay",2020-09-11 10:00:25,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119108119_3496190770431550_7728770047226331403_o.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=eeuBiSK1fqEAX9F1I8M&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b4616349bbff1309cf25d12f64957d7f&oe=5F8432F2,1.0,,3496190767098217,JH Lady G-Men Volleyball taking on Hamersville. Let’s go team! #GtownWay,,,0.0,JH Lady G-Men Volleyball taking on Hamersville. Let’s go team! #GtownWay,2020-09-10 18:17:25,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119056503_3493024327414861_4285782603654267401_n.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=wXJOF56Lo34AX_ualEE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ba4496dea8c2d62a4adbbcd5a8b47224&oe=5F83B605,17.0,,3493024317414862,"Starting Monday, September 14th snack packs will be available for pick-up at the Mary P Shelton Library any time during open hours. There are no income guidelines or paperwork. For kids 18 and under. Monday 11-4, Wednesday 11-4, Thursday 4-7, Friday 11-4. #GtownWay",,,0.0,"Starting Monday, September 14th snack packs will be available for pick-up at the Mary P Shelton Library any time during open hours. There are no income guidelines or paperwork. For kids 18 and under. Monday 11-4, Wednesday 11-4, Thursday 4-7, Friday 11-4. #GtownWay",2020-09-09 18:00:09,,
3,0.0,,4.0,https://www.gtown.k12.oh.us/article/304172?org=gevsd,3492724054111555,PUBLIC MEETING – IDEA-B/TITLE I,https://facebook.com/story.php?story_fbid=3492724054111555&id=256882814362378,"GTOWN.K12.OH.US
PUBLIC MEETING – IDEA-B/TITLE I",3.0,"PUBLIC MEETING – IDEA-B/TITLE I

GTOWN.K12.OH.US
PUBLIC MEETING – IDEA-B/TITLE I",2020-09-09 15:38:04,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119081444_3491551624228798_7354469069024880880_n.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=wg3oJsJbLIAAX8Ex-1L&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ed04b1042666607da00a8f421ccdc593&oe=5F851C84,19.0,,3491551614228799,Senior Recognition Night for our Lady G-Men Soccer players. Thank you for the years of representing the Black and Gold. #Seniors #GtownWay,,,0.0,Senior Recognition Night for our Lady G-Men Soccer players. Thank you for the years of representing the Black and Gold. #Seniors #GtownWay,2020-09-09 07:58:21,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119085915_3489704447746849_5904183426444909068_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=bMyRJCZr4E0AX98cmBG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7b298b543992b3b44bb7d4b48144c835&oe=5F85413B,19.0,,3489704441080183,Lady G-Men Volleyball taking on New Richmond in #SBAAC League action. #GtownWay,,,0.0,Lady G-Men Volleyball taking on New Richmond in #SBAAC League action. #GtownWay,2020-09-08 17:31:49,,
6,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119084389_3488607004523260_3293091017314063751_n.jpg?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=Z3T1ghlApe0AX8HIZFh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9f0cdb55fdedd7ff394fdcc8c3f27790&oe=5F84B257,42.0,,3488607001189927,"The USDA has approved FREE meals for ALL Georgetown Students! FREE lunch will start Wednesday, September 9, 2020 and run through December 31, 2020 as long as funding is available. Please see attached flyer. #GtownWay",,,0.0,"The USDA has approved FREE meals for ALL Georgetown Students! FREE lunch will start Wednesday, September 9, 2020 and run through December 31, 2020 as long as funding is available. Please see attached flyer. #GtownWay",2020-09-08 09:38:45,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118790513_3476359329081361_8693801631850818508_n.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=zBGFLZRssPcAX8v6-8y&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ab4508f7cad922d3b321e38a4623098b&oe=5F8339D5,10.0,,3476359322414695,"A quick reminder from our Transportation Supervisor, Taylor Garrett, regarding School Bus Safety. Know when to stop and always use caution. #GtownWay",,,0.0,"A quick reminder from our Transportation Supervisor, Taylor Garrett, regarding School Bus Safety. Know when to stop and always use caution. #GtownWay",2020-09-04 11:22:19,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118878454_3475563909160903_5340661919493141604_o.jpg?_nc_cat=110&_nc_sid=2d5d41&_nc_ohc=Qs_TGjEsO8wAX9qmCBz&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b6d4753b92056f6c381e7a75fae01ea9&oe=5F854480,44.0,,3475563905827570,Senior Recognition Night for our Lady G-Men Volleyball players and our G-Men Golf players. Thank you for the years of representing the Black and Gold. #Seniors #GtownWay,,,0.0,Senior Recognition Night for our Lady G-Men Volleyball players and our G-Men Golf players. Thank you for the years of representing the Black and Gold. #Seniors #GtownWay,2020-09-04 05:53:51,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118783672_3471404906243470_4839135782941241729_o.jpg?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=Hi5bfrpBoKoAX9NIS88&_nc_ht=scontent-atl3-1.xx&tp=14&oh=072ed46a6211b4b15c49dbc8d743da61&oe=5F860CDE,45.0,,3471404899576804,Senior Recognition Night for our G-Men Soccer players. Thank you for the years of representing the Black and Gold. #Seniors #GtownWay,,,0.0,Senior Recognition Night for our G-Men Soccer players. Thank you for the years of representing the Black and Gold. #Seniors #GtownWay,2020-09-02 20:24:58,,
10,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118734098_3467564803294147_1430000278410214856_n.jpg?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=BANf4UwF3-IAX9nSa3w&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a8993449c97a669a8afb2cd50cba11dd&oe=5F8471D3,22.0,,3467564799960814,Cross Country Senior Recognition will be this Saturday (9/5) at our home meet. Races start at 9:00am. Come out and support our seniors and fellow student athletes!,,,0.0,Cross Country Senior Recognition will be this Saturday (9/5) at our home meet. Races start at 9:00am. Come out and support our seniors and fellow student athletes!,2020-09-01 15:00:23,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118762235_3466783093372318_643310188868855475_n.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=9FSXFtdaGjAAX_8_A5b&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e68e988254a591a6b48f69fc51ba64e9&oe=5F86A32E,29.0,,3466783083372319,7th grade students learning about the germination process in Agriscience. #GtownWay,,,0.0,7th grade students learning about the germination process in Agriscience. #GtownWay,2020-09-01 09:46:15,,
12,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118749444_3464714866912474_2687011065641510581_o.jpg?_nc_cat=111&_nc_sid=2d5d41&_nc_ohc=4CniXpHt6PAAX8rf4Nh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=56e1ea6b573ef42c07dc5b4b596fdf0a&oe=5F82C24D,13.0,,3464714863579141,JH Lady G-Men Volleyball taking on Williamsburg in SBAAC League action. #GtownWay,,,0.0,JH Lady G-Men Volleyball taking on Williamsburg in SBAAC League action. #GtownWay,2020-08-31 16:54:55,,
13,0.0,,4.0,,3460522433998384,"Elementary School Picture Day is Wednesday, September 2. Check out our flyer for more information. Don't miss this year's smile! #GtownWay",,,0.0,"Elementary School Picture Day is Wednesday, September 2. Check out our flyer for more information. Don't miss this year's smile! #GtownWay",2020-08-30 09:00:39,,
14,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118495208_3452476298136331_7968101580438372663_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=aHdV9vC_VSsAX8V4OF-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=facd56860e085afdded1f35e1a139d74&oe=5F84EE12,17.0,,3452476294802998,JH Lady G-Men Volleyball at Blanchester tonight in league action. #GtownWay,,,0.0,JH Lady G-Men Volleyball at Blanchester tonight in league action. #GtownWay,2020-08-27 18:39:00,,
15,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118363118_3445952568788704_4559540417856323361_o.jpg?_nc_cat=105&_nc_sid=2d5d41&_nc_ohc=ozajX2ttjQwAX-Ct45J&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8da8987fcd99cfd90e36716c6baddfc5&oe=5F82DC3D,22.0,,3445952565455371,"New signs on the floors, seats and walls identifying safe social distancing areas as well as reminding students to wash their hands. #GtownWay",,,0.0,"New signs on the floors, seats and walls identifying safe social distancing areas as well as reminding students to wash their hands. #GtownWay",2020-08-25 17:25:54,,
16,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118327078_3445293398854621_1481851103915748227_n.jpg?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=xOG_FU9J66AAX8CxPqK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9c6bd82f8e0134d66c1745a32c02cbb8&oe=5F83B5FB,3.0,,3445293395521288,Jr-Sr High School picture day is tomorrow. Do not miss this year's smile! #GtownWay,,,0.0,Jr-Sr High School picture day is tomorrow. Do not miss this year's smile! #GtownWay,2020-08-25 12:25:26,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118297073_3442965035754124_4952203460514473311_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=HgOpl4EdY24AX8uBRoZ&_nc_oc=AQn5T3Gp6vvpJMoVIlFG08hreBpcnpKDaezjC9P4byzeJsFMZVy-KDDKhM6x-NTvuyo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2498f87cca5c1e2cba0e4a532863f865&oe=5F839255,20.0,,3442965029087458,JH Lady G-Men taking on the Lady Green Devils of North Adams in SBAAC vs SHAC action. #GtownWay,,,0.0,JH Lady G-Men taking on the Lady Green Devils of North Adams in SBAAC vs SHAC action. #GtownWay,2020-08-24 18:00:00,,
18,3.0,,82.0,,3441595345891093,"Jr-Sr High School Principal, Jerry Underwood, welcoming students for the 2020-2021 school year. WELCOME BACK STUDENTS! #GtownWay",,,0.0,"Jr-Sr High School Principal, Jerry Underwood, welcoming students for the 2020-2021 school year. WELCOME BACK STUDENTS! #GtownWay",2020-08-24 07:50:24,,
19,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117870038_3427305880653373_5286347281574566444_o.jpg?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=YfP6SG1cqugAX_ILCgV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=afe60ad7817e964db5f31339715245b3&oe=5F85E844,7.0,,3427305873986707,Teachers attend OTES (Ohio Teacher Evaluation) training led by Jackie Miller of @BCESCbrown. #GtownWay,,,0.0,Teachers attend OTES (Ohio Teacher Evaluation) training led by Jackie Miller of @BCESCbrown. #GtownWay,2020-08-19 13:24:53,,
20,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117914342_3426994220684539_1960473769066658540_o.jpg?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=jlyxV4eAmqwAX8zGVf3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e3bf355b05b5a3720f6432894e8d8697&oe=5F84E718,17.0,,3426994214017873,"Alumnus, Gracie Keplinger, and her brother, Connor, assist Technology Services with chromebook cleaning and deployment. Their volunteer efforts ensure a smooth start to the school year. Thank you! #GtownWay",,,0.0,"Alumnus, Gracie Keplinger, and her brother, Connor, assist Technology Services with chromebook cleaning and deployment. Their volunteer efforts ensure a smooth start to the school year. Thank you! #GtownWay",2020-08-19 11:10:42,,
21,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118015628_3424467874270507_5681042905377072893_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=bcMERBhjobYAX8mNZy9&_nc_oc=AQnpc-Fu_LVYzu7oVv5rxwCW1Rb_gf7qLMg5DGZY6koCVwJBj3BTQja0n25RYCsHrzU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f681973c1668c1cdaa179ad8f0b4ccb3&oe=5F863AAA,12.0,,3424467864270508,Teachers participating in Google PD sessions designed by @BCESCbrown staff. Teachers are excited to apply these new skills in the classroom and online. #GtownWay,,,0.0,Teachers participating in Google PD sessions designed by @BCESCbrown staff. Teachers are excited to apply these new skills in the classroom and online. #GtownWay,2020-08-18 14:06:20,,
