,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119060220_3207387445964328_6383799135915930617_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=00y7ivwYTkkAX_mWCiR&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=04113167868fd267334f829ebb318b74&oe=5F82C034,101.0,,3207391145963958,"While Homecoming in Guthrie looks a bit different due to COVID, we have found a way for our students to celebrate the traditions that we embrace.

Coronation is at 6:30 p.m. tonight at Jelsma Stadium and kickoff is at 7:00 p.m.

GO BLUEJAYS!!!",https://facebook.com/story.php?story_fbid=3207391145963958&id=227858607250575,,0.0,"While Homecoming in Guthrie looks a bit different due to COVID, we have found a way for our students to celebrate the traditions that we embrace.

Coronation is at 6:30 p.m. tonight at Jelsma Stadium and kickoff is at 7:00 p.m.

GO BLUEJAYS!!!",2020-09-11 17:17:50,,
1,7.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118968498_3201307736572299_2214813064586090816_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=tk0Uz2_SxmEAX_rL0ba&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=462c9c9287fcb47e0b9b9e93f0beec12&oe=5F83637D,95.0,,3201308353238904,"Beginning immediately and until USDA funding is depleted, all students at GPS or anyone 18 and under who is not enrolled with GPS may receive a free meal through our Child Nutrition Program. This includes students who eat in the cafeteria but DOES NOT INCLUDE ala carte items.

Grab and go children will get a breakfast and lunch.
Pick up time is M- F 9:30 a.m. until 10:00 a.m.

Central pick up location is on North Ash Street at Door #4
Cotteral pick up location is the car pick up line by the carport
Charter Oak pick up location is the student pick up line by door #4",https://facebook.com/story.php?story_fbid=3201308353238904&id=227858607250575,,0.0,"Beginning immediately and until USDA funding is depleted, all students at GPS or anyone 18 and under who is not enrolled with GPS may receive a free meal through our Child Nutrition Program. This includes students who eat in the cafeteria but DOES NOT INCLUDE ala carte items.

Grab and go children will get a breakfast and lunch.
Pick up time is M- F 9:30 a.m. until 10:00 a.m.

Central pick up location is on North Ash Street at Door #4
Cotteral pick up location is the car pick up line by the carport
Charter Oak pick up location is the student pick up line by door #4",2020-09-09 16:32:44,,
2,4.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118777842_3177653922271014_1826811990867492709_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=wThCpBamRcAAX9OBUEd&_nc_oc=AQlt4crBUZKQWKhLKUVcLDUkq5a6Om-wEcqs0v8UPEIE4WFYFuETLP9_QbcgMhez4jE&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=53b438ecc9c3b3ed5829af7132c23a42&oe=5F832894,174.0,,3177656445604095,"Friday Night Lights in Guthrie, Oklahoma! Photo courtesy of Bob Conrad.",https://facebook.com/story.php?story_fbid=3177656445604095&id=227858607250575,,0.0,"Friday Night Lights in Guthrie, Oklahoma! Photo courtesy of Bob Conrad.",2020-09-01 20:50:03,,
3,0.0,,22.0,,3177180005651739,"FOR IMMEDIATE RELEASE

September 1, 2020
Putnam City West High School Releases Protocols for Friday’s Football Game

This afternoon, Guthrie High School received the COVID-19 protocols in place for Friday’s football game to be played at Putnam City West High School. The protocols resemble very closely those GPS utilized for last weeks home game against Shawnee with some notable exceptions.

GHS will receive 200 tickets that will be made available with priority given to player’s family members. The tickets are $10.00 and may be purchased at the Building of Champions through the Guthrie Football Booster Club from 1:00 p.m. until 5:00 p.m. daily.

Anyone under the age of 18 must be accompanied by…",https://facebook.com/story.php?story_fbid=3177180005651739&id=227858607250575,,0.0,"FOR IMMEDIATE RELEASE

September 1, 2020
Putnam City West High School Releases Protocols for Friday’s Football Game

This afternoon, Guthrie High School received the COVID-19 protocols in place for Friday’s football game to be played at Putnam City West High School. The protocols resemble very closely those GPS utilized for last weeks home game against Shawnee with some notable exceptions.

GHS will receive 200 tickets that will be made available with priority given to player’s family members. The tickets are $10.00 and may be purchased at the Building of Champions through the Guthrie Football Booster Club from 1:00 p.m. until 5:00 p.m. daily.

Anyone under the age of 18 must be accompanied by…",2020-09-01 16:54:23,,
4,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/118541051_10158823959823970_3768193753416481385_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=o8Tjg55O_9sAX99SW7d&_nc_ht=scontent.fbna1-2.fna&oh=9563fc801b2adf42f565867972d4f3e2&oe=5F8301F2,5.0,,3174632075906532,,https://facebook.com/story.php?story_fbid=3174632075906532&id=227858607250575,"Guthrie Police Department
August 28 at 9:18 PM ·

Please take a look at these photos.

We are really interested in talking to these persons about some recent crimes that they may have information about.

Please contact Detective Jason Hamilton if you have any information we might be able to use. You can call the police department at 405-282-3535 or send an email to jhamilton@cityofguthrie.com.

Thank you so much for looking and helping in any way that you can!",17.0,"Guthrie Police Department
August 28 at 9:18 PM ·

Please take a look at these photos.

We are really interested in talking to these persons about some recent crimes that they may have information about.

Please contact Detective Jason Hamilton if you have any information we might be able to use. You can call the police department at 405-282-3535 or send an email to jhamilton@cityofguthrie.com.

Thank you so much for looking and helping in any way that you can!",2020-08-31 21:50:18,,
5,1.0,,29.0,https://www.guthrieps.net/vimages/shared/vnews/stories/5f4596addcd35/Guthrie%20Public%20Schools%20Athletic%20Event%20Guidelines%208-25-20.pdf,3156503724386034,"There will be several changes to the procedures at GHS Football Games due to COVID-19 precautions. We are asking everyone to help us as your cooperation is imperative so our students can compete this season. If infection rates rise beyond acceptable levels, we could be forced to cancel games.

Below is a link to the entire protocols but some of the most important changes are as follows:

NO FANS WILL BE ALLOWED ON THE FIELD OR IN THE PRESSBOX BEFORE, AFTER OR DURING THE GAME.

ALL ELEMENTARY AND JUNIOR HIGH STUDENTS MUST BE ACCOMPANIED BY AN ADULT TO ENTER THE GAME. IF THEY PRESENT A TICKET WITHOUT AN ADULT THEY WILL BE DENIED ENTRY.

FOOTBALLS AND FRISBEES ARE NOT ALLOWED AND WILL BE CONFISCATED.

We ask for all Bluejay fans to be understanding and supportive. Please remember some school districts have already cancelled their Fall sports.

The entire protocols can be found at the following link:

https://www.guthrieps.net/vimages/shared/vnews/stories/5f4596addcd35/Guthrie%20Public%20Schools%20Athletic%20Event%20Guidelines%208-25-20.pdf",https://facebook.com/story.php?story_fbid=3156503724386034&id=227858607250575,"GUTHRIEPS.NET
www.guthrieps.net",15.0,"There will be several changes to the procedures at GHS Football Games due to COVID-19 precautions. We are asking everyone to help us as your cooperation is imperative so our students can compete this season. If infection rates rise beyond acceptable levels, we could be forced to cancel games.

Below is a link to the entire protocols but some of the most important changes are as follows:

NO FANS WILL BE ALLOWED ON THE FIELD OR IN THE PRESSBOX BEFORE, AFTER OR DURING THE GAME.

ALL ELEMENTARY AND JUNIOR HIGH STUDENTS MUST BE ACCOMPANIED BY AN ADULT TO ENTER THE GAME. IF THEY PRESENT A TICKET WITHOUT AN ADULT THEY WILL BE DENIED ENTRY.

FOOTBALLS AND FRISBEES ARE NOT ALLOWED AND WILL BE CONFISCATED.

We ask for all Bluejay fans to be understanding and supportive. Please remember some school districts have already cancelled their Fall sports.

The entire protocols can be found at the following link:

https://www.guthrieps.net/vimages/shared/vnews/stories/5f4596addcd35/Guthrie%20Public%20Schools%20Athletic%20Event%20Guidelines%208-25-20.pdf

GUTHRIEPS.NET
www.guthrieps.net",2020-08-25 20:15:54,,
6,2.0,,49.0,,3152336731469400,"GUTHRIE PUBLIC SCHOOLS ATHLETIC EVENT GUIDELINES
Mask or face coverings are highly recommended for all participants, coaches, workers, officials (when applicable), patrons or anyone entering a Guthrie Public Schools Facility.

Visiting teams’ coaches and/or administration will be responsible for encouraging facial coverings for visiting spectators. Spectators should practice social distancing at all times.

It is expected that all opposing teams and coaches conduct COVID-19 screening and temperature checks before traveling to GPS facilities.

It is also encouraged, players not engaged in competition, wear facial coverings.

All spectators should make every effort to have exact change for gate…",https://facebook.com/story.php?story_fbid=3152336731469400&id=227858607250575,,0.0,"GUTHRIE PUBLIC SCHOOLS ATHLETIC EVENT GUIDELINES
Mask or face coverings are highly recommended for all participants, coaches, workers, officials (when applicable), patrons or anyone entering a Guthrie Public Schools Facility.

Visiting teams’ coaches and/or administration will be responsible for encouraging facial coverings for visiting spectators. Spectators should practice social distancing at all times.

It is expected that all opposing teams and coaches conduct COVID-19 screening and temperature checks before traveling to GPS facilities.

It is also encouraged, players not engaged in competition, wear facial coverings.

All spectators should make every effort to have exact change for gate…",2020-08-24 10:32:10,,
7,29.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117841522_3141214782581595_1072849916918627280_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=jtN5NfTYUpsAX8vfAhH&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=0b40f2b49912bc3463c87382d4a6fb40&oe=5F846646,186.0,,3141216582581415,"FOR IMMEDIATE RELEASE
August 20, 2020

GPS School Year Off to a Smooth Start

Guthrie students went back to school this morning and the early reports were a very smooth start. Some finishing work is awaiting completion at the sites who received new entrances and contractors are continuing their work.

According to Dr. Mike Simpson, Superintendent of Schools, “I did my customary tour across the district and principals at all buildings reported a very smooth drop off process. We had two buses that were running late, but that is to be expected on the first day. Moving the Senior drive to a time after other sites have started has made the first day much more manageable across the district. Many procedures are changing as we adapt to school with COVID-19 protocols. We ask you to please be patient with the many changes which include mandatory masks for visitors.”

###",https://facebook.com/story.php?story_fbid=3141216582581415&id=227858607250575,,0.0,"FOR IMMEDIATE RELEASE
August 20, 2020

GPS School Year Off to a Smooth Start

Guthrie students went back to school this morning and the early reports were a very smooth start. Some finishing work is awaiting completion at the sites who received new entrances and contractors are continuing their work.

According to Dr. Mike Simpson, Superintendent of Schools, “I did my customary tour across the district and principals at all buildings reported a very smooth drop off process. We had two buses that were running late, but that is to be expected on the first day. Moving the Senior drive to a time after other sites have started has made the first day much more manageable across the district. Many procedures are changing as we adapt to school with COVID-19 protocols. We ask you to please be patient with the many changes which include mandatory masks for visitors.”

###",2020-08-20 14:55:16,,
8,9.0,,135.0,,3139265229443217,"The hallways are quiet tonight. Tomorrow, we will open school for the first time since March 13th with a desire to stay open and serve our students. This will require some changes and we ask our community support those changes. Secondary schools will have routing plans and one-way stairways. Visitors to our buildings will be restricted much more than in the past and cannot enter the building without wearing a mask.

If you have questions, please call your child's school. Remember, we are in this together and doing the best we can to serve our students in an unprecedented time. Have patience and offer grace to our staff. They are on the front lines working daily to provide the best education possible for our community.",https://facebook.com/story.php?story_fbid=3139265229443217&id=227858607250575,,0.0,"The hallways are quiet tonight. Tomorrow, we will open school for the first time since March 13th with a desire to stay open and serve our students. This will require some changes and we ask our community support those changes. Secondary schools will have routing plans and one-way stairways. Visitors to our buildings will be restricted much more than in the past and cannot enter the building without wearing a mask.

If you have questions, please call your child's school. Remember, we are in this together and doing the best we can to serve our students in an unprecedented time. Have patience and offer grace to our staff. They are on the front lines working daily to provide the best education possible for our community.",2020-08-19 23:07:06,,
9,4.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118217589_3139175496118857_2826702017097619589_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=NfQLXXmyOPgAX_AAAZ2&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=07edf680eb7d9dfe85d55a88628aa278&oe=5F82931B,88.0,,3139189466117460,"Here are some pictures of what our students will see when they come to school tomorrow from the work over the summer. Secure entrances have been added to five of our school sites as well as completion of Phase II of the Central Elementary playground renovations.

We want to thank the patrons of our district for continuing to support our district through the recent bond issues as well as the online voting to support our grant applications and private donations that funded the Central Playground.",https://facebook.com/story.php?story_fbid=3139189466117460&id=227858607250575,,0.0,"Here are some pictures of what our students will see when they come to school tomorrow from the work over the summer. Secure entrances have been added to five of our school sites as well as completion of Phase II of the Central Elementary playground renovations.

We want to thank the patrons of our district for continuing to support our district through the recent bond issues as well as the online voting to support our grant applications and private donations that funded the Central Playground.",2020-08-19 22:27:30,,
