,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119056703_191090572389248_7778253240827781393_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=Xhs7COHry4oAX8fSSVY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=335e400e6351bfdc372641e31c1ed865&oe=5F84DA3D,53.0,,191091382389167,"We are excited to announce, that starting Monday, September 14th, FREE MEALS will be available for ALL Students.

Breakfast and Lunch Service will remain the same, salad bar will stay in place and Ala carte will be available in Middle and High School. Extra entrees will have to be paid with lunch account.

This USDA has made all school meals temporarily free until further notice.

Families still need to turn in free and reduced applications as this no cost benefit can end at any time.",https://facebook.com/story.php?story_fbid=191091382389167&id=103505564481083,,0.0,"We are excited to announce, that starting Monday, September 14th, FREE MEALS will be available for ALL Students.

Breakfast and Lunch Service will remain the same, salad bar will stay in place and Ala carte will be available in Middle and High School. Extra entrees will have to be paid with lunch account.

This USDA has made all school meals temporarily free until further notice.

Families still need to turn in free and reduced applications as this no cost benefit can end at any time.",2020-09-11 14:54:45,,
1,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119199646_191056725725966_7236769686558343973_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=vrUm4ew4LlkAX8PEy9I&_nc_ht=scontent-atl3-1.xx&tp=14&oh=846116d8c83bf274cdf5a39c3461fa99&oe=5F85CE80,22.0,,191057732392532,"It's a perfect day for some comfort food.

Elementary and Middle school: Chicken Tenders with a roll, Mashed potatoes and gravy, Fresh broccoli, side kick frozen slushy and milk.

Also have choices off the salad bar.

High School:
Made from Scratch Chili and cinnamon roll, broccoli, side kick frozen slushy, dragon juice.

Also have choices off the salad bar.

** The most nutritious meals contain all of the components, however students have the option to decline items they do that want to eat, which is referred to as “Offer vs. Serve.” **

They must take 3 components, but are required to take 1/2 cup of fruit or vegetables.",https://facebook.com/story.php?story_fbid=191057732392532&id=103505564481083,,0.0,"It's a perfect day for some comfort food.

Elementary and Middle school: Chicken Tenders with a roll, Mashed potatoes and gravy, Fresh broccoli, side kick frozen slushy and milk.

Also have choices off the salad bar.

High School:
Made from Scratch Chili and cinnamon roll, broccoli, side kick frozen slushy, dragon juice.

Also have choices off the salad bar.

** The most nutritious meals contain all of the components, however students have the option to decline items they do that want to eat, which is referred to as “Offer vs. Serve.” **

They must take 3 components, but are required to take 1/2 cup of fruit or vegetables.",2020-09-11 12:12:22,,
2,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119169103_190848382413467_645576806963102295_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=EzgUdVCioq0AX9uZsmp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4a5b0699c8cdad210e441a208403b0de&oe=5F860317,32.0,,190848442413461,"Todays lunch in elementary, middle and high school:
BBQ ribette, bun, fries, apple sauce, grape tomatoes, milk.

Salad bars are now open in all buildings so students can get extra veggies and fruit. 🙌",https://facebook.com/story.php?story_fbid=190848442413461&id=103505564481083,,0.0,"Todays lunch in elementary, middle and high school:
BBQ ribette, bun, fries, apple sauce, grape tomatoes, milk.

Salad bars are now open in all buildings so students can get extra veggies and fruit. 🙌",2020-09-10 11:53:42,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119126897_190843609080611_6546487822110054227_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=nilqhkQEgL8AX8zNAkN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=67ad90bba1488f134512208626bb44c9&oe=5F840B40,12.0,,190843932413912,"What is in a meal for Breakfast & lunch?
The following are school meal components:

● Milk (fat-free or 1%, flavored milk or unflavored) ● Meat/meat alternate (Cheese, Yogurt, Nut Butter, Legume etc.) ● Bread/grains ● Fruit* ● Vegetables*

*Students are required to take ½ cup of a fruit or vegetable to make a meal at breakfast and lunch.

** The most nutritious meals contain all of the components, however students have the option to decline items they do that want to eat, which is referred to as “Offer vs. Serve.” If students feel they don’t get enough to eat, make sure they understand they can take all components and the choices that are available to them. School nutrition staff are trained to help students build a reimbursable, balanced meal. **",https://facebook.com/story.php?story_fbid=190843932413912&id=103505564481083,,0.0,"What is in a meal for Breakfast & lunch?
The following are school meal components:

● Milk (fat-free or 1%, flavored milk or unflavored) ● Meat/meat alternate (Cheese, Yogurt, Nut Butter, Legume etc.) ● Bread/grains ● Fruit* ● Vegetables*

*Students are required to take ½ cup of a fruit or vegetable to make a meal at breakfast and lunch.

** The most nutritious meals contain all of the components, however students have the option to decline items they do that want to eat, which is referred to as “Offer vs. Serve.” If students feel they don’t get enough to eat, make sure they understand they can take all components and the choices that are available to them. School nutrition staff are trained to help students build a reimbursable, balanced meal. **",2020-09-10 11:27:53,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119136640_190632915768347_42007936151763625_o.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=juELiLGdWTQAX_kk4sV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4e44e0916df22c9446880f54cc5f943d&oe=5F83703E,14.0,,190632929101679,"Middle school lunch:
Quesadilla, corn, raw veggies, hummus, fruit cocktail and milk.",https://facebook.com/story.php?story_fbid=190632929101679&id=103505564481083,,0.0,"Middle school lunch:
Quesadilla, corn, raw veggies, hummus, fruit cocktail and milk.",2020-09-09 12:20:19,,
5,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119095209_190629469102025_6592378441887721659_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=5fKRqi_VDoYAX8ZkB39&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f7f27a57a0ac63e3d4fa6f5866aae37e&oe=5F855B4F,50.0,,190629562435349,"Today's high school lunch is:
Fish tacos, corn, cyclone salad, fruit cocktail, plus lots of topping on the salad bar and milk.",https://facebook.com/story.php?story_fbid=190629562435349&id=103505564481083,,0.0,"Today's high school lunch is:
Fish tacos, corn, cyclone salad, fruit cocktail, plus lots of topping on the salad bar and milk.",2020-09-09 12:04:54,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119105129_190625002435805_6855258763602381636_o.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=hA9iudhox9AAX9I9iVX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=176e7ab17c66b06ab42dad98c7c45484&oe=5F83EEAF,25.0,,190625029102469,"Today's lunch for our elementary students.

Quesadilla, corn, carrots and celery, ranch, hummus, and fruit cocktail, milk.",https://facebook.com/story.php?story_fbid=190625029102469&id=103505564481083,,0.0,"Today's lunch for our elementary students.

Quesadilla, corn, carrots and celery, ranch, hummus, and fruit cocktail, milk.",2020-09-09 11:44:39,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118193838_187839906047648_8853919421253692150_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=JUlkRkDnQcgAX-F5FuD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=986e5a82f916fc2a7dad00ec46e680bc&oe=5F853BA7,15.0,,187840049380967,"Football Game Day!

*Masks required unless seated and/or socially distanced from those outside your household
*Must have an event ticket to enter and pay
*HARLAN FANS enter only through the SW/Main gates!
*FMCTC live-streaming
*Live on Harlan Utilities",https://facebook.com/story.php?story_fbid=187840049380967&id=103505564481083,,0.0,"Football Game Day!

*Masks required unless seated and/or socially distanced from those outside your household
*Must have an event ticket to enter and pay
*HARLAN FANS enter only through the SW/Main gates!
*FMCTC live-streaming
*Live on Harlan Utilities",2020-08-28 15:31:52,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117770478_186227409542231_682868761485047760_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=SAB6QOfsBLsAX8R558a&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3abbffac9d961926f9a14a0133c57aea&oe=5F8445CC,33.0,,186227809542191,HCSD extends their thanks to the Lions Club for their donation of safety supplies! #cyclONEnation,https://facebook.com/story.php?story_fbid=186227809542191&id=103505564481083,,0.0,HCSD extends their thanks to the Lions Club for their donation of safety supplies! #cyclONEnation,2020-08-21 12:48:55,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117811253_184569199708052_3743911537098455232_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=XW4JQt3kkXEAX8orpEp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bc72a5b35ad5eda856d84f798180cb9f&oe=5F83AC3C,6.0,https://forms.gle/F6zXH1mZY1kCjjQx8,184569459708026,,https://facebook.com/story.php?story_fbid=184569459708026&id=103505564481083,,0.0,,2020-08-14 19:29:46,,
