,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,7.0,,3155336581185931,Commit to completing the 2020 Census,https://facebook.com/story.php?story_fbid=3155336581185931&id=285410418178576,,0.0,Commit to completing the 2020 Census,2020-08-14 10:00:52,,
1,1.0,,10.0,,3155335584519364,Commit to completing the 2020 Census,https://facebook.com/story.php?story_fbid=3155335584519364&id=285410418178576,,0.0,Commit to completing the 2020 Census,2020-08-13 16:00:19,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117769575_3482046528514933_2537568681798871567_o.png?_nc_cat=104&_nc_sid=dd9801&_nc_ohc=MkXUKu8ycH4AX9b1TWz&_nc_ht=scontent-atl3-1.xx&oh=3ca6316927b61a5057afcb2f727a822d&oe=5F893522,116.0,,3482046655181587,,,,0.0,,2020-08-13 11:32:22,,
3,10.0,,54.0,,3481996928519893,Please follow our new facebook page Harlandale ISD Family @harlandalefamily and send us your questions through that facebook account as this one is no longer active. Thank you!,https://facebook.com/story.php?story_fbid=3481996928519893&id=285410418178576,,0.0,Please follow our new facebook page Harlandale ISD Family @harlandalefamily and send us your questions through that facebook account as this one is no longer active. Thank you!,2020-08-13 11:09:13,,
4,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/93106308_3155334381186151_6514229609976823808_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=z1NgZdMqqwcAX-Q8tZZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=05084cdf06d69655e691b66ced01f51e&oe=5F88CA0B,20.0,,3155334737852782,Commit to completing the 2020 Census,https://facebook.com/story.php?story_fbid=3155334737852782&id=285410418178576,,0.0,Commit to completing the 2020 Census,2020-08-12 16:00:48,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/93276927_3155333411186248_7505568655292235776_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=pmlnTwVY3KQAX8zkCiA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d081fb0794769101a41ed8c2e23dc1f3&oe=5F8B2F44,9.0,,3155333784519544,Commit to completing the 2020 Census,https://facebook.com/story.php?story_fbid=3155333784519544&id=285410418178576,,0.0,Commit to completing the 2020 Census,2020-08-11 16:00:12,,
6,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/93616358_3155330054519917_805394930225643520_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=LQmhJvt9NMUAX83GcBd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d83542c7f688f425ca053d31c229f523&oe=5F8AC102,7.0,,3155330304519892,Commit to completing the 2020 Census,https://facebook.com/story.php?story_fbid=3155330304519892&id=285410418178576,,0.0,Commit to completing the 2020 Census,2020-07-22 14:30:07,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92953344_3155329264519996_4383173623473504256_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=SeCCSGVX_7cAX8umclX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c08398918c4139cfa841d7d778112dd4&oe=5F87D393,9.0,,3155329624519960,Commit to completing the 2020 Census,https://facebook.com/story.php?story_fbid=3155329624519960&id=285410418178576,,0.0,Commit to completing the 2020 Census,2020-07-15 14:30:31,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/93787403_3162364083816514_5670699321532612608_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=w1bKsgRZZwoAX_P5ryl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=bf0f17847456279d318e8fb99fd1ff7a&oe=5F8B11E2,3.0,,3162364433816479,Do your part and fill out the 2020 Census,https://facebook.com/story.php?story_fbid=3162364433816479&id=285410418178576,,0.0,Do your part and fill out the 2020 Census,2020-07-12 11:00:26,,
9,7.0,,22.0,http://Harlandale.net/,3190450807674508,Learn more about the Pre-K program at Harlandale ISD...to pre-register visit our website Harlandale.net,,,0.0,Learn more about the Pre-K program at Harlandale ISD...to pre-register visit our website Harlandale.net,2020-05-02 11:00:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/95156379_254391199272185_760607024147857408_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=LjITn3Kf5TcAX-4f7BC&_nc_ht=video-atl3-1.xx&oh=884af8ae9751cf217850a6f62c10a744&oe=5F63E9CB,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/94597232_3197825926936996_2382598876566650880_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=vOzuqIOkjmsAX8eJeCw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=402d61d6a6ce9bf71f8266f8a34c1400&oe=5F887653,19.0,,3197826253603630,The #2020Census impacts many things across our community especially the way we shape the future of our school community.,https://facebook.com/story.php?story_fbid=3197826253603630&id=285410418178576,,0.0,The #2020Census impacts many things across our community especially the way we shape the future of our school community.,2020-05-02 09:08:38,,
11,0.0,,5.0,http://Harlandale.net/,3197889490263973,Aprende más sobre el programa de pre-kínder. Pueden preinscribirse en Harlandale.net,,,0.0,Aprende más sobre el programa de pre-kínder. Pueden preinscribirse en Harlandale.net,2020-05-01 16:00:02,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/95823122_542283296675127_6527981279214829568_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=g-9J1VBnJGoAX8VNXv2&_nc_oc=AQnPxVcs26I5BCgGDhSuFAcSekfgPeynMazCFt9TyU6xrIYvQ6N-JHYbjucchkYJYJc&_nc_ht=video-atl3-1.xx&oh=30c21c38d91b5ac239be37f3dcf73f8c&oe=5F63E460,
12,0.0,,10.0,http://Harlandale.net/,3197885786931010,Learn more about Harlandale's Pre-K program. And pre-register today at Harlandale.net,,,0.0,Learn more about Harlandale's Pre-K program. And pre-register today at Harlandale.net,2020-05-01 16:00:02,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/95335660_233187097772507_843189418364764160_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=RAq91eD_IXsAX_U3kiM&_nc_ht=video-atl3-1.xx&oh=bd755c21b408fbbfaa11c799aa30b9f1&oe=5F63E226,
13,5.0,,31.0,,3198067646912824,,https://facebook.com/story.php?story_fbid=3198067646912824&id=285410418178576,,0.0,,2020-05-01 13:59:24,,
14,2.0,,19.0,,3198012490251673,Here are a few great reasons why you should join choir!,,,0.0,Here are a few great reasons why you should join choir!,2020-05-01 13:31:05,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/95960320_261523575041692_3113838756885430272_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=ew4__JQy-XYAX8vRogD&_nc_ht=video-atl3-1.xx&oh=4dbc3949cc44859560e93bf392846abc&oe=5F63DE88,
