,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,38.0,,76.0,http://www.usd261.com/ReturnToLearn/,3223186881104129,"The COVID-19 pandemic is a national crisis that poses a serious health risk for everyone. The health, safety, and well-being of our students, staff, and families is a top priority for Haysville USD 261.
Haysville USD 261 has and will continue to follow the guidance of federal, state, and county experts regarding the Coronavirus (COVID-19) pandemic. This includes the state's guidelines regarding wearing of masks, social distancing, and frequent hand washing. These guidelines have been put in place for schools to support the health and well-being of students and staff while continuing to provide academic excellence in a safe and caring environment.

We have created a page for updated information regarding our plans, procedures, and guides on how we plan to have our students safely return to our schools and learn. Click the link below ⬇️ to find information regarding our plans from masks, resources, and academic models.

http://www.usd261.com/ReturnToLearn/",https://facebook.com/story.php?story_fbid=3223186881104129&id=137507553005426,,0.0,"The COVID-19 pandemic is a national crisis that poses a serious health risk for everyone. The health, safety, and well-being of our students, staff, and families is a top priority for Haysville USD 261.
Haysville USD 261 has and will continue to follow the guidance of federal, state, and county experts regarding the Coronavirus (COVID-19) pandemic. This includes the state's guidelines regarding wearing of masks, social distancing, and frequent hand washing. These guidelines have been put in place for schools to support the health and well-being of students and staff while continuing to provide academic excellence in a safe and caring environment.

We have created a page for updated information regarding our plans, procedures, and guides on how we plan to have our students safely return to our schools and learn. Click the link below ⬇️ to find information regarding our plans from masks, resources, and academic models.

http://www.usd261.com/ReturnToLearn/",2020-08-11 21:28:34,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119140933_3314045018684981_4439992431673534280_o.jpg?_nc_cat=107&_nc_sid=0be424&_nc_ohc=EvwQqa-ui2UAX8s7Mci&_nc_oc=AQn9IwyvN0-jGzDygtazFZTopOwNkj0DjeLMVp3ldj1pvC3opIqHFoIAzlerEVkPz8o&_nc_ht=scontent-atl3-1.xx&tp=14&oh=92c9c54f16a5fc1b29e6297cb75ef662&oe=5F80D493,58.0,,3314107632012053,,https://facebook.com/story.php?story_fbid=3314107632012053&id=137507553005426,"Haysville Public Schools added 48 new photos.
22 hrs ·",0.0,"Haysville Public Schools added 48 new photos.
22 hrs ·",2020-09-11 13:46:01,,
2,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118695351_3293047727451377_7731537901567039703_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=9Q0jXh6aVDMAX_3dowZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a04634c8edb4bab8de330c916e08450c&oe=5F80C509,35.0,,3293048484117968,Meet Vanessa DeMars. She's new to Prairie Elementary. Welcome to the USD 261 family!✨,https://facebook.com/story.php?story_fbid=3293048484117968&id=137507553005426,,0.0,Meet Vanessa DeMars. She's new to Prairie Elementary. Welcome to the USD 261 family!✨,2020-09-11 09:00:03,,
3,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119111150_3311171475639002_6893349347504117175_o.jpg?_nc_cat=107&_nc_sid=0be424&_nc_ohc=bvxhQ0KSqOUAX-gDsnl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c223f2eb738dae860e71093a257e2659&oe=5F80D5BC,182.0,,3311200415636108,,https://facebook.com/story.php?story_fbid=3311200415636108&id=137507553005426,"Haysville Public Schools added 69 new photos.
September 10 at 2:28 PM ·",0.0,"Haysville Public Schools added 69 new photos.
September 10 at 2:28 PM ·",2020-09-10 15:28:38,,
4,15.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118709491_3293030174119799_4042373608517836988_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=ywRXCg-xvNEAX_JDjR6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2e2d73d70a191d46f936ca910538ef7a&oe=5F841F5C,187.0,,3293030860786397,Meet Jarrod Craig. He's the new principal at Prairie Elementary. Welcome to the USD 261 family!✨,https://facebook.com/story.php?story_fbid=3293030860786397&id=137507553005426,,0.0,Meet Jarrod Craig. He's the new principal at Prairie Elementary. Welcome to the USD 261 family!✨,2020-09-10 09:00:02,,
5,39.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119010072_3307470869342396_8343076205039789285_o.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=2F5utxQ-nZ4AX_4UOZE&_nc_ht=scontent-atl3-1.xx&oh=e881e2be7a72d5325157876d19b24e9b&oe=5F80F4D3,33.0,https://sites.google.com/usd261.com/returntolearn/parent-university/help-with-otus/set-up-otus-account,3307471096009040,"Have you set up your family account in Otus yet?

Every family needs to create an account in our new learning platform called Otus. This will allow you to see grades, communicate with teachers, and see other information tied to student(s) classes. Otus will be used for students working on-site and remotely.

Please set up your family account, and join us on Otus! Here is a link to a video to walk you through the process.

https://sites.google.com/usd261.com/returntolearn/parent-university/help-with-otus/set-up-otus-account",https://facebook.com/story.php?story_fbid=3307471096009040&id=137507553005426,,0.0,"Have you set up your family account in Otus yet?

Every family needs to create an account in our new learning platform called Otus. This will allow you to see grades, communicate with teachers, and see other information tied to student(s) classes. Otus will be used for students working on-site and remotely.

Please set up your family account, and join us on Otus! Here is a link to a video to walk you through the process.

https://sites.google.com/usd261.com/returntolearn/parent-university/help-with-otus/set-up-otus-account",2020-09-09 10:35:00,,
6,27.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118651698_3293015690787914_5392188942699640788_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=UZgYKErH1NcAX8ucdcV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=16a918609130687f4eaadb6f2d14cebe&oe=5F809996,84.0,,3293021050787378,Meet Kasahra Cotton. She's new to Nelson Elementary. Welcome to the USD 261 family!✨,https://facebook.com/story.php?story_fbid=3293021050787378&id=137507553005426,,0.0,Meet Kasahra Cotton. She's new to Nelson Elementary. Welcome to the USD 261 family!✨,2020-09-09 09:00:01,,
7,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119040400_3305310539558429_4302285881400414802_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=Deqo24SfBHQAX8c5oaF&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c0b06d36c23f3066cf1a8c7a26c7a567&oe=5F81D756,21.0,http://www.usd261.com/ReturnToLearn/resources.php,3305322429557240,"Parents we are asking that you know the signs and symptoms that may indicate that your child has COVID-19 before you send them to school. While the symptoms listed below are common, COVID-19 may present in other ways. If your child is not feeling well for any reason please keep them home. A health staff member will contact you to discuss your child's symptoms and determine how long your child should stay home.

Symptoms include:
Temperature 100.4 or higher
Sore throat
New uncontrolled cough that causes difficulty in breathing
Diarrhea, vomiting, or abdominal pain
New onset of severe headache
Loss of the sense of smell or taste

If you have any questions or concerns, please contact Beth Schutte, RN District School Nurse at 554-2200 or email at bschutte@usd261.com. Also, for other guidelines, and resources, click the link below.

http://www.usd261.com/ReturnToLearn/resources.php",https://facebook.com/story.php?story_fbid=3305322429557240&id=137507553005426,,0.0,"Parents we are asking that you know the signs and symptoms that may indicate that your child has COVID-19 before you send them to school. While the symptoms listed below are common, COVID-19 may present in other ways. If your child is not feeling well for any reason please keep them home. A health staff member will contact you to discuss your child's symptoms and determine how long your child should stay home.

Symptoms include:
Temperature 100.4 or higher
Sore throat
New uncontrolled cough that causes difficulty in breathing
Diarrhea, vomiting, or abdominal pain
New onset of severe headache
Loss of the sense of smell or taste

If you have any questions or concerns, please contact Beth Schutte, RN District School Nurse at 554-2200 or email at bschutte@usd261.com. Also, for other guidelines, and resources, click the link below.

http://www.usd261.com/ReturnToLearn/resources.php",2020-09-08 20:00:04,,
8,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118693712_3289692297786920_1242044485462372509_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=adgq3b6Fk-cAX_cS2LT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2cb69d9fa8c730b411e28402194506ee&oe=5F810BF7,60.0,,3289745164448300,Meet Kristi Capps. She's new to Haysville West Middle School. Welcome to the USD 261 family!✨,https://facebook.com/story.php?story_fbid=3289745164448300&id=137507553005426,,0.0,Meet Kristi Capps. She's new to Haysville West Middle School. Welcome to the USD 261 family!✨,2020-09-08 09:00:01,,
9,21.0,,33.0,https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html,3300079973414819,"UPDATE ON MASKS

On September 3rd, a new emergency public health order was issued changing what type of face coverings are permitted in school. Masks or other face coverings with valves or vents are no longer approved for use while at school.

For more information on masks, click on the link below. If you have any questions or concerns, please contact Beth Schutte, RN District School Nurse at 554-2200 or email at bschutte@usd261.com

https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html",https://facebook.com/story.php?story_fbid=3300079973414819&id=137507553005426,,0.0,"UPDATE ON MASKS

On September 3rd, a new emergency public health order was issued changing what type of face coverings are permitted in school. Masks or other face coverings with valves or vents are no longer approved for use while at school.

For more information on masks, click on the link below. If you have any questions or concerns, please contact Beth Schutte, RN District School Nurse at 554-2200 or email at bschutte@usd261.com

https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/diy-cloth-face-coverings.html",2020-09-07 20:00:01,,
