,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,3.0,https://forms.gle/aPatmfcJ79P99bKv5,3177381368982637,"Henryetta School Parents/Guardians:
Please fill out the Impact Aid Survey Form (one per household). It is very IMPORTANT we have everyone fill this out because it helps FUNDING for our school. Forms will also be sent home in the meal deliveries and are also available to be picked up from the Board Office. Please have all forms returned/fill out no later than Oct. 1.
https://forms.gle/aPatmfcJ79P99bKv5",https://facebook.com/story.php?story_fbid=3177381368982637&id=877925132261617,"DOCS.GOOGLE.COM
2020-2021 Impact Aid Program Survey Form",7.0,"Henryetta School Parents/Guardians:
Please fill out the Impact Aid Survey Form (one per household). It is very IMPORTANT we have everyone fill this out because it helps FUNDING for our school. Forms will also be sent home in the meal deliveries and are also available to be picked up from the Board Office. Please have all forms returned/fill out no later than Oct. 1.
https://forms.gle/aPatmfcJ79P99bKv5

DOCS.GOOGLE.COM
2020-2021 Impact Aid Program Survey Form",2020-09-15 08:59:48,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118653717_4353557148020050_4405241284694583956_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=XaNiLyfeeqYAX8zaZMd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ba5ace14c19d9ea5cd9702722d450ee3&oe=5F88AFBD,0.0,,3177332518987522,,https://facebook.com/story.php?story_fbid=3177332518987522&id=877925132261617,"Henryetta Athletics
September 3 at 10:40 AM ·

UPDATE!

We are extending this order until Friday 9-18-20! Please get your orders in!!

Henryetta Athletics department is selling Athletic shirts! You can pick up order forms in the high school office. Order forms and payment are due in the high school office no later than September 11th!",0.0,"Henryetta Athletics
September 3 at 10:40 AM ·

UPDATE!

We are extending this order until Friday 9-18-20! Please get your orders in!!

Henryetta Athletics department is selling Athletic shirts! You can pick up order forms in the high school office. Order forms and payment are due in the high school office no later than September 11th!",2020-09-15 08:39:34,,
2,11.0,,27.0,,328628641803419,Congratulations Joe Gracia!,,,4.0,Congratulations Joe Gracia!,2020-09-14 11:06:28,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_176417840603918_713258519042169252_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=TKm7bfxdKE8AX9VzgWR&_nc_ht=scontent-atl3-1.xx&oh=4b417bea52334465e6fceb7278c9dc1c&oe=5F8860C4,
3,0.0,,3.0,https://forms.gle/zS7QtdAuv7skCcoJA,3166936826693758,"In compliance with Section 1111(b)(2)(H) of ESSA, Henryetta Public Schools would like to provide community stakeholders with an opportunity to provide meaningful input regarding our district's intent to request permission to administer the ACT in lieu of the statewide assessment.

Please take a moment to answer the following questions regarding Henryetta Public School District's intent to use the ACT as their CCRA selection.

https://forms.gle/zS7QtdAuv7skCcoJA",https://facebook.com/story.php?story_fbid=3166936826693758&id=877925132261617,"DOCS.GOOGLE.COM
2020-2021 CCRA Stakeholder Input Survey",4.0,"In compliance with Section 1111(b)(2)(H) of ESSA, Henryetta Public Schools would like to provide community stakeholders with an opportunity to provide meaningful input regarding our district's intent to request permission to administer the ACT in lieu of the statewide assessment.

Please take a moment to answer the following questions regarding Henryetta Public School District's intent to use the ACT as their CCRA selection.

https://forms.gle/zS7QtdAuv7skCcoJA

DOCS.GOOGLE.COM
2020-2021 CCRA Stakeholder Input Survey",2020-09-11 20:19:17,,
4,0.0,,0.0,https://docs.google.com/forms/d/e/1FAIpQLScMCGwJCEKv4O8JBiuyL93_PQmoCRDgQrKUg7nqnWDDbne8XQ/viewform,3163384043715703,"Menu update for Friday 9/11.
Breakfast/lunch
Cereal, Spaghetti with breadstick, fruit, veggies and milk.
Remember all kids eat free",https://facebook.com/story.php?story_fbid=3163384043715703&id=877925132261617,"DOCS.GOOGLE.COM
HPS Meal Order form",2.0,"Menu update for Friday 9/11.
Breakfast/lunch
Cereal, Spaghetti with breadstick, fruit, veggies and milk.
Remember all kids eat free

DOCS.GOOGLE.COM
HPS Meal Order form",2020-09-10 18:46:16,,
5,1.0,,12.0,,3159732960747478,"Update
September 9, 2020

We regret to inform you that a faculty member and 2 students that participate in extra curricular activities have tested positive for Covid-19. The students, faculty, and staff that were in close contact with these individuals have been notified and mandated to quarantine at home for 14 days. We are following CDC guidelines, protocols set by the State Department of Health and our school district, to decrease potential spread.

Should you have questions or concerns, please don't hesitate to contact our school office at (918) 652-6571.

Kelly Furer
High School Principal",https://facebook.com/story.php?story_fbid=3159732960747478&id=877925132261617,,0.0,"Update
September 9, 2020

We regret to inform you that a faculty member and 2 students that participate in extra curricular activities have tested positive for Covid-19. The students, faculty, and staff that were in close contact with these individuals have been notified and mandated to quarantine at home for 14 days. We are following CDC guidelines, protocols set by the State Department of Health and our school district, to decrease potential spread.

Should you have questions or concerns, please don't hesitate to contact our school office at (918) 652-6571.

Kelly Furer
High School Principal",2020-09-09 12:32:15,,
6,0.0,,10.0,,3156302911090483,"Don't forget to come get your meals today! Please come out even if you forgot to order.
10 to 1130 at the elementary or find a stop that works for you!
Today we are having waffles,hamburger, french fries, fruit, veggies and milk.

Remember all kids currently eat for free!",https://facebook.com/story.php?story_fbid=3156302911090483&id=877925132261617,,0.0,"Don't forget to come get your meals today! Please come out even if you forgot to order.
10 to 1130 at the elementary or find a stop that works for you!
Today we are having waffles,hamburger, french fries, fruit, veggies and milk.

Remember all kids currently eat for free!",2020-09-08 09:34:33,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118940906_3147813848606056_8605419669504008366_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=uITOt3l9dJkAX8QzFhq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3e9ff686ed7df58cb6e97445247a7d10&oe=5F874D9D,0.0,,3147814015272706,,https://facebook.com/story.php?story_fbid=3147814015272706&id=877925132261617,,0.0,,2020-09-05 11:49:19,,
8,0.0,,2.0,http://Www.henryetta.k12.ok.us/,3143008199086621,"Please remember to order meals for Friday!
Www.henryetta.k12.ok.us
Under the cafeteria tab
Remember all children are currently eligible for free meals!",https://facebook.com/story.php?story_fbid=3143008199086621&id=877925132261617,,0.0,"Please remember to order meals for Friday!
Www.henryetta.k12.ok.us
Under the cafeteria tab
Remember all children are currently eligible for free meals!",2020-09-03 21:15:11,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118653717_4353557148020050_4405241284694583956_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=XaNiLyfeeqYAX8zaZMd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ba5ace14c19d9ea5cd9702722d450ee3&oe=5F88AFBD,0.0,,3142002015853906,,https://facebook.com/story.php?story_fbid=3142002015853906&id=877925132261617,"Henryetta Athletics
September 3 at 10:40 AM ·

UPDATE!

We are extending this order until Friday 9-18-20! Please get your orders in!!

Henryetta Athletics department is selling Athletic shirts! You can pick up order forms in the high school office. Order forms and payment are due in the high school office no later than September 11th!",0.0,"Henryetta Athletics
September 3 at 10:40 AM ·

UPDATE!

We are extending this order until Friday 9-18-20! Please get your orders in!!

Henryetta Athletics department is selling Athletic shirts! You can pick up order forms in the high school office. Order forms and payment are due in the high school office no later than September 11th!",2020-09-03 12:40:46,,
10,5.0,,30.0,http://www.henryetta.k12.ok.us/,3139860879401353,"GREAT NEWS FREE MEALS!!!

Starting Sept 1 2020 EVERYONE in our district can eat for free! We are eligible for a different program and it will run through at least November.
So PLEASE participate in our meal program you may choose to pick up at the elementary from 10 to 11:30 or get meals delivered at 1 of our many stops. Please remember only 1 meal bag per child each day. If you could order your meal on our website it would really help in planning each day.
www.henryetta.k12.ok.us under the cafeteria tab
Even though ALL students are currently eligible for free meals we still need families to fill out a lunch application, our school uses this information for funding other than just the lunch program.
If you have ANY questions or need help locating a stop close to you please reach out. Bmcgowin@henryetta.k12.ok.us
918-652-6571 EXT 7763",https://facebook.com/story.php?story_fbid=3139860879401353&id=877925132261617,,0.0,"GREAT NEWS FREE MEALS!!!

Starting Sept 1 2020 EVERYONE in our district can eat for free! We are eligible for a different program and it will run through at least November.
So PLEASE participate in our meal program you may choose to pick up at the elementary from 10 to 11:30 or get meals delivered at 1 of our many stops. Please remember only 1 meal bag per child each day. If you could order your meal on our website it would really help in planning each day.
www.henryetta.k12.ok.us under the cafeteria tab
Even though ALL students are currently eligible for free meals we still need families to fill out a lunch application, our school uses this information for funding other than just the lunch program.
If you have ANY questions or need help locating a stop close to you please reach out. Bmcgowin@henryetta.k12.ok.us
918-652-6571 EXT 7763",2020-09-02 20:11:42,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118560353_3139087152812059_6929604024709035145_o.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=AUzTPyjOj3gAX8R86uv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=132af939adc214ffc8da02975c84d097&oe=5F87549C,4.0,,3139087846145323,We have updated the routes again! Please note a few of the times have changed. Thank you for participating!,https://facebook.com/story.php?story_fbid=3139087846145323&id=877925132261617,,0.0,We have updated the routes again! Please note a few of the times have changed. Thank you for participating!,2020-09-02 13:48:59,,
12,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118766052_3138375949549846_376921822119134002_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=WpzyZ_dGJw0AX9u_33Y&_nc_ht=scontent-atl3-1.xx&tp=14&oh=66273b64dd894a5a58154d346d1128cb&oe=5F867E6E,4.0,,3138376239549817,September Menu,https://facebook.com/story.php?story_fbid=3138376239549817&id=877925132261617,,0.0,September Menu,2020-09-02 08:44:11,,
13,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117112816_199573594843503_1887598094974330752_o.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=FEu5z0Ijkh4AX8ZaFAP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f93d1116899993222b946f016ca05cd1&oe=5F873A98,3.0,,3124727344248040,,https://facebook.com/story.php?story_fbid=3124727344248040&id=877925132261617,"Vanoss JOM
August 5 at 1:14 PM ·

* $500 for Distance Learning, which can help with the purchase of a computer, laptop or etc.
* $50 for purchase of personal protective equipment.
Please check it out Chickasaw students and families!!",6.0,"Vanoss JOM
August 5 at 1:14 PM ·

* $500 for Distance Learning, which can help with the purchase of a computer, laptop or etc.
* $50 for purchase of personal protective equipment.
Please check it out Chickasaw students and families!!",2020-08-28 17:20:30,,
