,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119031603_4410502292353296_6972056812608083393_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=-5sTDdetnlcAX9GutVb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=348066817694d2e2b1a2d5e8f156247e&oe=5F850D37,0.0,http://hes.tridistrict.org/cms/One.aspx?portalId=122080&pageId=126243,4410507882352737,"Please click on the link below to view the up-coming HES BOE Regular Agenda for 9/14/2020.
http://hes.tridistrict.org/cms/One.aspx?portalId=122080&pageId=126243

Highlands Elementary is inviting you to a scheduled Zoom meeting.

Topic: HES Regular board meeting
Time: Sep 14, 2020 06:00 PM Eastern Time (US and Canada)

Join Zoom Meeting
https://us02web.zoom.us/j/82155870042?pwd=MDRNM2pLTktVVDh6clMwNVFPbkhHUT09

Meeting ID: 821 5587 0042
Passcode: 6BB2mt",https://facebook.com/story.php?story_fbid=4410507882352737&id=177511888985712,,0.0,"Please click on the link below to view the up-coming HES BOE Regular Agenda for 9/14/2020.
http://hes.tridistrict.org/cms/One.aspx?portalId=122080&pageId=126243

Highlands Elementary is inviting you to a scheduled Zoom meeting.

Topic: HES Regular board meeting
Time: Sep 14, 2020 06:00 PM Eastern Time (US and Canada)

Join Zoom Meeting
https://us02web.zoom.us/j/82155870042?pwd=MDRNM2pLTktVVDh6clMwNVFPbkhHUT09

Meeting ID: 821 5587 0042
Passcode: 6BB2mt",2020-09-11 17:34:10,,
1,0.0,,16.0,,4394171723986353,"First Day Update: Thank you to all of our wonderful students, parents and staff for a very successful first day of school. We had our halls and classrooms graced with many happy students and the positivity could be felt throughout the building.

Just an update on Dismissal Doors:

Door # 1 (Main Entrance) - PreK Ms. Prosser & PreK Ms. Arbore at 12:15; Mrs. Golembiewski & Mrs. Montana at 12:20

Door #2 (Left of the Main Entrance) - Gr. 4 Mrs. McBain at 12:15; Gr. K Mrs. Ciafardini at 12:20,

Door # 5 (Hill) - Gr. 6 Mr. Mahoney & Mr. Tariff at 12:15; Gr. 3 Mrs. Cusson at 12:20

Door # 7 (Flagpole) - Gr. 5 Miss Lebel at 12:15; Gr. 1 Mrs. Tariff at 12:20

Door # 8 (Highway 36) - Gr. 2 Ms. Culp at 12:15; Gr. 2 Ms. Kelly at 12:20

Have a great Highlands Night!",https://facebook.com/story.php?story_fbid=4394171723986353&id=177511888985712,,0.0,"First Day Update: Thank you to all of our wonderful students, parents and staff for a very successful first day of school. We had our halls and classrooms graced with many happy students and the positivity could be felt throughout the building.

Just an update on Dismissal Doors:

Door # 1 (Main Entrance) - PreK Ms. Prosser & PreK Ms. Arbore at 12:15; Mrs. Golembiewski & Mrs. Montana at 12:20

Door #2 (Left of the Main Entrance) - Gr. 4 Mrs. McBain at 12:15; Gr. K Mrs. Ciafardini at 12:20,

Door # 5 (Hill) - Gr. 6 Mr. Mahoney & Mr. Tariff at 12:15; Gr. 3 Mrs. Cusson at 12:20

Door # 7 (Flagpole) - Gr. 5 Miss Lebel at 12:15; Gr. 1 Mrs. Tariff at 12:20

Door # 8 (Highway 36) - Gr. 2 Ms. Culp at 12:15; Gr. 2 Ms. Kelly at 12:20

Have a great Highlands Night!",2020-09-08 15:00:40,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119127436_4393674467369412_7203940986562128584_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=vooAEyXvHe4AX8mT0hx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f0e81e7d4c6a11f6893fb9819fc1ae59&oe=5F81EE2E,1.0,https://docs.google.com/spreadsheets/d/1hQxmlqwDanjPTjl0ubNNbD2aeQSc6o0_SGSzqNMCT50/edit#gid=0,4393679717368887,"HIGHLANDS ELEMENTARY VIRTUAL LEARNER LUNCH PRE-ORDER F
THIS FORM IS TO BE USED ONLY BY PARENTS/ GUARDIANS OF STUDENTS ENROLLED IN HES COMPLETE REMOTE LEARNING
THIS FORM IS DUE EVERY MONDAY BY 3:00PM
SEPTEMBER 8TH- NOVEMBER 2ND MENU
ORDERING/ PICK UP INSTRUCTIONS
Virtual Learner meal pick up will be at HES on Monday's and Thursday's, 12:30pm-2:30pm
If school is closed on Monday, the pick up will be scheduled for the following Tuesday.
Please use this pre-order form to place your orders for the week (Link below).
https://docs.google.com/spreadsheets/d/1hQxmlqwDanjPTjl0ubNNbD2aeQSc6o0_SGSzqNMCT50/edit#gid=0
Lunch for Monday, Tuesday, and Wednesday will be distributed on Monday. The options are shown under Monday on the menu.
Lunch for Thursday and Friday will be distributed on Thursday. The options are shown under Thursday on the menu.
If pick up is scheduled for Tuesday instead of Monday, there will be two lunch options available.
If you have any questions, please email Jessica at jnasto@maschiofood.com",https://facebook.com/story.php?story_fbid=4393679717368887&id=177511888985712,,0.0,"HIGHLANDS ELEMENTARY VIRTUAL LEARNER LUNCH PRE-ORDER F
THIS FORM IS TO BE USED ONLY BY PARENTS/ GUARDIANS OF STUDENTS ENROLLED IN HES COMPLETE REMOTE LEARNING
THIS FORM IS DUE EVERY MONDAY BY 3:00PM
SEPTEMBER 8TH- NOVEMBER 2ND MENU
ORDERING/ PICK UP INSTRUCTIONS
Virtual Learner meal pick up will be at HES on Monday's and Thursday's, 12:30pm-2:30pm
If school is closed on Monday, the pick up will be scheduled for the following Tuesday.
Please use this pre-order form to place your orders for the week (Link below).
https://docs.google.com/spreadsheets/d/1hQxmlqwDanjPTjl0ubNNbD2aeQSc6o0_SGSzqNMCT50/edit#gid=0
Lunch for Monday, Tuesday, and Wednesday will be distributed on Monday. The options are shown under Monday on the menu.
Lunch for Thursday and Friday will be distributed on Thursday. The options are shown under Thursday on the menu.
If pick up is scheduled for Tuesday instead of Monday, there will be two lunch options available.
If you have any questions, please email Jessica at jnasto@maschiofood.com",2020-09-08 12:57:14,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119060709_4393536694049856_7228991972147843473_n.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=uHBvqrE-oT4AX_fsqZ0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6f5cffbe8ed4dfada1def0108dfa30b5&oe=5F8552A8,7.0,https://tridistrict.on.spiceworks.com/portal/tickets,4393557964047729,"If any students need help with their devices whether virtually or in-person, help is only a click away. Please click on the link below to the Tri-District Tech Ticket System, and provide the necessary information, and a representative from the Tri-District will assist you. Please be patient, as there may be many people being attended to at once. Thank you and have a great Highlands Day!
https://tridistrict.on.spiceworks.com/portal/tickets",https://facebook.com/story.php?story_fbid=4393557964047729&id=177511888985712,,0.0,"If any students need help with their devices whether virtually or in-person, help is only a click away. Please click on the link below to the Tri-District Tech Ticket System, and provide the necessary information, and a representative from the Tri-District will assist you. Please be patient, as there may be many people being attended to at once. Thank you and have a great Highlands Day!
https://tridistrict.on.spiceworks.com/portal/tickets",2020-09-08 12:27:23,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119018113_4392714590798733_6080862280813918089_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=jnuUglI4-JgAX_oA3Ba&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c0ea6d2f1f385f83180809d60c033d77&oe=5F843474,3.0,http://hes.tridistrict.org/UserFiles/Servers/Server_121995/Image/Administration/Calendar/HES%202020-2021%20Virtual%20Calendar%20(FINAL)%20for%20BOE%20Approval.pdf,4392714810798711,"Just some reminders from HES...
1) In person learning is scheduled for Mondays, Tuesdays, Thursdays, and Fridays from 8:15 to 12:15 PM (Virtual Learners at Home will be in the PM on these days)
2) Wednesdays are Virtual Learning for ALL STUDENTS (Teachers will provided scheduling)
3) Students should not be dropped off before 8:05 am (There is no supervision until 8:05).
4) The updated ""Virtual Calendar"" can be found on our website. The link has been provided below.
http://hes.tridistrict.org/UserFiles/Servers/Server_121995/Image/Administration/Calendar/HES%202020-2021%20Virtual%20Calendar%20(FINAL)%20for%20BOE%20Approval.pdf",https://facebook.com/story.php?story_fbid=4392714810798711&id=177511888985712,,0.0,"Just some reminders from HES...
1) In person learning is scheduled for Mondays, Tuesdays, Thursdays, and Fridays from 8:15 to 12:15 PM (Virtual Learners at Home will be in the PM on these days)
2) Wednesdays are Virtual Learning for ALL STUDENTS (Teachers will provided scheduling)
3) Students should not be dropped off before 8:05 am (There is no supervision until 8:05).
4) The updated ""Virtual Calendar"" can be found on our website. The link has been provided below.
http://hes.tridistrict.org/UserFiles/Servers/Server_121995/Image/Administration/Calendar/HES%202020-2021%20Virtual%20Calendar%20(FINAL)%20for%20BOE%20Approval.pdf",2020-09-08 09:14:03,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118800318_4388781517858707_1007067514629235736_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=6OT_7zb5d6wAX-7Bg-A&_nc_ht=scontent-atl3-1.xx&tp=14&oh=14d94a1be8becc0328ce224bb609a26d&oe=5F856D8D,15.0,,4388806721189520,,https://facebook.com/story.php?story_fbid=4388806721189520&id=177511888985712,,0.0,,2020-09-07 13:44:23,,
6,0.0,,2.0,http://web-extract.constantcontact.com/v1/social_annotation_v2?permalink_uri=https%3A%2F%2Fmyemail.constantcontact.com%2FFood-Services-Info-for-HES.html%3Fsoid%3D1125707315165%26aid%3DUUW-4Dt71Yk&image_url=https%3A%2F%2Fmlsvc01-prod.s3.amazonaws.com%2Fdd772691601%2Fb31d9cbb-c67d-4910-a683-256d8ec27493.jpg%3Fver%3D1598915152000,4387878707948988,Food Services Info for HES,https://facebook.com/story.php?story_fbid=4387878707948988&id=177511888985712,"WEB-EXTRACT.CONSTANTCONTACT.COM
Food Services Info for HES",0.0,"Food Services Info for HES

WEB-EXTRACT.CONSTANTCONTACT.COM
Food Services Info for HES",2020-09-07 10:03:59,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118791979_4368425126561013_342247834428352179_n.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=OiDoc1eHIvEAX87L8V9&_nc_ht=scontent-atl3-1.xx&tp=14&oh=672e2c5976ebbd4da13c1bd7b8e44e75&oe=5F8563DD,1.0,https://us02web.zoom.us/j/82013035365?pwd=YThJcHd4cnE1NUNINDJqMnE1TjVRQT09,4368425799894279,"If you would like to view the up-coming BOE Regular Meeting on 9/03/2020, please utilize the Zoom Log-in information below...

Topic: HES Committee of the Whole Board Meeting
Time: Sep 3, 2020 06:00 PM Eastern Time (US and Canada)
Join Zoom Meeting
https://us02web.zoom.us/j/82013035365?pwd=YThJcHd4cnE1NUNINDJqMnE1TjVRQT09

Meeting ID: 820 1303 5365
Passcode: C8m82h",https://facebook.com/story.php?story_fbid=4368425799894279&id=177511888985712,,0.0,"If you would like to view the up-coming BOE Regular Meeting on 9/03/2020, please utilize the Zoom Log-in information below...

Topic: HES Committee of the Whole Board Meeting
Time: Sep 3, 2020 06:00 PM Eastern Time (US and Canada)
Join Zoom Meeting
https://us02web.zoom.us/j/82013035365?pwd=YThJcHd4cnE1NUNINDJqMnE1TjVRQT09

Meeting ID: 820 1303 5365
Passcode: C8m82h",2020-09-03 11:50:59,,
8,0.0,,0.0,http://web-extract.constantcontact.com/v1/social_annotation_v2?permalink_uri=https%3A%2F%2Fmyemail.constantcontact.com%2FFood-Services-Info-for-HES.html%3Fsoid%3D1125707315165%26aid%3DUUW-4Dt71Yk&image_url=https%3A%2F%2Fmlsvc01-prod.s3.amazonaws.com%2Fdd772691601%2Ffd470cd4-0502-452c-8e2a-07c21a9c713f.png%3Fver%3D1598915845000,4362606520476207,Food Services Info for HES,https://facebook.com/story.php?story_fbid=4362606520476207&id=177511888985712,"WEB-EXTRACT.CONSTANTCONTACT.COM
Food Services Info for HES",0.0,"Food Services Info for HES

WEB-EXTRACT.CONSTANTCONTACT.COM
Food Services Info for HES",2020-09-02 10:04:31,,
9,0.0,,0.0,https://www.njschooljobs.com/job/mcm95t/instructional-aide/highlands/nj,4362529970483862,,https://facebook.com/story.php?story_fbid=4362529970483862&id=177511888985712,"NJSCHOOLJOBS.COM
Instructional Aide at Highlands Elementary School - Highlands, NJ",0.0,"NJSCHOOLJOBS.COM
Instructional Aide at Highlands Elementary School - Highlands, NJ",2020-09-02 09:46:06,,
