,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,https://docs.google.com/document/d/1MLoYgnYGjEzLZuj5OEprezNhNxAkZaMy2a4L_oIAkF8/edit?usp=sharing,1780290035452221,"Hill City Grade School Parents,
I apologize if there has been any confusion at drop-off in the mornings. The front door opens at 7:30 am. The two other entrances open at 7:45 am. Please note the highlighted information on the updated parent letter.
Thanks, Mr. Granberry https://docs.google.com/document/d/1MLoYgnYGjEzLZuj5OEprezNhNxAkZaMy2a4L_oIAkF8/edit?usp=sharing",https://facebook.com/story.php?story_fbid=1780290035452221&id=1105719886242576,"DOCS.GOOGLE.COM
20-21 Parent Info letter",0.0,"Hill City Grade School Parents,
I apologize if there has been any confusion at drop-off in the mornings. The front door opens at 7:30 am. The two other entrances open at 7:45 am. Please note the highlighted information on the updated parent letter.
Thanks, Mr. Granberry https://docs.google.com/document/d/1MLoYgnYGjEzLZuj5OEprezNhNxAkZaMy2a4L_oIAkF8/edit?usp=sharing

DOCS.GOOGLE.COM
20-21 Parent Info letter",2020-08-31 22:36:48,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118761880_1779692942178597_8756716708323975291_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=GhwGhocv7OwAX-JxOqn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f727798c64b43318695f146bd9a96ca1&oe=5F832D1E,22.0,,1779696805511544,"Thank you to our first sponsors, Brian and Kay Mitchell! Their generous donation allowed for each 4th grader to go home with a new book on Friday!",https://facebook.com/story.php?story_fbid=1779696805511544&id=1105719886242576,,0.0,"Thank you to our first sponsors, Brian and Kay Mitchell! Their generous donation allowed for each 4th grader to go home with a new book on Friday!",2020-08-31 09:00:02,,
2,0.0,,10.0,,1775177649296793,The sensory path is a hit! Thank you PTO!! It is so good to have these kids here.,,,0.0,The sensory path is a hit! Thank you PTO!! It is so good to have these kids here.,2020-08-26 17:42:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118446071_630860894237519_8924690888706429825_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=xrqQaOnbk2IAX_MXCLt&_nc_ht=video-atl3-1.xx&oh=a233ae82cc7c8fcbf69e7109d9f8bd3a&oe=5F5D1422,
3,2.0,,6.0,,1773528806128344,"HCGS Parents,
It was wonderful to see all of the students and have them back in the building today. The teachers and I are excited for another great year as well. Just a quick note for tomorrow... Parents, please talk with your student/s in the morning and discuss where you will meet when school lets out. Since we are using several exits, students may be confused on where they are to meet-up with parents at the end of the day.
Thanks,
Mr. Granberry",https://facebook.com/story.php?story_fbid=1773528806128344&id=1105719886242576,,0.0,"HCGS Parents,
It was wonderful to see all of the students and have them back in the building today. The teachers and I are excited for another great year as well. Just a quick note for tomorrow... Parents, please talk with your student/s in the morning and discuss where you will meet when school lets out. Since we are using several exits, students may be confused on where they are to meet-up with parents at the end of the day.
Thanks,
Mr. Granberry",2020-08-24 23:17:36,,
4,0.0,,1.0,,1769019293245962,,https://facebook.com/story.php?story_fbid=1769019293245962&id=1105719886242576,"Kiley Marcotte‎Hill City Grade School PTO
August 20 at 7:56 AM ·

Hill City PTO still collects Box Tops! We use the proceeds for our many projects to benefit Hill City Grade School staff and students. Look for informational Box Top flyers in your child's book bag within the first week of school! Our first collection date this year will be October 23rd...However, we will accept unexpired Box Tops at any time throughout the year! Thank you for all you do!",0.0,"Kiley Marcotte‎Hill City Grade School PTO
August 20 at 7:56 AM ·

Hill City PTO still collects Box Tops! We use the proceeds for our many projects to benefit Hill City Grade School staff and students. Look for informational Box Top flyers in your child's book bag within the first week of school! Our first collection date this year will be October 23rd...However, we will accept unexpired Box Tops at any time throughout the year! Thank you for all you do!",2020-08-20 08:57:55,,
5,0.0,,5.0,https://www.getepic.com/learn/introducing-epic-free/,1768331026648122,"Parents,

I wanted to post this for all families. If you are looking for online reading resources, EPIC! is a great choice. Please check it out.

https://www.getepic.com/learn/introducing-epic-free/.

“Epic! - A digital reading platform for kids 12 and under. It has 40,000 books, audiobooks, learning videos, quizzes, more. Both English and Spanish books available.”",https://facebook.com/story.php?story_fbid=1768331026648122&id=1105719886242576,"GETEPIC.COM
Introducing Epic Free | digital kids books | Ages 12 & under | Epic",4.0,"Parents,

I wanted to post this for all families. If you are looking for online reading resources, EPIC! is a great choice. Please check it out.

https://www.getepic.com/learn/introducing-epic-free/.

“Epic! - A digital reading platform for kids 12 and under. It has 40,000 books, audiobooks, learning videos, quizzes, more. Both English and Spanish books available.”

GETEPIC.COM
Introducing Epic Free | digital kids books | Ages 12 & under | Epic",2020-08-19 14:30:27,,
6,0.0,,3.0,https://docs.google.com/document/d/1MLoYgnYGjEzLZuj5OEprezNhNxAkZaMy2a4L_oIAkF8/edit?usp=sharing,1767309936750231,"HCGS Parents,
Please see the attached document for changes in procedures we are making at the grade school this year.

https://docs.google.com/document/d/1MLoYgnYGjEzLZuj5OEprezNhNxAkZaMy2a4L_oIAkF8/edit?usp=sharing",https://facebook.com/story.php?story_fbid=1767309936750231&id=1105719886242576,"DOCS.GOOGLE.COM
20-21 Parent Info letter",8.0,"HCGS Parents,
Please see the attached document for changes in procedures we are making at the grade school this year.

https://docs.google.com/document/d/1MLoYgnYGjEzLZuj5OEprezNhNxAkZaMy2a4L_oIAkF8/edit?usp=sharing

DOCS.GOOGLE.COM
20-21 Parent Info letter",2020-08-18 13:46:49,,
7,0.0,,5.0,https://bit.ly/31i5MTl,1754217458059479,"To USD 281 Graham County Schools parents/guardians, and community members: Below is a link to the USD 281 COVID-19 plan that has been approved by the USD 281 Board of Education.

https://bit.ly/31i5MTl",https://facebook.com/story.php?story_fbid=1754217458059479&id=1105719886242576,"DOCS.GOOGLE.COM
USD 281 COVID-19 Plan",10.0,"To USD 281 Graham County Schools parents/guardians, and community members: Below is a link to the USD 281 COVID-19 plan that has been approved by the USD 281 Board of Education.

https://bit.ly/31i5MTl

DOCS.GOOGLE.COM
USD 281 COVID-19 Plan",2020-08-04 13:24:54,,
8,0.0,,0.0,,1753393784808513,,https://facebook.com/story.php?story_fbid=1753393784808513&id=1105719886242576,"Hill City Grade School
August 3 at 4:14 PM ·

To all USD 281 parents/guardians: Dale Deighton will be hosting a question and answer session regarding the upcoming school year. This event will be held in Tebo Auditorium at Hill City Junior/Senior High School this Thursday, August 6th at 7:00 pm. All parents are invited to attend.",0.0,"Hill City Grade School
August 3 at 4:14 PM ·

To all USD 281 parents/guardians: Dale Deighton will be hosting a question and answer session regarding the upcoming school year. This event will be held in Tebo Auditorium at Hill City Junior/Senior High School this Thursday, August 6th at 7:00 pm. All parents are invited to attend.",2020-08-03 17:47:24,,
9,0.0,,0.0,,,"To all USD 281 parents/guardians: Dale Deighton will be hosting a question and answer session regarding the upcoming school year. This event will be held in Tebo Auditorium at Hill City Junior/Senior High School this Thursday, August 6th at 7:00 pm. All parents are invited to attend.",https://facebook.com/story.php?story_fbid=1753375754810316&id=1105719886242576,,0.0,"To all USD 281 parents/guardians: Dale Deighton will be hosting a question and answer session regarding the upcoming school year. This event will be held in Tebo Auditorium at Hill City Junior/Senior High School this Thursday, August 6th at 7:00 pm. All parents are invited to attend.",2020-09-12 12:16:31.764461,,
