,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,5.0,,2812965855454336,"Hello, HVM Families!

We just received an update from Haverhill School District. Due to popular demand, Haverhill School District is adding another free grab-n-go meal distribution location.

Starting tomorrow, Wednesday, March 18th, bagged breakfasts / lunches will also be available at Hunking School as well as the other previously listed sites.

As a reminder, here the five locations where HVM families may stop by and receive free breakfasts and lunches for anyone between the ages of 1-18.

Hunking School - 11:00 am to 1:00
Consentino School - 11:00 am to 1:00 pm
Nettle School - 11:00 am to 1:00 pm
Haverhill YMCA - 11:00 am to 1:00 pm
Haverhill Boys & Girls Club - 11:00 am to 1:00 pm
Please take care, stay safe, wash those hands with soap and water, and practice physical distancing!

Para traducir, copie y pegue este mensaje en Google Translate
لترجمة هذه الرسالة ونسخها ولصقها في الترجمة من Google
Για να μεταφράσετε, αντιγράψτε και επικολλήστε αυτό το μήνυμα στο Google Translate
Чтобы перевести, скопируйте и вставьте это сообщение в Google Translate",https://facebook.com/story.php?story_fbid=2812965855454336&id=176578695759745,,0.0,"Hello, HVM Families!

We just received an update from Haverhill School District. Due to popular demand, Haverhill School District is adding another free grab-n-go meal distribution location.

Starting tomorrow, Wednesday, March 18th, bagged breakfasts / lunches will also be available at Hunking School as well as the other previously listed sites.

As a reminder, here the five locations where HVM families may stop by and receive free breakfasts and lunches for anyone between the ages of 1-18.

Hunking School - 11:00 am to 1:00
Consentino School - 11:00 am to 1:00 pm
Nettle School - 11:00 am to 1:00 pm
Haverhill YMCA - 11:00 am to 1:00 pm
Haverhill Boys & Girls Club - 11:00 am to 1:00 pm
Please take care, stay safe, wash those hands with soap and water, and practice physical distancing!

Para traducir, copie y pegue este mensaje en Google Translate
لترجمة هذه الرسالة ونسخها ولصقها في الترجمة من Google
Για να μεταφράσετε, αντιγράψτε και επικολλήστε αυτό το μήνυμα στο Google Translate
Чтобы перевести, скопируйте и вставьте это сообщение в Google Translate",2020-03-17 15:15:14,,
1,0.0,,8.0,,2804131059671149,"Due to the ongoing Coronavirus situation, Hill View Montessori is going to exercise extreme caution. As a result, HVM will be closed for the next two weeks, beginning on Monday March 16th. We will remain closed at least until TUESDAY, APRIL 7th. We will provide families with updates as they become available. If you have any questions, please do not hesitate to contact our Executive Director, Phil Arnold at parnold@hvmcps.org",https://facebook.com/story.php?story_fbid=2804131059671149&id=176578695759745,,0.0,"Due to the ongoing Coronavirus situation, Hill View Montessori is going to exercise extreme caution. As a result, HVM will be closed for the next two weeks, beginning on Monday March 16th. We will remain closed at least until TUESDAY, APRIL 7th. We will provide families with updates as they become available. If you have any questions, please do not hesitate to contact our Executive Director, Phil Arnold at parnold@hvmcps.org",2020-03-13 14:48:57,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89475337_2802063276544594_5493660675102212096_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=tgVXXaq1MfIAX_lkEnh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b726b9a83cc1a8d81944d15cca07a358&oe=5F84EF81,1.0,,2802071646543757,,https://facebook.com/story.php?story_fbid=2802071646543757&id=176578695759745,"Hill View Montessori Charter Public School
March 12 at 3:12 PM ·",2.0,"Hill View Montessori Charter Public School
March 12 at 3:12 PM ·",2020-03-12 15:17:57,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89383089_2802067346544187_5437437543152877568_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=5gV8k0Ty2doAX8M_UF6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f3c4421a770e46d033b95a779a00a184&oe=5F82E211,1.0,,2802067623210826,,https://facebook.com/story.php?story_fbid=2802067623210826&id=176578695759745,,0.0,,2020-03-12 15:15:13,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/89475337_2802063276544594_5493660675102212096_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=tgVXXaq1MfIAX_lkEnh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b726b9a83cc1a8d81944d15cca07a358&oe=5F84EF81,6.0,,2802063443211244,,https://facebook.com/story.php?story_fbid=2802063443211244&id=176578695759745,,0.0,,2020-03-12 15:12:40,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/88363978_2795521557198766_179372389925126144_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=b8NM2Uc0vusAX_HxLiE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5aaf1c18791fc770a170553e94cb9416&oe=5F837A4C,0.0,,2795524793865109,Untapped History Tour for 4Another of the limited live auction items at Rock n Roll Bingo on March 21!,https://facebook.com/story.php?story_fbid=2795524793865109&id=176578695759745,,0.0,Untapped History Tour for 4Another of the limited live auction items at Rock n Roll Bingo on March 21!,2020-03-09 13:34:54,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/87803973_2795494467201475_1201019614994104320_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=1VZNxCvQ_gwAX98fhbK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fb4ab4224e02fac2255d5a62dedb7480&oe=5F8234FB,0.0,,2795515730532682,Another of the few Rock n Roll Bingo live auction items! How about an Untapped History tour for four?,https://facebook.com/story.php?story_fbid=2795515730532682&id=176578695759745,"Hill View Montessori Charter Public School
March 9 at 1:21 PM ·

How about an Untapped History tour for four? Bid on it at our Rock n Roll Bingo event on Sat, March 21! Event tickets are $35 until March 15, $40 after. Rock with us!",0.0,"Another of the few Rock n Roll Bingo live auction items! How about an Untapped History tour for four?

Hill View Montessori Charter Public School
March 9 at 1:21 PM ·

How about an Untapped History tour for four? Bid on it at our Rock n Roll Bingo event on Sat, March 21! Event tickets are $35 until March 15, $40 after. Rock with us!",2020-03-09 13:29:15,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/87803973_2795494467201475_1201019614994104320_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=1VZNxCvQ_gwAX98fhbK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fb4ab4224e02fac2255d5a62dedb7480&oe=5F8234FB,0.0,,2795502283867360,"How about an Untapped History tour for four? Bid on it at our Rock n Roll Bingo event on Sat, March 21! Event tickets are $35 until March 15, $40 after. Rock with us!",https://facebook.com/story.php?story_fbid=2795502283867360&id=176578695759745,,0.0,"How about an Untapped History tour for four? Bid on it at our Rock n Roll Bingo event on Sat, March 21! Event tickets are $35 until March 15, $40 after. Rock with us!",2020-03-09 13:21:09,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/88151920_2789351491149106_8606732531217203200_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=Dh9jmiDCeOQAX_1UhiU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4a143b1ae840eff433288f3bde88e497&oe=5F81AB10,2.0,,2789352071149048,Come rock with us!!,https://facebook.com/story.php?story_fbid=2789352071149048&id=176578695759745,,0.0,Come rock with us!!,2020-03-06 15:40:44,,
9,0.0,,2.0,https://www.hillviewmontessori.org/,2756476967769892,"Hello, HVM Families!

Hill View Montessori Foundation's Rock 'n Roll Bingo fundraiser will be taking place on Saturday, March 21st, beginning at 6:30 (doors open at 5:45!).

Everyone is welcome - please share this with your family, friends, neighbors, and co-workers! (Adults only, please)

This promises to be such a special event, filled with great music, delicious food, fun games, a live auction, and opportunities to sing along to some of your favorite songs!

You can order your tickets now and pay for them later simply by going to the HVM website [click this link]:

https://www.hillviewmontessori.org/

Even if you are not planning to attend, you can still order a ticket for your favorite HVM teacher or staff member!

We will contact you to make arrangements for you to send in a cash or check payment or we can provide you with a link to the Foundation's online payment site.

Please plan to join HVM parents, teachers, staff, Foundation members, and Trustees at this super fun event!

Questions? Please contact: tickets@hvmcps.org",https://facebook.com/story.php?story_fbid=2756476967769892&id=176578695759745,"HOME | Hvmschool

HOME | Hvmschool

HOME | Hvmschool

HOME | Hvmschool

HOME | Hvmschool

See more at
hillviewmontessori.org",0.0,"Hello, HVM Families!

Hill View Montessori Foundation's Rock 'n Roll Bingo fundraiser will be taking place on Saturday, March 21st, beginning at 6:30 (doors open at 5:45!).

Everyone is welcome - please share this with your family, friends, neighbors, and co-workers! (Adults only, please)

This promises to be such a special event, filled with great music, delicious food, fun games, a live auction, and opportunities to sing along to some of your favorite songs!

You can order your tickets now and pay for them later simply by going to the HVM website [click this link]:

https://www.hillviewmontessori.org/

Even if you are not planning to attend, you can still order a ticket for your favorite HVM teacher or staff member!

We will contact you to make arrangements for you to send in a cash or check payment or we can provide you with a link to the Foundation's online payment site.

Please plan to join HVM parents, teachers, staff, Foundation members, and Trustees at this super fun event!

Questions? Please contact: tickets@hvmcps.org

HOME | Hvmschool

HOME | Hvmschool

HOME | Hvmschool

HOME | Hvmschool

HOME | Hvmschool

See more at
hillviewmontessori.org",2020-02-19 21:35:58,,
