,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119036410_4447038348702336_6980761533145861769_o.jpg?_nc_cat=105&_nc_sid=e007fa&_nc_ohc=HUWY7Dx7Ao8AX8rYhbN&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f264700dca13ce93660834d545ec0fd4&oe=5F84432C,120.0,,,,,,0.0,,2020-09-11 17:48:41,,
1,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119160924_4445054482234056_8260943610219943909_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=aTBY7zfiLugAX-hUpQl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=55fd0fad7df2c4b188eb72ee8d52d99c&oe=5F851BEE,102.0,,4445064885566349,"HUGE THANKS go out to two of our local Valatie churches – First Presbyterian Church of Valatie and St. John the Baptist Roman Catholic Church in Valatie NY – for their recent donation of the school supplies you see below!

These supplies will be available for the Primary, Middle and High School students who need them. Thank you again to both churches for being such generous members of the school district community!",https://facebook.com/story.php?story_fbid=4445064885566349&id=586987914707418,,0.0,"HUGE THANKS go out to two of our local Valatie churches – First Presbyterian Church of Valatie and St. John the Baptist Roman Catholic Church in Valatie NY – for their recent donation of the school supplies you see below!

These supplies will be available for the Primary, Middle and High School students who need them. Thank you again to both churches for being such generous members of the school district community!",2020-09-11 10:28:00,,
2,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118889262_4436445999761571_6449322926838963706_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=iTN_XC2vb9sAX-TCcxQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=31273f04fee52bfa7238f557bcfb71e8&oe=5F83CE4A,198.0,,4436497336423104,"It was the first day back for some of our Primary School Lil' Riders! While there were many new precautions in place to keep them all safe, the students didn't seem to mind and followed the rules. Here's some of them participating in their socially distanced activities (and during one of their mask breaks). Plus, you'll see a picture of our new PS Music Teacher - Ms.Faure - with her groovy traveling musical cart!",https://facebook.com/story.php?story_fbid=4436497336423104&id=586987914707418,,0.0,"It was the first day back for some of our Primary School Lil' Riders! While there were many new precautions in place to keep them all safe, the students didn't seem to mind and followed the rules. Here's some of them participating in their socially distanced activities (and during one of their mask breaks). Plus, you'll see a picture of our new PS Music Teacher - Ms.Faure - with her groovy traveling musical cart!",2020-09-09 16:08:00,,
3,2.0,,8.0,https://www.ichabodcrane.org/2020/09/08/learning-device-pick-up-dates-internet-availability/,4435298023209702,"A reminder that student learning device (Chromebooks, laptops) pick-up continues until 4 PM today (Sept. 9) with grades 6-8 and runs through the rest of the week.

Any grade 4-12 students who couldn't pick-up on their day this week can come on Friday, September 11. Full information is on our website below.",https://facebook.com/story.php?story_fbid=4435298023209702&id=586987914707418,"ICHABODCRANE.ORG
Learning Device Pick-Up Dates & Internet Assistance | Ichabod Crane Central School District",6.0,"A reminder that student learning device (Chromebooks, laptops) pick-up continues until 4 PM today (Sept. 9) with grades 6-8 and runs through the rest of the week.

Any grade 4-12 students who couldn't pick-up on their day this week can come on Friday, September 11. Full information is on our website below.

ICHABODCRANE.ORG
Learning Device Pick-Up Dates & Internet Assistance | Ichabod Crane Central School District",2020-09-09 12:02:03,,
4,0.0,,11.0,https://www.ichabodcrane.org/2020/09/08/important-2020-2021-transportation-information/,4434814886591349,"As we begin welcoming some students back today, a reminder to download the free Traversa Ride 360 App for real-time bus arrival/departure information. Full steps to register your Ichabod student using their Student ID Number (and how K-3 families can find their ID Number) at the link below.

The Ride 360 app gives you the most up-to-date information about bus times, even if buses are running a little ahead of or behind schedule!",https://facebook.com/story.php?story_fbid=4434814886591349&id=586987914707418,"ICHABODCRANE.ORG
Important 2020-2021 Transportation Information | Ichabod Crane Central School District",7.0,"As we begin welcoming some students back today, a reminder to download the free Traversa Ride 360 App for real-time bus arrival/departure information. Full steps to register your Ichabod student using their Student ID Number (and how K-3 families can find their ID Number) at the link below.

The Ride 360 app gives you the most up-to-date information about bus times, even if buses are running a little ahead of or behind schedule!

ICHABODCRANE.ORG
Important 2020-2021 Transportation Information | Ichabod Crane Central School District",2020-09-09 09:30:00,,
5,1.0,,13.0,https://tinyurl.com/y5b5yzmz,4431387550267416,"Three quick bits of information/reminders for our PRIMARY SCHOOL FAMILIES:

1. Going forward, Primary parents will need to fill out the Online Parent Pick-Up Form linked below. Forms MUST be submitted by 12:00 PM on the day of pick-up. Email Ms. Hodges in the Primary Main Office at khodges@ichabodcrane.org with questions.
2. In case you missed the Welcome Back Letter from our Primary School Principal – Ms. Williams – that was recently mailed to K-3 families you can find it at https://tinyurl.com/y5b5yzmz
3. If your student doesn't have their teacher assignment, please contact Ms. First in the PS Main Office as soon as possible via email cfirst@ichabodcrane.org",https://facebook.com/story.php?story_fbid=4431387550267416&id=586987914707418,"ICHABODCRANE.ORG
Primary School Online Parent Pick-Up Form | Ichabod Crane Central School District",5.0,"Three quick bits of information/reminders for our PRIMARY SCHOOL FAMILIES:

1. Going forward, Primary parents will need to fill out the Online Parent Pick-Up Form linked below. Forms MUST be submitted by 12:00 PM on the day of pick-up. Email Ms. Hodges in the Primary Main Office at khodges@ichabodcrane.org with questions.
2. In case you missed the Welcome Back Letter from our Primary School Principal – Ms. Williams – that was recently mailed to K-3 families you can find it at https://tinyurl.com/y5b5yzmz
3. If your student doesn't have their teacher assignment, please contact Ms. First in the PS Main Office as soon as possible via email cfirst@ichabodcrane.org

ICHABODCRANE.ORG
Primary School Online Parent Pick-Up Form | Ichabod Crane Central School District",2020-09-08 16:27:00,,
6,3.0,,70.0,https://www.ichabodcrane.org/2020/09/02/welcome-to-our-new-icc-staff-members/,4401511219921716,"We are happy to welcome a great group of new educators and staff to Ichabod Crane this year! Check out the newest Riders in the Ichabod Crane family below.*

*You’ll notice a couple of familiar faces who are taking on new roles, so we thought they deserved to be included too!",https://facebook.com/story.php?story_fbid=4401511219921716&id=586987914707418,"ICHABODCRANE.ORG
Welcome to Our New ICC Staff Members! | Ichabod Crane Central School District",4.0,"We are happy to welcome a great group of new educators and staff to Ichabod Crane this year! Check out the newest Riders in the Ichabod Crane family below.*

*You’ll notice a couple of familiar faces who are taking on new roles, so we thought they deserved to be included too!

ICHABODCRANE.ORG
Welcome to Our New ICC Staff Members! | Ichabod Crane Central School District",2020-09-03 11:02:02,,
7,0.0,,3.0,https://www.ichabodcrane.org/2020/08/26/k-3-device-needs-survey-due-august-31/,4384528771619961,"In Case You Missed It: K-3 Device Re-Survey Due August 31

If haven't already, please fill out the Primary School's K-3 Device Re-Survey emailed last week. If you did not receive the survey please contact Primary School Principal – Andrea Williams – ASAP at awilliams@ichabodcrane.org

Due to the nationwide shortage of Chromebooks, the Primary School is re-surveying K-3 families to determine which students are in need* of a district device to access remote learning in the 2020-2021 school year. In the event the district needs to fully transition to remote learning, students will need access to a qualified device.

*You do not need to take the survey if your student(s) will not need a district device in the event of a shift to full remote learning.",https://facebook.com/story.php?story_fbid=4384528771619961&id=586987914707418,"ICHABODCRANE.ORG
Second K-3 Device Needs Survey Due August 31 | Ichabod Crane Central School District",2.0,"In Case You Missed It: K-3 Device Re-Survey Due August 31

If haven't already, please fill out the Primary School's K-3 Device Re-Survey emailed last week. If you did not receive the survey please contact Primary School Principal – Andrea Williams – ASAP at awilliams@ichabodcrane.org

Due to the nationwide shortage of Chromebooks, the Primary School is re-surveying K-3 families to determine which students are in need* of a district device to access remote learning in the 2020-2021 school year. In the event the district needs to fully transition to remote learning, students will need access to a qualified device.

*You do not need to take the survey if your student(s) will not need a district device in the event of a shift to full remote learning.

ICHABODCRANE.ORG
Second K-3 Device Needs Survey Due August 31 | Ichabod Crane Central School District",2020-08-30 12:12:27,,
8,0.0,,8.0,https://www.ichabodcrane.org/2020/08/21/capital-project-school-reopening-safety-overview/,4360096704063168,"Capital Project Phase II Construction has been moving along smoothly through the summer months and we’re happy to announce that it will continue uninterrupted with the start of the school year.

We have been working with our Project Manager, Turner Construction, to create a safe and minimally disruptive plan as students begin returning to the building. See a quick rundown of the safety procedures and precautions that the onsite contractors will follow this fall and through the upcoming school year.",https://facebook.com/story.php?story_fbid=4360096704063168&id=586987914707418,"ICHABODCRANE.ORG
Capital Project & School Reopening: A Safety Overview | Ichabod Crane Central School District",2.0,"Capital Project Phase II Construction has been moving along smoothly through the summer months and we’re happy to announce that it will continue uninterrupted with the start of the school year.

We have been working with our Project Manager, Turner Construction, to create a safe and minimally disruptive plan as students begin returning to the building. See a quick rundown of the safety procedures and precautions that the onsite contractors will follow this fall and through the upcoming school year.

ICHABODCRANE.ORG
Capital Project & School Reopening: A Safety Overview | Ichabod Crane Central School District",2020-08-25 17:30:02,,
9,1.0,,23.0,https://www.ichabodcrane.org/district/capital-projects/,4354005004672338,"A lot has happened in Phase II Construction since our last Capital Improvement Project video update in July! Join Ichabod Crane Superintendent, Suzanne Guntlow, and Christian Davila & Sarah Plitnick from Turner Construction as they walk you through some of the progress in the video below.

You can also look through a number of pictures arranged in chronological order that show the development of Phase II progress at the Middle and High School through the month of August @ https://www.ichabodcrane.org/district/capital-projects/",https://facebook.com/story.php?story_fbid=4354005004672338&id=586987914707418,"YOUTUBE.COM
Capital Project Update, August 2020",7.0,"A lot has happened in Phase II Construction since our last Capital Improvement Project video update in July! Join Ichabod Crane Superintendent, Suzanne Guntlow, and Christian Davila & Sarah Plitnick from Turner Construction as they walk you through some of the progress in the video below.

You can also look through a number of pictures arranged in chronological order that show the development of Phase II progress at the Middle and High School through the month of August @ https://www.ichabodcrane.org/district/capital-projects/

YOUTUBE.COM
Capital Project Update, August 2020",2020-08-24 18:30:42,,
