,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119273150_3244999345555213_7002028617002649976_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=s9udb1i4EnMAX8zNO1x&_nc_ht=scontent-atl3-1.xx&tp=14&oh=aa94587dac54d0aed3f9239d124eeadf&oe=5F82AF9A,54.0,,3244999645555183,A day we will never forget. 🐾🇺🇸,https://facebook.com/story.php?story_fbid=3244999645555183&id=135691483152697,,0.0,A day we will never forget. 🐾🇺🇸,2020-09-11 12:35:30,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119037645_3232689290119552_6800608121257620788_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=3SExMc3TdRAAX_LccyL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1dfe1a17577c1a0da5137210fad825ec&oe=5F8515E5,26.0,,3232691136786034,Happy Labor Day from Jenison Public Schools! 🐾,https://facebook.com/story.php?story_fbid=3232691136786034&id=135691483152697,,0.0,Happy Labor Day from Jenison Public Schools! 🐾,2020-09-07 13:46:48,,
2,14.0,,368.0,,3132704736784675,"This evening, our bond proposal passed by roughly a 65-35 margin.

We are excited.
We are honored.
We are thankful.

We are Jenison.",https://facebook.com/story.php?story_fbid=3132704736784675&id=135691483152697,,0.0,"This evening, our bond proposal passed by roughly a 65-35 margin.

We are excited.
We are honored.
We are thankful.

We are Jenison.",2020-08-04 23:15:11,,
3,21.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116744789_3131955603526255_4124099231674094665_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=dD4J9eiRPNwAX_DjHdd&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5bcc287441af910bf822c1ed500d60db&oe=5F8333C8,100.0,,3131956210192861,Here is the Return to Learning Plan for the 2020-21 School year:,https://facebook.com/story.php?story_fbid=3131956210192861&id=135691483152697,,0.0,Here is the Return to Learning Plan for the 2020-21 School year:,2020-08-04 16:18:02,,
4,11.0,,33.0,,3147604618661953,,,,19.0,,2020-08-03 19:17:59,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_105872941164873_2067601960829542881_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=9bH8E-XDPrIAX8hwvCo&_nc_ht=video-atl3-1.xx&oh=c0013d6ad69430e5af46faf6b5c655d4&oe=5F5E557C,
5,1.0,,13.0,https://www.applitrack.com/jps/onlineapp/default.aspx?Category=Food+Services,3128654770523005,"There are a lot of current job openings within Jenison Public Schools - make sure to check them out and see if any interest you! 🐾

https://www.applitrack.com/jps/onlineapp/default.aspx?Category=Food+Services",https://facebook.com/story.php?story_fbid=3128654770523005&id=135691483152697,"APPLITRACK.COM
Jenison Public Schools - Frontline Recruitment",28.0,"There are a lot of current job openings within Jenison Public Schools - make sure to check them out and see if any interest you! 🐾

https://www.applitrack.com/jps/onlineapp/default.aspx?Category=Food+Services

APPLITRACK.COM
Jenison Public Schools - Frontline Recruitment",2020-08-03 13:04:30,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117108159_3127932780595204_3021234470176481582_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=LgyE-yFEtC8AX8a-NLx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e2b8b0700adccf30766349d8a9cbae7c&oe=5F839CE8,12.0,,3127932853928530,"TONIGHT!

Jenison Public Schools and Superintendent Tom TenBrink host the last Facebook Live event to answer any remaining questions before the August 4th Bond Proposal! 🐾",https://facebook.com/story.php?story_fbid=3127932853928530&id=135691483152697,,0.0,"TONIGHT!

Jenison Public Schools and Superintendent Tom TenBrink host the last Facebook Live event to answer any remaining questions before the August 4th Bond Proposal! 🐾",2020-08-03 07:55:31,,
7,9.0,,198.0,https://www.wzzm13.com/mobile/article/news/local/grandville-hudsonville-jenison/a-dream-come-true-jenison-native-shines-in-major-league-debut/69-e24c3917-c411-45cb-8964-7b12ea2354c3,3111651488890000,"Jenison Alum Caleb Baragar made the Opening Day roster for the San Francisco Giants in Major League Baseball. He earned his first Win in his MLB Debut this past Saturday by getting 5 consecutive LA Dodgers out.

Oh, and those 5 Dodgers he got out? They are all All-Star players.

https://www.wzzm13.com/mobile/article/news/local/grandville-hudsonville-jenison/a-dream-come-true-jenison-native-shines-in-major-league-debut/69-e24c3917-c411-45cb-8964-7b12ea2354c3",https://facebook.com/story.php?story_fbid=3111651488890000&id=135691483152697,"WZZM13.COM
'A dream come true' | Jenison native shines in Major League debut",18.0,"Jenison Alum Caleb Baragar made the Opening Day roster for the San Francisco Giants in Major League Baseball. He earned his first Win in his MLB Debut this past Saturday by getting 5 consecutive LA Dodgers out.

Oh, and those 5 Dodgers he got out? They are all All-Star players.

https://www.wzzm13.com/mobile/article/news/local/grandville-hudsonville-jenison/a-dream-come-true-jenison-native-shines-in-major-league-debut/69-e24c3917-c411-45cb-8964-7b12ea2354c3

WZZM13.COM
'A dream come true' | Jenison native shines in Major League debut",2020-07-28 12:59:09,,
8,17.0,,35.0,,297938261323347,,,,10.0,,2020-07-23 10:45:23,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_204373871009448_1086615727923042251_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=xDcxRowHsGUAX8lIzkz&_nc_ht=video-atl3-1.xx&oh=8e3de700915ced0c9a689fd7c079bf3b&oe=5F5E55F8,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116047325_3095302200524929_1170653944775203924_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=Lyye8xUiGaoAX_VWNws&_nc_ht=scontent-atl3-1.xx&tp=14&oh=98a0f08261fb067e663ae1cd6eca9e82&oe=5F833A9C,13.0,,3095303583858124,Another Facebook Live session is scheduled for tomorrow at 11 am! Don't miss this and come with any questions you may have regarding the August 4th Bond Proposal!,https://facebook.com/story.php?story_fbid=3095303583858124&id=135691483152697,,0.0,Another Facebook Live session is scheduled for tomorrow at 11 am! Don't miss this and come with any questions you may have regarding the August 4th Bond Proposal!,2020-07-22 15:51:45,,
