,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,10.0,https://apnews.com/a803dd04676b0906300b617c75b2ed98,3370991816277759,"J. Paul Taylor Academy will be participating in the USDA free lunch and breakfast program for ALL school aged children! No pin number necessary!!!

We will begin this as of Monday, September 14th. If you ordered breakfast or lunch on or after September 1, there will be no charge for these meals.

This program is intended to last until December 31st. There is a great likelihood, however, that federal funds may run out before that time and then we will have to revert back to our regular lunch program with paid lunches, (unless you qualify for free or reduced lunches via application process). This uncertain timeline holds true for ALL schools in all districts in NM.",https://facebook.com/story.php?story_fbid=3370991816277759&id=172753989434907,"APNEWS.COM
Free lunches continue for New Mexico students",2.0,"J. Paul Taylor Academy will be participating in the USDA free lunch and breakfast program for ALL school aged children! No pin number necessary!!!

We will begin this as of Monday, September 14th. If you ordered breakfast or lunch on or after September 1, there will be no charge for these meals.

This program is intended to last until December 31st. There is a great likelihood, however, that federal funds may run out before that time and then we will have to revert back to our regular lunch program with paid lunches, (unless you qualify for free or reduced lunches via application process). This uncertain timeline holds true for ALL schools in all districts in NM.

APNEWS.COM
Free lunches continue for New Mexico students",2020-09-10 07:34:33,,
1,0.0,,3.0,,3310788608964747,Elementary Virtual Open House- Parents check your email for the link.,https://facebook.com/story.php?story_fbid=3310788608964747&id=172753989434907,"TUE, AUG 25
JPTA Elementary Virtual Open House",0.0,"Elementary Virtual Open House- Parents check your email for the link.

TUE, AUG 25
JPTA Elementary Virtual Open House",2020-08-21 18:12:04,,
2,0.0,,2.0,,3310786835631591,Middle School Virtual Open House- Parents check your email for the link.,https://facebook.com/story.php?story_fbid=3310786835631591&id=172753989434907,"TUE, AUG 25
Middle School Virtual Open House",0.0,"Middle School Virtual Open House- Parents check your email for the link.

TUE, AUG 25
Middle School Virtual Open House",2020-08-21 18:11:09,,
3,0.0,,11.0,,1047991655616395,,,"TUE, AUG 25
Middle School Virtual Open House",0.0,"TUE, AUG 25
Middle School Virtual Open House",2020-08-20 16:54:51,,
4,0.0,,10.0,,1046822579066686,,,"TUE, AUG 25
JPTA Elementary Virtual Open House",0.0,"TUE, AUG 25
JPTA Elementary Virtual Open House",2020-08-20 15:35:48,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117764236_3283144908395784_3671870892883594132_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=NJWN-Aiq3ucAX9wfjVZ&_nc_ht=scontent-atl3-1.xx&oh=9cb57b30bc76b36c0d5bca211cb0b98f&oe=5F8586F4,14.0,,3283145175062424,,https://facebook.com/story.php?story_fbid=3283145175062424&id=172753989434907,,0.0,,2020-08-12 10:39:02,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117545755_3278641528846122_1938181628922816964_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=Q1eSZQlRFUMAX9tga_z&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5c8af6554379f48502f6fea3beba9c34&oe=5F83A43E,2.0,,3278643142179294,"Please join us for our August JPTA Parent Advisory Committee, (PAC) this coming Wednesday night, August 12 at 6:00pm via Zoom.
For security the Zoom Invite code and password were sent in an email. If you would like them sent again, please email pac@jpaultayloracademy.org",https://facebook.com/story.php?story_fbid=3278643142179294&id=172753989434907,,0.0,"Please join us for our August JPTA Parent Advisory Committee, (PAC) this coming Wednesday night, August 12 at 6:00pm via Zoom.
For security the Zoom Invite code and password were sent in an email. If you would like them sent again, please email pac@jpaultayloracademy.org",2020-08-10 21:21:41,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116236880_2767200483606158_8046380684185475782_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=fivqgsv6X5EAX9xv1iM&_nc_ht=scontent-atl3-1.xx&oh=e1abea2e5421be7b0522ff7dce9dc59d&oe=5F853C29,0.0,https://bit.ly/NMchildcare,3260233534020255,,https://facebook.com/story.php?story_fbid=3260233534020255&id=172753989434907,"Governor Michelle Lujan Grisham
August 4 at 12:13 PM ·

New Mexico families: we want to hear from you!

Please take a moment to complete this survey from the New Mexico Public Education Department and the New Mexico Early Childhood Education and Care Department to ensure that the state knows your needs for child care amid the ongoing COVID-19 pandemic: bit.ly/NMchildcare",0.0,"Governor Michelle Lujan Grisham
August 4 at 12:13 PM ·

New Mexico families: we want to hear from you!

Please take a moment to complete this survey from the New Mexico Public Education Department and the New Mexico Early Childhood Education and Care Department to ensure that the state knows your needs for child care amid the ongoing COVID-19 pandemic: bit.ly/NMchildcare",2020-08-04 14:07:48,,
8,0.0,,6.0,https://www.lcsun-news.com/story/news/2020/07/22/students-connect-senior-citizens-through-virtual-pen-pal-program/5446718002/?cid=facebook_Las_Cruces_Sun-News,3225293800847562,,https://facebook.com/story.php?story_fbid=3225293800847562&id=172753989434907,"LCSUN-NEWS.COM
'Adopt-A-Resident': Local students connect with senior citizens through virtual pen pal program",4.0,"LCSUN-NEWS.COM
'Adopt-A-Resident': Local students connect with senior citizens through virtual pen pal program",2020-07-23 11:40:41,,
9,0.0,,24.0,,3219010001475942,,https://facebook.com/story.php?story_fbid=3219010001475942&id=172753989434907,,0.0,,2020-07-21 08:01:14,,
10,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/102660762_3105369782839965_6780525123278071562_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=oZJk34fO4yEAX9Y2RM_&_nc_ht=scontent-atl3-1.xx&oh=55dbe2eaf12dbcd3a03550a28a4e077b&oe=5F8215B3,21.0,,3105327759510834,,https://facebook.com/story.php?story_fbid=3105327759510834&id=172753989434907,,0.0,,2020-06-09 17:19:53,,
11,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/83487660_271678230864020_1976600428439142400_n.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=d01GLHybmJcAX8JoCtx&_nc_ht=scontent-atl3-1.xx&oh=444b6b45ee6517b124df2ddb6ea33cbd&oe=5F85DEB0,3.0,https://bit.ly/SRSStatement,3089413217768955,,https://facebook.com/story.php?story_fbid=3089413217768955&id=172753989434907,"New Mexico Public Education Department
June 2 at 2:04 PM ·

Read the full statement from New Mexico Education Secretary Dr. Ryan Stewart. https://bit.ly/SRSStatement",0.0,"New Mexico Public Education Department
June 2 at 2:04 PM ·

Read the full statement from New Mexico Education Secretary Dr. Ryan Stewart. https://bit.ly/SRSStatement",2020-06-03 15:50:08,,
12,0.0,,0.0,https://www.govinfo.gov/content/pkg/FR-2020-03-20/pdf/2020-05982.pdf,3083781184998825,"Dear Families-

The link below will take you to the National School Lunch Program info including income guidelines. If you feel you qualify for free or reduced breakfast and lunch for your student please fill out an application at J. Paul Taylor Academy.

Please note that we cannot accept applications before July 1, 2020. This is for the up and coming school year of 20/21. A PDF of the application will be posted on our website.

https://www.govinfo.gov/content/pkg/FR-2020-03-20/pdf/2020-05982.pdf

Monica L. Kiser
Food Service Director",https://facebook.com/story.php?story_fbid=3083781184998825&id=172753989434907,"GOVINFO.GOV
www.govinfo.gov",0.0,"Dear Families-

The link below will take you to the National School Lunch Program info including income guidelines. If you feel you qualify for free or reduced breakfast and lunch for your student please fill out an application at J. Paul Taylor Academy.

Please note that we cannot accept applications before July 1, 2020. This is for the up and coming school year of 20/21. A PDF of the application will be posted on our website.

https://www.govinfo.gov/content/pkg/FR-2020-03-20/pdf/2020-05982.pdf

Monica L. Kiser
Food Service Director

GOVINFO.GOV
www.govinfo.gov",2020-06-01 13:32:50,,
13,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101684583_3076540472389563_8170817630123327488_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=CoDcmbNVNI0AX8vi6zx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ecddff9b0900afafbab30428c4153d3b&oe=5F833694,7.0,https://zelaznogodla61.wixsite.com/jpta-2020,3076540612389549,"Thanks to all who participated in our drive-thru 8th Grade Graduation last night! We congratulate all of our eighth graders as they move on to wonderful things in high school. Those of you who couldn't make it can pick up your goodies during JPTA office hours.

A special thanks to Aldo González for capturing the festivities for us, to Shaharazad McDowell Booth, Attorney at Law, LLC and Kona Ice of Las Cruces & West El Paso for making sure our graduates and families had sweet treats to top off the night, to Reviver Printing for helping us get custom t-shirts made in a jiffy, and of course to J. Paul Taylor of Mesilla, New Mexico for his annual address to our departing students!

You can check out all the pics at https://zelaznogodla61.wixsite.com/jpta-2020 and a wonderful slideshow made by students and staff (with Mr. Taylor's speech) at https://docs.google.com/presentation/d/e/2PACX-1vR_SpGhluicwvXg2CMMkNMWHX-jHy1yFWFhMlWvAr2j9yr_Ru8qzqDEgTqNRlSkBMe5xXF_SD8UfZWD/pub?start=true&loop=false&delayms=3000",https://facebook.com/story.php?story_fbid=3076540612389549&id=172753989434907,,0.0,"Thanks to all who participated in our drive-thru 8th Grade Graduation last night! We congratulate all of our eighth graders as they move on to wonderful things in high school. Those of you who couldn't make it can pick up your goodies during JPTA office hours.

A special thanks to Aldo González for capturing the festivities for us, to Shaharazad McDowell Booth, Attorney at Law, LLC and Kona Ice of Las Cruces & West El Paso for making sure our graduates and families had sweet treats to top off the night, to Reviver Printing for helping us get custom t-shirts made in a jiffy, and of course to J. Paul Taylor of Mesilla, New Mexico for his annual address to our departing students!

You can check out all the pics at https://zelaznogodla61.wixsite.com/jpta-2020 and a wonderful slideshow made by students and staff (with Mr. Taylor's speech) at https://docs.google.com/presentation/d/e/2PACX-1vR_SpGhluicwvXg2CMMkNMWHX-jHy1yFWFhMlWvAr2j9yr_Ru8qzqDEgTqNRlSkBMe5xXF_SD8UfZWD/pub?start=true&loop=false&delayms=3000",2020-05-29 15:17:07,,
14,0.0,,10.0,https://webnew.ped.state.nm.us/press-releases/,3076064945770449,"Dear Parents:

The New Mexico Public Education Department (NMPED) created a task force to develop guidelines for districts to reopen schools. The goal of the task force is to provide those guidelines by July 1 so that districts can plan accordingly. We are asking you to participate in a survey titled the New Mexico Family Education Survey. Please take a moment to read the NMPED Press Release ( https://webnew.ped.state.nm.us/press-releases/ ) regarding the task force that includes a link to the survey.
You will see that the press release also introduces a new platform called NM Vistas that provides information to families regarding New Mexico schools and districts.
Let me know if you have any questions. Take care and stay safe!

Christy Takacs, Executive Director",https://facebook.com/story.php?story_fbid=3076064945770449&id=172753989434907,"WEBNEW.PED.STATE.NM.US
Press Releases",0.0,"Dear Parents:

The New Mexico Public Education Department (NMPED) created a task force to develop guidelines for districts to reopen schools. The goal of the task force is to provide those guidelines by July 1 so that districts can plan accordingly. We are asking you to participate in a survey titled the New Mexico Family Education Survey. Please take a moment to read the NMPED Press Release ( https://webnew.ped.state.nm.us/press-releases/ ) regarding the task force that includes a link to the survey.
You will see that the press release also introduces a new platform called NM Vistas that provides information to families regarding New Mexico schools and districts.
Let me know if you have any questions. Take care and stay safe!

Christy Takacs, Executive Director

WEBNEW.PED.STATE.NM.US
Press Releases",2020-05-29 11:04:58,,
15,0.0,,5.0,,3071761669534110,,https://facebook.com/story.php?story_fbid=3071761669534110&id=172753989434907,,0.0,,2020-05-27 16:07:12,,
16,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/99249764_3061545413889069_7075107641109774336_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=nM_EV10Y51wAX9JsQ-p&_nc_ht=scontent-atl3-1.xx&tp=14&oh=55ca924355be51afb14e923a972a40c3&oe=5F8335D0,26.0,,3061550857221858,"Congratulations to our JPTA 8th grade graduates!

If you have a picture you want us to post of your 8th grader, send it to us and we'll add it.",https://facebook.com/story.php?story_fbid=3061550857221858&id=172753989434907,,0.0,"Congratulations to our JPTA 8th grade graduates!

If you have a picture you want us to post of your 8th grader, send it to us and we'll add it.",2020-05-23 11:38:42,,
17,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/99102729_3061516513891959_4650365720801050624_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=tmSAoIJn8sIAX-wjS3-&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2b291f012fcc77045c5abeaebe4fd98b&oe=5F843A15,10.0,,3061516700558607,,https://facebook.com/story.php?story_fbid=3061516700558607&id=172753989434907,,0.0,,2020-05-23 11:22:26,,
18,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98036338_3057471210963156_4535026199428071424_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=6yOIRGb1ptUAX8pL4pl&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8a45f141c9ccd057e5fcabfba06da046&oe=5F84D00E,9.0,,3057471307629813,,https://facebook.com/story.php?story_fbid=3057471307629813&id=172753989434907,,0.0,,2020-05-21 17:21:31,,
19,5.0,,9.0,,3057200647656879,,https://facebook.com/story.php?story_fbid=3057200647656879&id=172753989434907,,0.0,,2020-05-21 14:41:12,,
20,9.0,,18.0,,3054784317898512,Middle school students finished the year by reading Seedfolks by Paul Fleischman. It is a story about a community garden and the way it brings people from all backgrounds and experiences together. Sixth-grader Paxton went all out to create a model of the vacant lot turned garden that set the stage for this story about building community in spite of differences.,https://facebook.com/story.php?story_fbid=3054784317898512&id=172753989434907,,0.0,Middle school students finished the year by reading Seedfolks by Paul Fleischman. It is a story about a community garden and the way it brings people from all backgrounds and experiences together. Sixth-grader Paxton went all out to create a model of the vacant lot turned garden that set the stage for this story about building community in spite of differences.,2020-05-20 14:28:46,,
21,3.0,,14.0,,3049676231742654,Check out this awesome workout created by fifth grader Maddon! What a great workout to try at home.,,,0.0,Check out this awesome workout created by fifth grader Maddon! What a great workout to try at home.,2020-05-18 12:33:53,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/99096056_970364836755584_5549362702964490240_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=UahJRxoczO4AX85XjRo&_nc_ht=video-atl3-1.xx&oh=b3148168ef17331bec8e1a2dca1bfadb&oe=5F5E9661,
