,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119463694_1219506591731911_4748261711522469235_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=EsUwNcUh3M4AX8A9OBp&_nc_ht=scontent-atl3-1.xx&tp=14&oh=19142ab1d8c2390f0bab15506b9b101e&oe=5F84BC47,1.0,,1219506665065237,Due Monday!!!!,https://facebook.com/story.php?story_fbid=1219506665065237&id=101455043537077,,0.0,Due Monday!!!!,2020-09-12 18:46:35,,
1,0.0,,1.0,,1219506151731955,,https://facebook.com/story.php?story_fbid=1219506151731955&id=101455043537077,,0.0,,2020-09-12 18:45:40,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119119932_1395567940650856_8823710444826444727_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=WvO5-pQ7EbgAX-59pN4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6fbb730f7b5ef87ca827742232d9aa57&oe=5F815509,2.0,,1218396411842929,,https://facebook.com/story.php?story_fbid=1218396411842929&id=101455043537077,"Junction Hill Hornet Athletics
Yesterday at 9:14 AM ·

See you today! GOOOOOOOO HORNETS!",0.0,"Junction Hill Hornet Athletics
Yesterday at 9:14 AM ·

See you today! GOOOOOOOO HORNETS!",2020-09-11 10:19:49,,
3,0.0,,0.0,,1216338975382006,,https://facebook.com/story.php?story_fbid=1216338975382006&id=101455043537077,"Junction Hill Hornet Athletics
September 8 at 5:46 PM ·

Great day to be a Hornet! Girls A-Team battled Fairview to a 1-1 TIE after 12 grueling innings! Boys A-Team came back from a 6-1 deficit to win with a walk-off single by Parker Bell for a 9-8 win! Winning pitcher was also Parker Bell! Both B-Teams played, learned, and got some experience under their belts to help them for games this Friday vs Howell Valley. Good job to all and GOOOOOOO HORNETS!",0.0,"Junction Hill Hornet Athletics
September 8 at 5:46 PM ·

Great day to be a Hornet! Girls A-Team battled Fairview to a 1-1 TIE after 12 grueling innings! Boys A-Team came back from a 6-1 deficit to win with a walk-off single by Parker Bell for a 9-8 win! Winning pitcher was also Parker Bell! Both B-Teams played, learned, and got some experience under their belts to help them for games this Friday vs Howell Valley. Good job to all and GOOOOOOO HORNETS!",2020-09-08 20:57:06,,
4,0.0,,0.0,,,"Great day to be a Hornet! Girls A-Team battled Fairview to a 1-1 TIE after 12 grueling innings! Boys A-Team came back from a 6-1 deficit to win with a walk-off single by Parker Bell for a 9-8 win! Winning pitcher was also Parker Bell! Both B-Teams played, learned, and got some experience under their belts to help them for games this Friday vs Howell Valley. Good job to all and GOOOOOOO HORNETS!",https://facebook.com/story.php?story_fbid=1393434057530911&id=373322552875405,,0.0,"Great day to be a Hornet! Girls A-Team battled Fairview to a 1-1 TIE after 12 grueling innings! Boys A-Team came back from a 6-1 deficit to win with a walk-off single by Parker Bell for a 9-8 win! Winning pitcher was also Parker Bell! Both B-Teams played, learned, and got some experience under their belts to help them for games this Friday vs Howell Valley. Good job to all and GOOOOOOO HORNETS!",2020-09-12 22:10:38.580801,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119061632_1215494025466501_6751955118100796367_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=dotzz0CpzRcAX_hlRDx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6a420e3fb31b0cdc8a98ba546486f5c0&oe=5F81E0DA,2.0,,1215494755466428,"Place your Hornet Apparel Order by September 14. Remember, the black is available in long sleeve and sweatshirt as well.",https://facebook.com/story.php?story_fbid=1215494755466428&id=101455043537077,,0.0,"Place your Hornet Apparel Order by September 14. Remember, the black is available in long sleeve and sweatshirt as well.",2020-09-07 19:42:41,,
6,0.0,,0.0,,1212737599075477,"Update as of 10:25 AM

Well..... The baseball and softball games today have been cancelled due to rain. Please disregard the previous messages about a new location. There will be no practice today either.",https://facebook.com/story.php?story_fbid=1212737599075477&id=101455043537077,,0.0,"Update as of 10:25 AM

Well..... The baseball and softball games today have been cancelled due to rain. Please disregard the previous messages about a new location. There will be no practice today either.",2020-09-04 11:27:15,,
7,0.0,,1.0,,1212664372416133,"LOCATION CHANGE Baseball and Softball games have been moved to Fairview. Players can be signed out by a parent at Fairview, or ride a bus back to Junction Hill AT 4:30. Spectators must bring their own chairs and maintain social distancing. There will be no concession stand. A team starts at 1:00 followed by B team.",https://facebook.com/story.php?story_fbid=1212664372416133&id=101455043537077,,0.0,"LOCATION CHANGE Baseball and Softball games have been moved to Fairview. Players can be signed out by a parent at Fairview, or ride a bus back to Junction Hill AT 4:30. Spectators must bring their own chairs and maintain social distancing. There will be no concession stand. A team starts at 1:00 followed by B team.",2020-09-04 09:36:36,,
8,0.0,,0.0,,1206840769665160,,https://facebook.com/story.php?story_fbid=1206840769665160&id=101455043537077,"Junction Hill Hornet Athletics
August 28 at 6:57 AM ·

Due to unusable field conditions, Today's (8/28) baseball and softball games have been moved to Tuesday, September 1st with the same times and location at Richards.",0.0,"Junction Hill Hornet Athletics
August 28 at 6:57 AM ·

Due to unusable field conditions, Today's (8/28) baseball and softball games have been moved to Tuesday, September 1st with the same times and location at Richards.",2020-08-28 15:39:12,,
9,0.0,,0.0,,,"Due to unusable field conditions, Today's (8/28) baseball and softball games have been moved to Tuesday, September 1st with the same times and location at Richards.",https://facebook.com/story.php?story_fbid=1383599498514367&id=373322552875405,,0.0,"Due to unusable field conditions, Today's (8/28) baseball and softball games have been moved to Tuesday, September 1st with the same times and location at Richards.",2020-09-12 22:10:38.580814,,
