,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119151084_4093201684030255_2272198266209192278_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=3iuPf_nQnb0AX-IG0pY&_nc_ht=scontent-atl3-1.xx&oh=2bd849d59e62f1637865a499621a80e3&oe=5F82D679,15.0,https://www.kusd.org/community/kusd-podcast/,4093197144030709,"KUSD #20 is proud to announce our new, monthly podcast! 🎙💁‍♀️🗣

Tune in for district news, board meeting coverage, school updates, staff interviews, and more!
https://www.kusd.org/community/kusd-podcast/",https://facebook.com/story.php?story_fbid=4093197144030709&id=789938551023268,,0.0,"KUSD #20 is proud to announce our new, monthly podcast! 🎙💁‍♀️🗣

Tune in for district news, board meeting coverage, school updates, staff interviews, and more!
https://www.kusd.org/community/kusd-podcast/",2020-09-11 12:24:19,,
1,0.0,,4.0,https://www.kusd.org/2020/09/10/meal-service-update-sep-14/,4090526414297782,"Meal Service Update – Sep 14

https://www.kusd.org/2020/09/10/meal-service-update-sep-14/",https://facebook.com/story.php?story_fbid=4090526414297782&id=789938551023268,"KUSD.ORG
www.kusd.org",0.0,"Meal Service Update – Sep 14

https://www.kusd.org/2020/09/10/meal-service-update-sep-14/

KUSD.ORG
www.kusd.org",2020-09-10 18:36:29,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118909385_4090319860985104_3121337110994610384_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=OJ7jnqe4BW8AX8pA93R&_nc_oc=AQnstdTq2RhK8I0Sk4nZe9BCjKAA83NlSlUYDtloiaZYukTutgpC3rrw1WFkwefRvuw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cd5f35ecca0c0f7ea813a7c135171382&oe=5F8564C4,5.0,,4090317230985367,"We will be having open interviews for our custodian positions. Please make sure to bring your resume, wear a mask or face shield and you will be screened upon arrival.
Date: Monday 14, 2020
Time: 11:00 - 1:00pm
Location: Maintenance Building - 3121 MacDonald Ave.",https://facebook.com/story.php?story_fbid=4090317230985367&id=789938551023268,,0.0,"We will be having open interviews for our custodian positions. Please make sure to bring your resume, wear a mask or face shield and you will be screened upon arrival.
Date: Monday 14, 2020
Time: 11:00 - 1:00pm
Location: Maintenance Building - 3121 MacDonald Ave.",2020-09-10 16:51:16,,
3,2.0,,5.0,https://kusd.tedk12.com/hire/Index.aspx,4083187008365056,"KUSD is looking for custodians! This position is full-time, Monday - Friday and the salary will be $12.00/hr. If you would like more information on this position and to apply, please visit our KUSD website: https://kusd.tedk12.com/hire/Index.aspx (Please do not apply through Facebook)",https://facebook.com/story.php?story_fbid=4083187008365056&id=789938551023268,"KINGMAN UNIFIED SCHOOL DISTRICT NO. 20
Custodian",0.0,"KUSD is looking for custodians! This position is full-time, Monday - Friday and the salary will be $12.00/hr. If you would like more information on this position and to apply, please visit our KUSD website: https://kusd.tedk12.com/hire/Index.aspx (Please do not apply through Facebook)

KINGMAN UNIFIED SCHOOL DISTRICT NO. 20
Custodian",2020-09-08 15:07:54,,
4,0.0,,2.0,https://www.kusd.org/2020/09/02/edmentum-sensei-for-families-now-available/,4082973925053031,"Edmentum Sensei for Families Now Available

https://www.kusd.org/2020/09/02/edmentum-sensei-for-families-now-available/",https://facebook.com/story.php?story_fbid=4082973925053031&id=789938551023268,"KUSD.ORG
www.kusd.org",2.0,"Edmentum Sensei for Families Now Available

https://www.kusd.org/2020/09/02/edmentum-sensei-for-families-now-available/

KUSD.ORG
www.kusd.org",2020-09-08 13:41:45,,
5,3.0,,5.0,https://www.kusd.org/2020/09/03/meal-service-update-for-a-b-schedule-sep-8/,4066485386701885,"KUSD Meal Service Update for A/B Schedule – Sep 8th

https://www.kusd.org/2020/09/03/meal-service-update-for-a-b-schedule-sep-8/",https://facebook.com/story.php?story_fbid=4066485386701885&id=789938551023268,"KUSD.ORG
www.kusd.org",2.0,"KUSD Meal Service Update for A/B Schedule – Sep 8th

https://www.kusd.org/2020/09/03/meal-service-update-for-a-b-schedule-sep-8/

KUSD.ORG
www.kusd.org",2020-09-03 15:30:08,,
6,3.0,,3.0,https://khs.kusd.org/2020/09/02/kingman-high-school-2020-2021-schedule-bell-times/Kingman,4064624720221285,"Kingman High School Bell Schedule 2020

https://khs.kusd.org/2020/09/02/kingman-high-school-2020-2021-schedule-bell-times/Kingman",https://facebook.com/story.php?story_fbid=4064624720221285&id=789938551023268,,0.0,"Kingman High School Bell Schedule 2020

https://khs.kusd.org/2020/09/02/kingman-high-school-2020-2021-schedule-bell-times/Kingman",2020-09-03 03:13:17,,
7,0.0,,2.0,https://hual.kusd.org/2020/09/02/hualapai-letter-to-families-regarding-split-schedule-return/,4064508986899525,"Hualapai Letter to Families Regarding Split Schedule Return

https://hual.kusd.org/2020/09/02/hualapai-letter-to-families-regarding-split-schedule-return/",https://facebook.com/story.php?story_fbid=4064508986899525&id=789938551023268,"HUAL.KUSD.ORG
hual.kusd.org",5.0,"Hualapai Letter to Families Regarding Split Schedule Return

https://hual.kusd.org/2020/09/02/hualapai-letter-to-families-regarding-split-schedule-return/

HUAL.KUSD.ORG
hual.kusd.org",2020-09-03 02:18:37,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118768467_4064615576888866_5577075084016486708_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=k521y1-\-\3f0AX8yCnib&_nc_ht=scontent-atl3-1.xx&oh=5c4f1e5fed171cd186fa30fe3da18315&oe=5F841985,4.0,https://manz.kusd.org/2020/09/02/manzanita-a-b-schedule-welcome-letter/,4064479246902499,"Manzanita A & B Schedule Welcome Letter

https://manz.kusd.org/2020/09/02/manzanita-a-b-schedule-welcome-letter/",https://facebook.com/story.php?story_fbid=4064479246902499&id=789938551023268,,0.0,"Manzanita A & B Schedule Welcome Letter

https://manz.kusd.org/2020/09/02/manzanita-a-b-schedule-welcome-letter/",2020-09-03 02:03:43,,
9,5.0,,6.0,https://kusd.tedk12.com/hire/Index.aspx,4059195474097543,"KUSD #20 is in need of an ASL Specialist to work with our hearing impaired and deaf students at our Kingman Middle School. This position is Monday-Thursday, 32hrs a week. Salary will be $15.60/hr. If you are interested please visit our KUSD website for more information and to apply: https://kusd.tedk12.com/hire/Index.aspx (Please do not apply through Facebook)",https://facebook.com/story.php?story_fbid=4059195474097543&id=789938551023268,"KINGMAN UNIFIED SCHOOL DISTRICT NO. 20
ASL Specialist",0.0,"KUSD #20 is in need of an ASL Specialist to work with our hearing impaired and deaf students at our Kingman Middle School. This position is Monday-Thursday, 32hrs a week. Salary will be $15.60/hr. If you are interested please visit our KUSD website for more information and to apply: https://kusd.tedk12.com/hire/Index.aspx (Please do not apply through Facebook)

KINGMAN UNIFIED SCHOOL DISTRICT NO. 20
ASL Specialist",2020-09-01 13:38:13,,
10,2.0,,10.0,https://kusd.tedk12.com/hire/Index.aspx,4056146367735787,"We are looking for Teachers, as well as other certified staff! Please visit our KUSD website to view all open certified positions, find out more information and apply. All applications must be submitted online at our KUSD website: https://kusd.tedk12.com/hire/Index.aspx (Please do not apply through Facebook)",https://facebook.com/story.php?story_fbid=4056146367735787&id=789938551023268,"KINGMAN UNIFIED SCHOOL DISTRICT NO. 20
Teachers",0.0,"We are looking for Teachers, as well as other certified staff! Please visit our KUSD website to view all open certified positions, find out more information and apply. All applications must be submitted online at our KUSD website: https://kusd.tedk12.com/hire/Index.aspx (Please do not apply through Facebook)

KINGMAN UNIFIED SCHOOL DISTRICT NO. 20
Teachers",2020-08-31 16:49:03,,
11,2.0,,1.0,https://www.kusd.org/2020/08/27/meal-service-update-for-online-virtual-learning-aug-31/,4042518195765271,"District Meal Service Updates

https://www.kusd.org/2020/08/27/meal-service-update-for-online-virtual-learning-aug-31/",https://facebook.com/story.php?story_fbid=4042518195765271&id=789938551023268,"KUSD.ORG
www.kusd.org",3.0,"District Meal Service Updates

https://www.kusd.org/2020/08/27/meal-service-update-for-online-virtual-learning-aug-31/

KUSD.ORG
www.kusd.org",2020-08-27 16:25:38,,
