,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118667376_1990509047745833_4032477986238609240_o.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=k2PetOtT-FEAX-3qSMW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=20825761d44205ef23a08cc28312bb7e&oe=5F82FFF2,13.0,,1990509441079127,"Warriors! We miss you and can’t wait to see you all on Wednesday for the first day of classes. To make things easier on your family schedule, we are going to a unified start and end time, K-12, while we are all remote learning. See the schedule below.",https://facebook.com/story.php?story_fbid=1990509441079127&id=493111427485610,,0.0,"Warriors! We miss you and can’t wait to see you all on Wednesday for the first day of classes. To make things easier on your family schedule, we are going to a unified start and end time, K-12, while we are all remote learning. See the schedule below.",2020-08-31 23:21:48,,
1,0.0,,0.0,,1979310328865705,"ACC Students and Families please read this COVID-19 message.
From School City of Hammond:
This evening we were notified that the Area Career Center has had one confirmed case of COVID-19 & two suspected cases. Please see the following letter for our detailed response plan. #schstrong #15K",https://facebook.com/story.php?story_fbid=1979310328865705&id=493111427485610,"School City of Hammond
August 21 at 1:09 AM ·

This evening we were notified that the Area Career Center has had one confirmed case of COVID-19 & two suspected cases. Please see the following letter for our detailed response plan. #schstrong #15K",8.0,"ACC Students and Families please read this COVID-19 message.
From School City of Hammond:
This evening we were notified that the Area Career Center has had one confirmed case of COVID-19 & two suspected cases. Please see the following letter for our detailed response plan. #schstrong #15K

School City of Hammond
August 21 at 1:09 AM ·

This evening we were notified that the Area Career Center has had one confirmed case of COVID-19 & two suspected cases. Please see the following letter for our detailed response plan. #schstrong #15K",2020-08-20 22:11:19,,
2,0.0,,0.0,https://bit.ly/K6FamilySurvey,1977098162420255,K-6 Families: We still need your responses on this NEW SURVEY. We only have responses from 145 families. We are over 400 families short. Please complete this today. Help is needed to spread the word to other families as well. The data must be collected by Thursday. The IDOE needs us to collect data from ALL families on childcare. Complete one survey for all K-6 students in your home. We appreciate your help! Here is the link. Thank you so much.,https://facebook.com/story.php?story_fbid=1977098162420255&id=493111427485610,"DOCS.GOOGLE.COM
Lake Ridge K-6 Family Survey",0.0,"K-6 Families: We still need your responses on this NEW SURVEY. We only have responses from 145 families. We are over 400 families short. Please complete this today. Help is needed to spread the word to other families as well. The data must be collected by Thursday. The IDOE needs us to collect data from ALL families on childcare. Complete one survey for all K-6 students in your home. We appreciate your help! Here is the link. Thank you so much.

DOCS.GOOGLE.COM
Lake Ridge K-6 Family Survey",2020-08-18 16:53:16,,
3,0.0,,0.0,https://bit.ly/K6FamilySurvey,1973992189397519,K-6 Families! We need your help before THURSDAY! The IDOE needs us to collect data from ALL families on childcare. We need all K-6 families to complete this survey ASAP. One survey for all K-6 students in your home. We appreciate your help! Here is the link. Thank you so much!,https://facebook.com/story.php?story_fbid=1973992189397519&id=493111427485610,"DOCS.GOOGLE.COM
Lake Ridge K-6 Family Survey",0.0,"K-6 Families! We need your help before THURSDAY! The IDOE needs us to collect data from ALL families on childcare. We need all K-6 families to complete this survey ASAP. One survey for all K-6 students in your home. We appreciate your help! Here is the link. Thank you so much!

DOCS.GOOGLE.COM
Lake Ridge K-6 Family Survey",2020-08-15 14:05:38,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117291936_1970295156433889_3308708579301757468_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=VnepWFR5Ih0AX_9o6wK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=44fb443ce3b325ed11a76f02af818425&oe=5F82472B,6.0,,1970295363100535,Please read and share the updated Lake Ridge New Tech School Start Date for the 2020-21 school year. Thank you for your understanding and support.,https://facebook.com/story.php?story_fbid=1970295363100535&id=493111427485610,,0.0,Please read and share the updated Lake Ridge New Tech School Start Date for the 2020-21 school year. Thank you for your understanding and support.,2020-08-11 19:18:04,,
5,17.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116800102_1964296353700436_8299736453779575889_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=JW7sv9GS5OwAX91rARI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4aa3093a14bdc116df91ded24157a672&oe=5F8393F4,33.0,,1964296817033723,"Parents/Guardians, Students, and Community Members: Update on the ReOpening of Schools from Dr. Shirley. Please read and share.",https://facebook.com/story.php?story_fbid=1964296817033723&id=493111427485610,,0.0,"Parents/Guardians, Students, and Community Members: Update on the ReOpening of Schools from Dr. Shirley. Please read and share.",2020-08-05 14:14:22,,
6,2.0,,1.0,https://forms.gle/3ajRbuJGUiekmo9s7,1960500950746643,Please make sure you have this filled out so we know the needs for your child. We need one for every student filled out. Thank you!,https://facebook.com/story.php?story_fbid=1960500950746643&id=493111427485610,"DOCS.GOOGLE.COM
Learning Option for 2020-21",2.0,"Please make sure you have this filled out so we know the needs for your child. We need one for every student filled out. Thank you!

DOCS.GOOGLE.COM
Learning Option for 2020-21",2020-08-01 15:55:37,,
7,0.0,,2.0,https://www.bsnteamsports.com/shop/xZTtKzrkqw,1958776327585772,Support our Warriors and stay safe! The Warrior Online Spirit Shop is open! Spirit-ware and masks are now available.,https://facebook.com/story.php?story_fbid=1958776327585772&id=493111427485610,"BSNTEAMSPORTS.COM
Calumet New Tech High School - Calumet Warriors Stay Strong Shop",4.0,"Support our Warriors and stay safe! The Warrior Online Spirit Shop is open! Spirit-ware and masks are now available.

BSNTEAMSPORTS.COM
Calumet New Tech High School - Calumet Warriors Stay Strong Shop",2020-07-30 19:40:48,,
8,7.0,,2.0,https://lakeridge.rdsapps.com/RDSParentAccess/,1956941411102597,"Parents/Guardians: Please REGISTER by this FRIDAY. If you need assistance, please email the Registrars. We thank you for working together with us to plan for a safe return to the 2020-21 school year.
Calumet: Jeannine Doran jdoran@lakeridgeschools.net
Lake Ridge: Susan Lukowski slukowski@lakeridgeschools.net
Longfellow: Gloria Frey gfrey@lakeridgeschools.net
https://lakeridge.rdsapps.com/RDSParentAccess/",https://facebook.com/story.php?story_fbid=1956941411102597&id=493111427485610,"LAKERIDGE.RDSAPPS.COM
RDS Parent Access Login",7.0,"Parents/Guardians: Please REGISTER by this FRIDAY. If you need assistance, please email the Registrars. We thank you for working together with us to plan for a safe return to the 2020-21 school year.
Calumet: Jeannine Doran jdoran@lakeridgeschools.net
Lake Ridge: Susan Lukowski slukowski@lakeridgeschools.net
Longfellow: Gloria Frey gfrey@lakeridgeschools.net
https://lakeridge.rdsapps.com/RDSParentAccess/

LAKERIDGE.RDSAPPS.COM
RDS Parent Access Login",2020-07-28 22:44:59,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/115926975_1956938777769527_52073847324354155_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=wJHavFtNdlwAX_t1uN4&_nc_ht=scontent-atl3-1.xx&oh=288c0924335ba6831516efb1c5a4e6e0&oe=5F832F69,0.0,,1956938964436175,"Please see the latest updates to the ""When to return to school/work"" from the Indiana State Department of Health.",https://facebook.com/story.php?story_fbid=1956938964436175&id=493111427485610,,0.0,"Please see the latest updates to the ""When to return to school/work"" from the Indiana State Department of Health.",2020-07-28 22:40:55,,
