,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119198904_3160747310718112_211999810207019493_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=NJZbNEBQXHwAX9ElJGn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8538f0c02407eb50c0380212ceabac9b&oe=5F82B4A0,6.0,,3160767430716100,🏈 🏈🏈,https://facebook.com/story.php?story_fbid=3160767430716100&id=374258526033685,,0.0,🏈 🏈🏈,2020-09-11 17:18:43,,
1,1.0,,2.0,https://support.google.com/meet/answer/9292748?hl=en,3138653009594209,"https://support.google.com/meet/answer/9292748?hl=en
More Helpful Tips for Students and Families",https://facebook.com/story.php?story_fbid=3138653009594209&id=374258526033685,"SUPPORT.GOOGLE.COM
How to view people in the meeting - Google Meet Help",3.0,"https://support.google.com/meet/answer/9292748?hl=en
More Helpful Tips for Students and Families

SUPPORT.GOOGLE.COM
How to view people in the meeting - Google Meet Help",2020-09-04 08:50:43,,
2,0.0,,3.0,https://lcsoccer20.itemorder.com/sale?read_message=true,3137425063050337,https://lcsoccer20.itemorder.com/sale?read_message=true,https://facebook.com/story.php?story_fbid=3137425063050337&id=374258526033685,"LCSOCCER20.ITEMORDER.COM
Lakeland Chiefs Soccer 2020",0.0,"https://lcsoccer20.itemorder.com/sale?read_message=true

LCSOCCER20.ITEMORDER.COM
Lakeland Chiefs Soccer 2020",2020-09-03 22:07:53,,
3,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118805873_3136682863124557_1379136351329826141_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=PCEdoIk4cG8AX_6XUPm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c19f8270a3482ddaacd261161271b49f&oe=5F80437E,11.0,,3136685249790985,"If your child is having difficulties with their chromebook, please try the following steps:",https://facebook.com/story.php?story_fbid=3136685249790985&id=374258526033685,,0.0,"If your child is having difficulties with their chromebook, please try the following steps:",2020-09-03 15:26:42,,
4,9.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118653740_3124383454354498_5196222841520400656_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=sytehFecVVwAX90fyKu&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8ceacc0196c9afc94a1ad2c1ec5baf79&oe=5F7FC375,31.0,,3124389021020608,"Check out our 7-12 Google Classroom How To’s!
Happy 1st Day of School Eve to all of our awesome students and families!
Make sure to accept your classroom invites as you receive them. ❤️💙",https://facebook.com/story.php?story_fbid=3124389021020608&id=374258526033685,,0.0,"Check out our 7-12 Google Classroom How To’s!
Happy 1st Day of School Eve to all of our awesome students and families!
Make sure to accept your classroom invites as you receive them. ❤️💙",2020-08-30 14:25:13,,
5,7.0,,26.0,,3123690341090476,High School textbooks will be distributed on September 9th from 9AM-12PM and 5:30PM-8:00PM at the High School. This will be a drive by pickup.,https://facebook.com/story.php?story_fbid=3123690341090476&id=374258526033685,,0.0,High School textbooks will be distributed on September 9th from 9AM-12PM and 5:30PM-8:00PM at the High School. This will be a drive by pickup.,2020-08-30 09:50:59,,
6,0.0,,0.0,https://www.education.pa.gov/Schools/safeschools/SchoolClimate/SCIP/ActionPlanning/Pages/SocialEmotional.aspx,3122106021248908,https://www.education.pa.gov/Schools/safeschools/SchoolClimate/SCIP/ActionPlanning/Pages/SocialEmotional.aspx,https://facebook.com/story.php?story_fbid=3122106021248908&id=374258526033685,"EDUCATION.PA.GOV
Social Emotional Learning",0.0,"https://www.education.pa.gov/Schools/safeschools/SchoolClimate/SCIP/ActionPlanning/Pages/SocialEmotional.aspx

EDUCATION.PA.GOV
Social Emotional Learning",2020-08-29 20:53:30,,
7,1.0,,2.0,https://www.nea.org/assets/docs/Social%20and%20Emotional%20Learning%20Response_Bkgdr%20v3.pdf,3122105301248980,https://www.nea.org/assets/docs/Social%20and%20Emotional%20Learning%20Response_Bkgdr%20v3.pdf,https://facebook.com/story.php?story_fbid=3122105301248980&id=374258526033685,"NEA.ORG
www.nea.org",0.0,"https://www.nea.org/assets/docs/Social%20and%20Emotional%20Learning%20Response_Bkgdr%20v3.pdf

NEA.ORG
www.nea.org",2020-08-29 20:53:10,,
8,0.0,,0.0,https://casel.org/,3119307718195405,https://casel.org/,https://facebook.com/story.php?story_fbid=3119307718195405&id=374258526033685,"CASEL.ORG
CASEL - CASEL",0.0,"https://casel.org/

CASEL.ORG
CASEL - CASEL",2020-08-28 22:38:19,,
9,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118516482_3117600801699430_3794048464850037614_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=_bSfErWa4L4AX_53f79&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8cb7360da4447ff778ca612ba34cfaa0&oe=5F82AAAE,19.0,,3117601098366067,,https://facebook.com/story.php?story_fbid=3117601098366067&id=374258526033685,,0.0,,2020-08-28 08:39:22,,
