,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,34.0,,62.0,,2304692556506604,"Congratulations Lee High School Class of 2020!! You are indeed the Quarantined Class that will forever be etched in our hearts. This year has presented you with many challenges and unexpected twists and turns, but you accepted the challenge and answered the call!!! YOU MADE IT!!! We love you, and we believe that you will demand your rightful place in this word with boldness, authority, and integrity! Keep dreaming, keep striving and never stop believing!

*We do not own the rights to this music*

#SeniorStrong
#LHSClassof2020❤️
#WeAreTrojans",,,0.0,"Congratulations Lee High School Class of 2020!! You are indeed the Quarantined Class that will forever be etched in our hearts. This year has presented you with many challenges and unexpected twists and turns, but you accepted the challenge and answered the call!!! YOU MADE IT!!! We love you, and we believe that you will demand your rightful place in this word with boldness, authority, and integrity! Keep dreaming, keep striving and never stop believing!

*We do not own the rights to this music*

#SeniorStrong
#LHSClassof2020❤️
#WeAreTrojans",2020-05-14 13:21:01,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_550494159233292_7122516082828509184_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=5XB1S8JGMYYAX_AoUsh&_nc_ht=video-atl3-1.xx&oh=29973b6ddfba46f4e2ca7fd990b15bc5&oe=5F5EC403,
1,0.0,,9.0,,2386140721695120,"Important Announcement
Currently the following campuses do not have power. Until the power issue has been resolved these campuses will closed until further notice: Whitten Pre-K, Central Office and Whitten campuses. Staff are to report to work as scheduled.",https://facebook.com/story.php?story_fbid=2386140721695120&id=1514647432177791,,0.0,"Important Announcement
Currently the following campuses do not have power. Until the power issue has been resolved these campuses will closed until further notice: Whitten Pre-K, Central Office and Whitten campuses. Staff are to report to work as scheduled.",2020-08-27 07:27:18,,
2,0.0,,9.0,http://www.edgenuity.com/,2384938121815380,"📢📢📢Extra! Extra! 📢📢📢 GRADES 7-12 ONLY
The Edgenuity platform is now available. Students may now log in and access their courses. Students, please be sure to watch the orientation videos.

1. To access the platform go to www.edgenuity.com.
2. Click the student login.
3. Enter your school email address (example:john.smith@lcsdtrojans.net).
4. The password is trojans21.
5. Click the square tiles that show the course names (example: Chemistry)
6. Notice the dates when assignments are due.

There is also a link for the students on the school website www.lcsdtrojans.net. Click on the STUDENTS tab for the link to the site.

If you need assistance with accessing courses, please give us a call. We are more than happy to help.

Thank you for being patient as we transition to digital learning.",https://facebook.com/story.php?story_fbid=2384938121815380&id=1514647432177791,"LCSDTROJANS.NET
www.lcsdtrojans.net",16.0,"📢📢📢Extra! Extra! 📢📢📢 GRADES 7-12 ONLY
The Edgenuity platform is now available. Students may now log in and access their courses. Students, please be sure to watch the orientation videos.

1. To access the platform go to www.edgenuity.com.
2. Click the student login.
3. Enter your school email address (example:john.smith@lcsdtrojans.net).
4. The password is trojans21.
5. Click the square tiles that show the course names (example: Chemistry)
6. Notice the dates when assignments are due.

There is also a link for the students on the school website www.lcsdtrojans.net. Click on the STUDENTS tab for the link to the site.

If you need assistance with accessing courses, please give us a call. We are more than happy to help.

Thank you for being patient as we transition to digital learning.

LCSDTROJANS.NET
www.lcsdtrojans.net",2020-08-25 21:29:06,,
3,2.0,,10.0,,3212593402168018,Lee High School Back To Meeting,,,2.0,Lee High School Back To Meeting,2020-08-24 07:59:16,https://scontent-atl3-1.xx.fbcdn.net/v/t66.36281-6/10000000_319636079278837_1764589086986864080_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=4GxCmf27Vt0AX9OnI7h&_nc_ht=scontent-atl3-1.xx&oh=48d147f7fec072f0372ebabb249da4cf&oe=5F8336C7,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118274291_2381629682146224_3402188065465213267_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=fCvDT85AhZoAX8H7_kV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=db83e83e9bb42851eab563ec73feb7d4&oe=5F836EEA,7.0,,2381629732146219,LCSD 2020-21 Bus Routes,https://facebook.com/story.php?story_fbid=2381629732146219&id=1514647432177791,,0.0,LCSD 2020-21 Bus Routes,2020-08-21 23:00:51,,
5,6.0,,7.0,,2381508762158316,ATTENTION! ASLA PARENTS AND STUDENTS.,https://facebook.com/story.php?story_fbid=2381508762158316&id=1514647432177791,,0.0,ATTENTION! ASLA PARENTS AND STUDENTS.,2020-08-21 19:06:38,,
6,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117772532_2381403545502171_3489117557357735517_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=H_I4ps8ykqcAX_6ZnS7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7b980c57e8b83c21295269162ec819d3&oe=5F841BD9,6.0,https://players.brightcove.net/2827488281001/r1gxKYns_default/index.html?videoId=6146072769001,2381404062168786,"Please SHARE with those who do not have access to the internet!

ATTN Lee High School Students!

Greetings,
Theme: Recovery Mode: Take Back What's Yours!

Online students lunch: 4PM at ASLA in the cafeteria. Masks must be worn at all times.
Onsite lunch for Lee High School: Jr. 11:15AM & HS: 12:50PM

How we will communicate with parents and students: Google Meet for meetings with teachers

First-day entry: All Students will enter through the front main entrance to be Prescreened for health and safety as well as security.

Curriculum & Instruction Information:
Platform: Edgenuity
https://players.brightcove.net/2827488281001/r1gxKYns_default/index.html?videoId=6146072769001

Student usernames: their school email addresses
Password is trojans21
Students can change the password.

Attachments: Lee High School COVID Safety Planning & Coaching Concept Flyer Students.",https://facebook.com/story.php?story_fbid=2381404062168786&id=1514647432177791,,0.0,"Please SHARE with those who do not have access to the internet!

ATTN Lee High School Students!

Greetings,
Theme: Recovery Mode: Take Back What's Yours!

Online students lunch: 4PM at ASLA in the cafeteria. Masks must be worn at all times.
Onsite lunch for Lee High School: Jr. 11:15AM & HS: 12:50PM

How we will communicate with parents and students: Google Meet for meetings with teachers

First-day entry: All Students will enter through the front main entrance to be Prescreened for health and safety as well as security.

Curriculum & Instruction Information:
Platform: Edgenuity
https://players.brightcove.net/2827488281001/r1gxKYns_default/index.html?videoId=6146072769001

Student usernames: their school email addresses
Password is trojans21
Students can change the password.

Attachments: Lee High School COVID Safety Planning & Coaching Concept Flyer Students.",2020-08-21 15:48:27,,
7,0.0,,0.0,,2379729032336289,"FYI:
Parents of 7th -12th grade students, schedules will be available for pick-up starting August 20, 2020 and August 21, 2020 from 10am- 12pm then 1:00pm- 3:00pm.",https://facebook.com/story.php?story_fbid=2379729032336289&id=1514647432177791,,0.0,"FYI:
Parents of 7th -12th grade students, schedules will be available for pick-up starting August 20, 2020 and August 21, 2020 from 10am- 12pm then 1:00pm- 3:00pm.",2020-08-19 18:57:07,,
8,6.0,,6.0,,2377703189205540,"Distributing Chrome Devices
Students and parents will come to their child’s building in the high school building on their designated day to receive the school-issued Chromebook, sign to acknowledge the policy book.
We will be available from 7:00am to 3:00pm Monday, August 17- Thursday, August 20
Date
20-21 Grade Level
August 17, 2020
Grades 10th-12th LHS

August 18, 2020
Grades 7th-9th LHS

August 19, 2020
Grades 3rd-6th ASLA

August 20, 2020
Kindergarten, 1st, and 2nd Grade ASLA",https://facebook.com/story.php?story_fbid=2377703189205540&id=1514647432177791,,0.0,"Distributing Chrome Devices
Students and parents will come to their child’s building in the high school building on their designated day to receive the school-issued Chromebook, sign to acknowledge the policy book.
We will be available from 7:00am to 3:00pm Monday, August 17- Thursday, August 20
Date
20-21 Grade Level
August 17, 2020
Grades 10th-12th LHS

August 18, 2020
Grades 7th-9th LHS

August 19, 2020
Grades 3rd-6th ASLA

August 20, 2020
Kindergarten, 1st, and 2nd Grade ASLA",2020-08-17 10:54:36,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117859182_2375332766109249_7367562621507102263_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=_i_C5xRbpUIAX-vBWGX&_nc_ht=scontent-atl3-1.xx&oh=3387a6d1dc787714b0934e8a7466e165&oe=5F849B7D,8.0,,2375332972775895,"In an effort to prevent the spread of the COVID-19 virus within our staff and student body we are asking all parents/guardians, of students who will be in attendance on-site, and all employees to notify our designated Point of Contact immediately when the following occurs:

• Someone in the household has tested positive for COVID 19.
• Someone in the household has been identified as a Close Contact to a positive case of COVID 19 and is requiring quarantine and/or recommended to be tested for COVID 19.
• Student attending on-site and employees who are being tested for COVID-19. If symptomatic, student/staff should remain in quarantine pending results of their COVID 19 test.

Please call Joycelyn Brandon at (870) 295-1022 or email information to Joycelyn.brandon@lcsdtrojans.net. Thank you in advance for your cooperation. Together we can help keep our Lee County School District family safe, healthy, and ready to learn during this unique time.",https://facebook.com/story.php?story_fbid=2375332972775895&id=1514647432177791,,0.0,"In an effort to prevent the spread of the COVID-19 virus within our staff and student body we are asking all parents/guardians, of students who will be in attendance on-site, and all employees to notify our designated Point of Contact immediately when the following occurs:

• Someone in the household has tested positive for COVID 19.
• Someone in the household has been identified as a Close Contact to a positive case of COVID 19 and is requiring quarantine and/or recommended to be tested for COVID 19.
• Student attending on-site and employees who are being tested for COVID-19. If symptomatic, student/staff should remain in quarantine pending results of their COVID 19 test.

Please call Joycelyn Brandon at (870) 295-1022 or email information to Joycelyn.brandon@lcsdtrojans.net. Thank you in advance for your cooperation. Together we can help keep our Lee County School District family safe, healthy, and ready to learn during this unique time.",2020-08-14 12:02:55,,
