,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/81944294_2324150357880019_4130034953534589109_o.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=pzIEARm5mQMAX8YP4Do&_nc_ht=scontent-atl3-1.xx&oh=fd21a9684f6695cbc075df718c79716b&oe=5F826238,35.0,,2324150517880003,"We'd like to wish everyone a happy and safe Fourth of July!

#LemanAcademy #Celebrate",https://facebook.com/story.php?story_fbid=2324150517880003&id=1386450898316641,,0.0,"We'd like to wish everyone a happy and safe Fourth of July!

#LemanAcademy #Celebrate",2020-07-04 10:00:01,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/100073630_2293592434269145_4741599098275102720_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=X3UGoomxE9MAX8EHpDH&_nc_ht=scontent-atl3-1.xx&tp=14&oh=596f6a95702f2bd17e2e04eb31c3c3fa&oe=5F85A4BA,35.0,,2293592564269132,"Today we honor and remember those who have served our country! Thank you for your service, and have a safe Memorial Day.",https://facebook.com/story.php?story_fbid=2293592564269132&id=1386450898316641,,0.0,"Today we honor and remember those who have served our country! Thank you for your service, and have a safe Memorial Day.",2020-05-25 10:00:19,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/94979334_2276792575949131_6982265562160168960_o.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=FpCcLPnmCtkAX8CfZzc&_nc_ht=scontent-atl3-1.xx&oh=f73ca6a266a5c001b7d456d34d62b599&oe=5F83D883,4.0,https://bit.ly/LemanSurveyMay2020,2276796749282047,"We are asking that all Leman Academy of Excellence parents take a moment to evaluate our current technology by May 21st. Your input will help us to continue to adjust and make improvements to our program. Click here to fill out our survey: https://bit.ly/LemanSurveyMay2020

Thank you for your support and cooperation!

#LemanAcademy #ParentSurvey",https://facebook.com/story.php?story_fbid=2276796749282047&id=1386450898316641,,0.0,"We are asking that all Leman Academy of Excellence parents take a moment to evaluate our current technology by May 21st. Your input will help us to continue to adjust and make improvements to our program. Click here to fill out our survey: https://bit.ly/LemanSurveyMay2020

Thank you for your support and cooperation!

#LemanAcademy #ParentSurvey",2020-04-30 10:00:39,,
3,34.0,,109.0,,2268232346805154,"Hi Leman Scholars! We really miss you and hope you're able to enjoy spending extra time with your family. Mr. O'Reilly, our Head of Schools, wanted to check in with you and share a message of motivation! Please enjoy...",,,0.0,"Hi Leman Scholars! We really miss you and hope you're able to enjoy spending extra time with your family. Mr. O'Reilly, our Head of Schools, wanted to check in with you and share a message of motivation! Please enjoy...",2020-04-17 19:43:23,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/93706307_2567809793489910_6042708472221401088_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=RYLwOyzZcrAAX_qNi1q&_nc_ht=video-atl3-1.xx&oh=bd085240ccd8252dd060ea60fd2b9797&oe=5F5E985F,
4,22.0,,30.0,,2262560447372344,"This is what remote learning looks like in a Leman family/school.

#LemanAcademy #LittleMermaid #RemoteLearning",,,0.0,"This is what remote learning looks like in a Leman family/school.

#LemanAcademy #LittleMermaid #RemoteLearning",2020-04-10 15:06:41,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/92265477_642840469620490_2514118175398821888_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=CiM57ChMI7kAX-fqVJV&_nc_ht=video-atl3-1.xx&oh=47ff2a8462e15723bcb2fb4490972e1f&oe=5F5E9349,
5,1.0,,10.0,,2256465191315203,"No foolin', here are the morning announcements for April 1st, brought to you by Leman Mesa's very own Mr. Opazo!",,,0.0,"No foolin', here are the morning announcements for April 1st, brought to you by Leman Mesa's very own Mr. Opazo!",2020-04-01 13:02:43,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/91703805_249674282839208_1881519318613622784_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=hYTFR3QNZXwAX_Kbk3k&_nc_ht=video-atl3-1.xx&oh=1f20966ee9ba256bffcd58b19eec32a7&oe=5F5E9B8F,
6,0.0,,6.0,,2255792344715821,"Here are the morning announcements for March 31st, brought to you by Leman Mesa's very own Mr. Opazo!",,,0.0,"Here are the morning announcements for March 31st, brought to you by Leman Mesa's very own Mr. Opazo!",2020-03-31 12:59:16,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/91162613_2369274303371531_9085379986084331520_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=HVZqt87YnoAAX972gNd&_nc_ht=video-atl3-1.xx&oh=2217e19029c5ece240d38b096e034760&oe=5F5E94CA,
7,1.0,,6.0,,2255127854782270,"Happy Monday. Here are the morning announcements for March 30th, brought to you by Leman Mesa's very own Mr. Opazo!",,,0.0,"Happy Monday. Here are the morning announcements for March 30th, brought to you by Leman Mesa's very own Mr. Opazo!",2020-03-30 13:19:59,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/91121402_229518221495952_2777741635939729408_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=wXAHYz5lxVEAX_GF3Qu&_nc_ht=video-atl3-1.xx&oh=90b412e56a37a134db4daf1890be8ea4&oe=5F5E9715,
8,0.0,,11.0,,2252982328330156,"It's finally Friday! Here are the morning announcements for March 27th, brought to you by Leman Mesa's very own Mr. Opazo!",,,0.0,"It's finally Friday! Here are the morning announcements for March 27th, brought to you by Leman Mesa's very own Mr. Opazo!",2020-03-27 13:17:26,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/91349082_1302567666797486_2173706235818278912_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=pBchPWEaE5MAX9hWott&_nc_ht=video-atl3-1.xx&oh=c1514f2be12d742928e86639a0bb731c&oe=5F5E99FA,
9,0.0,,3.0,,2252242715070784,"Happy Thursday! Here are the morning announcements for March 26th, brought to you by Leman Mesa's very own Mr. Opazo!",,,0.0,"Happy Thursday! Here are the morning announcements for March 26th, brought to you by Leman Mesa's very own Mr. Opazo!",2020-03-26 13:12:55,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_221878078867177_7755225844259225600_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=IBbXct4CC-sAX-3Wb3m&_nc_ht=video-atl3-1.xx&oh=7ffe4c4e8e59cba8f50c81c461fa3376&oe=5F5EA0E0,
