,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,4.0,https://www.seitzfundraising.com/store/fundraiser.aspx?ID=F055D332,926711467851698,"Please see the following information regarding an FFA Fundraiser:

Our Meat, Cookie and Fruit Fundraiser is now underway.
The fundraiser will close on September 30th.
The following links will allow you to purchase online, select the student you wish to give credit to, and pay with a credit card.
Meat and Cookies: Arrive before Thanksgiving
https://www.seitzfundraising.com/store/fundraiser.aspx?ID=F055D332
Fruit: Arrives before Christmas
https://www.seitzfundraising.com/store/fundraiser.aspx?ID=AA43B6CE",https://facebook.com/story.php?story_fbid=926711467851698&id=247300189126166,"SEITZFUNDRAISING.COM
LEON HIGH SCHOOL FFA FFA - Fruit Fundraiser",7.0,"Please see the following information regarding an FFA Fundraiser:

Our Meat, Cookie and Fruit Fundraiser is now underway.
The fundraiser will close on September 30th.
The following links will allow you to purchase online, select the student you wish to give credit to, and pay with a credit card.
Meat and Cookies: Arrive before Thanksgiving
https://www.seitzfundraising.com/store/fundraiser.aspx?ID=F055D332
Fruit: Arrives before Christmas
https://www.seitzfundraising.com/store/fundraiser.aspx?ID=AA43B6CE

SEITZFUNDRAISING.COM
LEON HIGH SCHOOL FFA FFA - Fruit Fundraiser",2020-09-11 14:37:23,,
1,0.0,,0.0,,923821128140732,,https://facebook.com/story.php?story_fbid=923821128140732&id=247300189126166,"Leon Lady Cougar Athletics
September 7 at 9:30 PM ·

Booster club shirt order due TOMORROW
(Tuesday 9/8)!!!
Email Rachael Robinson
rrobinson@leonisd.net
by NOON if you don’t have a form.",0.0,"Leon Lady Cougar Athletics
September 7 at 9:30 PM ·

Booster club shirt order due TOMORROW
(Tuesday 9/8)!!!
Email Rachael Robinson
rrobinson@leonisd.net
by NOON if you don’t have a form.",2020-09-07 22:31:25,,
2,0.0,,0.0,,,"Booster club shirt order due TOMORROW
(Tuesday 9/8)!!!
Email Rachael Robinson
rrobinson@leonisd.net
by NOON if you don’t have a form.",https://facebook.com/story.php?story_fbid=413958526626624&id=101681377854342,,0.0,"Booster club shirt order due TOMORROW
(Tuesday 9/8)!!!
Email Rachael Robinson
rrobinson@leonisd.net
by NOON if you don’t have a form.",2020-09-17 19:32:30.246485,,
3,0.0,,5.0,https://www.dallasnews.com/high-school-sports/football/2020/09/01/uil-threatens-sanctions-if-school-districts-and-their-fans-dont-follow-covid-19-guidelines/,921062115083300,"Hey everyone, please see the following article regarding UIL events. Wearing masks is required at UIL events. https://www.dallasnews.com/high-school-sports/football/2020/09/01/uil-threatens-sanctions-if-school-districts-and-their-fans-dont-follow-covid-19-guidelines/",https://facebook.com/story.php?story_fbid=921062115083300&id=247300189126166,"DALLASNEWS.COM
UIL threatens sanctions if school districts and their fans don’t follow COVID-19 guidelines",8.0,"Hey everyone, please see the following article regarding UIL events. Wearing masks is required at UIL events. https://www.dallasnews.com/high-school-sports/football/2020/09/01/uil-threatens-sanctions-if-school-districts-and-their-fans-dont-follow-covid-19-guidelines/

DALLASNEWS.COM
UIL threatens sanctions if school districts and their fans don’t follow COVID-19 guidelines",2020-09-04 11:28:06,,
4,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118628486_920322851823893_5794097195631932543_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=-zRIuofcJYoAX-nNi63&_nc_ht=scontent-atl3-1.xx&tp=14&oh=cc15b128cdbbccf9c37b4ef1fe91b09c&oe=5F87C6E6,9.0,,920322921823886,"If we can get enough orders, we will be placing another one for our Leon Spirit Shirts!!! Due Tuesday by noon.
This will be the last one so get yours in so you can SHOW THAT COUGAR 💙🐾 💙 PRIDE!!!",https://facebook.com/story.php?story_fbid=920322921823886&id=247300189126166,,0.0,"If we can get enough orders, we will be placing another one for our Leon Spirit Shirts!!! Due Tuesday by noon.
This will be the last one so get yours in so you can SHOW THAT COUGAR 💙🐾 💙 PRIDE!!!",2020-09-03 13:22:47,,
5,0.0,,5.0,,918559688666876,"Clarification on Football Tickets for Dawson

Leon Cougars Football will play at Dawson this Friday. There are limited tickets available for the game. Everyone must have a ticket to enter the facility. Leon ISD will issue tickets to for those parents of Varsity Football players, Cheerleaders, and Band on Monday and Tuesday. Any tickets left over will be available to the public on Wednesday morning at the Administration office. The payment for these tickets will be made at Dawson’s facility. No payment will be conducted at Leon.",https://facebook.com/story.php?story_fbid=918559688666876&id=247300189126166,,0.0,"Clarification on Football Tickets for Dawson

Leon Cougars Football will play at Dawson this Friday. There are limited tickets available for the game. Everyone must have a ticket to enter the facility. Leon ISD will issue tickets to for those parents of Varsity Football players, Cheerleaders, and Band on Monday and Tuesday. Any tickets left over will be available to the public on Wednesday morning at the Administration office. The payment for these tickets will be made at Dawson’s facility. No payment will be conducted at Leon.",2020-09-01 09:22:09,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118585038_915304895659022_6984024590811975927_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=okFJ_PPiAdIAX-RC0-\-\&_nc_ht=scontent-atl3-1.xx&oh=00d4aa0dbf1d417864d9fccf1f2444fb&oe=5F89D15F,14.0,,915305058992339,"FOOTBALL GAME TONIGHT!!!!
EVERYONE must have a ticket to enter.
NO TICKETS WILL BE SOLD AT THE GATE!!!!
If you would like a ticket, please purchase them from the admin office by 2:30PM TODAY!!!

TICKETS are $4.00 EACH",https://facebook.com/story.php?story_fbid=915305058992339&id=247300189126166,,0.0,"FOOTBALL GAME TONIGHT!!!!
EVERYONE must have a ticket to enter.
NO TICKETS WILL BE SOLD AT THE GATE!!!!
If you would like a ticket, please purchase them from the admin office by 2:30PM TODAY!!!

TICKETS are $4.00 EACH",2020-08-28 09:44:03,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118467592_912547759268069_8605972204000867781_n.jpg?_nc_cat=102&_nc_sid=110474&_nc_ohc=n3PZORDJ8g8AX_5tTV4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2b94d3dd6880d9dd57b9d45c84fbd6e7&oe=5F88C3FD,4.0,,912549295934582,"💙Leon Booster Club Shirts and Hoodies💙

Order forms will also go home in Tuesday folders.
You can print the attached form or pick up one up in the High School office.",https://facebook.com/story.php?story_fbid=912549295934582&id=247300189126166,,0.0,"💙Leon Booster Club Shirts and Hoodies💙

Order forms will also go home in Tuesday folders.
You can print the attached form or pick up one up in the High School office.",2020-08-24 20:50:01,,
8,0.0,,9.0,,908561469666698,There will be no school on Thursday August 20th or Friday August 21st due to scheduled holidays. Classes will resume on Monday August 24th.,https://facebook.com/story.php?story_fbid=908561469666698&id=247300189126166,,0.0,There will be no school on Thursday August 20th or Friday August 21st due to scheduled holidays. Classes will resume on Monday August 24th.,2020-08-19 16:50:52,,
9,3.0,,19.0,https://drive.google.com/file/d/1o2SvQSUVE1WIlzw8sRrP-991zMWVrqWW/view?usp=sharing,901643343691844,"GO COUGARS!!! We hope everyone had a great first day! Please check out the following video!
https://drive.google.com/file/d/1o2SvQSUVE1WIlzw8sRrP-991zMWVrqWW/view?usp=sharing",https://facebook.com/story.php?story_fbid=901643343691844&id=247300189126166,"DRIVE.GOOGLE.COM
Leon ISD Hype Video.MOV",46.0,"GO COUGARS!!! We hope everyone had a great first day! Please check out the following video!
https://drive.google.com/file/d/1o2SvQSUVE1WIlzw8sRrP-991zMWVrqWW/view?usp=sharing

DRIVE.GOOGLE.COM
Leon ISD Hype Video.MOV",2020-08-10 19:18:03,,
