,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119148162_1746755302148939_225531876949012846_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=My96sVZ4-JgAX_CH14B&_nc_ht=scontent-atl3-1.xx&tp=14&oh=368bdf43de639acb0f3ac744905dc4e0&oe=5F8238B0,36.0,,1746761372148332,"Today we remember the events that took place 19 years ago. As educators and parents it's important that we share the history of this tragedy with our children, so as a nation we never forget what took place not only on that day, but the days that followed. Human mankind came together as one and united. United to show the world we can not be broken and we will rise to face any challenge that is thrown at us.",https://facebook.com/story.php?story_fbid=1746761372148332&id=555642661260215,,0.0,"Today we remember the events that took place 19 years ago. As educators and parents it's important that we share the history of this tragedy with our children, so as a nation we never forget what took place not only on that day, but the days that followed. Human mankind came together as one and united. United to show the world we can not be broken and we will rise to face any challenge that is thrown at us.",2020-09-11 07:59:38,,
1,0.0,,2.0,https://parents.genesisedu.com/lincolnpark/parents?tab1=studentdata&tab2=studentsummary,1745775852246884,"Happy First Day of Physical School for the BLUE GROUP.......Please remember if your child is physically coming to school you need to submit the Health Screening Form in Genesis.
https://parents.genesisedu.com/lincolnpark/parents?tab1=studentdata&tab2=studentsummary",https://facebook.com/story.php?story_fbid=1745775852246884&id=555642661260215,"PARENTS.GENESISEDU.COM
Parents Login",0.0,"Happy First Day of Physical School for the BLUE GROUP.......Please remember if your child is physically coming to school you need to submit the Health Screening Form in Genesis.
https://parents.genesisedu.com/lincolnpark/parents?tab1=studentdata&tab2=studentsummary

PARENTS.GENESISEDU.COM
Parents Login",2020-09-10 07:38:03,,
2,0.0,,19.0,https://parents.genesisedu.com/lincolnpark/parents?tab1=studentdata&tab2=studentsummary,1743494845808318,"Happy First Day of School.......Please remember if your child is physically coming to school you need to submit the Health Screening Form in Genesis.
https://parents.genesisedu.com/lincolnpark/parents?tab1=studentdata&tab2=studentsummary",https://facebook.com/story.php?story_fbid=1743494845808318&id=555642661260215,"PARENTS.GENESISEDU.COM
Parents Login",0.0,"Happy First Day of School.......Please remember if your child is physically coming to school you need to submit the Health Screening Form in Genesis.
https://parents.genesisedu.com/lincolnpark/parents?tab1=studentdata&tab2=studentsummary

PARENTS.GENESISEDU.COM
Parents Login",2020-09-08 07:09:44,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/111665931_1696535077170962_6092672893134542738_n.png?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=RjRJO94zCSIAX87hAWk&_nc_ht=scontent-atl3-1.xx&oh=9fa3fe4a6840ca6b4f43ac4fe5fed0f8&oe=5F8268C1,1.0,,1696536197170850,Camp Invention is back!! If you are looking for an engaging summer virtual experience for your child check out the below information.,https://facebook.com/story.php?story_fbid=1696536197170850&id=555642661260215,,0.0,Camp Invention is back!! If you are looking for an engaging summer virtual experience for your child check out the below information.,2020-07-21 08:37:16,,
4,30.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/110182715_1692375017586968_3094000255276841975_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=mqdUvv6JlhIAX-qSwQ7&_nc_oc=AQlrR7oSTo0cFIOYZimcb1hRxOaguNYw1xQ2aUQqAIq0I0jCCl_-JqpEFXuD2EG_QDE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1db759697e669e8280f1faf70ffb379f&oe=5F81F076,116.0,,1692375390920264,"Congratulations to Mrs. Koldyk, a WDHA Teacher Who Rocks. The awards ceremony was postponed, so WDHA brought her award to her house. We are proud to have Mrs. Koldyk teaching at LPMS!",https://facebook.com/story.php?story_fbid=1692375390920264&id=555642661260215,,0.0,"Congratulations to Mrs. Koldyk, a WDHA Teacher Who Rocks. The awards ceremony was postponed, so WDHA brought her award to her house. We are proud to have Mrs. Koldyk teaching at LPMS!",2020-07-16 21:32:31,,
5,0.0,,16.0,,1683410825150054,"Dear Parents of LPMS & LPES Students,
Please check your email for the survey about reopening schools.",https://facebook.com/story.php?story_fbid=1683410825150054&id=555642661260215,,0.0,"Dear Parents of LPMS & LPES Students,
Please check your email for the survey about reopening schools.",2020-07-07 14:36:45,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/106909664_1680247102133093_980632402235156966_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=pihWJvyH1_IAX_HsBbE&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e080b753e171d5fdd68655d24eab885c&oe=5F851FA0,24.0,,1680247132133090,,https://facebook.com/story.php?story_fbid=1680247132133090&id=555642661260215,,0.0,,2020-07-04 09:43:12,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/105337599_1667475316743605_8338396018516451509_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=HijFKTNBUqUAX8pAWzi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=22b6c604c88cfd5d542039186bdb75ca&oe=5F858061,14.0,,1667475356743601,,https://facebook.com/story.php?story_fbid=1667475356743601&id=555642661260215,,0.0,,2020-06-21 12:53:02,,
8,0.0,,64.0,https://www.lincolnparkboe.org/Content2/272,1663328247158312,"As today marks our first day of summer, we would like to take a moment to wish everyone a happy and safe summer. We can not thank the Lincoln Park Community enough for their support throughout distance learning. To our students and parents thank you for your patience and your hard work. To our staff and teachers thank you for transforming your classrooms from a physical space to an engaging virtual environment within the matter of days. Everyone has gone above and beyond and we truly thank everyone. So as we start summer it's time to close your computers and take break and relax. If you haven't checked out our end of year celebrations they will continue to be posted on our website at https://www.lincolnparkboe.org/Content2/272. Thank you, Thank You, & Thank you!!!!",https://facebook.com/story.php?story_fbid=1663328247158312&id=555642661260215,,0.0,"As today marks our first day of summer, we would like to take a moment to wish everyone a happy and safe summer. We can not thank the Lincoln Park Community enough for their support throughout distance learning. To our students and parents thank you for your patience and your hard work. To our staff and teachers thank you for transforming your classrooms from a physical space to an engaging virtual environment within the matter of days. Everyone has gone above and beyond and we truly thank everyone. So as we start summer it's time to close your computers and take break and relax. If you haven't checked out our end of year celebrations they will continue to be posted on our website at https://www.lincolnparkboe.org/Content2/272. Thank you, Thank You, & Thank you!!!!",2020-06-17 09:07:14,,
9,0.0,,12.0,https://drive.google.com/file/d/1r-Mh_EQyvbp5hGCSNtaj4FqTC5ZavYff/view?usp=sharing,1662759363881867,10 minutes to go. Here is the digital program for this year's graduation https://drive.google.com/file/d/1r-Mh_EQyvbp5hGCSNtaj4FqTC5ZavYff/view?usp=sharing,https://facebook.com/story.php?story_fbid=1662759363881867&id=555642661260215,"DRIVE.GOOGLE.COM
LPMS Class of 2020 Graduation Program as of 6-11-20 6 50pm.pdf",0.0,"10 minutes to go. Here is the digital program for this year's graduation https://drive.google.com/file/d/1r-Mh_EQyvbp5hGCSNtaj4FqTC5ZavYff/view?usp=sharing

DRIVE.GOOGLE.COM
LPMS Class of 2020 Graduation Program as of 6-11-20 6 50pm.pdf",2020-06-16 18:20:09,,
