,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119068398_1239483093075448_4069504933691863391_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=8LsQCzc098UAX8WS4WG&_nc_ht=scontent-atl3-1.xx&oh=a30358ce5d94ec9100d848ece8d7106e&oe=5F83F35B,1.0,http://www.lockportschools.org/vpa,1239483183075439,"The Lockport City School District’s Music Department would like to assure you that the safety of your children is our priority while providing them the opportunity to perform in band and chorus. As per NYS guidelines, students will be spaced at a 12-foot distance while playing wind instruments or singing. For complete details visit our website at www.lockportschools.org/vpa",https://facebook.com/story.php?story_fbid=1239483183075439&id=245432015813899,,0.0,"The Lockport City School District’s Music Department would like to assure you that the safety of your children is our priority while providing them the opportunity to perform in band and chorus. As per NYS guidelines, students will be spaced at a 12-foot distance while playing wind instruments or singing. For complete details visit our website at www.lockportschools.org/vpa",2020-09-08 12:39:00,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118771528_1235219853501772_3924481010687442231_n.png?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=DxMxSaw14fYAX_WzPAn&_nc_ht=scontent-atl3-1.xx&oh=e6f57449b32a3dac94b2739da489b6dd&oe=5F84DE55,0.0,,1235219850168439,"All K-12 students will have full-day classes beginning on Tuesday, September 8, 2020. Reminder: Blue Cohort students (A-K) attend school in-person on Mondays and Tuesdays, and participate in remote learning on Wednesdays, Thursdays, and Fridays. Gold Cohort students (L-Z) attend school in-person on Thursdays and Fridays, and participate in remote learning on Mondays, Tuesdays, and Wednesdays.",,,0.0,"All K-12 students will have full-day classes beginning on Tuesday, September 8, 2020. Reminder: Blue Cohort students (A-K) attend school in-person on Mondays and Tuesdays, and participate in remote learning on Wednesdays, Thursdays, and Fridays. Gold Cohort students (L-Z) attend school in-person on Thursdays and Fridays, and participate in remote learning on Mondays, Tuesdays, and Wednesdays.",2020-09-03 10:00:46,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118496430_1232644493759308_3154495913496523002_n.png?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=iCIewB7IK3wAX-0wnvm&_nc_ht=scontent-atl3-1.xx&oh=671d3f305092d852d570d012d0003d9a&oe=5F859B43,0.0,http://www.lockportschools.org/WelcomeBack,1232644490425975,"Welcome to the 2020-2021 school year in the Lockport City School District! Please take time to review the contents of the Back to School Newsletter from Superintendent Bradley. It provides useful and required information, and should be used as a reference throughout the school year. www.lockportschools.org/WelcomeBack",,,0.0,"Welcome to the 2020-2021 school year in the Lockport City School District! Please take time to review the contents of the Back to School Newsletter from Superintendent Bradley. It provides useful and required information, and should be used as a reference throughout the school year. www.lockportschools.org/WelcomeBack",2020-08-31 10:00:16,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118224230_1223343858022705_7540577783962784618_n.png?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=0UqOXyPSFcoAX-qUlQo&_nc_ht=scontent-atl3-1.xx&oh=fab85e40f011ad6e0f29b084f290b641&oe=5F85F6FF,1.0,https://www.smore.com/nf5pj,1223343854689372,"Update from Superintendent Bradley on School Schedule
https://www.smore.com/nf5pj",,,0.0,"Update from Superintendent Bradley on School Schedule
https://www.smore.com/nf5pj",2020-08-20 14:00:56,,
4,0.0,,0.0,https://forms.gle/Xv9qGL2QQPEBZZWU7,1220605738296517,Parent Survey on Hybrid Learning Schedule Options - click here to complete: https://forms.gle/Xv9qGL2QQPEBZZWU7,,,0.0,Parent Survey on Hybrid Learning Schedule Options - click here to complete: https://forms.gle/Xv9qGL2QQPEBZZWU7,2020-08-17 17:00:45,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118070552_1219405495083208_3892230868002774870_n.png?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=gQvhOIH0uEgAX-26u2i&_nc_ht=scontent-atl3-1.xx&oh=ca027b35ded6bc29c53a026bb87ebb38&oe=5F84BA82,0.0,http://www.lockportschools.org/reopening,1219405491749875,"Registration for in-person Parent Question and Answer sessions on Wednesday, August 19, 2020 at Lockport High School is now closed. Both sessions will be live streamed for those people not in attendance. Only in-person questions will be answered during the in-person sessions. However, answers to questions may be found in the Frequently Asked Questions document located at www.lockportschools.org/reopening, or emailed to your child's principal.",,,0.0,"Registration for in-person Parent Question and Answer sessions on Wednesday, August 19, 2020 at Lockport High School is now closed. Both sessions will be live streamed for those people not in attendance. Only in-person questions will be answered during the in-person sessions. However, answers to questions may be found in the Frequently Asked Questions document located at www.lockportschools.org/reopening, or emailed to your child's principal.",2020-08-16 11:31:05,,
6,0.0,,0.0,http://www.lockportschools.org/ReopeningUpdate,1211928429164248,A video message regarding the Updated School Reopening Plan from Superintendent Bradley is available at www.lockportschools.org/ReopeningUpdate. Frequently Asked Questions are located at www.lockportschools.org/FAQ and will be updated as common questions are asked. Complete reopening information can be found at www.lockportschools.org/reopening,,,0.0,A video message regarding the Updated School Reopening Plan from Superintendent Bradley is available at www.lockportschools.org/ReopeningUpdate. Frequently Asked Questions are located at www.lockportschools.org/FAQ and will be updated as common questions are asked. Complete reopening information can be found at www.lockportschools.org/reopening,2020-08-07 17:06:14,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117175527_1208481819508909_8169069281343365852_n.png?_nc_cat=107&_nc_sid=2d5d41&_nc_ohc=YJfhjbJXJwEAX9WPcK5&_nc_ht=scontent-atl3-1.xx&oh=33cd53da36bfb60a82add37d78149f2e&oe=5F841251,0.0,http://www.lockportschools.org/reopening,1208481816175576,"The Remote Learning Registration Form has been emailed to parents of Lockport City School District students. If you did not receive the registration, please contact your child's school to update your email address. The registration form can also be found at www.lockportschools.org/reopening",,,0.0,"The Remote Learning Registration Form has been emailed to parents of Lockport City School District students. If you did not receive the registration, please contact your child's school to update your email address. The registration form can also be found at www.lockportschools.org/reopening",2020-08-03 14:50:52,,
8,0.0,,0.0,https://www.smore.com/xyzta,1199388513751573,"We are following up with another specific parent survey and need your response if you have children in our schools. Please complete this Technology, Transportation, and Instruction Survey.

Take the Survey Now: https://www.smore.com/xyzta",https://facebook.com/story.php?story_fbid=1199388513751573&id=245432015813899,,0.0,"We are following up with another specific parent survey and need your response if you have children in our schools. Please complete this Technology, Transportation, and Instruction Survey.

Take the Survey Now: https://www.smore.com/xyzta",2020-07-23 14:00:29,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104238655_4346674358675973_1861862813784828597_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=cEXuIB8wmhgAX-s8JfV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=74aaa984465e08f1fb3edf1fa4b69d51&oe=5F84798D,1.0,http://www.lockportschools.org/rbkes,1169045026785922,,https://facebook.com/story.php?story_fbid=1169045026785922&id=245432015813899,"Lockport City School District
June 15 at 10:35 AM ·

A few of our talented artists and their projects from the Roy B. Kelley virtual art show! To view the complete show visit: www.lockportschools.org/rbkes",0.0,"Lockport City School District
June 15 at 10:35 AM ·

A few of our talented artists and their projects from the Roy B. Kelley virtual art show! To view the complete show visit: www.lockportschools.org/rbkes",2020-06-15 10:36:34,,
