,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,,17.0,https://www.youtube.com/watch?v=k_XSt8HWDaw,1463100613879371,🇺🇸🇺🇸🇺🇸,https://facebook.com/story.php?story_fbid=1463100613879371&id=135274543328658,"YOUTUBE.COM
LVA's Patriot Message 2020",4.0,"🇺🇸🇺🇸🇺🇸

YOUTUBE.COM
LVA's Patriot Message 2020",2020-09-11 08:28:06,,
1,3.0,,45.0,,1457057844483648,"A big THANK YOU to all of our families, faculty & staff for making this first week an amazing start to the school year!📝",,,0.0,"A big THANK YOU to all of our families, faculty & staff for making this first week an amazing start to the school year!📝",2020-09-04 15:26:19,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118681366_240268697300961_8242144551796474212_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=QsQslJnUWigAX9jeM-e&_nc_ht=video-atl3-1.xx&oh=bfcbd62c355d79d030e2315c5573b834&oe=5F5C51D1,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118838627_1456791347843631_5007603743655057201_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=ZoYu34BrZEgAX-sQAVK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=fc9eecbcda91accbc8471f5b1c50abbc&oe=5F8313EB,23.0,,1456791434510289,"Thank you for your patience as we've diligently completed the K-6 yearbook for 2019-2020 over the summer.

We will be sending out information regarding online sales very soon!",https://facebook.com/story.php?story_fbid=1456791434510289&id=135274543328658,,0.0,"Thank you for your patience as we've diligently completed the K-6 yearbook for 2019-2020 over the summer.

We will be sending out information regarding online sales very soon!",2020-09-04 09:51:31,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118813621_1456679177854848_6962632329090443778_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=bJ7Z0LiDs9kAX-o9SVM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7c0857a47017ee6bf912edbbecc45075&oe=5F8013E5,4.0,,1456679481188151,"• Important Reminder •

This includes photos, names, and address. This Directory Information is updated on a yearly basis. Please reach out to LVA if you want to opt out by September 14th.

Thank you!",https://facebook.com/story.php?story_fbid=1456679481188151&id=135274543328658,,0.0,"• Important Reminder •

This includes photos, names, and address. This Directory Information is updated on a yearly basis. Please reach out to LVA if you want to opt out by September 14th.

Thank you!",2020-09-04 07:10:49,,
4,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118650112_1455140258008740_2687475172655817533_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=8DU53HFLwO8AX_vscx9&_nc_ht=scontent-atl3-1.xx&tp=14&oh=37c6a1f8e1ffd0cfbd8e1858f2b1244c&oe=5F8398CB,27.0,,1455140334675399,Just a friendly reminder that tomorrow is Hybrid B & D’s first day of in-person instruction!📝 it is also Picture Day so bring your best smile! 😃📸,https://facebook.com/story.php?story_fbid=1455140334675399&id=135274543328658,,0.0,Just a friendly reminder that tomorrow is Hybrid B & D’s first day of in-person instruction!📝 it is also Picture Day so bring your best smile! 😃📸,2020-09-02 14:41:51,,
5,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118657207_1453320581524041_5387101745236422894_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=nA6eoHnVo6EAX8edWKW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e0dd2ed954a39a94332082b137aa578a&oe=5F81141F,65.0,,1453327944856638,"Together, we can do VIRTUALLY anything! 💻✨

“Air high-fives” all round! 😃🙏🏼

Let us know how your first day of school was (whether it was online or in person) in the comments below! 👇🏼👇🏼👇🏼",https://facebook.com/story.php?story_fbid=1453327944856638&id=135274543328658,,0.0,"Together, we can do VIRTUALLY anything! 💻✨

“Air high-fives” all round! 😃🙏🏼

Let us know how your first day of school was (whether it was online or in person) in the comments below! 👇🏼👇🏼👇🏼",2020-08-31 15:23:03,,
6,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118507894_1452950364894396_77963526863705421_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=YvDxqm0E5wgAX_AqsLK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6e6d6fe55dc6399a6c4cdf161e243c65&oe=5F81137D,58.0,,1452950424894390,It’s officially today is the first day for students online and it hybrid A/C! We are so excited to have you back in the buildings and look forward to seeing all your smiling eyes! 👨🏻‍🏫🍎📚👩🏽‍🏫 #MaskUpLVA #LVAPride #FirstDay,https://facebook.com/story.php?story_fbid=1452950424894390&id=135274543328658,,0.0,It’s officially today is the first day for students online and it hybrid A/C! We are so excited to have you back in the buildings and look forward to seeing all your smiling eyes! 👨🏻‍🏫🍎📚👩🏽‍🏫 #MaskUpLVA #LVAPride #FirstDay,2020-08-31 06:47:55,,
7,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117888595_1450649545124478_670418954691396725_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=C6b6phIdKLMAX_UFxsQ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=33c190f2065c30f53c877d85d28d7117&oe=5F803506,80.0,,1450649801791119,"LVA has been working diligently over the past couple of weeks to ensure a healthy and safe environment for our students when they return on Monday for our 2020-2021 school year. Enjoy the weekend, everyone! #IBLearning #LVA #LVAPRIDE #StaySafe #StayHealthy #InThisTogether",https://facebook.com/story.php?story_fbid=1450649801791119&id=135274543328658,,0.0,"LVA has been working diligently over the past couple of weeks to ensure a healthy and safe environment for our students when they return on Monday for our 2020-2021 school year. Enjoy the weekend, everyone! #IBLearning #LVA #LVAPRIDE #StaySafe #StayHealthy #InThisTogether",2020-08-28 17:03:36,,
8,11.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118581067_1450443515145081_2119169515909998094_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=66l9oX2BhfwAX9s4zE8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9079481220478b664f904365726d495d&oe=5F813430,66.0,,1450443955145037,"Special shout out to our friends from LOWE’S, and Manager Scott Crouse, at Birkland Place in Easton! ✨

They were kind enough to donate 100 gallons of hand sanitizer to LVA. THANK YOU!👏🏼",https://facebook.com/story.php?story_fbid=1450443955145037&id=135274543328658,,0.0,"Special shout out to our friends from LOWE’S, and Manager Scott Crouse, at Birkland Place in Easton! ✨

They were kind enough to donate 100 gallons of hand sanitizer to LVA. THANK YOU!👏🏼",2020-08-28 11:36:30,,
9,0.0,,21.0,https://www.youtube.com/watch?v=1np51q3lD8g,1447667482089351,Our K-3 Principal & Dean of Students are looking forward to seeing you this year whether you are a new or returning student!😀,https://facebook.com/story.php?story_fbid=1447667482089351&id=135274543328658,"YOUTUBE.COM
Welcome Back, K-3!",0.0,"Our K-3 Principal & Dean of Students are looking forward to seeing you this year whether you are a new or returning student!😀

YOUTUBE.COM
Welcome Back, K-3!",2020-08-25 12:38:34,,
