,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118796123_3510089365721966_7223515973116748181_n.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=Deblu3h6TOUAX9utRjr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0ba901238681181bc373dba187f7f2f3&oe=5F8369EB,48.0,,3510099215720981,Hello sunshine! #lolschools,https://facebook.com/story.php?story_fbid=3510099215720981&id=1302980446432880,,0.0,Hello sunshine! #lolschools,2020-09-08 13:58:22,,
1,0.0,,51.0,,3495333870530849,"Project Paws set up a surprise for our
Pre-K students. We look forward to welcoming these beautiful dogs back soon.",https://facebook.com/story.php?story_fbid=3495333870530849&id=1302980446432880,,0.0,"Project Paws set up a surprise for our
Pre-K students. We look forward to welcoming these beautiful dogs back soon.",2020-09-03 20:37:43,,
2,3.0,,38.0,https://lymeline.com/2020/09/lyme-old-lyme-schools-celebrate-a-successful-masked-start-to-school/,3493664534031116,https://lymeline.com/2020/09/lyme-old-lyme-schools-celebrate-a-successful-masked-start-to-school/,https://facebook.com/story.php?story_fbid=3493664534031116&id=1302980446432880,"LYMELINE.COM
Lyme, Old Lyme Schools Celebrate a Successful (Masked) Start to School",3.0,"https://lymeline.com/2020/09/lyme-old-lyme-schools-celebrate-a-successful-masked-start-to-school/

LYMELINE.COM
Lyme, Old Lyme Schools Celebrate a Successful (Masked) Start to School",2020-09-03 09:14:25,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118471551_3488662521197984_2281658285830131472_n.jpg?_nc_cat=111&_nc_sid=110474&_nc_ohc=67pIuzC4c2sAX8KuY8P&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ba1898c6794a196cee40a7062b618dae&oe=5F818890,78.0,,3488671244530445,"Thank you to our students, parents, teachers, staff and administrators for a wonderful first day.",https://facebook.com/story.php?story_fbid=3488671244530445&id=1302980446432880,,0.0,"Thank you to our students, parents, teachers, staff and administrators for a wonderful first day.",2020-09-01 19:03:30,,
4,1.0,,22.0,https://lymeline.com/2020/08/lyme-old-lyme-schools-reopen-to-all-students-tomorrow-we-are-excited-about-the-return-of-our-students-neviaser/,3484038728327030,,https://facebook.com/story.php?story_fbid=3484038728327030&id=1302980446432880,"LYMELINE.COM
Lyme-Old Lyme Schools Reopen to All Students Tomorrow, ‘We are Excited About the Return of our Students’ (Neviaser)",0.0,"LYMELINE.COM
Lyme-Old Lyme Schools Reopen to All Students Tomorrow, ‘We are Excited About the Return of our Students’ (Neviaser)",2020-08-31 08:36:19,,
5,0.0,,1.0,http://region18.devosvideo.com/show?video=bf6143e600f1&apg=db58a112,3404238742973696,"Regular Board of Education Meeting, August 5, 2020 beginning at 6:30 p.m. will be livestreamed at
http://region18.devosvideo.com/show?video=bf6143e600f1&apg=db58a112",https://facebook.com/story.php?story_fbid=3404238742973696&id=1302980446432880,"REGION18.DEVOSVIDEO.COM
region18.devosvideo.com",0.0,"Regular Board of Education Meeting, August 5, 2020 beginning at 6:30 p.m. will be livestreamed at
http://region18.devosvideo.com/show?video=bf6143e600f1&apg=db58a112

REGION18.DEVOSVIDEO.COM
region18.devosvideo.com",2020-08-04 11:22:46,,
6,3.0,,8.0,https://region18.zoom.us/j/85069566142,3387013331362904,"As a follow-up to our release of the reopening plans, we are providing opportunities for conversations with our administrative team. The first of these will take place tonight, Wednesday, July 29, following the schedule noted below. We will also hold follow-up conversations on August 19, 2020 following the same schedule.

Mile Creek, Lyme, and Center Schools 5:00- 5:45 p.m.
Middle School 6:00- 6:45 p.m.
High School 7:00- 7:45 p.m.
ZOOM MEETING URL: https://region18.zoom.us/j/85069566142

MEETING ID: 850 6956 6142",https://facebook.com/story.php?story_fbid=3387013331362904&id=1302980446432880,"REGION18.ZOOM.US
Join our Cloud HD Video Meeting",6.0,"As a follow-up to our release of the reopening plans, we are providing opportunities for conversations with our administrative team. The first of these will take place tonight, Wednesday, July 29, following the schedule noted below. We will also hold follow-up conversations on August 19, 2020 following the same schedule.

Mile Creek, Lyme, and Center Schools 5:00- 5:45 p.m.
Middle School 6:00- 6:45 p.m.
High School 7:00- 7:45 p.m.
ZOOM MEETING URL: https://region18.zoom.us/j/85069566142

MEETING ID: 850 6956 6142

REGION18.ZOOM.US
Join our Cloud HD Video Meeting",2020-07-29 10:04:37,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/107487377_10158256269818567_7385398511907507069_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=ECgPJihgZJ4AX_7O7F3&_nc_ht=scontent-atl3-1.xx&tp=14&oh=477b66dc76a2b3f4be308a10e63176fd&oe=5F8424A2,1.0,https://magazine.ece.uconn.edu/,3331454423585462,,https://facebook.com/story.php?story_fbid=3331454423585462&id=1302980446432880,"UConn Early College Experience
July 6 at 12:39 PM ·

Happy Monday! Take a lunch break and read more from the article “UConn ECE Strong” By Kathrine Grant, in the Spring edition of the UConn ECE Magazine for 2020! #UConnECEmagazine https://magazine.ece.uconn.edu/ Lyme-Old Lyme Schools Central High School Southington High The Woodstock Academy Norwich Free Academy Norwalk Public Schools",0.0,"UConn Early College Experience
July 6 at 12:39 PM ·

Happy Monday! Take a lunch break and read more from the article “UConn ECE Strong” By Kathrine Grant, in the Spring edition of the UConn ECE Magazine for 2020! #UConnECEmagazine https://magazine.ece.uconn.edu/ Lyme-Old Lyme Schools Central High School Southington High The Woodstock Academy Norwich Free Academy Norwalk Public Schools",2020-07-09 11:35:12,,
8,0.0,,9.0,,3283244165073155,,https://facebook.com/story.php?story_fbid=3283244165073155&id=1302980446432880,,0.0,,2020-06-21 15:58:15,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104626279_3277340958996809_5291794291306032282_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=jdaTX7z9nD8AX-A8AVb&_nc_ht=scontent-atl3-1.xx&tp=14&oh=aec7caa2d2baabd2dd1c5991bbdf2dfd&oe=5F8120A9,64.0,,3277347692329469,"Graduation 2020 #lolschools
photos courtesy of Kim Tyler Photography",https://facebook.com/story.php?story_fbid=3277347692329469&id=1302980446432880,,0.0,"Graduation 2020 #lolschools
photos courtesy of Kim Tyler Photography",2020-06-19 12:16:42,,
10,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104672800_3277315622332676_6572301361496530518_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=UYLLHZxuJyAAX82Kwdc&_nc_oc=AQnHa01dbtWiJx8GkT0P13r8B3ZxL-kMfUkRDOvOhxeG3g5yHFiuP6KKqlp6wStxkIM&_nc_ht=scontent-atl3-1.xx&tp=14&oh=23ed3ed6690012dcf35f9280fa9e7b4e&oe=5F83EC95,47.0,,3277325648998340,"Graduation 2020 #lolschools
Photos courtesy of Kim Tyler Photography",https://facebook.com/story.php?story_fbid=3277325648998340&id=1302980446432880,,0.0,"Graduation 2020 #lolschools
Photos courtesy of Kim Tyler Photography",2020-06-19 12:06:03,,
11,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104060025_3266651043399134_900134926079479718_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=KfBVVzQDT94AX-oPbil&_nc_ht=scontent-atl3-1.xx&tp=14&oh=caeea1119fdec2cecdc70d20587440dd&oe=5F83C08B,53.0,,3266653253398913,Graduation 2020 #lolschools,https://facebook.com/story.php?story_fbid=3266653253398913&id=1302980446432880,,0.0,Graduation 2020 #lolschools,2020-06-15 11:34:19,,
12,1.0,,9.0,https://www.region18.org/staff/it-help-desk,3266489636748608,,https://facebook.com/story.php?story_fbid=3266489636748608&id=1302980446432880,,0.0,,2020-06-15 10:16:15,,
13,1.0,,43.0,https://www.theday.com/article/20200612/NWS01/200619652,3266424590088446,,https://facebook.com/story.php?story_fbid=3266424590088446&id=1302980446432880,"THEDAY.COM
Lyme-Old Lyme graduates encouraged to not lose sight of 'the big picture'",2.0,"THEDAY.COM
Lyme-Old Lyme graduates encouraged to not lose sight of 'the big picture'",2020-06-15 09:48:38,,
14,4.0,,29.0,https://www.wfsb.com/news/everyday-heroes-the-shell-fairy-bringing-smiles-to-old-lyme/video_4032e022-f3d4-5e43-accc-56d87dcbfde4.html?utm_medium=social&utm_source=facebook&utm_campaign=user-share,3255896904474548,,https://facebook.com/story.php?story_fbid=3255896904474548&id=1302980446432880,"WFSB.COM
Everyday Heroes: The Shell Fairy bringing smiles to Old Lyme",10.0,"WFSB.COM
Everyday Heroes: The Shell Fairy bringing smiles to Old Lyme",2020-06-11 10:22:57,,
15,1.0,,39.0,https://www.theday.com/local-news/20200609/lyme-senior-siblings-stay-together-through-refugee-journey-find-new-community,3254200314644207,"LOLHS Senior Siblings Stay Together Through Refugee Journey, Find New Community

https://www.theday.com/local-news/20200609/lyme-senior-siblings-stay-together-through-refugee-journey-find-new-community

#lolschools",https://facebook.com/story.php?story_fbid=3254200314644207&id=1302980446432880,"THEDAY.COM
Lyme senior siblings stay together through refugee journey, find new community",0.0,"LOLHS Senior Siblings Stay Together Through Refugee Journey, Find New Community

https://www.theday.com/local-news/20200609/lyme-senior-siblings-stay-together-through-refugee-journey-find-new-community

#lolschools

THEDAY.COM
Lyme senior siblings stay together through refugee journey, find new community",2020-06-10 18:46:06,,
16,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/103683247_3254013371329568_7526044830684079197_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=baWW2w6UfC8AX_L5Vfc&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f30e820d9521fade72ee2f1f84eb103c&oe=5F815F95,36.0,http://region18.devosvideo.com/show?video=dab4fdf182fe,3254013727996199,"LOLHS Graduation - June 12, 2020 beginning at 10:00 a.m.

Live Stream of LOLHS Graduation
http://region18.devosvideo.com/show?video=dab4fdf182fe

#lolschools",https://facebook.com/story.php?story_fbid=3254013727996199&id=1302980446432880,,0.0,"LOLHS Graduation - June 12, 2020 beginning at 10:00 a.m.

Live Stream of LOLHS Graduation
http://region18.devosvideo.com/show?video=dab4fdf182fe

#lolschools",2020-06-10 17:00:05,,
17,2.0,,2.0,https://drive.google.com/file/d/1igigFNZ44QVdPxwisCT4E9G-UWPTT74x/view,3247867678610804,,https://facebook.com/story.php?story_fbid=3247867678610804&id=1302980446432880,,0.0,,2020-06-08 08:45:38,,
