,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,12.0,,3538299366191380,"I'm pleased to let you know that we are still able to provide free meals to all our student up until late December or until further notice. We will be working out the details for providing meals to our remote learners and at home student days within the next two weeks.
Please also bear with us as we work out our bus run times over the few days. The run times should be very similar to last year and they are posted on our website. Some of the driver names have changed; however, the run are very similar.
Thank you for your understanding.",https://facebook.com/story.php?story_fbid=3538299366191380&id=539979812690032,,0.0,"I'm pleased to let you know that we are still able to provide free meals to all our student up until late December or until further notice. We will be working out the details for providing meals to our remote learners and at home student days within the next two weeks.
Please also bear with us as we work out our bus run times over the few days. The run times should be very similar to last year and they are posted on our website. Some of the driver names have changed; however, the run are very similar.
Thank you for your understanding.",2020-09-08 17:30:11,,
1,0.0,,0.0,https://www.rsu19.org/o/district/events/#event_5946248,3473705102650807,"This is an important message from RSU 19

Reminder

Dear RSU 19 Families, please join us for a virtual question and answer session regarding the districts return to school plans. When: Tonight Wednesday August 19th from 6:00 to 7:30 P.M.

For details about the meeting please look at the district calendar web page located here https://www.rsu19.org/o/district/events/#event_5946248

Also please take a look at our FAQ's document

https://docs.google.com/document/d/1A8jP7RHLSjjqUU3e2uK2aKmzXX4G8GoR1sNP3LGdRFs/edit?usp=sharing

Thank You",https://facebook.com/story.php?story_fbid=3473705102650807&id=539979812690032,,0.0,"This is an important message from RSU 19

Reminder

Dear RSU 19 Families, please join us for a virtual question and answer session regarding the districts return to school plans. When: Tonight Wednesday August 19th from 6:00 to 7:30 P.M.

For details about the meeting please look at the district calendar web page located here https://www.rsu19.org/o/district/events/#event_5946248

Also please take a look at our FAQ's document

https://docs.google.com/document/d/1A8jP7RHLSjjqUU3e2uK2aKmzXX4G8GoR1sNP3LGdRFs/edit?usp=sharing

Thank You",2020-08-19 11:00:17,,
2,0.0,,4.0,,3468214853199832,"Good afternoon, We want you to know that our schools are trying to reach parents and families in order to get your ""back to school plans"". If you've missed our call, please reach out to your child(ren)'s school so we can make our plans. Thank you,",https://facebook.com/story.php?story_fbid=3468214853199832&id=539979812690032,,0.0,"Good afternoon, We want you to know that our schools are trying to reach parents and families in order to get your ""back to school plans"". If you've missed our call, please reach out to your child(ren)'s school so we can make our plans. Thank you,",2020-08-17 14:42:03,,
3,1.0,,10.0,https://www.rsu19.org/o/district/events/#event_5946248,3468114373209880,"This is an important message from RSU 19

Dear RSU 19 Families, please join us for a virtual question and answer session regarding the districts return to school plans.

When: Wednesday August 19th from 6:00 to 7:30 P.M.

For details about the meeting please look at the district calendar web page located here

https://www.rsu19.org/o/district/events/#event_5946248

Also please take a look at our FAQ's document

https://docs.google.com/document/d/1A8jP7RHLSjjqUU3e2uK2aKmzXX4G8GoR1sNP3LGdRFs/edit?usp=sharing

Thank You",https://facebook.com/story.php?story_fbid=3468114373209880&id=539979812690032,,0.0,"This is an important message from RSU 19

Dear RSU 19 Families, please join us for a virtual question and answer session regarding the districts return to school plans.

When: Wednesday August 19th from 6:00 to 7:30 P.M.

For details about the meeting please look at the district calendar web page located here

https://www.rsu19.org/o/district/events/#event_5946248

Also please take a look at our FAQ's document

https://docs.google.com/document/d/1A8jP7RHLSjjqUU3e2uK2aKmzXX4G8GoR1sNP3LGdRFs/edit?usp=sharing

Thank You",2020-08-17 14:00:17,,
4,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117223305_3450190241668960_358591667513864880_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=rJHhu2YgsFQAX9b8hl6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7d9a7f3687d85d2b413444557d4fe426&oe=5F8331C7,8.0,,3450190918335559,2020-21 School Calendar - First student day is September 8 for all students,https://facebook.com/story.php?story_fbid=3450190918335559&id=539979812690032,,0.0,2020-21 School Calendar - First student day is September 8 for all students,2020-08-11 15:23:48,,
5,1.0,,17.0,https://www.rsu19.org/article/283061?org=district,3438490182838966,"August 7th, 2020 Message to Families",https://facebook.com/story.php?story_fbid=3438490182838966&id=539979812690032,"RSU19.ORG
August 7th, 2020 Message to Families",86.0,"August 7th, 2020 Message to Families

RSU19.ORG
August 7th, 2020 Message to Families",2020-08-07 15:03:17,,
6,1.0,,8.0,https://www.rsu19.org/article/278902?org=district,3416993211655330,RSU 19 Parent Update Letter 7/31/2020,https://facebook.com/story.php?story_fbid=3416993211655330&id=539979812690032,"RSU19.ORG
RSU 19 Parent Update Letter 7/31/2020",107.0,"RSU 19 Parent Update Letter 7/31/2020

RSU19.ORG
RSU 19 Parent Update Letter 7/31/2020",2020-07-31 10:11:48,,
7,2.0,,7.0,https://bit.ly/2OzzpcS,3376155799072405,"This is an important message from RSU 19 Superintendent Mike Hammer.

Please take a moment to read or watch this message and then take our second parent survey.

Message Link: https://bit.ly/2OzzpcS

Video Message Link: https://youtu.be/DCcnEZiDOG8

Survey Link: https://forms.gle/4rD9m4b2z2fiMEjx9

Thank You.",https://facebook.com/story.php?story_fbid=3376155799072405&id=539979812690032,,0.0,"This is an important message from RSU 19 Superintendent Mike Hammer.

Please take a moment to read or watch this message and then take our second parent survey.

Message Link: https://bit.ly/2OzzpcS

Video Message Link: https://youtu.be/DCcnEZiDOG8

Survey Link: https://forms.gle/4rD9m4b2z2fiMEjx9

Thank You.",2020-07-17 16:00:44,,
8,0.0,,4.0,,3364105640277421,"Good moring,
Please remember the district budget validation is tomorrow, Tuesday, July 14. Please take time to get out to vote. Thank you,",https://facebook.com/story.php?story_fbid=3364105640277421&id=539979812690032,,0.0,"Good moring,
Please remember the district budget validation is tomorrow, Tuesday, July 14. Please take time to get out to vote. Thank you,",2020-07-13 11:56:35,,
9,0.0,,2.0,https://bit.ly/RSU19FallSurvey,3348077105213608,"This is an important message from RSU 19.

Dear RSU 19 families please take a few minutes to fill out this information gathering survey regarding school this fall. We ask that as many families as possible fill this survey out before Monday July 13th. Thank You

https://bit.ly/RSU19FallSurvey",https://facebook.com/story.php?story_fbid=3348077105213608&id=539979812690032,,0.0,"This is an important message from RSU 19.

Dear RSU 19 families please take a few minutes to fill out this information gathering survey regarding school this fall. We ask that as many families as possible fill this survey out before Monday July 13th. Thank You

https://bit.ly/RSU19FallSurvey",2020-07-07 14:48:38,,
