,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,1.0,https://mailchi.mp/f074dcbb5300/find-out-whats-new-with-mes-pto-9394498,3509008692477407,🐺 It's Husky Pup Fun Run Time (🔷 Find Your Route! 🔶) - https://mailchi.mp/f074dcbb5300/find-out-whats-new-with-mes-pto-9394498,,,0.0,🐺 It's Husky Pup Fun Run Time (🔷 Find Your Route! 🔶) - https://mailchi.mp/f074dcbb5300/find-out-whats-new-with-mes-pto-9394498,2020-09-13 12:55:40,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118985019_3506527249392218_2468274073092730171_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=7VYeI1dTs54AX-wFEOB&_nc_ht=scontent-atl3-1.xx&tp=14&oh=caf9ebf3bd84b4c5f61c2def96baee0c&oe=5F84D934,12.0,,3506528769392066,"The Husky Pup Fun Run is 2 weeks away!
How many routes do you think you can complete???

This year, the event is one week long and open to the whole community. We are encouraging the entire family to get out there with their kiddos and complete as many of the 11 routes found throughout Mammoth and Crowley as you can!",https://facebook.com/story.php?story_fbid=3506528769392066&id=489623787749261,,0.0,"The Husky Pup Fun Run is 2 weeks away!
How many routes do you think you can complete???

This year, the event is one week long and open to the whole community. We are encouraging the entire family to get out there with their kiddos and complete as many of the 11 routes found throughout Mammoth and Crowley as you can!",2020-09-12 17:16:48,,
2,0.0,,0.0,https://thevfitstudio.com/vfitstrong2/,3489779624400314,"Vfit up for free to all again for 15 days! They have kid classes m-t as of now. The schedule may not work for all but if anyone wants a pass, feel free to share. This is good for one pass per family to unlimited access to all classes https://thevfitstudio.com/vfitstrong2/",https://facebook.com/story.php?story_fbid=3489779624400314&id=489623787749261,"THEVFITSTUDIO.COM
#VFITSTRONG2 - VFit Studio Free At Home Fitness Classes",0.0,"Vfit up for free to all again for 15 days! They have kid classes m-t as of now. The schedule may not work for all but if anyone wants a pass, feel free to share. This is good for one pass per family to unlimited access to all classes https://thevfitstudio.com/vfitstrong2/

THEVFITSTUDIO.COM
#VFITSTRONG2 - VFit Studio Free At Home Fitness Classes",2020-09-07 12:48:16,,
3,0.0,,1.0,,3489776451067298,"What's New with MES PTO (🔷 Fun Run Info 🔶) - *|URL|

Learn how to set up your student fundraiser!",,,0.0,"What's New with MES PTO (🔷 Fun Run Info 🔶) - *|URL|

Learn how to set up your student fundraiser!",2020-09-07 12:47:00,,
4,0.0,,4.0,,1226625764380142,,,"MON, SEP 28 - OCT 4
Husky Pup Fun Run Move & Groove",0.0,"MON, SEP 28 - OCT 4
Husky Pup Fun Run Move & Groove",2020-09-04 13:05:17,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118791064_3476864372358506_7557975883948843838_n.png?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=CaLeZnrtrQ8AX8V6E7r&_nc_ht=scontent-atl3-1.xx&oh=0d783dfdfc882140ba0d722ebea633a8&oe=5F842F1C,1.0,https://mailchi.mp/6de705bfd29f/pto-meeting-tonight-at-9387390,3476864365691840,"CORRECT ZOOM LINK! 🔶PTO Meeting TONIGHT at 6:30🔷 Run Details - https://mailchi.mp/6de705bfd29f/pto-meeting-tonight-at-9387390

https://zoom.us/j/98349360826
Meeting ID: 983 4936 0826
Passcode: 837239 (required)",,,0.0,"CORRECT ZOOM LINK! 🔶PTO Meeting TONIGHT at 6:30🔷 Run Details - https://mailchi.mp/6de705bfd29f/pto-meeting-tonight-at-9387390

https://zoom.us/j/98349360826
Meeting ID: 983 4936 0826
Passcode: 837239 (required)",2020-09-03 11:56:32,,
6,0.0,,0.0,https://mailchi.mp/0df855bb35ec/find-out-whats-new-with-mes-pto-9383878,3464262926951984,"What's New with MES PTO (🔷 Meeting This Thursday 🔶) - https://mailchi.mp/0df855bb35ec/find-out-whats-new-with-mes-pto-9383878

Join us This Thursday at 6:30 to get updates on the Fun Run, Move Your Body Campaign, Local Business Support Campaign and More",,,0.0,"What's New with MES PTO (🔷 Meeting This Thursday 🔶) - https://mailchi.mp/0df855bb35ec/find-out-whats-new-with-mes-pto-9383878

Join us This Thursday at 6:30 to get updates on the Fun Run, Move Your Body Campaign, Local Business Support Campaign and More",2020-08-30 12:44:27,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118366126_2710778895867771_4119828657061280479_n.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=y5yK9gf9W70AX9Fml1V&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5f68bdf07e093484626ed95a4d92ecb6&oe=5F84212B,0.0,,3462357257142551,,https://facebook.com/story.php?story_fbid=3462357257142551&id=489623787749261,"Mammoth Elementary School
August 29 at 1:33 PM ·

Familias de MES, vengan virtualmente para una noche de padres. MES Families, join us for a virtual parent night.",0.0,"Mammoth Elementary School
August 29 at 1:33 PM ·

Familias de MES, vengan virtualmente para una noche de padres. MES Families, join us for a virtual parent night.",2020-08-29 21:39:23,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118635723_2707870769491917_7309304933923854760_n.jpg?_nc_cat=104&_nc_sid=9e2e56&_nc_ohc=VfUWgI94-7EAX9BDXTV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e28560e12b1a11552f768bc7b9d3964e&oe=5F85A119,2.0,,3455151407863136,,https://facebook.com/story.php?story_fbid=3455151407863136&id=489623787749261,"Mammoth Elementary School
August 26 at 11:11 AM ·

Join us on Zoom this Thursday, August 27 at 5:00 for a parent introduction to Imagine Learning. Nos acompañen en Zoom este jueves, 27 de agosto a las 5:00 para una introducción para padres al programa Imagine Learning. Habrá interpretación en español.",0.0,"Mammoth Elementary School
August 26 at 11:11 AM ·

Join us on Zoom this Thursday, August 27 at 5:00 for a parent introduction to Imagine Learning. Nos acompañen en Zoom este jueves, 27 de agosto a las 5:00 para una introducción para padres al programa Imagine Learning. Habrá interpretación en español.",2020-08-27 13:42:11,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118070387_3452628988115378_2436436866877426567_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=DNvn6oZzCHcAX-G4R8J&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4e32b622d55dd466385bc91f7a1f7c32&oe=5F8582B7,3.0,https://mammothpto.org/collections/lesson-plans,3452629044782039,"We are loving our weekly checklist from the PTO lesson plans. Super fun and engaging and a great break from the computer!

https://mammothpto.org/collections/lesson-plans",https://facebook.com/story.php?story_fbid=3452629044782039&id=489623787749261,,0.0,"We are loving our weekly checklist from the PTO lesson plans. Super fun and engaging and a great break from the computer!

https://mammothpto.org/collections/lesson-plans",2020-08-26 18:36:54,,
