,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119204756_1629895097179299_2553815519288368897_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=9M2SAz9UV-8AX-U8_lj&_nc_ht=scontent-atl3-1.xx&tp=14&oh=49aa8757dc6d3cf0f938522591e9b3bd&oe=5F8543C6,84.0,,1629896633845812,"Our first official week is coming to a close, but before we go for the weekend we wanted to share some pictures and some well deserved gratitude.

First, thank you to all the transportation staff, teachers, cafeteria staff, teacher assistants, teacher aides, clerical staff, maintenance and janitorial staff, IT staff, counselors, administration and everyone else who has made this week such a success. It truly takes a team!

Secondly, thank you to the parents whom have shown us support and grace as we maneuver through this new experience. Your kind words are truly appreciated. We are working hard to fix any ""first week hiccups"" but please know that everyone is devoted to your child's education here in Marathon.

Last but not least, thank you to the kids, your excitement to be back and your appreciation is what makes all of this worth it!

So yes, we are washing, we are masking, we are 6ft apart but we are also learning, laughing, playing, and just being kids. We are #mcsstrong!",https://facebook.com/story.php?story_fbid=1629896633845812&id=843322822503201,,0.0,"Our first official week is coming to a close, but before we go for the weekend we wanted to share some pictures and some well deserved gratitude.

First, thank you to all the transportation staff, teachers, cafeteria staff, teacher assistants, teacher aides, clerical staff, maintenance and janitorial staff, IT staff, counselors, administration and everyone else who has made this week such a success. It truly takes a team!

Secondly, thank you to the parents whom have shown us support and grace as we maneuver through this new experience. Your kind words are truly appreciated. We are working hard to fix any ""first week hiccups"" but please know that everyone is devoted to your child's education here in Marathon.

Last but not least, thank you to the kids, your excitement to be back and your appreciation is what makes all of this worth it!

So yes, we are washing, we are masking, we are 6ft apart but we are also learning, laughing, playing, and just being kids. We are #mcsstrong!",2020-09-11 13:38:00,,
1,0.0,,4.0,,1628116994023776,"For students learning remotely (Mon-Fri):
We will provide five days of meals each Friday for enrolled students only. Grab and go breakfast and lunch will be available from 11 A.M. to 1 P.M. on Friday only at the Main entrance of the Marathon Jr/Sr High School. Parents of students learning remotely will need to communicate needs for take home meals to Kacie Penrose via email: penrosek@marathonschools.org or phone: 607-849-3251.
All meals are available for no charge.",https://facebook.com/story.php?story_fbid=1628116994023776&id=843322822503201,,0.0,"For students learning remotely (Mon-Fri):
We will provide five days of meals each Friday for enrolled students only. Grab and go breakfast and lunch will be available from 11 A.M. to 1 P.M. on Friday only at the Main entrance of the Marathon Jr/Sr High School. Parents of students learning remotely will need to communicate needs for take home meals to Kacie Penrose via email: penrosek@marathonschools.org or phone: 607-849-3251.
All meals are available for no charge.",2020-09-09 17:46:16,,
2,0.0,,10.0,,1627112277457581,"Health Screening for in-person students:
The health screening app, rSchool, is now ready for use. Parents should sign in with the email they have on file with the school. If you are not able to log into the app or if you do not have the ability to download the app, please complete the paper health screening sheet (there are 3 per sheet) for each student. Please note, in order to log into the app parents'/guardians' email addresses have to be on file at school. If we do not have parents'/guardians' email on file then you will not be able to access the app for your child. Parents/guardians who do not have access to the app should write their name and email address on the back of their child's paper copy of the health screen survey. Additionally, parents/guardians should contact Kacie Penrose (849-3251) or Tina Gallagher (849-3229) at the high school or Sue Light (849-3281) at Appleby to provide their email address for the school file. Remember, if the answer to any of the questions in the health screening app/sheet is yes, students must remain home for the day.",https://facebook.com/story.php?story_fbid=1627112277457581&id=843322822503201,,0.0,"Health Screening for in-person students:
The health screening app, rSchool, is now ready for use. Parents should sign in with the email they have on file with the school. If you are not able to log into the app or if you do not have the ability to download the app, please complete the paper health screening sheet (there are 3 per sheet) for each student. Please note, in order to log into the app parents'/guardians' email addresses have to be on file at school. If we do not have parents'/guardians' email on file then you will not be able to access the app for your child. Parents/guardians who do not have access to the app should write their name and email address on the back of their child's paper copy of the health screen survey. Additionally, parents/guardians should contact Kacie Penrose (849-3251) or Tina Gallagher (849-3229) at the high school or Sue Light (849-3281) at Appleby to provide their email address for the school file. Remember, if the answer to any of the questions in the health screening app/sheet is yes, students must remain home for the day.",2020-09-08 16:42:42,,
3,0.0,,4.0,,1627091194126356,"Attention students in 9th-12th grade and fully remote learners: The Marathon Cafeteria will have meals ready tomorrow (September 9th) for students who were not scheduled for in-person learning on Wednesday. Meals can be picked up from 5-6 PM in the HS circle. Students in grades 9-12 will receive 1 days worth of breakfast/lunch. Fully remote students will receive 2 days of breakfast/lunch. Remote learners will then begin their regularly scheduled meal pick up on Friday from 11 AM-1 PM in the HS circle.

Moving forward, any parent wishing to pick up 5 days worth of meals for their remote learners should call Mrs. Penrose at 849-3251 at the HS to reserve your meals. Friday meal pickups will occur between 11 AM and 1 PM in the HS circle.",https://facebook.com/story.php?story_fbid=1627091194126356&id=843322822503201,,0.0,"Attention students in 9th-12th grade and fully remote learners: The Marathon Cafeteria will have meals ready tomorrow (September 9th) for students who were not scheduled for in-person learning on Wednesday. Meals can be picked up from 5-6 PM in the HS circle. Students in grades 9-12 will receive 1 days worth of breakfast/lunch. Fully remote students will receive 2 days of breakfast/lunch. Remote learners will then begin their regularly scheduled meal pick up on Friday from 11 AM-1 PM in the HS circle.

Moving forward, any parent wishing to pick up 5 days worth of meals for their remote learners should call Mrs. Penrose at 849-3251 at the HS to reserve your meals. Friday meal pickups will occur between 11 AM and 1 PM in the HS circle.",2020-09-08 15:58:58,,
4,0.0,,34.0,,1627089710793171,"Tomorrow’s the BIG DAY!!! School will begin on September 9th for all Marathon students...that is tomorrow. If it is an in-person learning day, students will arrive at 7:50 AM (Appleby car riders at 8:05 AM) and go directly to their 1st period/homeroom class. If it is a remote learning day, students should review their schedules and their Google Classroom login information, read their email and be prepared to log in by 8:00 AM to your their period/homeroom class. Attendance will be taken first thing for both in-person and remote learners. We can't wait to see you!",https://facebook.com/story.php?story_fbid=1627089710793171&id=843322822503201,,0.0,"Tomorrow’s the BIG DAY!!! School will begin on September 9th for all Marathon students...that is tomorrow. If it is an in-person learning day, students will arrive at 7:50 AM (Appleby car riders at 8:05 AM) and go directly to their 1st period/homeroom class. If it is a remote learning day, students should review their schedules and their Google Classroom login information, read their email and be prepared to log in by 8:00 AM to your their period/homeroom class. Attendance will be taken first thing for both in-person and remote learners. We can't wait to see you!",2020-09-08 15:56:14,,
5,0.0,,9.0,,1619781761523966,"Reminder.... today, September 1st, we are asking all UPK-12th grade parents to come to the front bus loop of the high school to pick up a bag with essential items for your child to start the school year (Google Classroom information, transportation information, schedules, student handbooks, and other important must reads). Whether students are remote learners or in person learners, each student will have a welcome bag to pick up. We have extended the pick up hours from 8:30am-5:00pm; please stop in between those hours to pick up your child's bag. We ask that parents stay in their vehicles and wear a mask when speaking to our staff. Bags will be delivered right to your car.",https://facebook.com/story.php?story_fbid=1619781761523966&id=843322822503201,,0.0,"Reminder.... today, September 1st, we are asking all UPK-12th grade parents to come to the front bus loop of the high school to pick up a bag with essential items for your child to start the school year (Google Classroom information, transportation information, schedules, student handbooks, and other important must reads). Whether students are remote learners or in person learners, each student will have a welcome bag to pick up. We have extended the pick up hours from 8:30am-5:00pm; please stop in between those hours to pick up your child's bag. We ask that parents stay in their vehicles and wear a mask when speaking to our staff. Bags will be delivered right to your car.",2020-09-01 08:22:28,,
6,8.0,,29.0,,1615965751905567,"On September 1st, we are asking all UPK-12th grade parents to come to the front bus loop of the high school sometime between 8:30am-3:00pm to pick up a bag with essential items for your child to start the school year (Google Classroom information, transportation information, schedules, student handbooks, and other important must reads). Whether students are remote learners or in person learners, each student will have a welcome bag to pick up. We ask that parents stay in their vehicles and wear a mask when speaking to our staff. Bags will be delivered right to your car.",https://facebook.com/story.php?story_fbid=1615965751905567&id=843322822503201,,0.0,"On September 1st, we are asking all UPK-12th grade parents to come to the front bus loop of the high school sometime between 8:30am-3:00pm to pick up a bag with essential items for your child to start the school year (Google Classroom information, transportation information, schedules, student handbooks, and other important must reads). Whether students are remote learners or in person learners, each student will have a welcome bag to pick up. We ask that parents stay in their vehicles and wear a mask when speaking to our staff. Bags will be delivered right to your car.",2020-08-28 13:13:38,,
7,0.0,,6.0,,1608317442670398,"Appleby Yearbook Update:

Dear Parents,

I know how important yearbooks are and wanted to give you an update from Lifetouch, our picture and yearbook provider:

“Lifetouch, like many organizations, has been affected by COVID-19, which has significantly impacted our ability to produce yearbooks. I want to sincerely apologize and fully acknowledge that this is not what you as our customers expect, nor deserve, from Lifetouch. Our primary yearbook production facilities are located in some of the states that are being hardest hit by the pandemic. It is critical to prioritize the safety of our employees and take all necessary precautions. I realize this has created a lot of frustration, but please know that teams are doing everything possible to get the finished product in your hands.”

My apologies for the delay and hope that the information provided by Lifetouch is received with understanding and patience. We will provide more information about this situation as it is received.

Jonathan Hillis",https://facebook.com/story.php?story_fbid=1608317442670398&id=843322822503201,,0.0,"Appleby Yearbook Update:

Dear Parents,

I know how important yearbooks are and wanted to give you an update from Lifetouch, our picture and yearbook provider:

“Lifetouch, like many organizations, has been affected by COVID-19, which has significantly impacted our ability to produce yearbooks. I want to sincerely apologize and fully acknowledge that this is not what you as our customers expect, nor deserve, from Lifetouch. Our primary yearbook production facilities are located in some of the states that are being hardest hit by the pandemic. It is critical to prioritize the safety of our employees and take all necessary precautions. I realize this has created a lot of frustration, but please know that teams are doing everything possible to get the finished product in your hands.”

My apologies for the delay and hope that the information provided by Lifetouch is received with understanding and patience. We will provide more information about this situation as it is received.

Jonathan Hillis",2020-08-20 11:21:27,,
8,0.0,,12.0,,1606459659522843,"School Supply Lists: Elementary students will have school supplies provided. Due to the nature of learning this year, we will not be sending out 7th-12th grade school supply lists. Students should come prepared with pens, pencils and paper. Most assignments will be computer based.",https://facebook.com/story.php?story_fbid=1606459659522843&id=843322822503201,,0.0,"School Supply Lists: Elementary students will have school supplies provided. Due to the nature of learning this year, we will not be sending out 7th-12th grade school supply lists. Students should come prepared with pens, pencils and paper. Most assignments will be computer based.",2020-08-18 13:56:03,,
9,7.0,,7.0,,1606392806196195,"Attention Marathon Parents and Students:
To help staff prepare for incoming students, the first day of learning for STUDENTS has been moved to September 9th. September 8th will be a staff development day.
Students in grades UPK-5th will attend in person at Appleby. Grades 6-8 will attend in person at the Junior/Senior High School (6-8 attend in person on Mondays and Wednesdays). Grades 9-12 will attend remotely on Wednesday (9-12 attend in person on Tuesdays and Thursdays). Students in grades 9-12 will receive all learning materials needed before September 9th.",https://facebook.com/story.php?story_fbid=1606392806196195&id=843322822503201,,0.0,"Attention Marathon Parents and Students:
To help staff prepare for incoming students, the first day of learning for STUDENTS has been moved to September 9th. September 8th will be a staff development day.
Students in grades UPK-5th will attend in person at Appleby. Grades 6-8 will attend in person at the Junior/Senior High School (6-8 attend in person on Mondays and Wednesdays). Grades 9-12 will attend remotely on Wednesday (9-12 attend in person on Tuesdays and Thursdays). Students in grades 9-12 will receive all learning materials needed before September 9th.",2020-08-18 12:28:02,,
