,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/119102888_10158187854526154_394439233658598045_o.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=VIRXDFlmHl0AX9dG60D&_nc_ht=scontent.fbna1-1.fna&oh=e7774d327839b5fb9d2480b9e4a747d0&oe=5F83A9AC,64.0,,10158187854781154,"We remain committed to the health and safety of all in our school community. As our phased reopening continues, we are proud to share the risk mitigation strategies we have in place to protect our students and staff.",https://facebook.com/story.php?story_fbid=10158187854781154&id=123955636153,,0.0,"We remain committed to the health and safety of all in our school community. As our phased reopening continues, we are proud to share the risk mitigation strategies we have in place to protect our students and staff.",2020-09-09 14:27:04,,
1,1.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119057289_10158185567516154_9012690853309126211_o.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=bTJ50Puv8DcAX-0WUq2&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=d3cc482dd1088fa0b71577329456b578&oe=5F81A87B,110.0,,10158185567736154,"Whether our students choose to learn in-person or virtually, we are so excited to start our first phase of hybrid learning!",https://facebook.com/story.php?story_fbid=10158185567736154&id=123955636153,,0.0,"Whether our students choose to learn in-person or virtually, we are so excited to start our first phase of hybrid learning!",2020-09-08 13:38:05,,
2,8.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118893581_10158183129066154_297499222444640011_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=BElyWAvgauwAX945Z1U&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=d276b0f60eec27e0f6aa625c005cfe2a&oe=5F8108B1,41.0,http://www.marietta-city.org/mealdelivery,10158183129141154,"*Attention MCS Families* Meals are now available to any child 18 or under, not just MCS students! Also, meal delivery for virtual students will change on Friday, September 11 to a meal kit delivery program.

Please visit www.marietta-city.org/mealdelivery for more information.",https://facebook.com/story.php?story_fbid=10158183129141154&id=123955636153,,0.0,"*Attention MCS Families* Meals are now available to any child 18 or under, not just MCS students! Also, meal delivery for virtual students will change on Friday, September 11 to a meal kit delivery program.

Please visit www.marietta-city.org/mealdelivery for more information.",2020-09-07 14:05:27,,
3,1.0,,18.0,https://tinyurl.com/mariettafootball,10158175565421154,"Good morning Blue Devil Fans!

Although our Varsity Football game against Wheeler is sold out, you can see the game live on the NFHS network. Viewers will need a subscription and there are monthly and yearly options available. We will broadcast all MHS events that we are able to produce video for and the subscription will grant access to all events!

Thanks for your support and please use the link below to tune in if you can’t attend the game!

https://tinyurl.com/mariettafootball",https://facebook.com/story.php?story_fbid=10158175565421154&id=123955636153,"NFHSNETWORK.COM
Marietta vs Wheeler - Boys Varsity Football 09/04/2020 | Live & On Demand",0.0,"Good morning Blue Devil Fans!

Although our Varsity Football game against Wheeler is sold out, you can see the game live on the NFHS network. Viewers will need a subscription and there are monthly and yearly options available. We will broadcast all MHS events that we are able to produce video for and the subscription will grant access to all events!

Thanks for your support and please use the link below to tune in if you can’t attend the game!

https://tinyurl.com/mariettafootball

NFHSNETWORK.COM
Marietta vs Wheeler - Boys Varsity Football 09/04/2020 | Live & On Demand",2020-09-04 11:51:28,,
4,3.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118792096_10158173513026154_3044032469407058467_o.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=pCMcMxtm1uUAX8M2TRm&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=dfc5c6892e26c071f7704ba86b1b24ed&oe=5F822FA4,24.0,https://gofan.co/app/events/97746,10158173513221154,"Our Blue Devils will be playing Wheeler High School this Friday night at 7:30 PM at Northcutt Stadium. Tickets will be on sale to the general public tonight at 5:00 PM. To purchase your tickets please click the link below. Hope to see you there and GO BIG BLUE!!!

Link to purchase tickets: https://gofan.co/app/events/97746",https://facebook.com/story.php?story_fbid=10158173513221154&id=123955636153,,0.0,"Our Blue Devils will be playing Wheeler High School this Friday night at 7:30 PM at Northcutt Stadium. Tickets will be on sale to the general public tonight at 5:00 PM. To purchase your tickets please click the link below. Hope to see you there and GO BIG BLUE!!!

Link to purchase tickets: https://gofan.co/app/events/97746",2020-09-03 13:45:48,,
5,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/118701522_10158171237771154_5333194042219059177_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=EqEWMv0hRTAAX_FP0_M&_nc_ht=scontent.fbna1-2.fna&oh=25695e3d15b56bfa902c39ad1a54710c&oe=5F81B4C7,9.0,http://www.kellyeducation.com/,10158171238346154,"Looking for a great way to invest in the lives of students? Come apply to be a substitute teacher with Marietta City Schools! To apply please visit Kelly Education Job Postings!

www.kellyeducation.com",https://facebook.com/story.php?story_fbid=10158171238346154&id=123955636153,,0.0,"Looking for a great way to invest in the lives of students? Come apply to be a substitute teacher with Marietta City Schools! To apply please visit Kelly Education Job Postings!

www.kellyeducation.com",2020-09-02 14:51:21,,
6,5.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118615105_10158161418801154_2664222164312771209_n.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=A2EfueO1ncYAX_ijSyJ&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=dff3c0defa474e42a91aaccc3741d4d2&oe=5F83B1B7,94.0,,10158161420516154,We are so proud of MHS student Sophie Edwards! She will be speaking tomorrow night at the 14th Annual Give Me Five for No Kid Hungry Virtual Event. Sophie will share what she is doing to help end childhood hunger and will give a tour of the Square-Meal bus that she runs in partnership with our district! #NoKidHungry #specialdifferentbetter,https://facebook.com/story.php?story_fbid=10158161420516154&id=123955636153,,0.0,We are so proud of MHS student Sophie Edwards! She will be speaking tomorrow night at the 14th Annual Give Me Five for No Kid Hungry Virtual Event. Sophie will share what she is doing to help end childhood hunger and will give a tour of the Square-Meal bus that she runs in partnership with our district! #NoKidHungry #specialdifferentbetter,2020-08-29 11:32:52,,
7,7.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118460956_10158156561686154_1152319451422859604_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=qB7WAWvYa7gAX-vKDop&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=c93c4b31defda20bce5adc4b9902ca8b&oe=5F8217BD,25.0,http://www.marietta-athletics.com/uploads/1/2/4/8/124854200/2020_ticketing_information.pdf,10158156561906154,"We are excited to kickoff the 2020 Varsity Football season! If you plan to cheer for our Blue Devils in person at Northcutt, we’ve updated our game day policies so we can keep everyone safe. In addition to these changes, please note that masks are required at all times. For more information about tickets and attending in person, please click here:http://www.marietta-athletics.com/uploads/1/2/4/8/124854200/2020_ticketing_information.pdf Go Big Blue!",https://facebook.com/story.php?story_fbid=10158156561906154&id=123955636153,,0.0,"We are excited to kickoff the 2020 Varsity Football season! If you plan to cheer for our Blue Devils in person at Northcutt, we’ve updated our game day policies so we can keep everyone safe. In addition to these changes, please note that masks are required at all times. For more information about tickets and attending in person, please click here:http://www.marietta-athletics.com/uploads/1/2/4/8/124854200/2020_ticketing_information.pdf Go Big Blue!",2020-08-27 11:40:38,,
8,1.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/118478938_10158154040936154_3239742735262358725_o.png?_nc_cat=107&_nc_sid=dd9801&_nc_ohc=qBFsQx_G2GIAX-vQNCD&_nc_ht=scontent.fbna1-1.fna&oh=7e764e8498200f9d5727f393f5757589&oe=5F8004AA,11.0,,10158154041136154,,,,0.0,,2020-08-26 12:26:44,,
9,0.0,,23.0,https://tinyurl.com/MCSStreetGrace,10158154030971154,"You’re invited to the Keeping Kids Safe in the Digital Age Training hosted by Marietta City Schools Social Work Department and Street Grace. With students spending more time online, it is imperative that parents and teachers are aware of the digital spaces their students are using. This training will be held on Zoom and the login information will be delivered upon registration. Click here to register! https://tinyurl.com/MCSStreetGrace",https://facebook.com/story.php?story_fbid=10158154030971154&id=123955636153,"APP.DONORVIEW.COM
_____________________________________",10.0,"You’re invited to the Keeping Kids Safe in the Digital Age Training hosted by Marietta City Schools Social Work Department and Street Grace. With students spending more time online, it is imperative that parents and teachers are aware of the digital spaces their students are using. This training will be held on Zoom and the login information will be delivered upon registration. Click here to register! https://tinyurl.com/MCSStreetGrace

APP.DONORVIEW.COM
_____________________________________",2020-08-26 12:20:06,,
10,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118280426_10158151945371154_8184596420502334463_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=Mp_DtbxTEz8AX9JG_9H&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=490cce733f260a1ffa9df2d0dbc61666&oe=5F83982B,11.0,,10158151945406154,"Attention Class of 2021-The MHS College Advising office will be hosting three ""Apply to College"" days to allow students to work on college applications (including essays) and scholarships with our college advising team. We are so proud of our award-winning college counselors Brandi Smith and Ebonee Mahone-Todman. Thank you for everything you do to support our students and their dreams!",https://facebook.com/story.php?story_fbid=10158151945406154&id=123955636153,,0.0,"Attention Class of 2021-The MHS College Advising office will be hosting three ""Apply to College"" days to allow students to work on college applications (including essays) and scholarships with our college advising team. We are so proud of our award-winning college counselors Brandi Smith and Ebonee Mahone-Todman. Thank you for everything you do to support our students and their dreams!",2020-08-25 16:13:06,,
11,1.0,,45.0,,10158149224371154,UPDATE: We have been informed that Zoom has corrected their outage issues and it should be working for everyone. Thank you again for your patience this morning.,https://facebook.com/story.php?story_fbid=10158149224371154&id=123955636153,,0.0,UPDATE: We have been informed that Zoom has corrected their outage issues and it should be working for everyone. Thank you again for your patience this morning.,2020-08-24 13:03:33,,
12,14.0,,51.0,,10158148806311154,"UPDATE: We have been informed that Zoom has corrected their outage issues and should be working for everyone. Thank you again for your patience this morning.

ALERT: Zoom is currently experiencing widespread outages. Until they are able to address this, many teachers are unable to conduct live instruction. Schoology is fully functional and students should continue to work in their shells for teacher assignments. We will provide additional information and updates as they become available. Thank you for your patience and understanding.",https://facebook.com/story.php?story_fbid=10158148806311154&id=123955636153,,0.0,"UPDATE: We have been informed that Zoom has corrected their outage issues and should be working for everyone. Thank you again for your patience this morning.

ALERT: Zoom is currently experiencing widespread outages. Until they are able to address this, many teachers are unable to conduct live instruction. Schoology is fully functional and students should continue to work in their shells for teacher assignments. We will provide additional information and updates as they become available. Thank you for your patience and understanding.",2020-08-24 09:05:05,,
