,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,,3386364064766038,"Happy Labor Day!
Remember, no school on Monday.",,,0.0,"Happy Labor Day!
Remember, no school on Monday.",2020-09-05 16:19:00,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118848234_2135052966638775_552124947112072470_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=4D4h9r6N8VoAX-4sfq0&_nc_ht=video-atl3-1.xx&oh=4b97eedc1da2d06aa97d7c6b584f0a9f&oe=5F5E9B45,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118269718_3364958183573293_3312949217195420879_o.jpg?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=e33EXaspkQkAX83q6Bh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=20de80c47d911eeb67ab239765e88e12&oe=5F8418E8,45.0,,3364958173573294,"Masada celebrates their writing program by awarding scholarships to 3 winning essays.

Thank you to the PRISM Committee for raising the funds and ALL the parents who supported the Holiday Store last year.",,,0.0,"Masada celebrates their writing program by awarding scholarships to 3 winning essays.

Thank you to the PRISM Committee for raising the funds and ALL the parents who supported the Holiday Store last year.",2020-08-31 15:09:02,,
2,4.0,,18.0,,3292064897529289,"First day of school on August 21st
- There will be no parent night this year
- Watch for additional notices, emails, and videos
- We will send out details on our contingency plan
- Student Learning Module added to gradebook
- Buy a cloth face covering for your child
- Log into Parent View to find your child’s teacher
- Call us with your questions or concerns",,,0.0,"First day of school on August 21st
- There will be no parent night this year
- Watch for additional notices, emails, and videos
- We will send out details on our contingency plan
- Student Learning Module added to gradebook
- Buy a cloth face covering for your child
- Log into Parent View to find your child’s teacher
- Call us with your questions or concerns",2020-08-03 12:44:54,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/117185549_2784071221916202_4349990692092839843_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=9E0Tq4D7SBkAX-lnRvE&_nc_ht=video-atl3-1.xx&oh=69cd81b44e099c73cdb62c285139b164&oe=5F5E9A25,
3,0.0,,11.0,,3283363618399417,Let's stay well together.,,,0.0,Let's stay well together.,2020-07-31 10:53:39,https://scontent-atl3-1.xx.fbcdn.net/v/t42.9040-4/116848652_1381678745360102_5977798948338306724_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=rgtKo6U7QSkAX8pQaO8&_nc_ht=scontent-atl3-1.xx&oh=7ef64c582315ee072517a295e8ac674a&oe=5F5E9F33,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109077178_3261344033934709_4345557044220323599_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=DMr4oqD2A7sAX9jJzLT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e4c19aa1f199d3c6b197ffd986bdcdc9&oe=5F85BC1B,2.0,,3261344377268008,Child Find Screening in our area!,https://facebook.com/story.php?story_fbid=3261344377268008&id=202717539797389,,0.0,Child Find Screening in our area!,2020-07-23 12:42:41,,
5,0.0,,2.0,,3140409076028206,SUMMER READING IS HERE! Began Monday June 8th! Students can earn Book Bucks for the book auctions (first one is Wed. June 24th) and Free Ice Cream Cone Certificates (donated by Bee's Marketplace!) for their reading @ home. Parents: please remind your students about Social Distancing if you are not going to be there with them. Thanks. HAPPY READING!,https://facebook.com/story.php?story_fbid=3140409076028206&id=202717539797389,,0.0,SUMMER READING IS HERE! Began Monday June 8th! Students can earn Book Bucks for the book auctions (first one is Wed. June 24th) and Free Ice Cream Cone Certificates (donated by Bee's Marketplace!) for their reading @ home. Parents: please remind your students about Social Distancing if you are not going to be there with them. Thanks. HAPPY READING!,2020-06-10 13:35:03,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/95161133_3036298056439309_5448394627495231488_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=IkfREnOyCvUAX8cLqgU&_nc_ht=scontent-atl3-1.xx&oh=c49ff7d32a3a059630b6ae2cb84ecd59&oe=5F82EB01,0.0,,3036301876438927,Order now!,https://facebook.com/story.php?story_fbid=3036301876438927&id=202717539797389,"Masada Charter School
April 29 at 9:50 AM ·

Masada Junior High Year Books available to order NOW!! Please place order by tomorrow, April 30th, 2020 and share this post with your friends. Thank you!",0.0,"Order now!

Masada Charter School
April 29 at 9:50 AM ·

Masada Junior High Year Books available to order NOW!! Please place order by tomorrow, April 30th, 2020 and share this post with your friends. Thank you!",2020-04-29 12:51:31,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/95161133_3036298056439309_5448394627495231488_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=IkfREnOyCvUAX8cLqgU&_nc_ht=scontent-atl3-1.xx&oh=c49ff7d32a3a059630b6ae2cb84ecd59&oe=5F82EB01,0.0,,3036300373105744,"Masada Junior High Year Books available to order NOW!! Please place order by tomorrow, April 30th, 2020 and share this post with your friends. Thank you!",https://facebook.com/story.php?story_fbid=3036300373105744&id=202717539797389,,0.0,"Masada Junior High Year Books available to order NOW!! Please place order by tomorrow, April 30th, 2020 and share this post with your friends. Thank you!",2020-04-29 12:50:34,,
8,0.0,,3.0,https://resources.mohavecounty.us/Repository/PressReleaseDocuments/Covid-19WidespreadinAZ2d4ca86a-1f41-425a-822a-253de673112c.pdf,2962672317135217,Please see the most recent Press Release from the Az. Department of Health Services here: https://resources.mohavecounty.us/Repository/PressReleaseDocuments/Covid-19WidespreadinAZ2d4ca86a-1f41-425a-822a-253de673112c.pdf,https://facebook.com/story.php?story_fbid=2962672317135217&id=202717539797389,"RESOURCES.MOHAVECOUNTY.US
resources.mohavecounty.us",2.0,"Please see the most recent Press Release from the Az. Department of Health Services here: https://resources.mohavecounty.us/Repository/PressReleaseDocuments/Covid-19WidespreadinAZ2d4ca86a-1f41-425a-822a-253de673112c.pdf

RESOURCES.MOHAVECOUNTY.US
resources.mohavecounty.us",2020-03-27 17:28:12,,
9,0.0,,2.0,https://www.dontwasteyourmoney.com/amazon-prime-video-kids-content-free/?partner=scripps&au=scrippssyn&partner-sub=KNXV&utm_source=facebook&utm_medium=partner&utm_campaign=scripps&utm_content=KNXV,2958383620897420,Additional Free resources for parents with children.,https://facebook.com/story.php?story_fbid=2958383620897420&id=202717539797389,"DONTWASTEYOURMONEY.COM
Amazon Is Making Kids' Content Free For Everyone",0.0,"Additional Free resources for parents with children.

DONTWASTEYOURMONEY.COM
Amazon Is Making Kids' Content Free For Everyone",2020-03-25 18:03:33,,
