,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119449150_3167111243404482_3658360001420508785_n.jpg?_nc_cat=104&_nc_sid=110474&_nc_ohc=ZHUc9auYFfgAX-Z0Rkr&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9768f8864c53d95dbfaf2eb6af034c4d&oe=5F81EF77,0.0,,3167111616737778,,https://facebook.com/story.php?story_fbid=3167111616737778&id=188501041265532,,0.0,,2020-09-12 17:20:13,,
1,6.0,,9.0,,3163653790416894,Weekly Update 9/11/2020,,,0.0,Weekly Update 9/11/2020,2020-09-11 14:42:52,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119299462_2747602702195655_2629094378836591529_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=L6Dw7GT3__4AX-g0unD&_nc_ht=video-atl3-1.xx&oh=500aca651aeaba94c491f75fc431a0e8&oe=5F5D6FD1,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119139259_3159864434129163_9169783771546990936_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=jFFX_vew3MkAX-lEj4G&_nc_ht=scontent-atl3-1.xx&tp=14&oh=23ee9d118bee45ee76f20fe045b18b5a&oe=5F8489C5,3.0,,3159864847462455,"McComb High School 7th - 12th Grade Girls and Boys Soccer Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3159864847462455&id=188501041265532,,0.0,"McComb High School 7th - 12th Grade Girls and Boys Soccer Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",2020-09-10 10:01:12,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119082728_3157817534333853_1491974008777045301_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=zxUIDYDkveYAX-PKDhX&_nc_ht=scontent-atl3-1.xx&tp=14&oh=143f7dfc6c6889922bde2cca3fc7f6a3&oe=5F81342F,6.0,,3157817681000505,"Denman Junior High School 7th and 8th Grade Girls Basketball Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3157817681000505&id=188501041265532,,0.0,"Denman Junior High School 7th and 8th Grade Girls Basketball Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",2020-09-09 17:07:06,,
4,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118880279_3157727461009527_871743006367344396_n.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=uNf8cTWr1qsAX9VaYXo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6575e9730c6e792069ccdabcbbd28d0e&oe=5F8175DC,8.0,,3157727541009519,"Denman Junior High School 7th and 8th Grade Boys Basketball Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3157727541009519&id=188501041265532,,0.0,"Denman Junior High School 7th and 8th Grade Boys Basketball Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",2020-09-09 16:21:36,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119139268_3157682054347401_6449174012346743209_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=ShWVGiLtI9AAX-kl_Vu&_nc_ht=scontent-atl3-1.xx&tp=14&oh=96bc2802765aba50dbbbf0a293607fa4&oe=5F814ECC,10.0,,3157684894347117,"McComb High School Boys Varsity Basketball Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3157684894347117&id=188501041265532,,0.0,"McComb High School Boys Varsity Basketball Tryout News 2020-2021

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",2020-09-09 15:59:55,,
6,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119010333_3157254154390191_2355251919882301998_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=dx8j0mjv1KcAX_7ycAR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=df410d0b18f08550dfe9d693bc01d8e9&oe=5F830EEB,28.0,,3157259144389692,"McComb School District Named Business of the Month

Provided by the McComb District Community Engagement Department.

#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3157259144389692&id=188501041265532,,0.0,"McComb School District Named Business of the Month

Provided by the McComb District Community Engagement Department.

#ItsComeBackTime",2020-09-09 12:49:42,,
7,0.0,,17.0,,3070073443108263,"McComb School District Quote of the Week!

Provided by the McComb School District Community Engagement Department.
#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3070073443108263&id=188501041265532,,0.0,"McComb School District Quote of the Week!

Provided by the McComb School District Community Engagement Department.
#ItsComeBackTime",2020-09-07 11:00:38,,
8,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118815229_3142696885845918_3391548806487508779_n.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=zQhxiD3jCYkAX8fRrKC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a381bb535155835bd2b2b90b19614e00&oe=5F831F73,22.0,,3142701812512092,"McComb School District Zoom ""Parent"" Listening Sessions 2020

""At the end of the day, the most overwhelming key to a child's success is the positive involvement of parents.""
Jane D. Hull

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",https://facebook.com/story.php?story_fbid=3142701812512092&id=188501041265532,,0.0,"McComb School District Zoom ""Parent"" Listening Sessions 2020

""At the end of the day, the most overwhelming key to a child's success is the positive involvement of parents.""
Jane D. Hull

Provided by the McComb School District Community Engagement Department.

#ItsComeBackTime",2020-09-04 17:34:27,,
9,2.0,,11.0,,3142566599192280,Weekly Update 9/4/2020,,,0.0,Weekly Update 9/4/2020,2020-09-04 16:22:24,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_816474568892874_5985438295097951082_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=hJAtpwiQ2u0AX8mdeqx&_nc_ht=video-atl3-1.xx&oh=a60971da6d9c3fefa566913b2a27521e&oe=5F5D6FF1,
