,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118588229_3598691403497252_710202788967126517_o.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=gdwTON4mb3IAX92a8eF&_nc_ht=scontent-atl3-1.xx&oh=9dbd306706ba226581606d715785e1a2&oe=5F814D3A,1.0,https://bit.ly/2YHAqVP,1015677605543400,,https://facebook.com/story.php?story_fbid=1015677605543400&id=326748947769606,,0.0,,2020-08-31 18:04:32,,
1,1.0,,1.0,,969638686813959,Our final graduation ceremony for the last names P-Z is now live! Congratulations to the Class of 2020!,https://facebook.com/story.php?story_fbid=969638686813959&id=326748947769606,"InspireNOLA Charter Schools was live.
July 1 at 2:53 PM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",2.0,"Our final graduation ceremony for the last names P-Z is now live! Congratulations to the Class of 2020!

InspireNOLA Charter Schools was live.
July 1 at 2:53 PM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",2020-07-01 15:56:39,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_644600612932489_1860507427308458531_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=S3NPbzCOwncAX9_9KRV&_nc_ht=video-atl3-1.xx&oh=a1a2a02e9e8ba2e7d76be5a8e6a10599&oe=5F5D72DD,
2,0.0,,1.0,,969579743486520,Join us live as we celebrate the Class of 2020 (Last Name G-O)! Congratulations to our graduates!,https://facebook.com/story.php?story_fbid=969579743486520&id=326748947769606,"InspireNOLA Charter Schools was live.
July 1 at 12:55 PM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",0.0,"Join us live as we celebrate the Class of 2020 (Last Name G-O)! Congratulations to our graduates!

InspireNOLA Charter Schools was live.
July 1 at 12:55 PM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",2020-07-01 13:57:04,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_3197563833639859_7175189323794488550_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=Rb7CHvugUk8AX-MqjlG&_nc_ht=video-atl3-1.xx&oh=23f78c3ebbacd70ae2c6a4566a0af7bc&oe=5F5D7646,
3,0.0,,1.0,,969514326826395,Join us live as we celebrate the Class of 2020 (Last Name A-F)! Congratulations to our graduates!,https://facebook.com/story.php?story_fbid=969514326826395&id=326748947769606,"InspireNOLA Charter Schools was live.
July 1 at 10:55 AM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",0.0,"Join us live as we celebrate the Class of 2020 (Last Name A-F)! Congratulations to our graduates!

InspireNOLA Charter Schools was live.
July 1 at 10:55 AM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",2020-07-01 12:01:53,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_563514884332684_6092671481779416839_n.mp4?_nc_cat=104&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=MJkNzefN2toAX8hYqL4&_nc_ht=video-atl3-1.xx&oh=ec0c1919930f4b452cc2ee29c02b0b4c&oe=5F5D771C,
4,0.0,,0.0,,969493536828474,"Watch the Eleanor McMain Class of 2020 Graduation Live!
July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)",https://facebook.com/story.php?story_fbid=969493536828474&id=326748947769606,"Eleanor McMain Graduation Live Stream (Last Names A-F)

InspireNOLA Charter Schools was live.
July 1 at 9:53 AM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",0.0,"Watch the Eleanor McMain Class of 2020 Graduation Live!
July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

Eleanor McMain Graduation Live Stream (Last Names A-F)

InspireNOLA Charter Schools was live.
July 1 at 9:53 AM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",2020-07-01 11:27:44,,
5,0.0,,0.0,,,,https://facebook.com/story.php?story_fbid=3418022544897473&id=614394048593684,"InspireNOLA Charter Schools was live.
July 1 at 9:53 AM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",0.0,"InspireNOLA Charter Schools was live.
July 1 at 9:53 AM ·

Join us for the InspireNOLA high school graduations live from the Pontchartrain Center:

July 1 - 9 AM - McDonogh 35

July 1 - 11 AM - McMain (A-F)
July 1 - 1 PM - McMain (G-O)
July 1 - 3 PM - McMain (P-Z)

July 2 - 9 AM - Karr (A-E)
July 2 - 11 AM - Karr (F-J)
July 2 - 1 PM - Karr (K-R)
July 2 - 3 PM - Karr (S-Z)",2020-09-12 19:07:54.789185,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/105968746_3416026765097051_4618772915836001090_o.png?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=FGgBOmbmSt0AX-IkYmL&_nc_ht=scontent-atl3-1.xx&oh=6f7c044acaf07cd739445743514661fb&oe=5F82F5C4,1.0,,969131370198024,,https://facebook.com/story.php?story_fbid=969131370198024&id=326748947769606,"InspireNOLA Charter Schools
June 30 at 3:45 PM ·

We are so excited to celebrate the Class of 2020 tomorrow and Thursday! Join us as we will broadcast each graduation on our InspireNOLA Facebook page! #InspireNOLA",0.0,"InspireNOLA Charter Schools
June 30 at 3:45 PM ·

We are so excited to celebrate the Class of 2020 tomorrow and Thursday! Join us as we will broadcast each graduation on our InspireNOLA Facebook page! #InspireNOLA",2020-06-30 22:59:57,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/103027857_3359110214122040_6968070169291933281_n.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=NcPaBhp1rd0AX8QYEDk&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5ef1bcd3a608fd7dcafcbb18a49d4d64&oe=5F8325E7,0.0,https://bit.ly/2XQOo7T,953899135054581,"Parents and Class of 2020 graduates, Join us today to hear more information regarding graduation plans! Calls take place at 10 am and 11am!

Topic: Senior Call #1
10:00 AM
https://bit.ly/2XQOo7T
Meeting ID: 852 2728 4873
Password: 593351
+13126266799,,85227284873#

Topic: Senior Call #2
11:00 AM
https://bit.ly/2BT8SnX
Meeting ID: 858 2689 0689
Password: 749635
+13126266799,,85826890689#

#InspireNOLA #NOLAed",https://facebook.com/story.php?story_fbid=953899135054581&id=326748947769606,"InspireNOLA Charter Schools
June 9 at 3:00 PM ·

Our CEO will host a series of Senior Informational Zoom Meetings on Wednesday to discuss plans and information regarding graduation. To join the call, click the link below or call in using the number in the graphic and your specific meeting's ID.

Topic: Senior Call #1
10:00 AM
https://bit.ly/2XQOo7T
Meeting ID: 852 2728 4873
Password: 593351
+13126266799,,85227284873#

Topic: Senior Call #2
11:00 AM
https://bit.ly/2BT8SnX
Meeting ID: 858 2689 0689
Password: 749635
+13126266799,,85826890689#

#InspireNOLA #NOLAed",0.0,"Parents and Class of 2020 graduates, Join us today to hear more information regarding graduation plans! Calls take place at 10 am and 11am!

Topic: Senior Call #1
10:00 AM
https://bit.ly/2XQOo7T
Meeting ID: 852 2728 4873
Password: 593351
+13126266799,,85227284873#

Topic: Senior Call #2
11:00 AM
https://bit.ly/2BT8SnX
Meeting ID: 858 2689 0689
Password: 749635
+13126266799,,85826890689#

#InspireNOLA #NOLAed

InspireNOLA Charter Schools
June 9 at 3:00 PM ·

Our CEO will host a series of Senior Informational Zoom Meetings on Wednesday to discuss plans and information regarding graduation. To join the call, click the link below or call in using the number in the graphic and your specific meeting's ID.

Topic: Senior Call #1
10:00 AM
https://bit.ly/2XQOo7T
Meeting ID: 852 2728 4873
Password: 593351
+13126266799,,85227284873#

Topic: Senior Call #2
11:00 AM
https://bit.ly/2BT8SnX
Meeting ID: 858 2689 0689
Password: 749635
+13126266799,,85826890689#

#InspireNOLA #NOLAed",2020-06-10 09:12:29,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/101814542_3338141136218948_4712872003357376512_o.png?_nc_cat=103&_nc_sid=2d5d41&_nc_ohc=wfMiW1hgmV8AX_d8wVp&_nc_ht=scontent-atl3-1.xx&oh=1a605b2d868e6cb7050c1d4bb6b402e9&oe=5F833526,2.0,,947841985660296,,https://facebook.com/story.php?story_fbid=947841985660296&id=326748947769606,"InspireNOLA Charter Schools
June 1 at 5:25 PM ·

A Statement from our CEO.⠀",0.0,"InspireNOLA Charter Schools
June 1 at 5:25 PM ·

A Statement from our CEO.⠀",2020-06-02 09:35:23,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98603421_938839519893876_259278452580941824_n.jpg?_nc_cat=106&_nc_sid=110474&_nc_ohc=k5lhuVQeD0AAX9BQZ5e&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6fb97defc542fdc7e828d8d506b0e29d&oe=5F8170EA,6.0,https://us02web.zoom.us/j/86730220942?pwd=bk9xT0l3bE1CRHNBeHBPUk1CSWtuZz09%E2%80%AC,938839593227202,"‪In keeping with the tradition of McMain's Academic Awards Banquet, we would will announce our Top Honor Graduates, tomorrow at 10:00 AM! Join us!‬

‪https://us02web.zoom.us/j/86730220942?pwd=bk9xT0l3bE1CRHNBeHBPUk1CSWtuZz09‬

‪Meeting ID: 867 3022 0942‬
‪Password: 8JR2TG‬",https://facebook.com/story.php?story_fbid=938839593227202&id=326748947769606,,0.0,"‪In keeping with the tradition of McMain's Academic Awards Banquet, we would will announce our Top Honor Graduates, tomorrow at 10:00 AM! Join us!‬

‪https://us02web.zoom.us/j/86730220942?pwd=bk9xT0l3bE1CRHNBeHBPUk1CSWtuZz09‬

‪Meeting ID: 867 3022 0942‬
‪Password: 8JR2TG‬",2020-05-20 21:49:14,,
