,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119137745_2692928680922338_6720065950813525862_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=sYo8Y1Vf8bwAX8lr4Nx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=74525c55dfddc3df6aff62b3c10554c6&oe=5F843A90,27.0,http://mdusd.org/fridayletter,2692928787588994,Board of Education Seeks First Ever Student Board Member - this and more headlines in the mdusd.org/fridayletter,https://facebook.com/story.php?story_fbid=2692928787588994&id=1422326381315914,,0.0,Board of Education Seeks First Ever Student Board Member - this and more headlines in the mdusd.org/fridayletter,2020-09-11 17:29:54,,
1,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117964936_2680926228789250_173070384532918180_n.png?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=mYWd00QdPnsAX-ftrx6&_nc_ht=scontent-atl3-1.xx&oh=1b4a841dbc03b11dec959b6c4bb734ec&oe=5F8305FB,6.0,http://mdusd.org/fridayletter,2680926822122524,"MDUSD Community,
Read it here: mdusd.org/fridayletter - important information and the latest from our district.",https://facebook.com/story.php?story_fbid=2680926822122524&id=1422326381315914,,0.0,"MDUSD Community,
Read it here: mdusd.org/fridayletter - important information and the latest from our district.",2020-08-28 18:49:14,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118212089_2675069776041562_5762100946610107472_n.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=Yb48SMMTj6oAX9K6pX2&_nc_ht=scontent-atl3-1.xx&oh=4f7b43b749e190ea56bcb7c746f4a444&oe=5F867794,15.0,http://mdusd.org/fridayletter,2675070192708187,"Read it at mdusd.org/fridayletter - This week's headlines: When the Smoke Clears, Org. Update to the Board, Your Story is Our Story – School Start Reflections, and more.",https://facebook.com/story.php?story_fbid=2675070192708187&id=1422326381315914,,0.0,"Read it at mdusd.org/fridayletter - This week's headlines: When the Smoke Clears, Org. Update to the Board, Your Story is Our Story – School Start Reflections, and more.",2020-08-21 19:06:25,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117769943_2668897863325420_3355394315112836077_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=WbNRj-27zX4AX-JGvY7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4752501a16e7a38f881c33105af2bfbb&oe=5F846BF9,20.0,http://mdusd.org/fridayletter,2668898466658693,"Headlines from this week's Friday Letter: 2020-21 New Year Welcome, Organizational Update to the Board, Food Service Transition, Parent Trainings, and TOY Encouragement. Read it here: mdusd.org/fridayletter",https://facebook.com/story.php?story_fbid=2668898466658693&id=1422326381315914,,0.0,"Headlines from this week's Friday Letter: 2020-21 New Year Welcome, Organizational Update to the Board, Food Service Transition, Parent Trainings, and TOY Encouragement. Read it here: mdusd.org/fridayletter",2020-08-14 19:29:24,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117715408_2667153523499854_1529732731800664968_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=QMeFlEfs12wAX89I0YT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c8f437bdce39c62a0fe3ce68b25e1ca5&oe=5F84B456,13.0,http://mdusd.org/2020-21,2667153766833163,"Nuestra oportunidad de conectar, enseñar y apoyar comienza en 5 días, y estamos comprometidos a dar lo mejor de nosotros a los estudiantes—con estructuras más fuertes y flexibles y una renovada pasión por la excelencia educativa. 2020-21, ¡aquí vamos! mdusd.org/2020-21",https://facebook.com/story.php?story_fbid=2667153766833163&id=1422326381315914,,0.0,"Nuestra oportunidad de conectar, enseñar y apoyar comienza en 5 días, y estamos comprometidos a dar lo mejor de nosotros a los estudiantes—con estructuras más fuertes y flexibles y una renovada pasión por la excelencia educativa. 2020-21, ¡aquí vamos! mdusd.org/2020-21",2020-08-12 17:59:24,,
5,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117768759_2667152456833294_6608051857653346256_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=ieU5kXyUJmIAX-KekJi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=48787de960f19f9b99ea6bfcc623f798&oe=5F8334B1,48.0,http://mdusd.org/2020-21,2667153080166565,"Our opportunity to connect, teach, and support begins in 5 short days, and we’re committed to bringing our best to students—with stronger, flexible structures and a renewed passion for educational excellence. 2020-21, here we come! mdusd.org/2020-21",https://facebook.com/story.php?story_fbid=2667153080166565&id=1422326381315914,,0.0,"Our opportunity to connect, teach, and support begins in 5 short days, and we’re committed to bringing our best to students—with stronger, flexible structures and a renewed passion for educational excellence. 2020-21, here we come! mdusd.org/2020-21",2020-08-12 17:58:05,,
6,4.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117419602_2662848247263715_7752754927918569654_n.png?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=iZZ3dRf0lSYAX-urZ6n&_nc_ht=scontent-atl3-1.xx&oh=b4b291f3d35cc3276a09c13e4573e406&oe=5F834EFF,3.0,https://www.mdusd.org/pf4/cms2/news_themed_display?id=1596794051277,2662848967263643,"MDUSD Community,
Here are this week's headlines:
•2020-21 FAQ and the MDUSD Parent Academy
•08-07-2020 Organizational Update to the Board
•Potential Door-to-Door Service: Interest Survey
•2020 US Census – Chromebook Raffle (Monument Impact)
•Board Meetings: We Value Your Input

Read it here: https://www.mdusd.org/pf4/cms2/news_themed_display?id=1596794051277",https://facebook.com/story.php?story_fbid=2662848967263643&id=1422326381315914,,0.0,"MDUSD Community,
Here are this week's headlines:
•2020-21 FAQ and the MDUSD Parent Academy
•08-07-2020 Organizational Update to the Board
•Potential Door-to-Door Service: Interest Survey
•2020 US Census – Chromebook Raffle (Monument Impact)
•Board Meetings: We Value Your Input

Read it here: https://www.mdusd.org/pf4/cms2/news_themed_display?id=1596794051277",2020-08-07 17:19:40,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117330393_3149530051750838_1778959939865691536_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=tdyzSJkzg5kAX_WywLT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f9481e6eb19f16169a4b401217faab37&oe=5F8590C3,0.0,https://bit.ly/cococensus,2662847927263747,,https://facebook.com/story.php?story_fbid=2662847927263747&id=1422326381315914,"Monument Impact
August 7 at 6:05 PM ·

Rifa del Censo, Día #1: ¡Sorteo de computadoras portátiles! Llene el Censo por línea para tener la oportunidad de ganar un nuevo Chromebook – ¡justo a tiempo para la escuela! ¡Participar en el sorteo es muy fácil! Solamente hay tres simples pasos a seguir:
1. Llene el Censo 2020 en línea que se puede encontrar aquí: https://bit.ly/cococensus

2. Tome una foto de la página de envío que es la página que sale *antes* de la confirmación.
(Por ejemplo: http://snpy.in/0TMbr5)

3. Publique la foto en la sección de comentarios de esta publicación y díganos por qué cree que el censo es importante y etiquete @MonumentImpact \ #CoCoCensus
Este sorteo está abierto solamente para residentes de California y finalizará a las 10 p.m. el viernes, el 7 de agosto 2020. Nosotros contactaremos al ganador/a por medio de Facebook Messenger a las 12 pm, el siguiente día, 8 de Agosto 2020",0.0,"Monument Impact
August 7 at 6:05 PM ·

Rifa del Censo, Día #1: ¡Sorteo de computadoras portátiles! Llene el Censo por línea para tener la oportunidad de ganar un nuevo Chromebook – ¡justo a tiempo para la escuela! ¡Participar en el sorteo es muy fácil! Solamente hay tres simples pasos a seguir:
1. Llene el Censo 2020 en línea que se puede encontrar aquí: https://bit.ly/cococensus

2. Tome una foto de la página de envío que es la página que sale *antes* de la confirmación.
(Por ejemplo: http://snpy.in/0TMbr5)

3. Publique la foto en la sección de comentarios de esta publicación y díganos por qué cree que el censo es importante y etiquete @MonumentImpact \ #CoCoCensus
Este sorteo está abierto solamente para residentes de California y finalizará a las 10 p.m. el viernes, el 7 de agosto 2020. Nosotros contactaremos al ganador/a por medio de Facebook Messenger a las 12 pm, el siguiente día, 8 de Agosto 2020",2020-08-07 17:17:21,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117238593_3149512988419211_2195560353845636610_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=sp0vqdrPppgAX8owt4C&_nc_ht=scontent-atl3-1.xx&tp=14&oh=e46735f59d12492cf6bffa493a8db472&oe=5F8324EA,1.0,https://bit.ly/cococensus,2662847810597092,,https://facebook.com/story.php?story_fbid=2662847810597092&id=1422326381315914,"Monument Impact
August 7 at 6:03 PM ·

Census Raffle Day 1: Complete the 2020 US Census for a chance to win a brand new Chromebook! Entering the raffling is simple:
• Respond the 2020 Census online at: https://bit.ly/cococensus
• Take a photo/screenshot of the submission page--the page *before* the confirmation page. (Ex: http://snpy.in/0TMbr5)
• Post the photo/screenshot in the comments section, telling us why the census is important, and tagging @MonumentImpact \#CoCoCensus
This raffle is open to California residents only and will end at 10 PM on Friday, Aug 07. We will contact the lucky winner through Facebook Messenger by noon on Saturday, Aug 8th.",2.0,"Monument Impact
August 7 at 6:03 PM ·

Census Raffle Day 1: Complete the 2020 US Census for a chance to win a brand new Chromebook! Entering the raffling is simple:
• Respond the 2020 Census online at: https://bit.ly/cococensus
• Take a photo/screenshot of the submission page--the page *before* the confirmation page. (Ex: http://snpy.in/0TMbr5)
• Post the photo/screenshot in the comments section, telling us why the census is important, and tagging @MonumentImpact \#CoCoCensus
This raffle is open to California residents only and will end at 10 PM on Friday, Aug 07. We will contact the lucky winner through Facebook Messenger by noon on Saturday, Aug 8th.",2020-08-07 17:17:07,,
9,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116098869_2657190444496162_7812993723378925399_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=JS6oO7rp_bwAX-p88G_&_nc_ht=scontent-atl3-1.xx&oh=c16bb2075ec6899285c654f5c53cb064&oe=5F845474,24.0,http://mdusd.org/superintendent,2657190597829480,Superintendent Dr. Adam Clark introduces a weekly Organizational Update to the Board. Find the first published here: mdusd.org/superintendent,https://facebook.com/story.php?story_fbid=2657190597829480&id=1422326381315914,,0.0,Superintendent Dr. Adam Clark introduces a weekly Organizational Update to the Board. Find the first published here: mdusd.org/superintendent,2020-07-31 17:42:45,,
