,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,20.0,https://www.themetroschool.org/article/305714?org=metro-schools,10158319936353941,Metro Student Makes National Headlines,https://facebook.com/story.php?story_fbid=10158319936353941&id=171761588940,"THEMETROSCHOOL.ORG
Metro Student Makes National Headlines",0.0,"Metro Student Makes National Headlines

THEMETROSCHOOL.ORG
Metro Student Makes National Headlines",2020-09-11 11:05:19,,
1,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119097055_10158314907668941_6645273292873167052_n.jpg?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=k7gPIE3mQGYAX_h271o&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=4ff4d9ac5430ab0b736e2490a0193c0d&oe=5F816597,3.0,https://www.girlsplusdata.org/,10158314907663941,Girls + Data is offering virtual camps in the coming weeks for female students interested in technology careers. Visit their website to learn more and to register: https://www.girlsplusdata.org,,,0.0,Girls + Data is offering virtual camps in the coming weeks for female students interested in technology careers. Visit their website to learn more and to register: https://www.girlsplusdata.org,2020-09-09 13:32:47,,
2,0.0,,26.0,https://www.google.com/amp/s/www.dispatch.com/news/20200907/columbus-teen-builds-sneaker-restoration-business-amid-pandemic%3ftemplate=ampart,10158309790913941,Metro student highlighted in the Columbus Dispatch as a creative entrepreneur. Read the story here: https://www.google.com/amp/s/www.dispatch.com/news/20200907/columbus-teen-builds-sneaker-restoration-business-amid-pandemic%3ftemplate=ampart,https://facebook.com/story.php?story_fbid=10158309790913941&id=171761588940,"DISPATCH.COM
Columbus teen builds sneaker restoration business amid pandemic",4.0,"Metro student highlighted in the Columbus Dispatch as a creative entrepreneur. Read the story here: https://www.google.com/amp/s/www.dispatch.com/news/20200907/columbus-teen-builds-sneaker-restoration-business-amid-pandemic%3ftemplate=ampart

DISPATCH.COM
Columbus teen builds sneaker restoration business amid pandemic",2020-09-07 12:29:04,,
3,0.0,,4.0,,10158302213953941,"Join us for the next meeting of the Metro PTSA on Tuesday, Sept. 8 at 7pm. The meeting will be hosted virtually on Webex; all families are welcome to participate. Check your email for the meeting link and code.",https://facebook.com/story.php?story_fbid=10158302213953941&id=171761588940,,0.0,"Join us for the next meeting of the Metro PTSA on Tuesday, Sept. 8 at 7pm. The meeting will be hosted virtually on Webex; all families are welcome to participate. Check your email for the meeting link and code.",2020-09-04 14:46:39,,
4,0.0,,4.0,,10158280957503941,"Metro's High School Parent Technology and Q&A session scheduled for Thursday, August 27 at 6:30pm is being postponed. The new meeting date will be posted as soon as the event is rescheduled.",https://facebook.com/story.php?story_fbid=10158280957503941&id=171761588940,,0.0,"Metro's High School Parent Technology and Q&A session scheduled for Thursday, August 27 at 6:30pm is being postponed. The new meeting date will be posted as soon as the event is rescheduled.",2020-08-27 14:56:18,,
5,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118309939_10158272795128941_6083949483486915033_n.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=D1HQMDyPL0MAX8XZD6Y&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=1edb784e791218f84d356fc1ed127c62&oe=5F82AB31,5.0,https://drive.google.com/file/d/13dMH3IDv11uYvn56GkXCTK9_pzWJnbE5/view?usp=sharing,10158272795118941,Read the Fall 2020 Welcome Message from Metro Superintendent Meka Pace: https://drive.google.com/file/d/13dMH3IDv11uYvn56GkXCTK9_pzWJnbE5/view?usp=sharing,,,0.0,Read the Fall 2020 Welcome Message from Metro Superintendent Meka Pace: https://drive.google.com/file/d/13dMH3IDv11uYvn56GkXCTK9_pzWJnbE5/view?usp=sharing,2020-08-24 13:16:02,,
6,0.0,,7.0,https://www.themetroschool.org/article/288980?org=metro-schools,10158255889223941,Mental Health Resources for Families,https://facebook.com/story.php?story_fbid=10158255889223941&id=171761588940,"THEMETROSCHOOL.ORG
Mental Health Resources for Families",4.0,"Mental Health Resources for Families

THEMETROSCHOOL.ORG
Mental Health Resources for Families",2020-08-17 21:18:02,,
7,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/117773850_10158246899493941_8148769261072907499_n.png?_nc_cat=101&_nc_sid=2d5d41&_nc_ohc=jzTAcf5zefUAX_yxctG&_nc_ht=scontent.fbna1-2.fna&oh=c88b13cd755c5cbe0c50b1cfd5c470e1&oe=5F81FF8F,4.0,https://ehe.osu.edu/news/listing/build-student-success-practical-research/,10158246899483941,Read about how Metro's partnership with OSU's College of Education & Human Ecology results in research beneficial to student growth: https://ehe.osu.edu/news/listing/build-student-success-practical-research/,,,0.0,Read about how Metro's partnership with OSU's College of Education & Human Ecology results in research beneficial to student growth: https://ehe.osu.edu/news/listing/build-student-success-practical-research/,2020-08-14 14:26:02,,
8,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/117612988_10158246798658941_3312082673609157020_n.png?_nc_cat=106&_nc_sid=2d5d41&_nc_ohc=ZpBZahb8ghYAX85RUSW&_nc_ht=scontent.fbna1-2.fna&oh=75af036652171067b9d3632d8f7c926c&oe=5F826D3E,0.0,https://commissioners.franklincountyohio.gov/news/2020/public-private-partnership-to-keep-franklin-county,10158246798653941,"A Franklin County and City of Columbus-led collaborative is working to fill a critical needs gap for thousands of students who will have online learning this fall, yet lack computers and Internet service.

The goal is to provide computers and hotspots to as many homes as possible. Details of the plan are still being worked out, including which schools and families will be served first. You can read more here: https://commissioners.franklincountyohio.gov/news/2020/public-private-partnership-to-keep-franklin-county",,,0.0,"A Franklin County and City of Columbus-led collaborative is working to fill a critical needs gap for thousands of students who will have online learning this fall, yet lack computers and Internet service.

The goal is to provide computers and hotspots to as many homes as possible. Details of the plan are still being worked out, including which schools and families will be served first. You can read more here: https://commissioners.franklincountyohio.gov/news/2020/public-private-partnership-to-keep-franklin-county",2020-08-14 13:38:31,,
9,0.0,,13.0,,10158236611413941,"Metro Families,

You may have received communications from Lifetouch (our school picture people) regarding picture days this week. Please disregard those notices and do not bring your child to take pictures Tuesday or Thursday!

We are only taking ID photos for students who are new to Metro this year; those will take place during the MAP testing and orientation. We will not be doing school pictures for returning students at this time. We plan to reschedule picture day later in the school year. This is for the safety of our staff, students and families.

Thanks, and sorry for any confusion!",https://facebook.com/story.php?story_fbid=10158236611413941&id=171761588940,,0.0,"Metro Families,

You may have received communications from Lifetouch (our school picture people) regarding picture days this week. Please disregard those notices and do not bring your child to take pictures Tuesday or Thursday!

We are only taking ID photos for students who are new to Metro this year; those will take place during the MAP testing and orientation. We will not be doing school pictures for returning students at this time. We plan to reschedule picture day later in the school year. This is for the safety of our staff, students and families.

Thanks, and sorry for any confusion!",2020-08-10 16:45:38,,
