,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118609727_10158392123459336_1357137481276950500_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=iKFKpOXqPVwAX8XReWG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c46832323f39c64f82fee3726a78d98e&oe=5F852E72,9.0,,10158392124549336,"Quarter One Progress Reports are available on Infinite Campus. If you need assistance accessing your Infinite Campus account please contact John Perovich at jperovich@metropolitanartsinstitute.org

REMINDER
Monday, September 7th is Labor Day.
Metro Arts will be closed and classes will resume on Tuesday, September 8th.

Thank you!
Metro Arts Administration",https://facebook.com/story.php?story_fbid=10158392124549336&id=38882014335,,0.0,"Quarter One Progress Reports are available on Infinite Campus. If you need assistance accessing your Infinite Campus account please contact John Perovich at jperovich@metropolitanartsinstitute.org

REMINDER
Monday, September 7th is Labor Day.
Metro Arts will be closed and classes will resume on Tuesday, September 8th.

Thank you!
Metro Arts Administration",2020-09-03 15:01:11,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118888785_10158394182644336_4741692220646243154_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=nn3dz-W5JZcAX-3wHDw&_nc_ht=scontent-atl3-1.xx&oh=b2e12d965a55630cd5c40268fc1288d6&oe=5F85A63F,3.0,http://my2020census.gov/,10158394167004336,"Did you know more than $3,000 per person every year is at stake for every Arizonan not counted in the #2020Census? That’s funding for programs like healthcare, education, childcare, even roads. Respond now at my2020census.gov or call 844.330.2020.
#AZCounts",https://facebook.com/story.php?story_fbid=10158394167004336&id=38882014335,,0.0,"Did you know more than $3,000 per person every year is at stake for every Arizonan not counted in the #2020Census? That’s funding for programs like healthcare, education, childcare, even roads. Respond now at my2020census.gov or call 844.330.2020.
#AZCounts",2020-09-04 11:49:18,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118572603_10158388184674336_6822732818043141835_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=wdxEw1-rtrEAX8nB8K2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b762c7d63a9b4842924edaed6bef0103&oe=5F82F2C3,3.0,,10158388184744336,,https://facebook.com/story.php?story_fbid=10158388184744336&id=38882014335,,0.0,,2020-09-02 00:41:50,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118544215_10158377651089336_8859928921220072371_n.jpg?_nc_cat=101&_nc_sid=9e2e56&_nc_ohc=Ij7yO2_vvcoAX9xmu_J&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9a92bbdeb3b54b0751550dd4c1228e89&oe=5F844001,5.0,,10158377651219336,,https://facebook.com/story.php?story_fbid=10158377651219336&id=38882014335,,0.0,,2020-08-28 16:50:38,,
4,0.0,,7.0,https://www.azcentral.com/story/entertainment/music/2020/08/19/phoenix-trunk-space-help-homeless-kids/3372530001/,10158358529149336,https://www.azcentral.com/story/entertainment/music/2020/08/19/phoenix-trunk-space-help-homeless-kids/3372530001/,https://facebook.com/story.php?story_fbid=10158358529149336&id=38882014335,"AZCENTRAL.COM
How a Phoenix arts space helped two homeless kids start a new life after their mom died",2.0,"https://www.azcentral.com/story/entertainment/music/2020/08/19/phoenix-trunk-space-help-homeless-kids/3372530001/

AZCENTRAL.COM
How a Phoenix arts space helped two homeless kids start a new life after their mom died",2020-08-20 14:25:06,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116352143_10158321883099336_5314531302642069909_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=VcgynUj2PzkAX8lr8pD&_nc_ht=scontent-atl3-1.xx&tp=14&oh=dc1aa1347d79485354c5ae37f4e40bf8&oe=5F82F581,9.0,,10158321883384336,,https://facebook.com/story.php?story_fbid=10158321883384336&id=38882014335,,0.0,,2020-08-05 15:46:21,,
6,0.0,,4.0,https://smoca.org/event/moving-and-creating-dance-together/,10158321118569336,Metro Arts inspiring dance teacher Nicole Olson virtual performance and workshop at SMOCA. Workshop this Saturday. https://smoca.org/event/moving-and-creating-dance-together/,https://facebook.com/story.php?story_fbid=10158321118569336&id=38882014335,"SMOCA.ORG
Virtual Studio @SMoCA: Moving and Creating Dance Together",0.0,"Metro Arts inspiring dance teacher Nicole Olson virtual performance and workshop at SMOCA. Workshop this Saturday. https://smoca.org/event/moving-and-creating-dance-together/

SMOCA.ORG
Virtual Studio @SMoCA: Moving and Creating Dance Together",2020-08-05 09:41:05,,
7,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/116703716_10158303995774336_3715017364165224156_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=C0RMnQ__TX8AX-oZHq6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=29bea2d9444fc2f5ba06c40708db0f2e&oe=5F83C154,8.0,,10158303996214336,,https://facebook.com/story.php?story_fbid=10158303996214336&id=38882014335,,0.0,,2020-07-29 21:01:50,,
8,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109128994_10158268156069336_3668701020044223829_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=DsZBD65-f_YAX92uQZ2&_nc_ht=scontent-atl3-1.xx&tp=14&oh=92627515af814e5fd90cc2ee725ece1a&oe=5F82DF14,19.0,,10158268156759336,,https://facebook.com/story.php?story_fbid=10158268156759336&id=38882014335,,0.0,,2020-07-16 20:20:28,,
9,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109142353_10158265685284336_7169987641560515417_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=AF02_6Gikf8AX-B7WrS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=08661432f093d30e10f55669993833b4&oe=5F8429AF,12.0,,10158265685684336,"7-15-20

Good Afternoon, Students and Families,

We hope this message finds you safe and healthy. We wanted to provide you with a brief update for beginning school at Metro.

Earlier today, the Governor met with educational leaders, and the Arizona Department of Education also provided schools with an overview of guidelines. We are still expecting further guidance from the State as we finalize our plans.

Although we had planned on communicating full details today, we are incorporating today’s recent updates from the State into our plans.

We look forward to providing you with a full update tomorrow.

Thank you for your support.

Respectfully,

Metropolitan Arts Institute Administration

Matt Baker, Head of School
Jenny Quinn, Student Services & Academics
Betsy Rosenmiller, Finance
Lisa Starry, Operations
John Perovich, Admissions and Student Life",https://facebook.com/story.php?story_fbid=10158265685684336&id=38882014335,,0.0,"7-15-20

Good Afternoon, Students and Families,

We hope this message finds you safe and healthy. We wanted to provide you with a brief update for beginning school at Metro.

Earlier today, the Governor met with educational leaders, and the Arizona Department of Education also provided schools with an overview of guidelines. We are still expecting further guidance from the State as we finalize our plans.

Although we had planned on communicating full details today, we are incorporating today’s recent updates from the State into our plans.

We look forward to providing you with a full update tomorrow.

Thank you for your support.

Respectfully,

Metropolitan Arts Institute Administration

Matt Baker, Head of School
Jenny Quinn, Student Services & Academics
Betsy Rosenmiller, Finance
Lisa Starry, Operations
John Perovich, Admissions and Student Life",2020-07-15 22:19:05,,
