,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,18.0,,10.0,,2414922155482957,,,,6.0,,2020-09-11 19:07:31,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_142538344206087_1727239101219497730_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=5Xd8PYVSXKsAX9Tsi0S&_nc_ht=scontent.fbna1-2.fna&oh=5193a4d3f00f03f9f1b5644aaf5348cc&oe=5F80BC00,
1,2.0,,6.0,,325743301873589,Varsity Football vs. Ottawa Hills 9/11/20,,,0.0,Varsity Football vs. Ottawa Hills 9/11/20,2020-09-11 18:06:55,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_953518265134194_6879189510482287470_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=ZebIlHOSFxUAX_RXOEm&_nc_ht=scontent.fbna1-2.fna&oh=c1eedd82fbf5072a75ecc12106c49d81&oe=5F8175F5,
2,4.0,,5.0,,250327289502166,,,,0.0,,2020-09-10 18:11:43,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_173394330983790_2866916001761837775_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=KPGPYPp1SVYAX-vgvZq&_nc_ht=scontent.fbna1-2.fna&oh=d1f1f567b982e3b663fbcfdac6d12aa7&oe=5F82B40B,
3,2.0,,0.0,,250580656137013,,,,0.0,,2020-09-10 17:05:10,https://scontent.fbna1-1.fna.fbcdn.net/v/t66.36281-6/10000000_179805770268039_6269500368775064260_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=hV4mtwi613wAX93lYsb&_nc_ht=scontent.fbna1-1.fna&oh=21ae29bf05996881e584b5ae413ec037&oe=5F839F1C,
4,0.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/82877050_3208103195871483_5449402312722219008_o.jpg?_nc_cat=107&_nc_sid=dd9801&_nc_ohc=uSm9BmqpZ3EAX_vPy4D&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=7f5ff323f97d13ae32fd4f1184782db9&oe=5F808C2A,35.0,,3863865603628569,,,,0.0,,2020-09-10 07:54:22,,
5,8.0,,11.0,,332797221467319,,,,0.0,,2020-09-08 18:52:32,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_620758541957323_4562632356005047064_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=zhNSxtY6xWkAX-v3bkM&_nc_ht=scontent.fbna1-2.fna&oh=2e7d2e25be4a742db57bec21a791b697&oe=5F839784,
6,3.0,,8.0,,983147562160893,,,,0.0,,2020-09-08 16:58:52,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_328318105077576_3596128505566001412_n.mp4?_nc_cat=102&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=HWHN9GLt4iwAX-Du4oe&_nc_ht=scontent.fbna1-2.fna&oh=358f8c10d9cff3744de0489b0ca6cabc&oe=5F82326E,
7,8.0,,12.0,,2378239795803820,Hilltop JH FB vs. Edgerton 2nd half 9/3/20,,,5.0,Hilltop JH FB vs. Edgerton 2nd half 9/3/20,2020-09-03 18:08:52,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_2696331833963585_5920725404455730559_n.mp4?_nc_cat=100&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=TMO94Spd1l8AX9jIo43&_nc_ht=scontent.fbna1-2.fna&oh=171956b370771fb86364f7f82fe26dae&oe=5F80A3CF,
8,15.0,,16.0,,776363039847636,Hilltop JH FB vs. Edgerton 9/3/20,,,4.0,Hilltop JH FB vs. Edgerton 9/3/20,2020-09-03 16:52:02,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_798404407643723_4454077078485473992_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=sES9RBtRqH8AX9Da-zA&_nc_ht=scontent.fbna1-2.fna&oh=3f3d888a739a767f55e7e4fd693770b6&oe=5F82CF57,
9,7.0,,10.0,,2794430947510441,,,,0.0,,2020-09-03 16:06:47,https://scontent.fbna1-2.fna.fbcdn.net/v/t66.36281-6/10000000_758354294944972_4122444658602542996_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=FHxAfiOUlrgAX8NkKM7&_nc_ht=scontent.fbna1-2.fna&oh=e36d2086ea7ea9247f14211cc36864cb&oe=5F834F42,
