,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119093428_3766508673362762_2869641137210663324_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=1fvlMI9x3KcAX_QGhkE&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=061c5b46efaf170f5b5a033f8c8ac979&oe=5F839500,5.0,,3766510146695948,,https://facebook.com/story.php?story_fbid=3766510146695948&id=205692612777737,,0.0,,2020-09-09 11:36:49,,
1,6.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118844780_3750134908333472_4710627828016507490_o.jpg?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=KQsgEvBVKFIAX__thRR&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=ecd7e1dc7f1709048395318df6fd85e5&oe=5F8305A7,11.0,,3750137734999856,,https://facebook.com/story.php?story_fbid=3750137734999856&id=205692612777737,,0.0,,2020-09-04 15:29:06,,
2,0.0,,6.0,,3743336842346612,The Covid-19 Resources Link on the Schools webpage has been updated to include Online Learning Plans and Office Hours for teachers and staff should we have to go totally online. Please check the school's webpage for more information.,https://facebook.com/story.php?story_fbid=3743336842346612&id=205692612777737,,0.0,The Covid-19 Resources Link on the Schools webpage has been updated to include Online Learning Plans and Office Hours for teachers and staff should we have to go totally online. Please check the school's webpage for more information.,2020-09-02 19:05:28,,
3,0.0,,15.0,,3716977588315871,"If the district has a 2 hour delay, school will still be released at the normal 2:10 time. Also, all early releases have been cancelled.",https://facebook.com/story.php?story_fbid=3716977588315871&id=205692612777737,,0.0,"If the district has a 2 hour delay, school will still be released at the normal 2:10 time. Also, all early releases have been cancelled.",2020-08-26 10:47:19,,
4,20.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/117934982_3682894925057471_2154111025008889700_n.png?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=TP5hYKN6fMsAX8SaP8X&_nc_ht=scontent.fbna1-2.fna&oh=54abc8e6950f5bbd57189b89323bee4e&oe=5F82809A,6.0,,3682900175056946,"Per Governor DeWine's order, schools are required to prohibit the use of face shields as a substitute for face coverings/masks. This includes staff and students. Face shields may be used in conjunction with masks but not as a substitute.",https://facebook.com/story.php?story_fbid=3682900175056946&id=205692612777737,,0.0,"Per Governor DeWine's order, schools are required to prohibit the use of face shields as a substitute for face coverings/masks. This includes staff and students. Face shields may be used in conjunction with masks but not as a substitute.",2020-08-15 13:14:34,,
5,0.0,,15.0,,3679875925359371,All students should bring a clear water bottle to school. Drinking fountains will only be used as a water bottle filling station. Thank you!,https://facebook.com/story.php?story_fbid=3679875925359371&id=205692612777737,,0.0,All students should bring a clear water bottle to school. Drinking fountains will only be used as a water bottle filling station. Thank you!,2020-08-14 13:05:17,,
6,0.0,,13.0,https://www.youtube.com/watch?v=_uBgV81NpGc&feature=youtu.be,3676653815681582,"Hey Locomotives! Its going to be a GREAT year! Check out Boomer and some safety tips for Montpelier students!

https://www.youtube.com/watch?v=_uBgV81NpGc&feature=youtu.be",https://facebook.com/story.php?story_fbid=3676653815681582&id=205692612777737,"YOUTUBE.COM
Boomer returns to School with his mask",2.0,"Hey Locomotives! Its going to be a GREAT year! Check out Boomer and some safety tips for Montpelier students!

https://www.youtube.com/watch?v=_uBgV81NpGc&feature=youtu.be

YOUTUBE.COM
Boomer returns to School with his mask",2020-08-13 11:23:14,,
7,0.0,,5.0,,3670878256259138,The official updated class lists for the 2020 - 2021 school year are now posted on the school's homepage. We are working to update PowerSchool and Schoology to reflect this official list. Call the office if you have any questions.,https://facebook.com/story.php?story_fbid=3670878256259138&id=205692612777737,,0.0,The official updated class lists for the 2020 - 2021 school year are now posted on the school's homepage. We are working to update PowerSchool and Schoology to reflect this official list. Call the office if you have any questions.,2020-08-11 12:30:23,,
8,0.0,,10.0,,3667849963228634,"The cafeteria staff have been working very hard to make Montpelier as safe as possible as we begin the school year. Here is a list of changes.

1. Masks will be required while in food service lines.

2. Plexiglass dividers will be used to separate the students while they dine.

3. For the time being, we will be using a monthly menu instead of the 5 week cycle menu used previously.

4. Students will no longer key in their ID#. They will now have a bar code that will be scanned at the register.

5. All trays and utensils will be disposable.

6. ONLY an assigned adult staff member will be allowed to operate the microwaves.

7. There will no longer be a salad bar or baked potato option.

8. Lines 1 &…",https://facebook.com/story.php?story_fbid=3667849963228634&id=205692612777737,,0.0,"The cafeteria staff have been working very hard to make Montpelier as safe as possible as we begin the school year. Here is a list of changes.

1. Masks will be required while in food service lines.

2. Plexiglass dividers will be used to separate the students while they dine.

3. For the time being, we will be using a monthly menu instead of the 5 week cycle menu used previously.

4. Students will no longer key in their ID#. They will now have a bar code that will be scanned at the register.

5. All trays and utensils will be disposable.

6. ONLY an assigned adult staff member will be allowed to operate the microwaves.

7. There will no longer be a salad bar or baked potato option.

8. Lines 1 &…",2020-08-10 11:57:36,,
9,0.0,,4.0,https://www.montpelier-k12.org/,3655658797781084,Please visit our school web page https://www.montpelier-k12.org for Busing and Transportation updates. Your school is working hard to make Montpelier as safe as possible during these unprecedented times.,https://facebook.com/story.php?story_fbid=3655658797781084&id=205692612777737,"MONTPELIER-K12.ORG
Home - Montpelier Exempted Village Schools",12.0,"Please visit our school web page https://www.montpelier-k12.org for Busing and Transportation updates. Your school is working hard to make Montpelier as safe as possible during these unprecedented times.

MONTPELIER-K12.ORG
Home - Montpelier Exempted Village Schools",2020-08-06 08:48:28,,
