,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,,15.0,,2084717871658254,"On Friday Sept. 11th Section III approved the start of low and moderate risks sports. The tentative start date is Monday September 21st. The Athletic Department is scheduling a virtual informational meeting on Monday Sept. 14th on TEAMS at 4 pm. If you can attend please email me so I can sign you up for the meeting. cdoroshenko@m-ecs.org or feel free to leave me a message at 315-684-5905.
If you are unable to attend please feel free to contact me anytime.
Chris Doroshenko",https://facebook.com/story.php?story_fbid=2084717871658254&id=1169095779887139,,0.0,"On Friday Sept. 11th Section III approved the start of low and moderate risks sports. The tentative start date is Monday September 21st. The Athletic Department is scheduling a virtual informational meeting on Monday Sept. 14th on TEAMS at 4 pm. If you can attend please email me so I can sign you up for the meeting. cdoroshenko@m-ecs.org or feel free to leave me a message at 315-684-5905.
If you are unable to attend please feel free to contact me anytime.
Chris Doroshenko",2020-09-12 20:23:31,,
1,2.0,,11.0,https://www.localsyr.com/news/local-news/sources-high-risk-fall-high-school-sports-postponed-until-march-1/,2081743318622376,It looks like we have some time to replace the light tower by the football field that fell during last week's wind storm. Our students/athletes have lost so much. Please be sure to reach out to your legislators and ask them to provide the funds necessary to allow our kids have the opportunities they deserve.,https://facebook.com/story.php?story_fbid=2081743318622376&id=1169095779887139,"LOCALSYR.COM
‘High-risk’ fall high school sports postponed until March 1",2.0,"It looks like we have some time to replace the light tower by the football field that fell during last week's wind storm. Our students/athletes have lost so much. Please be sure to reach out to your legislators and ask them to provide the funds necessary to allow our kids have the opportunities they deserve.

LOCALSYR.COM
‘High-risk’ fall high school sports postponed until March 1",2020-09-09 20:01:24,,
2,0.0,,1.0,https://my.thoughtexchange.com/753174109,2080433488753359,"Over the last two weeks, NYS has withheld more than $200,000 in aid to the Morrisville-Eaton CSD. We expect this number could grow to more than $2 million by the end of the year. Currently, school districts have been told this is just a withholding while the state awaits federal assistance. Some legislators have signaled that this withholding could become permanent.

MECS cannot sustain a 20% reduction in aid without great sacrifice. A Thought Exchange has been posted here: https://my.thoughtexchange.com/753174109 which will help us capture the sentiment of the community as we prepare for the most challenging fiscal times of our lifetimes.

Please take a few moments to provide your thoughts and rate the thoughts of others.",https://facebook.com/story.php?story_fbid=2080433488753359&id=1169095779887139,"MY.THOUGHTEXCHANGE.COM
my.thoughtexchange.com",8.0,"Over the last two weeks, NYS has withheld more than $200,000 in aid to the Morrisville-Eaton CSD. We expect this number could grow to more than $2 million by the end of the year. Currently, school districts have been told this is just a withholding while the state awaits federal assistance. Some legislators have signaled that this withholding could become permanent.

MECS cannot sustain a 20% reduction in aid without great sacrifice. A Thought Exchange has been posted here: https://my.thoughtexchange.com/753174109 which will help us capture the sentiment of the community as we prepare for the most challenging fiscal times of our lifetimes.

Please take a few moments to provide your thoughts and rate the thoughts of others.

MY.THOUGHTEXCHANGE.COM
my.thoughtexchange.com",2020-09-08 16:00:50,,
3,5.0,,66.0,,2080424798754228,"Thank you to the brave faculty and staff of MECS who supported the needs of this community with a great first day! It has been six months since kids were last seen in our buildings for classes. I am proud of this team that puts kids first and is willing to take a chance on teaching in this new, wildly different environment. Thank you, Warrior Educators, for giving our youth an opportunity to experience their education whether in person or virtually! We've got this...

Students - Please remember to bring your face shields, COVID-19 Questionnaires, face masks, and a charged laptop tomorrow. #onedayatatime",https://facebook.com/story.php?story_fbid=2080424798754228&id=1169095779887139,,0.0,"Thank you to the brave faculty and staff of MECS who supported the needs of this community with a great first day! It has been six months since kids were last seen in our buildings for classes. I am proud of this team that puts kids first and is willing to take a chance on teaching in this new, wildly different environment. Thank you, Warrior Educators, for giving our youth an opportunity to experience their education whether in person or virtually! We've got this...

Students - Please remember to bring your face shields, COVID-19 Questionnaires, face masks, and a charged laptop tomorrow. #onedayatatime",2020-09-08 14:46:22,,
4,0.0,,8.0,,2072717329524975,"CALENDAR CHANGE - On September 8th and September 9th, students will attend the second half of the school day. This will allow teachers and students to work through unanticipated technological glitches. The elementary students will attend from 12:25 PM to 3:25 PM and the middle/high students will attend from 11:15 AM to 2:13 PM.",https://facebook.com/story.php?story_fbid=2072717329524975&id=1169095779887139,,0.0,"CALENDAR CHANGE - On September 8th and September 9th, students will attend the second half of the school day. This will allow teachers and students to work through unanticipated technological glitches. The elementary students will attend from 12:25 PM to 3:25 PM and the middle/high students will attend from 11:15 AM to 2:13 PM.",2020-09-01 13:57:03,,
5,0.0,,6.0,http://www.upstate.edu/mobile-mammography/,2072705326192842,"On Thursday, September 3, 2020, the Upstate University mammography van will be here from 9 AM to 3 PM! This opportunity is open to MECS staff as well as the community. Click on the link below or call 315-464-2582 to schedule an appointment. Any specific questions regarding your appointment and procedures can be directed to the staff at Upstate. Appointments can also be requested online at: http://www.upstate.edu/mobile-mammography/
To be eligible for a mammogram on the van, women should be 40 years and older; not have had a mammogram in the past 12 months; and not be experiencing breast problems. An order from your doctor is required at the time of service. The staff at Upstate University can help coordinate that with your doctor if needed.
The van, funded by a New York State Department of Health grant, is part of Gov. Cuomo’s “Get Screened, No Excuses” Breast Cancer Initiative, which is aimed at getting rid of obstacles to breast cancer screening for women in New York.",https://facebook.com/story.php?story_fbid=2072705326192842&id=1169095779887139,"UPSTATE.EDU
Mobile Mammography | SUNY Upstate Medical University",10.0,"On Thursday, September 3, 2020, the Upstate University mammography van will be here from 9 AM to 3 PM! This opportunity is open to MECS staff as well as the community. Click on the link below or call 315-464-2582 to schedule an appointment. Any specific questions regarding your appointment and procedures can be directed to the staff at Upstate. Appointments can also be requested online at: http://www.upstate.edu/mobile-mammography/
To be eligible for a mammogram on the van, women should be 40 years and older; not have had a mammogram in the past 12 months; and not be experiencing breast problems. An order from your doctor is required at the time of service. The staff at Upstate University can help coordinate that with your doctor if needed.
The van, funded by a New York State Department of Health grant, is part of Gov. Cuomo’s “Get Screened, No Excuses” Breast Cancer Initiative, which is aimed at getting rid of obstacles to breast cancer screening for women in New York.

UPSTATE.EDU
Mobile Mammography | SUNY Upstate Medical University",2020-09-01 13:41:33,,
6,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/116801501_2039837106146331_8314090775699463231_n.png?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=xOqup-ORqc4AX9jwqdY&_nc_ht=scontent-atl3-1.xx&oh=98d59221aa312968f9a95da222c6eff7&oe=5F8508E8,20.0,http://www.m-ecs.org/,2039840436145998,"The attached is a message shared this morning via School Messenger regarding the District's Reopening plan for the fall. The plan we want to implement allows students who desire to return to school full-time to do that and those looking for a remote setting the opportunity for that too. This vision requires many stars to align in the coming weeks including our ability to maintain social distancing, transport children to the schools, have enough staff available to deliver in-person instruction, and much more. There are several other models that can be found in our Reopening Plan if the ideal return to school glitches. The full plan can be found by visiting: www.m-ecs.org and clicking the ""Reopening Plan 2020"" link. Be well, Go Warriors!",https://facebook.com/story.php?story_fbid=2039840436145998&id=1169095779887139,,0.0,"The attached is a message shared this morning via School Messenger regarding the District's Reopening plan for the fall. The plan we want to implement allows students who desire to return to school full-time to do that and those looking for a remote setting the opportunity for that too. This vision requires many stars to align in the coming weeks including our ability to maintain social distancing, transport children to the schools, have enough staff available to deliver in-person instruction, and much more. There are several other models that can be found in our Reopening Plan if the ideal return to school glitches. The full plan can be found by visiting: www.m-ecs.org and clicking the ""Reopening Plan 2020"" link. Be well, Go Warriors!",2020-07-31 12:00:23,,
7,0.0,,7.0,https://www.m-ecs.org/UserFiles/Servers/Server_334011/File/Letter%20RE%20Reopening%20Planning%20July%2017%202020.pdf,2026332527496789,"The following link will take you to a letter sent out to families today with details surrounding the planning process for the fall reopening of schools:
https://www.m-ecs.org/UserFiles/Servers/Server_334011/File/Letter%20RE%20Reopening%20Planning%20July%2017%202020.pdf

We are also looking for input from families, alumni, community members, children, parents, and anyone else connected to MECS to help us build our learning model. Input can be provided in the Thought Exchange at this link: https://my.thoughtexchange.com/758608305

Please provide us your thoughts in the exchange and rate the thoughts of others.",https://facebook.com/story.php?story_fbid=2026332527496789&id=1169095779887139,"MY.THOUGHTEXCHANGE.COM
my.thoughtexchange.com",4.0,"The following link will take you to a letter sent out to families today with details surrounding the planning process for the fall reopening of schools:
https://www.m-ecs.org/UserFiles/Servers/Server_334011/File/Letter%20RE%20Reopening%20Planning%20July%2017%202020.pdf

We are also looking for input from families, alumni, community members, children, parents, and anyone else connected to MECS to help us build our learning model. Input can be provided in the Thought Exchange at this link: https://my.thoughtexchange.com/758608305

Please provide us your thoughts in the exchange and rate the thoughts of others.

MY.THOUGHTEXCHANGE.COM
my.thoughtexchange.com",2020-07-17 14:22:51,,
8,4.0,,60.0,,2016657125130996,"We are pleased to announce that at our Board of Education meeting today, Mrs. Nichole Doroshenko was re-elected as President, and Mrs. Jacalyn Groves was re-elected as Vice President. We thank them for their continued leadership, and thank all of our MECS BOE members for their service to our district, students, and families!",https://facebook.com/story.php?story_fbid=2016657125130996&id=1169095779887139,,0.0,"We are pleased to announce that at our Board of Education meeting today, Mrs. Nichole Doroshenko was re-elected as President, and Mrs. Jacalyn Groves was re-elected as Vice President. We thank them for their continued leadership, and thank all of our MECS BOE members for their service to our district, students, and families!",2020-07-07 20:20:51,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104888189_109890257435604_7527666253919397660_n.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=Dkco7g3LjsoAX9IvC0A&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1dbd07a008d1dfa6307692537ed0895f&oe=5F84E97D,27.0,,1999582326838476,We were all looking forward to the spring play with our talented performing artists. Our students are so lucky to have Directors Jody Luce and Jamie McCarthy. Especially to our seniors - thank you for providing entertainment to the MECS community...,https://facebook.com/story.php?story_fbid=1999582326838476&id=1169095779887139,"MECS Center Stagers Booster Club
June 20 at 10:15 AM ·

We were so excited to be able to recognize our senior Center Stagers with banners! This is a tradition we hope to keep for many years to come!",0.0,"We were all looking forward to the spring play with our talented performing artists. Our students are so lucky to have Directors Jody Luce and Jamie McCarthy. Especially to our seniors - thank you for providing entertainment to the MECS community...

MECS Center Stagers Booster Club
June 20 at 10:15 AM ·

We were so excited to be able to recognize our senior Center Stagers with banners! This is a tradition we hope to keep for many years to come!",2020-06-20 12:52:57,,
