,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,,16.0,http://iheart.postedthis.top/IYBcyj,3454593364579618,"Interview with Dan Rea on NightSide on WBZ Radio.

Please click image below to access interview.",https://facebook.com/story.php?story_fbid=3454593364579618&id=310383342333985,"IHEART.POSTEDTHIS.TOP
WBZ NightSide Interview",2.0,"Interview with Dan Rea on NightSide on WBZ Radio.

Please click image below to access interview.

IHEART.POSTEDTHIS.TOP
WBZ NightSide Interview",2020-09-09 14:33:49,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119243966_3463628727009415_5241596739437934085_o.jpg?_nc_cat=106&_nc_sid=da1649&_nc_ohc=rh30GHZ-jKkAX_6Evcs&_nc_ht=scontent-atl3-1.xx&tp=14&oh=1b3e2d66e5aade501bb4b0ba0054f26e&oe=5F84FD86,25.0,,3463628720342749,MVRCS is proud to salute its Lower School Students of the Week for best embodying the virtue of Responsibility. The students collected their accolades at a properly socially-distanced ceremony. #WeAreMV,,,0.0,MVRCS is proud to salute its Lower School Students of the Week for best embodying the virtue of Responsibility. The students collected their accolades at a properly socially-distanced ceremony. #WeAreMV,2020-09-12 10:55:02,,
2,14.0,,66.0,,3460996633939291,"As our second week comes to a close, let’s take a moment to look back and reflect on some of the tremendous images, scenes and sounds of our 2020 school opening. To date since opening our doors on August 27, over 50% of our families have decided to enroll in the 5-day in person model. #WeAreMV #SchoolChoice",,,0.0,"As our second week comes to a close, let’s take a moment to look back and reflect on some of the tremendous images, scenes and sounds of our 2020 school opening. To date since opening our doors on August 27, over 50% of our families have decided to enroll in the 5-day in person model. #WeAreMV #SchoolChoice",2020-09-11 14:50:42,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119391768_1693291734153964_1801096258220868031_n.mp4?_nc_cat=101&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=Hd1X-jJkxRoAX-VDDHx&_nc_ht=video-atl3-1.xx&oh=4f4e41543c894abed21e01aafe7fae61&oe=5F5DE333,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119152637_3460045164034438_4771331220497244345_o.jpg?_nc_cat=109&_nc_sid=da1649&_nc_ohc=s8RGqHbe3Q0AX9qarbS&_nc_ht=scontent-atl3-1.xx&tp=14&oh=78380491e69fc65f2b880dc5f038f6af&oe=5F8380A1,26.0,,3460045157367772,"On this day, Mystic Valley Regional Charter School joins those nationally and worldwide in remembering those who lost their lives as well as saluting all of the first responders. The aftermath of 9-11 ripples throughout this nation to this very day. #WeAreMV #AmericanHeritage",,,0.0,"On this day, Mystic Valley Regional Charter School joins those nationally and worldwide in remembering those who lost their lives as well as saluting all of the first responders. The aftermath of 9-11 ripples throughout this nation to this very day. #WeAreMV #AmericanHeritage",2020-09-11 08:58:23,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118991435_3457971184241836_2521864050125988869_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=K1OP48fx9rsAX-r9fGG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4a10e6a0f7ccf55b858eca2258b13245&oe=5F8514A0,12.0,,3457971554241799,"On today's Throwback Thursday, we're not going to go too far back but let's take it back to May of 2020 as MVRCS made an appearance on the Opening Bell of the famed New York Stock Exchange. #WeAreMV",https://facebook.com/story.php?story_fbid=3457971554241799&id=310383342333985,,0.0,"On today's Throwback Thursday, we're not going to go too far back but let's take it back to May of 2020 as MVRCS made an appearance on the Opening Bell of the famed New York Stock Exchange. #WeAreMV",2020-09-10 16:20:01,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119152637_3457005327671755_6100670077967521015_o.jpg?_nc_cat=109&_nc_sid=da1649&_nc_ohc=oR8e_7OLNtEAX-zY8RR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=61d111d9b131a6527f0203b8a11c2fd2&oe=5F844785,27.0,,3457005321005089,"There are a host of time-honored daily routines here at MVRCS: the pledge of allegiance, recitation of school mission. Now, given these uncertain times, other habits have been instilled most notably students sanitizing their hands upon every entry to the classroom. #WeAreMV",,,0.0,"There are a host of time-honored daily routines here at MVRCS: the pledge of allegiance, recitation of school mission. Now, given these uncertain times, other habits have been instilled most notably students sanitizing their hands upon every entry to the classroom. #WeAreMV",2020-09-10 09:35:05,,
6,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119008716_3454349464604008_8420639885954668405_o.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=awVYFXFVsToAX8CkF0p&_nc_ht=scontent-atl3-1.xx&tp=14&oh=72d59a8f5d6f6b0a4a3c720e7ff68107&oe=5F8518DC,66.0,http://ow.ly/jNuE50BmbpO,3454349457937342,"Last night MVRCS Director/Superintendent appeared on “NightSide with Dan Rea” on WBZ 1030. Speaking on a station that at nighttime reaches 37 states and parts of Canada, Dan discussed the planning and ultimately successful implementation of the 5 day in school learning model that over 50% of MVRCS families have elected to enroll their children in. #SchoolChoice #WeAreMV

To access a recording of the show, please visit:

http://ow.ly/jNuE50BmbpO",,,0.0,"Last night MVRCS Director/Superintendent appeared on “NightSide with Dan Rea” on WBZ 1030. Speaking on a station that at nighttime reaches 37 states and parts of Canada, Dan discussed the planning and ultimately successful implementation of the 5 day in school learning model that over 50% of MVRCS families have elected to enroll their children in. #SchoolChoice #WeAreMV

To access a recording of the show, please visit:

http://ow.ly/jNuE50BmbpO",2020-09-09 12:50:03,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118963057_3453973887974899_8759671461575114206_o.jpg?_nc_cat=103&_nc_sid=da1649&_nc_ohc=zVr8JPIJIf8AX-Jzws0&_nc_ht=scontent-atl3-1.xx&tp=14&oh=beb4552c23b3a19c65d29056703dd7ad&oe=5F83CBA5,26.0,,3453973881308233,"Yesterday the focus was on our youngest learners, today let's take a look into Mr. Caleb Minns' high school English class. Since August 27, MVRCS has offered 5-day in person instruction, an option over 50% of our families took advantage of. #WeAreMV",,,0.0,"Yesterday the focus was on our youngest learners, today let's take a look into Mr. Caleb Minns' high school English class. Since August 27, MVRCS has offered 5-day in person instruction, an option over 50% of our families took advantage of. #WeAreMV",2020-09-09 10:17:41,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119098549_3450817391623882_8531061349880213832_o.jpg?_nc_cat=105&_nc_sid=da1649&_nc_ohc=s5cu3H1qKpAAX_b9j2z&_nc_ht=scontent-atl3-1.xx&tp=14&oh=76ad327831a90411effc969768de1338&oe=5F851DC7,62.0,http://www.mvrcs.com/,3450817384957216,"Pictured are members of Ms. Moran's kindergarten class taking part in their very first math lesson. Since August 27, MVRCS has been open as some 50%-plus of our families have elected to pursue the 5-day in school instructional option. #WeAreMV",,,0.0,"Pictured are members of Ms. Moran's kindergarten class taking part in their very first math lesson. Since August 27, MVRCS has been open as some 50%-plus of our families have elected to pursue the 5-day in school instructional option. #WeAreMV",2020-09-08 10:09:01,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119042645_3447825765256378_456740985292285880_o.jpg?_nc_cat=108&_nc_sid=da1649&_nc_ohc=INlpqfGz3acAX-TM2TW&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f2495269a1e0e5d1716e0f4bdb9016a1&oe=5F831796,17.0,,3447825761923045,Mystic Valley Regional Charter School is proud to celebrate Labor Day. #WeAreMV #AmericanHeritage,,,0.0,Mystic Valley Regional Charter School is proud to celebrate Labor Day. #WeAreMV #AmericanHeritage,2020-09-07 10:10:11,,
