,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,,1696002017235166,,https://facebook.com/story.php?story_fbid=1696002017235166&id=223940497774666,,0.0,,2020-09-09 08:28:52,,
1,0.0,,4.0,,1691292257706142,"Tiger Game Day Info:
We are so excited to welcome fans to another year of Tiger Football!! There will be some changes to our entry policy. We ask you that you please follow each policy that is put in place. They are as Follows:
•All spectators will enter through the main gate on the Tennis Courts.
•The Nettleton Fans will enter through one line(Left Side) •Hatley fans will enter on the other side. (Right Side)
•Our gate will open at 5:45 to allow time for seating and social distancing.
•YOU MUST HAVE A MASK ON TO ENTER!
Please follow strict social distancing guidelines. Thank You for your support of the Nettleton Tigers!! #NettyPride

#ELEVATE
Justin K. Hollis
Principal",https://facebook.com/story.php?story_fbid=1691292257706142&id=223940497774666,,0.0,"Tiger Game Day Info:
We are so excited to welcome fans to another year of Tiger Football!! There will be some changes to our entry policy. We ask you that you please follow each policy that is put in place. They are as Follows:
•All spectators will enter through the main gate on the Tennis Courts.
•The Nettleton Fans will enter through one line(Left Side) •Hatley fans will enter on the other side. (Right Side)
•Our gate will open at 5:45 to allow time for seating and social distancing.
•YOU MUST HAVE A MASK ON TO ENTER!
Please follow strict social distancing guidelines. Thank You for your support of the Nettleton Tigers!! #NettyPride

#ELEVATE
Justin K. Hollis
Principal",2020-09-04 14:15:10,,
2,10.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118773376_1688985431270158_1665662775836845108_o.jpg?_nc_cat=101&_nc_sid=110474&_nc_ohc=ZnzQ6Sv22KYAX9R-ZhI&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ea1bb858064aa20f1379d652999a0e92&oe=5F84BAA5,6.0,,1688985467936821,"We have tons of older yearbooks! Please help us clear it out! $10 for all 1996-2012 yearbooks, $15 for 2016 yearbooks, and $20 for 2019 yearbooks! We only have the years that are in the picture. Email Mrs. Jolly at
tjolly@nettleton.k12.ms.us if you’d like one, or more.",https://facebook.com/story.php?story_fbid=1688985467936821&id=223940497774666,,0.0,"We have tons of older yearbooks! Please help us clear it out! $10 for all 1996-2012 yearbooks, $15 for 2016 yearbooks, and $20 for 2019 yearbooks! We only have the years that are in the picture. Email Mrs. Jolly at
tjolly@nettleton.k12.ms.us if you’d like one, or more.",2020-09-02 10:30:26,,
3,0.0,,1.0,,1673879386114096,,https://facebook.com/story.php?story_fbid=1673879386114096&id=223940497774666,,0.0,,2020-08-18 15:19:48,,
4,0.0,,6.0,,1666724013496300,"Grades 9 - 12:
If you are a virtual learner and you need a chrome book you may come to the high school tomorrow 8/11 from 8-2 and check one out for school use. You must sign a user agreement and we will provide a website for an introduction for Canvas.",https://facebook.com/story.php?story_fbid=1666724013496300&id=223940497774666,,0.0,"Grades 9 - 12:
If you are a virtual learner and you need a chrome book you may come to the high school tomorrow 8/11 from 8-2 and check one out for school use. You must sign a user agreement and we will provide a website for an introduction for Canvas.",2020-08-11 09:17:00,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117252051_1662045147297520_1052361830000409918_o.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=RnLEmfQ-HB8AX9Sup_P&_nc_oc=AQlwbLH_e-vKcEkaRP-MJac2ZK5axVR2MWzYWuOxfy__0b4C6uePTrMqPhkj9RyVAgo&_nc_ht=scontent-atl3-1.xx&tp=14&oh=6eb158aa1490e73affec6d4a983bc205&oe=5F849AFA,9.0,,1662045200630848,,https://facebook.com/story.php?story_fbid=1662045200630848&id=223940497774666,,0.0,,2020-08-06 10:33:23,,
6,0.0,,6.0,,1653824991452869,Yearbooks will be given out once school starts back.,https://facebook.com/story.php?story_fbid=1653824991452869&id=223940497774666,,0.0,Yearbooks will be given out once school starts back.,2020-07-28 17:13:20,,
7,5.0,,5.0,,1651616991673669,"*IMPORTANT please share for yearbook pick up*

We apologize for the inconvenience, but we are going to have to combine distribution days to this Thursday 3-6 pm only. This will be K-12 and faculty.

If you can’t make it on Thursday, please email Mrs. Jolly at tjolly@nettleton.k12.ms.us to schedule a time for pickup after Thursday.",https://facebook.com/story.php?story_fbid=1651616991673669&id=223940497774666,,0.0,"*IMPORTANT please share for yearbook pick up*

We apologize for the inconvenience, but we are going to have to combine distribution days to this Thursday 3-6 pm only. This will be K-12 and faculty.

If you can’t make it on Thursday, please email Mrs. Jolly at tjolly@nettleton.k12.ms.us to schedule a time for pickup after Thursday.",2020-07-26 08:54:07,,
8,8.0,,9.0,,1644295839072451,,https://facebook.com/story.php?story_fbid=1644295839072451&id=223940497774666,,0.0,,2020-07-18 09:39:24,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/109062267_1640634922771876_7456364892598715277_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=BRrg3b0NL68AX8D2yIg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c8fbb5648a0f91673094936a831a3060&oe=5F81206F,4.0,,1640634972771871,Supply list!!!,https://facebook.com/story.php?story_fbid=1640634972771871&id=223940497774666,,0.0,Supply list!!!,2020-07-14 06:52:55,,
10,14.0,,30.0,,1636289166539785,"Nettleton Registration Grades 4-12
July 27-30 from 12:00-4:00 in the Old Library at the High School. Grades will have designated days to come. If you come on your designated day and have older kids to register you, will be able to register all of those students as well, so you will not have to come back later in the week.
Registration Days are as follows:

Monday July 27
4th Grade and 9th Grade

Tuesday July 28
5th Grade and 10th Grade

Wednesday July 29
6th Grade and 11th Grade

Thursday
7th, 8th, and 12th Grades

Please come on your designated days. We are doing this during these days so that we can get a head start for the school year. We look forward to seeing everyone!! Go Tigers!! #WE>ME #ELEVATE",https://facebook.com/story.php?story_fbid=1636289166539785&id=223940497774666,,0.0,"Nettleton Registration Grades 4-12
July 27-30 from 12:00-4:00 in the Old Library at the High School. Grades will have designated days to come. If you come on your designated day and have older kids to register you, will be able to register all of those students as well, so you will not have to come back later in the week.
Registration Days are as follows:

Monday July 27
4th Grade and 9th Grade

Tuesday July 28
5th Grade and 10th Grade

Wednesday July 29
6th Grade and 11th Grade

Thursday
7th, 8th, and 12th Grades

Please come on your designated days. We are doing this during these days so that we can get a head start for the school year. We look forward to seeing everyone!! Go Tigers!! #WE>ME #ELEVATE",2020-07-09 10:12:54,,
11,5.0,,2.0,https://tinyurl.com/nsdreturntoschool,1630201003815268,"Nettleton parents: Please take a look at our reopening plan and complete one reopening survey for each of your students. Thank you!

Reopening Plan
https://tinyurl.com/nsdreturntoschool

Reopening Survey
https://tinyurl.com/nsdreturnsurvey",https://facebook.com/story.php?story_fbid=1630201003815268&id=223940497774666,"DOCS.GOOGLE.COM
NSD Student - Return To School Survey",23.0,"Nettleton parents: Please take a look at our reopening plan and complete one reopening survey for each of your students. Thank you!

Reopening Plan
https://tinyurl.com/nsdreturntoschool

Reopening Survey
https://tinyurl.com/nsdreturnsurvey

DOCS.GOOGLE.COM
NSD Student - Return To School Survey",2020-07-02 19:48:55,,
12,0.0,,12.0,,1624307581071277,"Seniors-
You may wear shoes that you don’t mind getting wet or muddy. No bright colors please.

Also if you are attending Graduation please bring something to dry your seat off with. It may rain off and on throughout the day.

We are excited for tonight at 7:00!! We can not wait to celebrate these Seniors!!",https://facebook.com/story.php?story_fbid=1624307581071277&id=223940497774666,,0.0,"Seniors-
You may wear shoes that you don’t mind getting wet or muddy. No bright colors please.

Also if you are attending Graduation please bring something to dry your seat off with. It may rain off and on throughout the day.

We are excited for tonight at 7:00!! We can not wait to celebrate these Seniors!!",2020-06-26 14:21:33,,
