,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119176681_2831457973742973_6867076743746230629_n.png?_nc_cat=100&_nc_sid=2d5d41&_nc_ohc=N9MlD-xVEgYAX9N88-2&_nc_ht=scontent-atl3-1.xx&oh=a1b28198e85842b9f8484710c227c822&oe=5F838E44,13.0,,2831457970409640,NHS Homecoming is next week! Here are the week's activities and HS dress-up days.,,,0.0,NHS Homecoming is next week! Here are the week's activities and HS dress-up days.,2020-09-11 15:09:17,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119237995_2831326600422777_8985312122767917057_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=rds1TSNkSSgAX9QDyp5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=578d69d965540456439b2a5130d9cca7&oe=5F811E19,16.0,http://bluejayslive.org/,2831326613756109,"🏈 Football Friday 🏈

Cubs travel to Bondurant-Farrar
4:45 JV2 & 7:30 Varsity

Watch LIVE FREE: http://bluejayslive.org

Nevada Tickets are SOLD-OUT -- You will not be able to attend the game unless you have previously secured a ticket voucher.",https://facebook.com/story.php?story_fbid=2831326613756109&id=1399010903654361,,0.0,"🏈 Football Friday 🏈

Cubs travel to Bondurant-Farrar
4:45 JV2 & 7:30 Varsity

Watch LIVE FREE: http://bluejayslive.org

Nevada Tickets are SOLD-OUT -- You will not be able to attend the game unless you have previously secured a ticket voucher.",2020-09-11 12:00:18,,
2,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119094264_2830476943841076_2419204126748471212_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=Zpfb3NXcOTMAX_2SIU7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c56806117290668c81d9719ea0477825&oe=5F8209D5,5.0,,2830476940507743,,,,0.0,,2020-09-10 14:00:30,,
3,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119164827_2830399787182125_1181269303334265223_o.jpg?_nc_cat=102&_nc_sid=da1649&_nc_ohc=CDbuuRjwAqcAX_yYRm4&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0167f671e045db1216f2f47b9f6b65cd&oe=5F8270CE,21.0,https://www.youtube.com/watch?v=kmaiE-6_-Mo&feature=youtu.be,2830399783848792,"🎮 ESPORTS OPENING NIGHT 🕹

Tonight Nevada Esports enters competition for the first time in school history taking on Davenport Central JV in Smash Smash Brothers!

Follow along on the action starting at 4:00 PM!
LIVE FEED: https://www.youtube.com/watch?v=kmaiE-6_-Mo&feature=youtu.be",,,0.0,"🎮 ESPORTS OPENING NIGHT 🕹

Tonight Nevada Esports enters competition for the first time in school history taking on Davenport Central JV in Smash Smash Brothers!

Follow along on the action starting at 4:00 PM!
LIVE FEED: https://www.youtube.com/watch?v=kmaiE-6_-Mo&feature=youtu.be",2020-09-10 12:12:14,,
4,0.0,,3.0,,2830372113851559,"NHS Football Fans:

Bondurant-Farrar & The Raccoon River Conference has set ticket sale limitations for away fans. All ticket vouchers to Friday's JV2/Varsity football contest @ Bondurant-Farrar have been claimed.

There will not be any more tickets available to NHS fans and the event is considered SOLD-OUT.

There will be a live feed provided by Bondurant Farrar that is FREE of charge, post will be updated when link is available.",https://facebook.com/story.php?story_fbid=2830372113851559&id=1399010903654361,,0.0,"NHS Football Fans:

Bondurant-Farrar & The Raccoon River Conference has set ticket sale limitations for away fans. All ticket vouchers to Friday's JV2/Varsity football contest @ Bondurant-Farrar have been claimed.

There will not be any more tickets available to NHS fans and the event is considered SOLD-OUT.

There will be a live feed provided by Bondurant Farrar that is FREE of charge, post will be updated when link is available.",2020-09-10 11:30:14,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119140438_2830367450518692_559934424176663710_o.jpg?_nc_cat=100&_nc_sid=da1649&_nc_ohc=x5Vb4c-_GqMAX_KktFA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=12fae2f3fd8d8cb117ce25af8fee3ccc&oe=5F810485,2.0,https://www.youtube.com/channel/UC-ClYvuGVsv_GE7B5S9si-A,2830367447185359,"🏐 CONFERENCE OPENER 🏐

Nevada heads to PCM for JV2/JV/Varsity Volleyball

JV2 match starting at 5:00 PM, followed by JV, followed by Varsity @ PCM High School

Stay Home & Watch! PCM-provided live feed: https://www.youtube.com/channel/UC-ClYvuGVsv_GE7B5S9si-A",,,0.0,"🏐 CONFERENCE OPENER 🏐

Nevada heads to PCM for JV2/JV/Varsity Volleyball

JV2 match starting at 5:00 PM, followed by JV, followed by Varsity @ PCM High School

Stay Home & Watch! PCM-provided live feed: https://www.youtube.com/channel/UC-ClYvuGVsv_GE7B5S9si-A",2020-09-10 11:22:29,,
6,4.0,,72.0,,2830367330518704,"Congrats, Caden! #NevadaCubPride",https://facebook.com/story.php?story_fbid=2830367330518704&id=1399010903654361,"Scott Reister KCCI
September 9 at 1:09 PM ·

Congrats to Nevada High School stud RB Caden Jones - this week's Hy-Vee Athlete of the Week. Here's his secret....",4.0,"Congrats, Caden! #NevadaCubPride

Scott Reister KCCI
September 9 at 1:09 PM ·

Congrats to Nevada High School stud RB Caden Jones - this week's Hy-Vee Athlete of the Week. Here's his secret....",2020-09-10 11:22:22,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119133771_649790152613647_3855024196612800332_n.mp4?_nc_cat=106&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=CqN4FGMxewcAX90Za_8&_nc_ht=video-atl3-1.xx&oh=c89e192d7d48bca75c1a6a62bc635160&oe=5F5CD0A8,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119086785_2830362150519222_8690382502709963208_o.jpg?_nc_cat=107&_nc_sid=da1649&_nc_ohc=SUj-ek_oVgEAX8wIMIT&_nc_ht=scontent-atl3-1.xx&tp=14&oh=8bf781397c26fec3dd9a69c4e0a882ff&oe=5F827A33,39.0,https://www.nevadacubs.org/2020/09/free-meals/,2830362147185889,"The USDA has announced they have extended flexibilities for our lunch program which will give us the ability to serve free meals to all children until December 31, 2020, or until funding runs out.

We are approved to start today! (9/10/20)

Read More --> https://www.nevadacubs.org/2020/09/free-meals/",,,0.0,"The USDA has announced they have extended flexibilities for our lunch program which will give us the ability to serve free meals to all children until December 31, 2020, or until funding runs out.

We are approved to start today! (9/10/20)

Read More --> https://www.nevadacubs.org/2020/09/free-meals/",2020-09-10 11:14:14,,
8,2.0,,6.0,,2829637797258324,"*** CROSS COUNTRY UPDATE ***

Tomorrow's (9/10/20) MS XC meet @ Greene County & HS XC Meet @ ISU have both been CANCELLED.",https://facebook.com/story.php?story_fbid=2829637797258324&id=1399010903654361,,0.0,"*** CROSS COUNTRY UPDATE ***

Tomorrow's (9/10/20) MS XC meet @ Greene County & HS XC Meet @ ISU have both been CANCELLED.",2020-09-09 13:34:21,,
9,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119117223_2829398647282239_7316922021893700589_o.jpg?_nc_cat=100&_nc_sid=e007fa&_nc_ohc=8G7ZEmUjJTsAX-oGNpK&_nc_ht=scontent-atl3-1.xx&tp=14&oh=7ae44e4ca0a387321d37da172ad9d73b&oe=5F82620B,16.0,,,,,"Nevada Community School District added 50 new photos.
September 9 at 8:28 AM ·

Photos by Eliana Hornbuckle and Jalene Hornbuckle.",0.0,"Nevada Community School District added 50 new photos.
September 9 at 8:28 AM ·

Photos by Eliana Hornbuckle and Jalene Hornbuckle.",2020-09-09 09:28:26,,
