,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119063824_3385737384817104_7288558991196042798_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=TUi5q5n2acsAX_dpNvP&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c23ea0c73997bb526f0b26ee3f61f6e0&oe=5F81D493,35.0,,3385742308149945,"Norsemen XC competed in their first ever meet Saturday morning against Morris and Streator. Very proud of how they all competed finishing slightly behind Streator by a mere 4 points. We had 3 runners place in the top 10. Logan Benesh in 4th, Robert Rios 7th and Logan Pasakarnis 10th. The others weren’t far behind with Henry Mathre 12th and Owen Mathre 17th followed by Wyatt Urton, Chuy Molina and Nick Moore. All runners gave maximum effort. Great job!",https://facebook.com/story.php?story_fbid=3385742308149945&id=733508363373366,,0.0,"Norsemen XC competed in their first ever meet Saturday morning against Morris and Streator. Very proud of how they all competed finishing slightly behind Streator by a mere 4 points. We had 3 runners place in the top 10. Logan Benesh in 4th, Robert Rios 7th and Logan Pasakarnis 10th. The others weren’t far behind with Henry Mathre 12th and Owen Mathre 17th followed by Wyatt Urton, Chuy Molina and Nick Moore. All runners gave maximum effort. Great job!",2020-09-12 14:34:55,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118924140_3383189895071853_1362494735582865483_o.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=ifwfsuli-S0AX-C9MM5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=62bb95d45cefef745e3298280b4b8faa&oe=5F831135,18.0,,3383191745071668,NCHS American Pride,https://facebook.com/story.php?story_fbid=3383191745071668&id=733508363373366,,0.0,NCHS American Pride,2020-09-11 18:20:18,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118825383_3380058338718342_4543734489480240065_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=zq_2gp0bYdMAX_DX7Uv&_nc_ht=scontent-atl3-1.xx&tp=14&oh=465f3c9a6ad13b1de71caadae79a0685&oe=5F848EEA,18.0,,3380059892051520,Career Day at NCHS!,https://facebook.com/story.php?story_fbid=3380059892051520&id=733508363373366,,0.0,Career Day at NCHS!,2020-09-10 18:32:10,,
3,0.0,,6.0,https://bit.ly/3bRHkgA,3379435558780620,"Travel Club | Posted 9/10/20
Are you interested in going to Latin America in the summer of 2022? If so, please join Mr. Hall & Mrs. McCoy on Tuesday, September 22nd at 6:30 pm for a virtual recruitment meeting to be held on Zoom. The RSVP link & the Zoom link can both be found below and on posters around the school! Any Q's? Contact Mr. Hall or Mrs. McCoy! Tell your friends and family about this once-in-a-lifetime adventure!

RSVP Link: https://bit.ly/3bRHkgA
Zoom Link Info: Topic: Travel Club Recruitment Meeting, Time: Tuesday, September 22 @ 6:30 P.M.
Join Zoom Meeting: https://tinyurl.com/y23vms4m",https://facebook.com/story.php?story_fbid=3379435558780620&id=733508363373366,,0.0,"Travel Club | Posted 9/10/20
Are you interested in going to Latin America in the summer of 2022? If so, please join Mr. Hall & Mrs. McCoy on Tuesday, September 22nd at 6:30 pm for a virtual recruitment meeting to be held on Zoom. The RSVP link & the Zoom link can both be found below and on posters around the school! Any Q's? Contact Mr. Hall or Mrs. McCoy! Tell your friends and family about this once-in-a-lifetime adventure!

RSVP Link: https://bit.ly/3bRHkgA
Zoom Link Info: Topic: Travel Club Recruitment Meeting, Time: Tuesday, September 22 @ 6:30 P.M.
Join Zoom Meeting: https://tinyurl.com/y23vms4m",2020-09-10 13:25:06,,
4,0.0,,1.0,,3379435452113964,"HoCo Questions | Posted 9/10/20
All students: Student council needs your help! Please go on your grades classroom page and complete the survey that is posted on there regarding homecoming. You have until Friday to complete the survey. Contact Mrs. Kotora or Mrs. McCoy with any questions.",https://facebook.com/story.php?story_fbid=3379435452113964&id=733508363373366,,0.0,"HoCo Questions | Posted 9/10/20
All students: Student council needs your help! Please go on your grades classroom page and complete the survey that is posted on there regarding homecoming. You have until Friday to complete the survey. Contact Mrs. Kotora or Mrs. McCoy with any questions.",2020-09-10 13:25:04,,
5,0.0,,0.0,,3379435378780638,"Handbook Receipt | Posted 9/10/20
Have you turned in your Handbook Receipt yet? If you have it in your backpack, please take it out and give it to any teacher! :)",https://facebook.com/story.php?story_fbid=3379435378780638&id=733508363373366,,0.0,"Handbook Receipt | Posted 9/10/20
Have you turned in your Handbook Receipt yet? If you have it in your backpack, please take it out and give it to any teacher! :)",2020-09-10 13:25:03,,
6,0.0,,0.0,,3379435325447310,"Hey Freshmen Class!!! | Posted 9/10/20
All freshmen need to join the class of 2024 classroom page if they have not already. This is where I will be posting all the info for homecoming as their class sponsor. The class code is me44mgt.",https://facebook.com/story.php?story_fbid=3379435325447310&id=733508363373366,,0.0,"Hey Freshmen Class!!! | Posted 9/10/20
All freshmen need to join the class of 2024 classroom page if they have not already. This is where I will be posting all the info for homecoming as their class sponsor. The class code is me44mgt.",2020-09-10 13:25:01,,
7,0.0,,4.0,,3379136608810515,"Attention Seniors | Posted 9/10/20
On Wednesday, 9/16/2020, beginning at 8am, the senior class has been asked to attend NCHS in person to grid for the SAT test. The SAT test will be administered to all seniors on 9/23/2020 and gridding has to be completed by that test date.",https://facebook.com/story.php?story_fbid=3379136608810515&id=733508363373366,,0.0,"Attention Seniors | Posted 9/10/20
On Wednesday, 9/16/2020, beginning at 8am, the senior class has been asked to attend NCHS in person to grid for the SAT test. The SAT test will be administered to all seniors on 9/23/2020 and gridding has to be completed by that test date.",2020-09-10 11:25:07,,
8,0.0,,0.0,http://www.newarkhs.k12.il.us/_newsletter.html,3376502275740615,"September Newsletter Online | Posted 9/9/20
The September newsletter, created by Publication Productions Class, is now online and may be viewed by following this link: http://www.newarkhs.k12.il.us/_newsletter.html",https://facebook.com/story.php?story_fbid=3376502275740615&id=733508363373366,,0.0,"September Newsletter Online | Posted 9/9/20
The September newsletter, created by Publication Productions Class, is now online and may be viewed by following this link: http://www.newarkhs.k12.il.us/_newsletter.html",2020-09-09 14:25:19,,
9,1.0,,3.0,https://us02web.zoom.us/j/85719951464?pwd=ZnhZbnI5bTVXWGt0dCt3VHFCSkNaQT09,3374221895968653,"Senior Parent & Student Zoom Meeting, Wed. Sept. 9
Here is the link to Wednesday's Senior Parent & Student Zoom Meeting:
https://us02web.zoom.us/j/85719951464?pwd=ZnhZbnI5bTVXWGt0dCt3VHFCSkNaQT09

The meeting begins at 6:30 p.m. The attached document is provided for participants who wish to print it in advance to take notes: https://tinyurl.com/y66fu7vh (PDF)",https://facebook.com/story.php?story_fbid=3374221895968653&id=733508363373366,,0.0,"Senior Parent & Student Zoom Meeting, Wed. Sept. 9
Here is the link to Wednesday's Senior Parent & Student Zoom Meeting:
https://us02web.zoom.us/j/85719951464?pwd=ZnhZbnI5bTVXWGt0dCt3VHFCSkNaQT09

The meeting begins at 6:30 p.m. The attached document is provided for participants who wish to print it in advance to take notes: https://tinyurl.com/y66fu7vh (PDF)",2020-09-08 21:14:21,,
