,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,3.0,,3507273622624232,"Due to the weather, the band will not be able to preform tonight.",https://facebook.com/story.php?story_fbid=3507273622624232&id=482348945116730,,0.0,"Due to the weather, the band will not be able to preform tonight.",2020-09-11 18:45:02,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119423958_3506793026005625_6431827386460465901_o.png?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=f96meMQZxPcAX8l-ueP&_nc_oc=AQllts7nXXOI1vDn9n6MT5_J2__1Xl_OdRKJQeE8OwPe_uGIxnysj01MxRHmB_GaZCk&_nc_ht=scontent-atl3-1.xx&oh=f0dc31d76fdb4cb8b151e7bfc37a0872&oe=5F834A2F,10.0,,3506793382672256,"A few more Door Pictures!

Cheering on for a Chickasaw VICTORY! We Are All In This Together",https://facebook.com/story.php?story_fbid=3506793382672256&id=482348945116730,,0.0,"A few more Door Pictures!

Cheering on for a Chickasaw VICTORY! We Are All In This Together",2020-09-11 14:56:44,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119179361_3506788559339405_3674270029015402060_o.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=qKVKmD1oTTMAX-Q7YJs&_nc_ht=scontent-atl3-1.xx&oh=36e72bd77d1bb88787b66e9a5d3e90bc&oe=5F81444A,20.0,,3506789262672668,Here are some of the Homecoming doors students decorated with students in Block 3! Students will be voting through Monday for the best doors! Winning group will get to have a special lunch! Cheering on for a Chickasaw VICTORY! We Are All In This Together,https://facebook.com/story.php?story_fbid=3506789262672668&id=482348945116730,,0.0,Here are some of the Homecoming doors students decorated with students in Block 3! Students will be voting through Monday for the best doors! Winning group will get to have a special lunch! Cheering on for a Chickasaw VICTORY! We Are All In This Together,2020-09-11 14:55:09,,
3,2.0,,2.0,,3506323409385920,"With rain expected all afternoon, we are planning to play the 9th grade game on the field behind the stadium. Please bring lawn chairs for seating. Thank you.",https://facebook.com/story.php?story_fbid=3506323409385920&id=482348945116730,,0.0,"With rain expected all afternoon, we are planning to play the 9th grade game on the field behind the stadium. Please bring lawn chairs for seating. Thank you.",2020-09-11 11:38:52,,
4,0.0,,15.0,,3506295336055394,"Reminder about tonights game:

We need to have everyone in our stadium practicing social distancing to help keep our community and students safe by being able to offer our activities. We have had several new cases in our community this week.
Guidelines:
- Sit in family units that at 6' apart
- Spectators are asked to wear a mask to help reduce community spread
-If you don't feel well, stay home
-If you are quarantined, you must stay home

*A person you may sit with at the game could come down with COVID in the future and being around them closer than 6' for 15 minutes with or without a mask would result in a person needing to quarantine for 14 days. Please be cognizant of others and help slow down the spread.",https://facebook.com/story.php?story_fbid=3506295336055394&id=482348945116730,,0.0,"Reminder about tonights game:

We need to have everyone in our stadium practicing social distancing to help keep our community and students safe by being able to offer our activities. We have had several new cases in our community this week.
Guidelines:
- Sit in family units that at 6' apart
- Spectators are asked to wear a mask to help reduce community spread
-If you don't feel well, stay home
-If you are quarantined, you must stay home

*A person you may sit with at the game could come down with COVID in the future and being around them closer than 6' for 15 minutes with or without a mask would result in a person needing to quarantine for 14 days. Please be cognizant of others and help slow down the spread.",2020-09-11 11:28:16,,
5,0.0,,1.0,https://youtu.be/z6fxmbxb3Rg,3506261569392104,"Here is a great video of our Homecoming Court offering advise to other students! We are proud out you and you represent the Chickasaw Way!

https://youtu.be/z6fxmbxb3Rg",https://facebook.com/story.php?story_fbid=3506261569392104&id=482348945116730,,0.0,"Here is a great video of our Homecoming Court offering advise to other students! We are proud out you and you represent the Chickasaw Way!

https://youtu.be/z6fxmbxb3Rg",2020-09-11 11:15:09,,
6,0.0,,13.0,,3506155726069355,Good luck to the football team tonight at home vs. Waukon. Freshman game starts at 4:45. Varsity at 7:30. Good luck to the 9th & JV volleyball teams tomorrow at home. Volleyball starts at 9:00 a.m.,https://facebook.com/story.php?story_fbid=3506155726069355&id=482348945116730,,0.0,Good luck to the football team tonight at home vs. Waukon. Freshman game starts at 4:45. Varsity at 7:30. Good luck to the 9th & JV volleyball teams tomorrow at home. Volleyball starts at 9:00 a.m.,2020-09-11 10:35:32,,
7,0.0,,0.0,https://youtu.be/UbCYZ3bXxCs,3505772309441030,"Last night's Coronation video on YouTube for non Facebook followers.

https://youtu.be/UbCYZ3bXxCs",https://facebook.com/story.php?story_fbid=3505772309441030&id=482348945116730,,0.0,"Last night's Coronation video on YouTube for non Facebook followers.

https://youtu.be/UbCYZ3bXxCs",2020-09-11 08:28:17,,
8,55.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119168806_3504331859585075_5019871208908770640_o.jpg?_nc_cat=102&_nc_sid=2d5d41&_nc_ohc=9UaPIuOLbm8AX9lsGvY&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b3a337ceebc6d87cb8ecbf8adb9c2c42&oe=5F83280E,216.0,,3504331849585076,Ready to reign on Friday! Looking for a Chickasaw win!,,,0.0,Ready to reign on Friday! Looking for a Chickasaw win!,2020-09-10 21:05:53,,
9,0.0,,105.0,,3504282726256655,"Congratulations to 2020 Homecoming:
Queen- Claire Quirk
King- Jacob Reicks",https://facebook.com/story.php?story_fbid=3504282726256655&id=482348945116730,,0.0,"Congratulations to 2020 Homecoming:
Queen- Claire Quirk
King- Jacob Reicks",2020-09-10 20:41:10,,
