,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118894791_3359696970752388_192158608897292719_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=x91cEV9Hi_wAX-nQRQh&_nc_ht=scontent-atl3-1.xx&tp=14&oh=31f2c4e8ad369c77eb4a82f8543485cd&oe=5F858312,13.0,,3359698164085602,Here are two more back to school photos. Thank you to all the families who shared your photos this week!,https://facebook.com/story.php?story_fbid=3359698164085602&id=568547393200707,,0.0,Here are two more back to school photos. Thank you to all the families who shared your photos this week!,2020-09-11 15:57:33,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119062379_3359480454107373_7348461696691021172_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=wq_272yoYAsAX91EaxL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=859388b343f49665090ab3fadbc44d22&oe=5F836222,0.0,,3359485074106911,"We would like to share with families that the Columbia County Department of Health recommends that students and staff not use facemasks with a vent or exhalation valve. They do not prevent the transmission of COVID-19 because they can allow respiratory droplets to escape.

The district has masks available and we will ask students wearing masks with vents or exhalation valves to trade them for one of our masks. Thank you.",https://facebook.com/story.php?story_fbid=3359485074106911&id=568547393200707,,0.0,"We would like to share with families that the Columbia County Department of Health recommends that students and staff not use facemasks with a vent or exhalation valve. They do not prevent the transmission of COVID-19 because they can allow respiratory droplets to escape.

The district has masks available and we will ask students wearing masks with vents or exhalation valves to trade them for one of our masks. Thank you.",2020-09-11 14:24:01,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119175786_3358833000838785_3818445156580332484_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=SfO8O7P8pM0AX9AeD7S&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4cbe19c82fdbef9a7c591988fa1ed5db&oe=5F84E1BC,12.0,,3358836170838468,We have a couple more back to school photos from our families! Keep sending them and we'll keep sharing them! Send photos by messaging us on Facebook or email jmccord@newlebanoncsd.org. Thank you.,https://facebook.com/story.php?story_fbid=3358836170838468&id=568547393200707,,0.0,We have a couple more back to school photos from our families! Keep sending them and we'll keep sharing them! Send photos by messaging us on Facebook or email jmccord@newlebanoncsd.org. Thank you.,2020-09-11 10:02:54,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118960843_3356522617736490_2391307821655445999_o.jpg?_nc_cat=101&_nc_sid=dd9801&_nc_ohc=hqyQwYgTH2IAX8q0chi&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5fd821d523fd53ff1bd9df69257f985d&oe=5F845BA5,14.0,,3356522744403144,,,,0.0,,2020-09-10 15:08:49,,
4,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118914239_3356501641071921_6613748426519547874_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=8oQwT893520AX8u__SC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0777d01a41fff7f063cf4b8f2d5c0bfe&oe=5F85DD54,23.0,,3356503947738357,"We have more back to school photos! Thanks so much for sharing. Share your first day of school photos, whether your student is in school or learning remotely, by messaging us on Facebook or emailing photos to jmccord@newlebanoncsd.org. Thank you!",https://facebook.com/story.php?story_fbid=3356503947738357&id=568547393200707,,0.0,"We have more back to school photos! Thanks so much for sharing. Share your first day of school photos, whether your student is in school or learning remotely, by messaging us on Facebook or emailing photos to jmccord@newlebanoncsd.org. Thank you!",2020-09-10 15:00:16,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119147682_3355778371144248_8627336271170302464_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=hC0MiRW7n3IAX-M7I3P&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a3fb81b4e754ced9745e7eb5b86cb355&oe=5F83E399,27.0,,3355780091144076,"We have more back to school photos from our families this morning! Thanks so much for sharing. Share your first day of school photos, whether your student is in school or learning remotely, by messaging us on Facebook or emailing photos to jmccord@newlebanoncsd.org. Thank you!",https://facebook.com/story.php?story_fbid=3355780091144076&id=568547393200707,,0.0,"We have more back to school photos from our families this morning! Thanks so much for sharing. Share your first day of school photos, whether your student is in school or learning remotely, by messaging us on Facebook or emailing photos to jmccord@newlebanoncsd.org. Thank you!",2020-09-10 09:49:29,,
6,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119055620_3353653514690067_7135680153310523889_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=42KyKslslTAAX_oAjHC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2f649f3a3a3bcf9a29411567220c0786&oe=5F84CD1A,30.0,,3353655111356574,Here are some more back to school photos. Thanks again to everyone who shared your photos! We will share more on Thursday so please keep sending photos by messaging our Facebook page or emailing jmccord@newlebanoncsd.org. Thank you!,https://facebook.com/story.php?story_fbid=3353655111356574&id=568547393200707,,0.0,Here are some more back to school photos. Thanks again to everyone who shared your photos! We will share more on Thursday so please keep sending photos by messaging our Facebook page or emailing jmccord@newlebanoncsd.org. Thank you!,2020-09-09 16:10:25,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119138836_3353160868072665_7976124864602586870_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=NwcIPSDWWVgAX9BySsn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=219a0564d2f31c5fd6fe87f23f74b0bc&oe=5F831306,27.0,,3353163201405765,"Here are more back to school photos. Thank you to all the families for sharing with our community! Share your photos, whether your student will be in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org. Thank you!",https://facebook.com/story.php?story_fbid=3353163201405765&id=568547393200707,,0.0,"Here are more back to school photos. Thank you to all the families for sharing with our community! Share your photos, whether your student will be in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org. Thank you!",2020-09-09 12:26:59,,
8,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119000017_3352643488124403_1373305420624884434_o.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=43CpkVqc0BAAX_dZPpa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=642896907c5b3bf4927a2c0d09e06d25&oe=5F83D534,46.0,,3352647478124004,"Thank you to all the families for sharing your wonderful back to school photos. We missed these smiles! Share your first day of school photos, whether your student is in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org. Thank you!",https://facebook.com/story.php?story_fbid=3352647478124004&id=568547393200707,,0.0,"Thank you to all the families for sharing your wonderful back to school photos. We missed these smiles! Share your first day of school photos, whether your student is in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org. Thank you!",2020-09-09 09:04:30,,
9,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119101311_3352359508152801_4679805369447883521_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=qZJ_8JqwuE0AX918dPR&_nc_ht=scontent-atl3-1.xx&tp=14&oh=597a44f2bb9415f760be09fcb528d582&oe=5F853488,16.0,,3352360418152710,"Here is our first back to school photo this morning! Please share your first day of school photos, whether your student will be in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org. Thank you!",https://facebook.com/story.php?story_fbid=3352360418152710&id=568547393200707,,0.0,"Here is our first back to school photo this morning! Please share your first day of school photos, whether your student will be in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org. Thank you!",2020-09-09 07:08:01,,
10,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118875860_3350603571661728_1607355536690389281_o.jpg?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=PD1ICm3rLSAAX-6rMhG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=935695d371cf05cb4ea98b8de3c401c6&oe=5F862C02,22.0,,3350606721661413,"The first day of school is almost here! Please share your first day of school photos, whether your student will be in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org so we can share them with our community. The first day of school for grades 1-8 and grades 9-12 Tuesday/Friday students is Wednesday, September 9. The first day of school for Pre-K, kindergarten and grades 9-12 Monday/Thursday students is Thursday, September 10.",https://facebook.com/story.php?story_fbid=3350606721661413&id=568547393200707,,0.0,"The first day of school is almost here! Please share your first day of school photos, whether your student will be in school or learning remotely, by messaging our Facebook page or emailing photos to jmccord@newlebanoncsd.org so we can share them with our community. The first day of school for grades 1-8 and grades 9-12 Tuesday/Friday students is Wednesday, September 9. The first day of school for Pre-K, kindergarten and grades 9-12 Monday/Thursday students is Thursday, September 10.",2020-09-08 16:16:04,,
