,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,18.0,https://www.santafenewmexican.com/life/teen/santa-fe-girls-who-mean-business/article_d33f3d02-e63a-11ea-912f-c7374a6987c1.html,10157765139686492,"NMSA Alumna Yang Toledo truly believes artists have the power to change the world! The The Santa Fe New Mexican featured her this past week and in her words she wants to “bring awareness to what is happening on Indigenous reservations right now. … We want to show people that they have a voice and that they matter,”.

#NMSA #NMSchoolfortheArts #publicschool

👇Click Here to read more!👇",https://facebook.com/story.php?story_fbid=10157765139686492&id=209869716491,"SANTAFENEWMEXICAN.COM
Santa Fe girls who mean business",6.0,"NMSA Alumna Yang Toledo truly believes artists have the power to change the world! The The Santa Fe New Mexican featured her this past week and in her words she wants to “bring awareness to what is happening on Indigenous reservations right now. … We want to show people that they have a voice and that they matter,”.

#NMSA #NMSchoolfortheArts #publicschool

👇Click Here to read more!👇

SANTAFENEWMEXICAN.COM
Santa Fe girls who mean business",2020-09-04 09:35:16,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118232118_10157734743621492_3876261808318768931_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=MHEsJ9mvlYoAX82-M3O&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b35ec293cc40f29282a4d4adec5c34b7&oe=5F827541,22.0,,10157734745616492,"We are so excited to announce that New Mexico School for the Arts won First Place for ""Best High School"" in the Santa Fe Reporter's Annual SFR's Best of Santa Fe Competition! We also won 3rd place in both the ""Best Dance Company"" and ""Best Theater Group"" categories. We are so thankful for all of your support and look forward to being the best high school we can for many more years to come!

#nmschoolforthearts #NMSA #BestOfSantaFe",https://facebook.com/story.php?story_fbid=10157734745616492&id=209869716491,,0.0,"We are so excited to announce that New Mexico School for the Arts won First Place for ""Best High School"" in the Santa Fe Reporter's Annual SFR's Best of Santa Fe Competition! We also won 3rd place in both the ""Best Dance Company"" and ""Best Theater Group"" categories. We are so thankful for all of your support and look forward to being the best high school we can for many more years to come!

#nmschoolforthearts #NMSA #BestOfSantaFe",2020-08-21 09:45:00,,
2,1.0,,11.0,https://www.youtube.com/watch?v=HXengw9ibOE,10157728322526492,"Hakim Bellamy performed his poem ""Prayer for a New School Year (AKA The Blessing)"" at our opening ceremony! It is a heartfelt piece that addresses some of the difficulties presented to students and teachers during this trying time, as well as reminding us that we can overcome them! Check it out below!

#NMSA #NMSchoolfortheArts #Poetry

👇Click Here to watch it now!👇",https://facebook.com/story.php?story_fbid=10157728322526492&id=209869716491,"YOUTUBE.COM
Prayer for a New School Year",0.0,"Hakim Bellamy performed his poem ""Prayer for a New School Year (AKA The Blessing)"" at our opening ceremony! It is a heartfelt piece that addresses some of the difficulties presented to students and teachers during this trying time, as well as reminding us that we can overcome them! Check it out below!

#NMSA #NMSchoolfortheArts #Poetry

👇Click Here to watch it now!👇

YOUTUBE.COM
Prayer for a New School Year",2020-08-17 19:00:09,,
3,0.0,,10.0,http://vitalspaces.org/,10157633005911492,"We are proud to announce that #NMSA teacher Andres Machin and NMSA Alumni are participating in ""Windows on the Future"", a collaborative art exhibit held in the windows of central and northern New Mexico’s commercial districts! Storefronts include operating retail stores, empty office buildings, public libraries, galleries, a theater marquee sign, a wine bar, and hotels. Make sure to social distance or drive up to view these amazing art exhibits created by New Mexican #artists! Visit vitalspaces.org for maps, artist statements, and photos of the window installations.

👇Click here more info!👇",https://facebook.com/story.php?story_fbid=10157633005911492&id=209869716491,"VITALSPACES.ORG
Vital Spaces",0.0,"We are proud to announce that #NMSA teacher Andres Machin and NMSA Alumni are participating in ""Windows on the Future"", a collaborative art exhibit held in the windows of central and northern New Mexico’s commercial districts! Storefronts include operating retail stores, empty office buildings, public libraries, galleries, a theater marquee sign, a wine bar, and hotels. Make sure to social distance or drive up to view these amazing art exhibits created by New Mexican #artists! Visit vitalspaces.org for maps, artist statements, and photos of the window installations.

👇Click here more info!👇

VITALSPACES.ORG
Vital Spaces",2020-07-08 19:00:10,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98010356_10157486247306492_5853477311285821440_o.jpg?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=hMc97KnJwY0AX-w1aij&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9f7b3f2a24c8fdb2be0425f9d29dc514&oe=5F852A4A,21.0,https://mailchi.mp/nmsa-ai/retro-thanks,10157486247301492,"We Did It! 😍 - https://mailchi.mp/nmsa-ai/retro-thanks

Together, we exceeded our stretch goal of $450,000. Thank you!",,,0.0,"We Did It! 😍 - https://mailchi.mp/nmsa-ai/retro-thanks

Together, we exceeded our stretch goal of $450,000. Thank you!",2020-05-16 11:23:18,,
5,0.0,,5.0,https://www.nmschoolforthearts.org/,10157484548846492,NOW OPEN: https://www.nmschoolforthearts.org,https://facebook.com/story.php?story_fbid=10157484548846492&id=209869716491,"FRI, MAY 15
FLUX – Visual Arts Senior Thesis Exhibition",0.0,"NOW OPEN: https://www.nmschoolforthearts.org

FRI, MAY 15
FLUX – Visual Arts Senior Thesis Exhibition",2020-05-15 19:26:24,,
6,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/98001486_10157484284001492_674731764404453376_n.jpg?_nc_cat=105&_nc_sid=9e2e56&_nc_ohc=0b748JWxONUAX863C-V&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9a035463fd0bbcdbdfe8c99a27adb04c&oe=5F839C04,17.0,https://www.nmschoolforthearts.org/retrospective/#DONATE,10157484284961492,"We did it! We have surpassed our stretch goal of $450,000 to support NMSA! And we carry on...$100 gifts will continue be matched through the end of the day. If you haven’t made a gift yet, please make one now to ensure that NMSA continues to provide access for students to learn in the arts! Go to https://www.nmschoolforthearts.org/retrospective/#DONATE to make your tax-deductible contribution now.

We are beyond grateful for this incredible support. Every dollar that is being raised past our original goal prepares us to support students in the fall. Thank you! We hope you have enjoyed this retrospective journey and we look forward to 👀 you at the virtual FLUX senior exhibition tonight!",https://facebook.com/story.php?story_fbid=10157484284961492&id=209869716491,,0.0,"We did it! We have surpassed our stretch goal of $450,000 to support NMSA! And we carry on...$100 gifts will continue be matched through the end of the day. If you haven’t made a gift yet, please make one now to ensure that NMSA continues to provide access for students to learn in the arts! Go to https://www.nmschoolforthearts.org/retrospective/#DONATE to make your tax-deductible contribution now.

We are beyond grateful for this incredible support. Every dollar that is being raised past our original goal prepares us to support students in the fall. Thank you! We hope you have enjoyed this retrospective journey and we look forward to 👀 you at the virtual FLUX senior exhibition tonight!",2020-05-15 17:14:18,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97028931_10157483425236492_1486095943257292800_o.jpg?_nc_cat=108&_nc_sid=2d5d41&_nc_ohc=7F3K_SQYt5YAX9WuEP6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=892a2ba6c7a5aac5685a4b779768c95b&oe=5F822203,9.0,https://mailchi.mp/nmsa-ai/last-chance,10157483425221492,"One Last Chance 🔥 - https://mailchi.mp/nmsa-ai/last-chance

We have some exciting news about our 10 Year Retrospective campaign!",,,0.0,"One Last Chance 🔥 - https://mailchi.mp/nmsa-ai/last-chance

We have some exciting news about our 10 Year Retrospective campaign!",2020-05-15 10:50:52,,
8,0.0,,21.0,https://www.amazon.com/Dreams-Montezuma-Mexico-School-Anthology/dp/1734012617/ref=sr_1_1?dchild=1&keywords=dreams+of+montezuma&qid=1589473011&sr=8-1,10157480842221492,OUT NOW! This year's anthology of poetry and prose by NMSA creative writer's has been published by Stalking Horse Press and is available on Amazon or their website in a paperback format.,https://facebook.com/story.php?story_fbid=10157480842221492&id=209869716491,"AMAZON.COM
Dreams of Montezuma: A New Mexico School for the Arts Anthology",0.0,"OUT NOW! This year's anthology of poetry and prose by NMSA creative writer's has been published by Stalking Horse Press and is available on Amazon or their website in a paperback format.

AMAZON.COM
Dreams of Montezuma: A New Mexico School for the Arts Anthology",2020-05-14 12:21:31,,
9,0.0,,7.0,https://youtu.be/AW46yDFwIkQ,10157480318946492,"Tonight at 6pm, several NMSA visual arts students with awards in film and photography will be honored at the 2020 Future Voices Film Festival sponsored by the Lensic Performing Arts Center. Tune in!",https://facebook.com/story.php?story_fbid=10157480318946492&id=209869716491,"YOUTUBE.COM
Lensic Future Voices Film Festival & Awards Ceremony",0.0,"Tonight at 6pm, several NMSA visual arts students with awards in film and photography will be honored at the 2020 Future Voices Film Festival sponsored by the Lensic Performing Arts Center. Tune in!

YOUTUBE.COM
Lensic Future Voices Film Festival & Awards Ceremony",2020-05-14 09:04:12,,
