,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119151082_3187166801401724_1235572273017974004_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=Akc_4DuODnYAX83Nd2s&_nc_ht=scontent-atl3-1.xx&tp=14&oh=607fb7bf681d5792f86cfbc6279b33df&oe=5F805B78,3.0,,3187167481401656,Seeking at cook at Ruth Fox Middle School:,https://facebook.com/story.php?story_fbid=3187167481401656&id=1047963581988734,,0.0,Seeking at cook at Ruth Fox Middle School:,2020-09-10 08:22:00,,
1,13.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118960644_3182367668548304_8837446810874324749_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=h4HywXL0o2kAX83E45J&_nc_ht=scontent-atl3-1.xx&tp=14&oh=604e5de95559fe909b78736d06da6db3&oe=5F83EDF7,79.0,http://www.nbbroncos.net/administration/news/what_s_new/update_from_superintendent_fish_9-8-20,3182367708548300,"Update:

http://www.nbbroncos.net/administration/news/what_s_new/update_from_superintendent_fish_9-8-20",https://facebook.com/story.php?story_fbid=3182367708548300&id=1047963581988734,,0.0,"Update:

http://www.nbbroncos.net/administration/news/what_s_new/update_from_superintendent_fish_9-8-20",2020-09-08 18:30:31,,
2,8.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118654236_3176108689174202_8062772989175438904_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=_9yTA69VkzAAX_wKz3d&_nc_ht=scontent-atl3-1.xx&tp=14&oh=58f8348a9b0fdaf5105c9d24abf6bd01&oe=5F8292FD,14.0,,3176119315839806,"Our Virtual Student Picture Day will be September 29th in the North Branch Elementary Art Room. Please come at the listed designated time for you child.

4:30-6:00 - Elementary School
6:00-6:45 - Middle School
6:45-7:30 - High School

*Bronco Masks will also be available for pickup at this time.",https://facebook.com/story.php?story_fbid=3176119315839806&id=1047963581988734,,0.0,"Our Virtual Student Picture Day will be September 29th in the North Branch Elementary Art Room. Please come at the listed designated time for you child.

4:30-6:00 - Elementary School
6:00-6:45 - Middle School
6:45-7:30 - High School

*Bronco Masks will also be available for pickup at this time.",2020-09-06 16:36:59,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118700285_3170069459778125_3806892142527261000_n.jpg?_nc_cat=108&_nc_sid=110474&_nc_ohc=jbvjHszlmN0AX9TYzIa&_nc_ht=scontent-atl3-1.xx&tp=14&oh=0db71517fa030f27ac02fc9fe2e15e94&oe=5F83336F,49.0,,3170069586444779,Update:,https://facebook.com/story.php?story_fbid=3170069586444779&id=1047963581988734,,0.0,Update:,2020-09-04 16:33:19,,
4,26.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118791060_3167128140072257_8922926801255843268_n.jpg?_nc_cat=107&_nc_sid=110474&_nc_ohc=t6FxUSaFQtAAX_W7ah6&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d19db69079314c28033f6fe4b4f78f01&oe=5F831C7E,149.0,,3167085536743184,,https://facebook.com/story.php?story_fbid=3167085536743184&id=1047963581988734,,0.0,,2020-09-03 16:18:41,,
5,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118748890_3163742653744139_6771229762916871474_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=jMFg7hViZT8AX_Kv2J8&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2166efb1d1fb150b1155e23c1634d4e2&oe=5F82CBAE,6.0,,3163745103743894,Hiring Custodial staff:,https://facebook.com/story.php?story_fbid=3163745103743894&id=1047963581988734,,0.0,Hiring Custodial staff:,2020-09-02 14:39:58,,
6,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118730847_3161154860669585_1012076960615343025_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=Rng5O83d1wwAX_P9hEx&_nc_ht=scontent-atl3-1.xx&tp=14&oh=9d07121b049aba11ed09647a877509d1&oe=5F83A68E,8.0,https://www.applitrack.com/gcaps/onlineapp/jobpostings,3161158024002602,"We are seeking the following support staff substitute positions:

▪️Aides (Lunchroom/Recess Monitor & Lunchroom/Cashier)
▪️Cook
▪️Paraprofessional

Interested candidates can apply online at:

https://www.applitrack.com/gcaps/onlineapp/jobpostings",https://facebook.com/story.php?story_fbid=3161158024002602&id=1047963581988734,,0.0,"We are seeking the following support staff substitute positions:

▪️Aides (Lunchroom/Recess Monitor & Lunchroom/Cashier)
▪️Cook
▪️Paraprofessional

Interested candidates can apply online at:

https://www.applitrack.com/gcaps/onlineapp/jobpostings",2020-09-01 19:34:44,,
7,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118707349_2646092392313205_1446161130263567990_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=mz4V8Uc4K_kAX8iizSL&_nc_oc=AQnwU9Gvmz0adoQhHhztk55OLaD44FCjjNFjddD2hs98s0VBU9uxVbR5Y7dFKONsdJw&_nc_ht=scontent-atl3-1.xx&tp=14&oh=c881bdf7d93dd75b1a2fc340cecf94da&oe=5F804A2C,5.0,,3158082627643475,,https://facebook.com/story.php?story_fbid=3158082627643475&id=1047963581988734,"NBE
August 31 at 6:55 PM ·

Thank you for your understanding and patience today. NBE was buzzing with students today who were SO HAPPY to be back!",9.0,"NBE
August 31 at 6:55 PM ·

Thank you for your understanding and patience today. NBE was buzzing with students today who were SO HAPPY to be back!",2020-08-31 20:18:10,,
8,5.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118698828_3155261574592247_8483819898836064833_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=_lXJ-dh7V3cAX9wxSkZ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=3d0e4a164a3387d3c0b8cc9a4685c6e4&oe=5F838EB0,176.0,,3155261654592239,Welcome Back Broncos! We hope the 2020-2021 school year has a wonderful and safe start! We are happy you are part of our learning community! Go Broncos!,https://facebook.com/story.php?story_fbid=3155261654592239&id=1047963581988734,,0.0,Welcome Back Broncos! We hope the 2020-2021 school year has a wonderful and safe start! We are happy you are part of our learning community! Go Broncos!,2020-08-31 07:00:36,,
9,13.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118275971_3154647327987005_4337435226618547835_o.png?_nc_cat=108&_nc_sid=8024bb&_nc_ohc=djfuOsaTmiYAX_rVAey&_nc_ht=scontent-atl3-1.xx&oh=13ad2fc89f8af005c10b5b55c1466df1&oe=5F838DD3,12.0,https://bit.ly/2YONnwT,3154713844647020,"Dear BK-12 Virtual Learning Students & Parents,

Monday, Aug. 31st is the first day for NBAS Virtual Learners.

We are asking STUDENTS & PARENTS to join us this first day online by computer or phone to participate in a Virtual Orientation and meet your child's Mentor Teacher.

To access the specific meeting links and times, please visit the following for more information: https://bit.ly/2YONnwT

See you online,
North Branch Virtual Teaching Staff & Leadership",https://facebook.com/story.php?story_fbid=3154713844647020&id=1047963581988734,,0.0,"Dear BK-12 Virtual Learning Students & Parents,

Monday, Aug. 31st is the first day for NBAS Virtual Learners.

We are asking STUDENTS & PARENTS to join us this first day online by computer or phone to participate in a Virtual Orientation and meet your child's Mentor Teacher.

To access the specific meeting links and times, please visit the following for more information: https://bit.ly/2YONnwT

See you online,
North Branch Virtual Teaching Staff & Leadership",2020-08-30 18:03:37,,
