,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,6.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119243961_2776983935867790_6143464649707164987_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=QgWL66xE_lsAX91TASJ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d0a790c5c6d3145e21135b168621407d&oe=5F81B3D2,88.0,,2777019855864198,Thank you to The Skunk & Goat Tavern for donating and delivering an awesome lunch to the NESD staff on this beautiful Friday! It was so good and so appreciated!!,https://facebook.com/story.php?story_fbid=2777019855864198&id=1671660746400120,,0.0,Thank you to The Skunk & Goat Tavern for donating and delivering an awesome lunch to the NESD staff on this beautiful Friday! It was so good and so appreciated!!,2020-09-11 14:32:35,,
1,0.0,,13.0,http://nesd1.org/,2776798029219714,North East School District wants to help share your great news! We encourage non-profit agencies and for-profit businesses to provide us with event information to be included our NE COMMUNITY page. Information can be found at nesd1.org -> NE COMMUNITY.,https://facebook.com/story.php?story_fbid=2776798029219714&id=1671660746400120,,0.0,North East School District wants to help share your great news! We encourage non-profit agencies and for-profit businesses to provide us with event information to be included our NE COMMUNITY page. Information can be found at nesd1.org -> NE COMMUNITY.,2020-09-11 09:17:42,,
2,0.0,,7.0,https://boxcast.tv/view/piaa-district-10-volleyball-scrimmage-north-east-vs-general-mclane-979452?fbclid=IwAR1aMrNPVddcPvv_ln1uFF0CxQt0MDss0DJJ49NvoP0MCERAwel-WDSqLSE,2776061209293396,"NEHS Volleyball Scrimmage! The broadcast begins at 5:45 tonight!
https://boxcast.tv/view/piaa-district-10-volleyball-scrimmage-north-east-vs-general-mclane-979452?fbclid=IwAR1aMrNPVddcPvv_ln1uFF0CxQt0MDss0DJJ49NvoP0MCERAwel-WDSqLSE",https://facebook.com/story.php?story_fbid=2776061209293396&id=1671660746400120,"BOXCAST.TV
PIAA DISTRICT 10 VOLLEYBALL SCRIMMAGE NORTH EAST VS GENERAL MCLANE",0.0,"NEHS Volleyball Scrimmage! The broadcast begins at 5:45 tonight!
https://boxcast.tv/view/piaa-district-10-volleyball-scrimmage-north-east-vs-general-mclane-979452?fbclid=IwAR1aMrNPVddcPvv_ln1uFF0CxQt0MDss0DJJ49NvoP0MCERAwel-WDSqLSE

BOXCAST.TV
PIAA DISTRICT 10 VOLLEYBALL SCRIMMAGE NORTH EAST VS GENERAL MCLANE",2020-09-10 14:18:37,,
3,3.0,,18.0,https://boxcast.tv/view/piaa-district-10-football-grape-pickers-at-lancers-307858,2775821962650654,"The game time is Saturday, September 12th at 7:00 p.m.
Go Pickers!!

https://boxcast.tv/view/piaa-district-10-football-grape-pickers-at-lancers-307858",https://facebook.com/story.php?story_fbid=2775821962650654&id=1671660746400120,"BOXCAST.TV
PIAA DISTRICT 10 FOOTBALL GRAPE PICKERS AT LANCERS",15.0,"The game time is Saturday, September 12th at 7:00 p.m.
Go Pickers!!

https://boxcast.tv/view/piaa-district-10-football-grape-pickers-at-lancers-307858

BOXCAST.TV
PIAA DISTRICT 10 FOOTBALL GRAPE PICKERS AT LANCERS",2020-09-10 08:41:03,,
4,4.0,,15.0,https://boxcast.tv/view/north-east-grape-pickers-scrimmage-920482,2770450409854476,"HS Football Scrimmage 10am link:

https://boxcast.tv/view/north-east-grape-pickers-scrimmage-920482",https://facebook.com/story.php?story_fbid=2770450409854476&id=1671660746400120,"BOXCAST.TV
North East Grape Pickers Scrimmage",5.0,"HS Football Scrimmage 10am link:

https://boxcast.tv/view/north-east-grape-pickers-scrimmage-920482

BOXCAST.TV
North East Grape Pickers Scrimmage",2020-09-04 17:40:25,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118767621_2768408700058647_5805812289233780263_o.jpg?_nc_cat=109&_nc_sid=8024bb&_nc_ohc=Evkw5eqEbIMAX9aoFX5&_nc_ht=scontent-atl3-1.xx&tp=14&oh=18068ad2150d17ef69969eed5b817188&oe=5F81D522,13.0,,2768410140058503,2020-21 school calendars are available for purchase at the NESD administration office! $4.00 each,https://facebook.com/story.php?story_fbid=2768410140058503&id=1671660746400120,,0.0,2020-21 school calendars are available for purchase at the NESD administration office! $4.00 each,2020-09-02 11:51:08,,
6,4.0,,12.0,https://www.nesd1.org/parents-students,2767335263499324,"Picture day for the Elementary Center grades K-5 is tomorrow, Wednesday, September 2nd. All K-5 in-person students will be photographed. If parents would like to purchase a photo package, they can use the paper form that was sent home, or they can order online. Forms are also available on the district website: https://www.nesd1.org/parents-students
Live stream and North East Academy students will be photographed on picture make-up day, Friday, October 16th. More information will be sent home at a later date.",https://facebook.com/story.php?story_fbid=2767335263499324&id=1671660746400120,,0.0,"Picture day for the Elementary Center grades K-5 is tomorrow, Wednesday, September 2nd. All K-5 in-person students will be photographed. If parents would like to purchase a photo package, they can use the paper form that was sent home, or they can order online. Forms are also available on the district website: https://www.nesd1.org/parents-students
Live stream and North East Academy students will be photographed on picture make-up day, Friday, October 16th. More information will be sent home at a later date.",2020-09-01 08:54:32,,
7,1.0,,15.0,https://www.youtube.com/watch?v=ymNujYCg-7M,2764000277166156,"NEMS In-Person Orientation Video

https://www.youtube.com/watch?v=ymNujYCg-7M",https://facebook.com/story.php?story_fbid=2764000277166156&id=1671660746400120,"YOUTUBE.COM
NEMS In-Person Orientation",7.0,"NEMS In-Person Orientation Video

https://www.youtube.com/watch?v=ymNujYCg-7M

YOUTUBE.COM
NEMS In-Person Orientation",2020-08-28 15:47:17,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118573620_2763978377168346_948210236571340513_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=70WD0w6HP6EAX-24n7q&_nc_ht=scontent-atl3-1.xx&tp=14&oh=71ce9d51dd1a945995e0e4a0c0bf8a8c&oe=5F81549A,11.0,http://nesd1.org/,2763983733834477,"August/September Breakfast & Lunch Menus!
Please note: Live-Stream students, NE Cyber Academy, and NEHS Maroon/Gold Hybrid students also have a Bagged Meal option available from the cafeteria. Information is available on the district website at nesd1.org -> Departments -> Cafeteria.",https://facebook.com/story.php?story_fbid=2763983733834477&id=1671660746400120,,0.0,"August/September Breakfast & Lunch Menus!
Please note: Live-Stream students, NE Cyber Academy, and NEHS Maroon/Gold Hybrid students also have a Bagged Meal option available from the cafeteria. Information is available on the district website at nesd1.org -> Departments -> Cafeteria.",2020-08-28 15:20:20,,
9,1.0,,5.0,,2760009730898544,"Good afternoon,

Please check the North East School District website, select the School Reopening Updates tab, for an important update from the North East School District.",https://facebook.com/story.php?story_fbid=2760009730898544&id=1671660746400120,,0.0,"Good afternoon,

Please check the North East School District website, select the School Reopening Updates tab, for an important update from the North East School District.",2020-08-24 12:22:35,,
10,0.0,,5.0,,2759883514244499,"A few notes for NEMS Parents:
1. Please continue to check Announcements in your Sapphire Parent Portal for messages from Mr. Beardsley & Dr. Karns.
2. Live-Stream students: Wednesday, August 26 at 6:00 p.m. there will be a Parent/Student Orientation for Live-Stream students. A Sapphire Notification will be made with the information to access the orientation.",https://facebook.com/story.php?story_fbid=2759883514244499&id=1671660746400120,,0.0,"A few notes for NEMS Parents:
1. Please continue to check Announcements in your Sapphire Parent Portal for messages from Mr. Beardsley & Dr. Karns.
2. Live-Stream students: Wednesday, August 26 at 6:00 p.m. there will be a Parent/Student Orientation for Live-Stream students. A Sapphire Notification will be made with the information to access the orientation.",2020-08-24 09:59:15,,
11,1.0,,22.0,http://nesd1.org/,2759819127584271,"NESD Parents: Bus Letters are being mailed today with bus information regarding pick up times, drop off times, and COVID protocol. Please see the district website for other transportation details. nesd1.org -> Departments -> Transportation",https://facebook.com/story.php?story_fbid=2759819127584271&id=1671660746400120,,0.0,"NESD Parents: Bus Letters are being mailed today with bus information regarding pick up times, drop off times, and COVID protocol. Please see the district website for other transportation details. nesd1.org -> Departments -> Transportation",2020-08-24 08:55:28,,
12,19.0,,57.0,,2757078704524980,Davis Primary Welcome Back!,,,0.0,Davis Primary Welcome Back!,2020-08-21 08:16:17,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_247271136312849_7710191065738586715_n.mp4?_nc_cat=111&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=J3OHwo7IJH8AX-m1MnG&_nc_ht=video-atl3-1.xx&oh=19389fd5313f3e31096ca66aadefb530&oe=5F5C59B2,
13,4.0,,20.0,,2756300601269457,NEIE Afternoon Pickup Procedures Video (Parents who have children in both Intermediate & Davis schools will be able to do one pick up at the East Library doors. Please be sure to continue to follow the NEIE traffic pattern.),,,0.0,NEIE Afternoon Pickup Procedures Video (Parents who have children in both Intermediate & Davis schools will be able to do one pick up at the East Library doors. Please be sure to continue to follow the NEIE traffic pattern.),2020-08-20 11:03:02,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/117804596_226858225317415_1715726297594253084_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=bqR8D1wQ_VkAX8SNES_&_nc_ht=video-atl3-1.xx&oh=9decf894b2042ecc0f0983f22459cd0c&oe=5F5C596F,
14,5.0,,20.0,,2756295721269945,NEIE Morning Car-Rider Arrival Demonstration Video (Parents who have children in both Intermediate & Davis schools are welcome and encouraged to drop off their children at the East Library doors. Please be sure to continue to follow the NEIE traffic pattern.),,,0.0,NEIE Morning Car-Rider Arrival Demonstration Video (Parents who have children in both Intermediate & Davis schools are welcome and encouraged to drop off their children at the East Library doors. Please be sure to continue to follow the NEIE traffic pattern.),2020-08-20 10:58:52,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118279230_3338227722901723_8144908538026841781_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=OUZVmbB8ZDoAX8POU52&_nc_oc=AQlHGdurLi8fKlZAPn_REo_Fj61vaMlgIsJzX0AHVSvAlWif11-TX8u1yGP0p3MvA84&_nc_ht=video-atl3-1.xx&oh=5f4408232f8e0c32aae69f4842b2de5b&oe=5F5C5433,
15,0.0,,7.0,,2751742831725234,"The NESD school offices
will be closed for Staff In-service Training on Monday, 8/17/2020 from 7:45 a.m. to 11:30 a.m. and
Wednesday, 8/19/2020 1:30 p.m. to 4:00 p.m.",https://facebook.com/story.php?story_fbid=2751742831725234&id=1671660746400120,,0.0,"The NESD school offices
will be closed for Staff In-service Training on Monday, 8/17/2020 from 7:45 a.m. to 11:30 a.m. and
Wednesday, 8/19/2020 1:30 p.m. to 4:00 p.m.",2020-08-15 13:33:34,,
16,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117664896_2749711748595009_8287126683540902156_o.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=EaSl6-xqV9sAX_pwQx_&_nc_oc=AQkPcXLQ16ppaCkQNq-W8glR1dXFq_z5Wu06A2-VEC4cq-4KG4hG0SCbJzjzMUrJoTA&_nc_ht=scontent-atl3-1.xx&tp=14&oh=21a89312190a39784b723876048e05c0&oe=5F81C1C7,1.0,,2749712285261622,2020 Census Deadline Extension,https://facebook.com/story.php?story_fbid=2749712285261622&id=1671660746400120,,0.0,2020 Census Deadline Extension,2020-08-13 08:33:32,,
17,8.0,,5.0,,2749113761988141,,https://facebook.com/story.php?story_fbid=2749113761988141&id=1671660746400120,,0.0,,2020-08-12 14:52:28,,
18,2.0,,24.0,,2749075048658679,NEIE Informational Video Message from Mr. Emick!,,,0.0,NEIE Informational Video Message from Mr. Emick!,2020-08-12 13:49:27,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/10000000_3308445275842191_3469577410178244195_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=MgLdDrIRzSMAX99Hutz&_nc_ht=video-atl3-1.xx&oh=b789e03a7fbc7cf55d75b70c399086e6&oe=5F5C5412,
19,0.0,,4.0,,2749074125325438,"As a Reminder: The Chromebook Pick up, August 13th & 14th & 17th, is for 3rd-12th grade only. Dr. Ritter will make the Davis Primary students aware when their devices are ready. Thank you!",https://facebook.com/story.php?story_fbid=2749074125325438&id=1671660746400120,,0.0,"As a Reminder: The Chromebook Pick up, August 13th & 14th & 17th, is for 3rd-12th grade only. Dr. Ritter will make the Davis Primary students aware when their devices are ready. Thank you!",2020-08-12 13:47:09,,
20,14.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117634706_2747972498768934_3940053081792411307_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=-pvLsPYfoLAAX8XyU3Q&_nc_ht=scontent-atl3-1.xx&oh=3ae98987aba006acb7d944ac4c7fe051&oe=5F82E23A,11.0,,2747981985434652,"The Chromebook Pick Up dates/times can be found on the district website under Calendar of Events. If you are checking from a phone, it will be located below the school links.",https://facebook.com/story.php?story_fbid=2747981985434652&id=1671660746400120,,0.0,"The Chromebook Pick Up dates/times can be found on the district website under Calendar of Events. If you are checking from a phone, it will be located below the school links.",2020-08-11 08:31:45,,
21,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/117306592_2747361785496672_6920375323316404662_n.png?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=_L-rCm4cpeMAX-Ep6sY&_nc_ht=scontent-atl3-1.xx&oh=b8c60b79251108c2f2bc7a49d8c8f430&oe=5F800E6C,4.0,,2747361965496654,Erie Gives Day,https://facebook.com/story.php?story_fbid=2747361965496654&id=1671660746400120,,0.0,Erie Gives Day,2020-08-10 14:50:32,,
22,12.0,,15.0,,2744679035764947,"Please find a revised 2020-21 Academic Calendar under ""District News"" on the district website. The first day of school has been changed to August 31, 2020.

The NESD Health and Safety Reopening Plan has also been revised and can be found under the ""Important Links"" in the ""School Reopening Updates"" tab.",https://facebook.com/story.php?story_fbid=2744679035764947&id=1671660746400120,,0.0,"Please find a revised 2020-21 Academic Calendar under ""District News"" on the district website. The first day of school has been changed to August 31, 2020.

The NESD Health and Safety Reopening Plan has also been revised and can be found under the ""Important Links"" in the ""School Reopening Updates"" tab.",2020-08-07 11:51:39,,
