,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119221855_3274069549341105_3486216941812823578_n.jpg?_nc_cat=102&_nc_sid=8024bb&_nc_ohc=6I_z4bZVrlMAX-dm-Ei&_nc_ht=scontent-atl3-1.xx&tp=14&oh=d698d806aa4e0ffa791443a4b74e53bf&oe=5F849861,71.0,,3274071149340945,NWCS will never forget!,https://facebook.com/story.php?story_fbid=3274071149340945&id=921915824556501,,0.0,NWCS will never forget!,2020-09-11 11:34:22,,
1,1.0,,0.0,https://forms.office.com/Pages/ResponsePage.aspx?id=68ReW9OGoUamXhCXKZYgKB1rUiaO6GRFkyQaP6lXV2VUNDY1MDg2VFNQUUpZOEhUNENJRjJLNk1FOS4u,3268233809924679,"NWCS is looking for four community members and/or NWCS parents to serve on a committee to select architectural services and construction management for an anticipated renovation of Norwell Middle School. If you are interested, please click on this link and complete the form. This form will receive entries until Friday, September 11, 2020.
https://forms.office.com/Pages/ResponsePage.aspx?id=68ReW9OGoUamXhCXKZYgKB1rUiaO6GRFkyQaP6lXV2VUNDY1MDg2VFNQUUpZOEhUNENJRjJLNk1FOS4u",https://facebook.com/story.php?story_fbid=3268233809924679&id=921915824556501,"FORMS.OFFICE.COM
Microsoft Forms",2.0,"NWCS is looking for four community members and/or NWCS parents to serve on a committee to select architectural services and construction management for an anticipated renovation of Norwell Middle School. If you are interested, please click on this link and complete the form. This form will receive entries until Friday, September 11, 2020.
https://forms.office.com/Pages/ResponsePage.aspx?id=68ReW9OGoUamXhCXKZYgKB1rUiaO6GRFkyQaP6lXV2VUNDY1MDg2VFNQUUpZOEhUNENJRjJLNk1FOS4u

FORMS.OFFICE.COM
Microsoft Forms",2020-09-09 14:30:14,,
2,0.0,,0.0,https://www.nwcs.k12.in.us/VideoUp/b92abb58-8655-498c-b264-2a986cc7fd05.mp4.mp4,3268144833266910,"Here is a link to last night's school board meeting.
https://www.nwcs.k12.in.us/VideoUp/b92abb58-8655-498c-b264-2a986cc7fd05.mp4.mp4",https://facebook.com/story.php?story_fbid=3268144833266910&id=921915824556501,"NWCS.K12.IN.US
www.nwcs.k12.in.us",0.0,"Here is a link to last night's school board meeting.
https://www.nwcs.k12.in.us/VideoUp/b92abb58-8655-498c-b264-2a986cc7fd05.mp4.mp4

NWCS.K12.IN.US
www.nwcs.k12.in.us",2020-09-09 13:54:31,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119113035_3268103406604386_3838280173283179746_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=V4fc0PeH3DYAX8uORau&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b67b42b2f666a538ac3f463709fb658b&oe=5F855FDD,2.0,,3268106356604091,"NWCS is now accepting proposals for the services of Construction Manager as Constructor through 1:00 PM September 23, 2020.",https://facebook.com/story.php?story_fbid=3268106356604091&id=921915824556501,,0.0,"NWCS is now accepting proposals for the services of Construction Manager as Constructor through 1:00 PM September 23, 2020.",2020-09-09 13:40:12,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118997945_3268098776604849_4388280306957953869_n.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=ZmQxzDFp2F8AX9UeinC&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4d9e9914f4a978389c5fc312675d2b32&oe=5F854746,1.0,,3268101269937933,"NWCS is now accepting qualifications for Architectural Services through 1:00 PM September 23, 2020.",https://facebook.com/story.php?story_fbid=3268101269937933&id=921915824556501,,0.0,"NWCS is now accepting qualifications for Architectural Services through 1:00 PM September 23, 2020.",2020-09-09 13:37:55,,
5,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118996562_3266919993389394_5972817541739326544_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=uM0TwqTeuRsAX-0Nvvn&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b206c5ee9ba3f43c594103944c1aa6e4&oe=5F855A0D,26.0,,3266920280056032,"Northern Wells is on a 2-hr delay for fog Wednesday, Sep. 9, 2020.",https://facebook.com/story.php?story_fbid=3266920280056032&id=921915824556501,,0.0,"Northern Wells is on a 2-hr delay for fog Wednesday, Sep. 9, 2020.",2020-09-09 05:31:29,,
6,0.0,,3.0,,3265562850191775,Our apologies for a technical glitch with broadcasting tonight's board meeting. The taped version will be uploaded for viewing tomorrow.,https://facebook.com/story.php?story_fbid=3265562850191775&id=921915824556501,,0.0,Our apologies for a technical glitch with broadcasting tonight's board meeting. The taped version will be uploaded for viewing tomorrow.,2020-09-08 18:20:51,,
7,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119049420_3264425806972146_6510649246460920357_n.jpg?_nc_cat=100&_nc_sid=8024bb&_nc_ohc=DBEJbP_SaxIAX_AbnK7&_nc_ht=scontent-atl3-1.xx&tp=14&oh=91ca8261dd5ab60a1b761d0538b97b6e&oe=5F85D393,2.0,,3264429576971769,Tonight's regular School Board meeting begins at 5:30 PM and will be broadcast live on Facebook.,https://facebook.com/story.php?story_fbid=3264429576971769&id=921915824556501,,0.0,Tonight's regular School Board meeting begins at 5:30 PM and will be broadcast live on Facebook.,2020-09-08 10:08:56,,
8,0.0,,2.0,http://www.applitrack.com/nwcs/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=1053#.T_8euen_VF4.facebook,3253073468107380,"Norwell High School has an opening for a School Nurse. Online applications are now being accepted. Click below to apply.

Thank you!!",https://facebook.com/story.php?story_fbid=3253073468107380&id=921915824556501,"APPLITRACK.COM
Online Employment Application | Open Positions",9.0,"Norwell High School has an opening for a School Nurse. Online applications are now being accepted. Click below to apply.

Thank you!!

APPLITRACK.COM
Online Employment Application | Open Positions",2020-09-04 15:33:22,,
9,0.0,,5.0,http://www.applitrack.com/nwcs/OnlineApp/JobPostings/view.asp?FromAdmin=true&AppliTrackJobId=1052#.T_8euen_VF4.facebook,3243383685743025,NWCS has an immediate opening for a full time bus driver. Please apply online. Click below to get started.,https://facebook.com/story.php?story_fbid=3243383685743025&id=921915824556501,"APPLITRACK.COM
Online Employment Application | Open Positions",11.0,"NWCS has an immediate opening for a full time bus driver. Please apply online. Click below to get started.

APPLITRACK.COM
Online Employment Application | Open Positions",2020-09-01 12:31:21,,
