,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,0.0,https://docs.google.com/forms/d/e/1FAIpQLSc9pUQGtwU15dfDUlcw6NJHf1zwPaCtpSCLhfDBcDRm2GGA8w/viewform?usp=sf_link,1064513913964898,"HS lunch 9-16
https://docs.google.com/forms/d/e/1FAIpQLSc9pUQGtwU15dfDUlcw6NJHf1zwPaCtpSCLhfDBcDRm2GGA8w/viewform?usp=sf_link",https://facebook.com/story.php?story_fbid=1064513913964898&id=197135927369372,,0.0,"HS lunch 9-16
https://docs.google.com/forms/d/e/1FAIpQLSc9pUQGtwU15dfDUlcw6NJHf1zwPaCtpSCLhfDBcDRm2GGA8w/viewform?usp=sf_link",2020-09-16 08:46:19,,
1,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119450829_1063092957440327_422382101014255482_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=KH62pCgrBjEAX-Y46IG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=82e643c2e77de37f103d1d6a38c914c0&oe=5F86A6F8,0.0,http://legacystudios.com/,1064202600662696,This Friday!!!,https://facebook.com/story.php?story_fbid=1064202600662696&id=197135927369372,"Nowata Public Schools
September 14 at 12:19 PM ·

Picture day for 6th - 11th grade will be this Friday the 18th. Picture forms will be available or you can order at legacystudios.com.",0.0,"This Friday!!!

Nowata Public Schools
September 14 at 12:19 PM ·

Picture day for 6th - 11th grade will be this Friday the 18th. Picture forms will be available or you can order at legacystudios.com.",2020-09-15 22:56:27,,
2,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119651316_2747111795528333_1904480894380642002_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=Ne_XHKE323wAX8rAyCL&_nc_ht=scontent-atl3-1.xx&tp=14&oh=06c52586ad97d48bcc4b7156e8ce15d0&oe=5F8677CD,22.0,,1064202333996056,,https://facebook.com/story.php?story_fbid=1064202333996056&id=197135927369372,"Nowata FFA
13 hrs ·

2020-2021 Nowata FFA Officers.
Sarah, Dutch, Benton, Gabe, Tomi, Ashlyn",4.0,"Nowata FFA
13 hrs ·

2020-2021 Nowata FFA Officers.
Sarah, Dutch, Benton, Gabe, Tomi, Ashlyn",2020-09-15 22:55:58,,
3,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119691020_1063906760692280_250713468002479168_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=iVlnEFoRsdYAX_QqG5b&_nc_ht=scontent-atl3-1.xx&tp=14&oh=b06eacb15c4b5fb2a6bf5edf35d6d695&oe=5F86FFC7,16.0,,1063906830692273,,https://facebook.com/story.php?story_fbid=1063906830692273&id=197135927369372,,0.0,,2020-09-15 13:24:57,,
4,0.0,,1.0,,1063694704046819,HS lunch 9-15https://docs.google.com/forms/d/e/1FAIpQLSdwqoRRbNWCA3X8BoZeUguTW4veFy3YVzkGQpRLFs9v4IwQ7w/viewform?usp=sf_link,https://facebook.com/story.php?story_fbid=1063694704046819&id=197135927369372,,0.0,HS lunch 9-15https://docs.google.com/forms/d/e/1FAIpQLSdwqoRRbNWCA3X8BoZeUguTW4veFy3YVzkGQpRLFs9v4IwQ7w/viewform?usp=sf_link,2020-09-15 08:39:22,,
5,0.0,,14.0,,1063104410772515,,https://facebook.com/story.php?story_fbid=1063104410772515&id=197135927369372,"Sherry Wilson
September 11 at 4:15 PM ·

Check this out. Awesome job drum line! 🥁😁",0.0,"Sherry Wilson
September 11 at 4:15 PM ·

Check this out. Awesome job drum line! 🥁😁",2020-09-14 13:38:51,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/119228124_918869488604928_9163154903674306000_n.mp4?_nc_cat=110&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=8Q7Oec1_wdEAX9ARbjG&_nc_ht=video-atl3-1.xx&oh=8265a0557df976fe9e5329f1f0a23e13&oe=5F623A22,
6,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119450829_1063092957440327_422382101014255482_o.jpg?_nc_cat=109&_nc_sid=2d5d41&_nc_ohc=KH62pCgrBjEAX-Y46IG&_nc_ht=scontent-atl3-1.xx&tp=14&oh=82e643c2e77de37f103d1d6a38c914c0&oe=5F86A6F8,5.0,http://legacystudios.com/,1063092950773661,Picture day for 6th - 11th grade will be this Friday the 18th. Picture forms will be available or you can order at legacystudios.com.,,,0.0,Picture day for 6th - 11th grade will be this Friday the 18th. Picture forms will be available or you can order at legacystudios.com.,2020-09-14 13:19:12,,
7,0.0,,4.0,,1063056207444002,Tonight’s Junior High football will be one game in Vinita starting at 5:30. There will be a 5th qtr.,https://facebook.com/story.php?story_fbid=1063056207444002&id=197135927369372,,0.0,Tonight’s Junior High football will be one game in Vinita starting at 5:30. There will be a 5th qtr.,2020-09-14 12:14:05,,
8,3.0,,44.0,,1061018280981128,,https://facebook.com/story.php?story_fbid=1061018280981128&id=197135927369372,"Sherry Wilson
September 11 at 7:27 PM ·

Jason Bragg-Sutton of Cactus Hill outdid himself for homecoming! He went above & beyond for Student Council! Everything was beautiful!! He even went to Tulsa to get me football balloons! If you need flowers see Jason! Thank you!!!!!",3.0,"Sherry Wilson
September 11 at 7:27 PM ·

Jason Bragg-Sutton of Cactus Hill outdid himself for homecoming! He went above & beyond for Student Council! Everything was beautiful!! He even went to Tulsa to get me football balloons! If you need flowers see Jason! Thank you!!!!!",2020-09-11 20:37:04,,
9,5.0,,65.0,,1061018087647814,Homecoming 2020🏈,https://facebook.com/story.php?story_fbid=1061018087647814&id=197135927369372,"Sherry Wilson is with Kim Long.
September 11 at 7:30 PM ·

Nowata High School 2020 Football Homecoming. Congrats to Gracey Carley! 😁.",4.0,"Homecoming 2020🏈

Sherry Wilson is with Kim Long.
September 11 at 7:30 PM ·

Nowata High School 2020 Football Homecoming. Congrats to Gracey Carley! 😁.",2020-09-11 20:36:44,,
