,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,2.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119109430_10158897855042235_7828196721874726332_n.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=b2rHyotb8-0AX9T7mEe&_nc_ht=scontent-atl3-1.xx&tp=14&oh=ef4c5d7c1254cf7eec376a89b09dd315&oe=5F8C3A8B,12.0,,10158897855327235,"Great news for OCS Lunch Program. We are offering free lunches from now until the end of 2020 for all our enrolled Odyssey students. You still need to sign up with through the HotLunch program to receive them and adhere to our deadlines. Please see email
for details.",https://facebook.com/story.php?story_fbid=10158897855327235&id=84615387234,,0.0,"Great news for OCS Lunch Program. We are offering free lunches from now until the end of 2020 for all our enrolled Odyssey students. You still need to sign up with through the HotLunch program to receive them and adhere to our deadlines. Please see email
for details.",2020-09-08 17:53:36,,
1,3.0,,21.0,https://youtu.be/nxVKpgE_E20,10158869851672235,"Today is Mr Schellhous Birthday. The students all helped make a singing video for him. Take a minute to watch them sing!! We love our students AND our director!!

https://youtu.be/nxVKpgE_E20",https://facebook.com/story.php?story_fbid=10158869851672235&id=84615387234,"YOUTUBE.COM
Happy Birthday Mr Schellhous 2020",0.0,"Today is Mr Schellhous Birthday. The students all helped make a singing video for him. Take a minute to watch them sing!! We love our students AND our director!!

https://youtu.be/nxVKpgE_E20

YOUTUBE.COM
Happy Birthday Mr Schellhous 2020",2020-08-30 16:54:35,,
2,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118416408_10158860758212235_3971084267912507165_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=fz4JEuHmW5AAX9_15KV&_nc_ht=scontent-atl3-1.xx&tp=14&oh=f21ac49d7fb5c9f919c8b3177cc5640d&oe=5F8AB0FB,7.0,,10158860758512235,"The first week to school was great!!

Carpool is getting smoother. Remind your students to go straight out to carpool. Not stop to pick up siblings at their classes. Also if they don’t see their car once they are called down, we will gather them under the tree on the east side of the grass strip. You can park across the street and walk back on the sidewalk to grab them.

Thank you for your patience. We are working hard to keep your students healthy and safe.

Just a couple reminders. Masks. Water bottles. Stay home if you don’t feel well.",https://facebook.com/story.php?story_fbid=10158860758512235&id=84615387234,,0.0,"The first week to school was great!!

Carpool is getting smoother. Remind your students to go straight out to carpool. Not stop to pick up siblings at their classes. Also if they don’t see their car once they are called down, we will gather them under the tree on the east side of the grass strip. You can park across the street and walk back on the sidewalk to grab them.

Thank you for your patience. We are working hard to keep your students healthy and safe.

Just a couple reminders. Masks. Water bottles. Stay home if you don’t feel well.",2020-08-27 20:55:27,,
3,1.0,,5.0,https://youtu.be/AXM2eWlINj8,10158842915247235,"We are so excited for the first day. Please watch this video with your students so you are prepared for the changes at our school. We can’t wait to see you back!!

https://youtu.be/AXM2eWlINj8",https://facebook.com/story.php?story_fbid=10158842915247235&id=84615387234,"YOUTUBE.COM
Odyssey Welcome Back 2020",0.0,"We are so excited for the first day. Please watch this video with your students so you are prepared for the changes at our school. We can’t wait to see you back!!

https://youtu.be/AXM2eWlINj8

YOUTUBE.COM
Odyssey Welcome Back 2020",2020-08-21 18:36:28,,
4,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117904977_10158834929302235_985503104353948595_o.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=pBP7WZ145i0AX9H8KGg&_nc_ht=scontent-atl3-1.xx&tp=14&oh=4b7a394d8a5d60be213d5b616f816f5c&oe=5F8C5DBF,28.0,,10158834933502235,"Welcome Back Voyagers! We are ready for you! Assessments are this Wednesday, Thursday, and Friday. The first full day of school for 1st - 6th grades is Monday, August 24th. The first full day of school for kindergartners is August 26th. See you this week!",https://facebook.com/story.php?story_fbid=10158834933502235&id=84615387234,,0.0,"Welcome Back Voyagers! We are ready for you! Assessments are this Wednesday, Thursday, and Friday. The first full day of school for 1st - 6th grades is Monday, August 24th. The first full day of school for kindergartners is August 26th. See you this week!",2020-08-18 21:41:14,,
5,1.0,,12.0,https://youtu.be/YsVJszs17WE,10158829126292235,"Oddyssey Families. School is right around the corner. In your final preparations remember we are mandatory mask campus. Our very own May family put together a fun video to show your kids. In it, the Mays are getting ready for junior high (the oldest son) and Odyssey ( the younger kids). Shout Out to the May family for making this creative demonstration for us.

https://youtu.be/YsVJszs17WE",https://facebook.com/story.php?story_fbid=10158829126292235&id=84615387234,"YOUTUBE.COM
August 2, 2020",0.0,"Oddyssey Families. School is right around the corner. In your final preparations remember we are mandatory mask campus. Our very own May family put together a fun video to show your kids. In it, the Mays are getting ready for junior high (the oldest son) and Odyssey ( the younger kids). Shout Out to the May family for making this creative demonstration for us.

https://youtu.be/YsVJszs17WE

YOUTUBE.COM
August 2, 2020",2020-08-16 16:02:25,,
6,0.0,,9.0,,10158819977047235,Assessments start next week! Please make sure you have signed up with your student's teacher. We can't wait to have our families back!,https://facebook.com/story.php?story_fbid=10158819977047235&id=84615387234,,0.0,Assessments start next week! Please make sure you have signed up with your student's teacher. We can't wait to have our families back!,2020-08-13 11:36:18,,
7,0.0,,2.0,,10158747819857235,"Don't forget! We will be having a virtual meeting for our parents this morning at 10:00. An invite to the meeting has been sent to parent's emails. This meeting will be recorded and sent to all our families. In addition, we will be emailing a Q&A document soon for parents to review. This document will contain what was discussed today.",https://facebook.com/story.php?story_fbid=10158747819857235&id=84615387234,,0.0,"Don't forget! We will be having a virtual meeting for our parents this morning at 10:00. An invite to the meeting has been sent to parent's emails. This meeting will be recorded and sent to all our families. In addition, we will be emailing a Q&A document soon for parents to review. This document will contain what was discussed today.",2020-07-20 11:25:51,,
8,0.0,,16.0,,10158736092362235,,https://facebook.com/story.php?story_fbid=10158736092362235&id=84615387234,,0.0,,2020-07-16 18:43:01,,
9,0.0,,20.0,,10158716750707235,40 days until we get to see our students again! WE ARE SO EXCITED!🎉,https://facebook.com/story.php?story_fbid=10158716750707235&id=84615387234,,0.0,40 days until we get to see our students again! WE ARE SO EXCITED!🎉,2020-07-10 14:39:51,,
