,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,18.0,,78.0,,2460921520859070,,,,12.0,,2019-09-30 13:04:51,https://video-atl3-1.xx.fbcdn.net/v/t42.26565-2/10000000_114943850056946_4329083956391387425_n.mp4?_nc_cat=105&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=NBcZ0k7euAIAX-Rfl6P&_nc_oc=AQlV2PVE6szhD_pRHjcyBEXDCedRb8MspPSfiiCHbFYSwXC_4u0mUr3VHJNvkhRuKLs&_nc_ht=video-atl3-1.xx&oh=c91e07e22ac9526f6a187f0411db1c2a&oe=5F5CE4FC,
1,0.0,,3.0,https://globegazette.com/sports/osage-football-loses-big-against-columbus-catholic/article_3c4f4687-87a3-5a25-8c3a-6c269733289b.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=facebook_Globe_Gazette,2780407558726699,,https://facebook.com/story.php?story_fbid=2780407558726699&id=647332848700858,"GLOBEGAZETTE.COM
Osage football loses big against Columbus Catholic",0.0,"GLOBEGAZETTE.COM
Osage football loses big against Columbus Catholic",2020-09-12 00:10:25,,
2,0.0,,4.0,https://987kisscountry.com/sports/osage-green-devils/,2779855142115274,Starting soon - Watch tonight's football from anywhere in world or in the comfort of your home !!! https://987kisscountry.com/sports/osage-green-devils/,https://facebook.com/story.php?story_fbid=2779855142115274&id=647332848700858,"Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

See more at
987kisscountry.com",0.0,"Starting soon - Watch tonight's football from anywhere in world or in the comfort of your home !!! https://987kisscountry.com/sports/osage-green-devils/

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

Osage Green Devils – 98.7 KISS Country
Osage Green Devils Osage Green Devils on the KISS Country Sports Network 2020 Osage Football Broadcast Schedule DATEOPPONENTPREGAMEKICKOFFRESULT Fri. Aug. 28St. Ansgar7:00 PM7:30 PML 35-12 Fri. Sept. 4at Clear Lake - CANCELLED Fri. Sept. 11Columbus Catholic *7:00 PM7:30 PM Fri. Sept. 18Sumner-Freder...

See more at
987kisscountry.com",2020-09-11 19:26:19,,
3,1.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119198119_4646671668683779_158609429591087968_n.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=3fmp1Udh91kAX9kEBlJ&_nc_ht=scontent-atl3-1.xx&tp=14&oh=5d80cadd71fd28c719e3646797448950&oe=5F841214,18.0,,2779777748789680,,https://facebook.com/story.php?story_fbid=2779777748789680&id=647332848700858,"Growing Tree Preschool
20 hrs ·

We are so thankful all of the preschoolers recieved a new mask from CIA Insurance and CUSB!!",0.0,"Growing Tree Preschool
20 hrs ·

We are so thankful all of the preschoolers recieved a new mask from CIA Insurance and CUSB!!",2020-09-11 18:42:34,,
4,6.0,,13.0,https://www.prepdig.com/2020/09/osage-linn-mar-host-gauntlet-of-ranked-teams/?utm_source=rss&utm_medium=rss&utm_campaign=osage-linn-mar-host-gauntlet-of-ranked-teams,2779577548809700,"Saturday Osage will host one of the best tourneys in state! Be there! Also livestream coverage on KISS Country!
8 great teams + 2 gyms = 1 EPIC Saturday!! 🔥🏐💚 #FuelingTheFire #OsageVB",https://facebook.com/story.php?story_fbid=2779577548809700&id=647332848700858,"PREPDIG.COM
Osage, Linn-Mar Host Gauntlet Of Ranked Teams | Prep Dig",0.0,"Saturday Osage will host one of the best tourneys in state! Be there! Also livestream coverage on KISS Country!
8 great teams + 2 gyms = 1 EPIC Saturday!! 🔥🏐💚 #FuelingTheFire #OsageVB

PREPDIG.COM
Osage, Linn-Mar Host Gauntlet Of Ranked Teams | Prep Dig",2020-09-11 16:54:19,,
5,0.0,,2.0,,2779574185476703,,https://facebook.com/story.php?story_fbid=2779574185476703&id=647332848700858,"Osage Booster Club
17 hrs ·

We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",0.0,"Osage Booster Club
17 hrs ·

We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",2020-09-11 16:52:32,,
6,0.0,,0.0,,,"We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",https://facebook.com/story.php?story_fbid=2609193506077645&id=1447857288877945,,0.0,"We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",2020-09-12 08:23:28.807229,,
7,0.0,,1.0,,2779560262144762,,https://facebook.com/story.php?story_fbid=2779560262144762&id=647332848700858,"Jackie McRoberts Class
15 hrs ·

What is a noun?! Ask your child if they can name all 4!!",0.0,"Jackie McRoberts Class
15 hrs ·

What is a noun?! Ask your child if they can name all 4!!",2020-09-11 16:46:10,,
8,0.0,,0.0,,2779423805491741,,https://facebook.com/story.php?story_fbid=2779423805491741&id=647332848700858,"Osage Booster Club
17 hrs ·

We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",0.0,"Osage Booster Club
17 hrs ·

We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",2020-09-11 15:36:32,,
9,0.0,,0.0,,,"We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",https://facebook.com/story.php?story_fbid=2609193506077645&id=1447857288877945,,0.0,"We are planning on having our Booster Club booth (next to the ticket booth) open for the JV game and the first half of the Varsity game tonight. We will have blankets, rain ponchos, some clothing, and our new flags available for purchase. We will also be taking donations for anyone who hasn’t gotten their memberships in yet.
Thanks!",2020-09-12 08:23:28.807238,,
