,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,3.0,,25.0,,2762351560689435,,https://facebook.com/story.php?story_fbid=2762351560689435&id=1724057111185557,,0.0,,2020-09-11 17:07:11,,
1,0.0,,7.0,https://tinyurl.com/y2vqlu6s,2761306174127307,"The Illinois State Board of Education (ISBE) would like to invite the parents and guardians to the first Statewide Return to School Family Convening, happening via Zoom on Friday, 1:30 to 3:30 p.m. This event is an opportunity for parents, caretakers, and students to meet with state agency and with parent and student advocacy group leaders.

ISBE hopes to hear from attendees about their experiences with school during COVID-19 and ask for their feedback on ISBE’s guidance. ISBE also will share with participants about services and supports available to them. The overarching goal is to help everyone learn more about accessing and advocating for high-quality and equitable resources to ensure better educational outcomes for all Illinois students.

Attached is the registration: https://tinyurl.com/y2vqlu6s.",https://facebook.com/story.php?story_fbid=2761306174127307&id=1724057111185557,"DOCS.GOOGLE.COM
Statewide Return To School Family Convening Registration",2.0,"The Illinois State Board of Education (ISBE) would like to invite the parents and guardians to the first Statewide Return to School Family Convening, happening via Zoom on Friday, 1:30 to 3:30 p.m. This event is an opportunity for parents, caretakers, and students to meet with state agency and with parent and student advocacy group leaders.

ISBE hopes to hear from attendees about their experiences with school during COVID-19 and ask for their feedback on ISBE’s guidance. ISBE also will share with participants about services and supports available to them. The overarching goal is to help everyone learn more about accessing and advocating for high-quality and equitable resources to ensure better educational outcomes for all Illinois students.

Attached is the registration: https://tinyurl.com/y2vqlu6s.

DOCS.GOOGLE.COM
Statewide Return To School Family Convening Registration",2020-09-10 16:32:20,,
2,1.0,,34.0,,2759540597637198,"The Illinois State Board of Education allows for each school district to insert five Remote Learning Planning Days into the school calendar as needed to plan for high quality instruction during times of remote and/or blended learning. OTHS will be using one of the five days on Monday, September 14. There will be no student attendance on Monday, September 14.

Thanks to our families for your support and partnership in educating our students.",https://facebook.com/story.php?story_fbid=2759540597637198&id=1724057111185557,,0.0,"The Illinois State Board of Education allows for each school district to insert five Remote Learning Planning Days into the school calendar as needed to plan for high quality instruction during times of remote and/or blended learning. OTHS will be using one of the five days on Monday, September 14. There will be no student attendance on Monday, September 14.

Thanks to our families for your support and partnership in educating our students.",2020-09-08 17:59:29,,
3,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119026868_2759344400990151_5396113522680947319_o.png?_nc_cat=105&_nc_sid=dd9801&_nc_ohc=m5RNkQtNB6sAX9gcTb_&_nc_ht=scontent-atl3-1.xx&oh=8c8da78126738cd8608afabf8573e53c&oe=5F841320,37.0,,2759344460990145,"It is okay, to not be okay. We are human. Please reach out to one of our trained professionals if you are having a difficult time controlling your thoughts. #pantherstrong socialworkers@oths.us",,,0.0,"It is okay, to not be okay. We are human. Please reach out to one of our trained professionals if you are having a difficult time controlling your thoughts. #pantherstrong socialworkers@oths.us",2020-09-08 12:32:59,,
4,0.0,,14.0,https://www.youtube.com/watch?v=nmMXjv3_1EQ&feature=youtu.be,2759258127665445,"This video shows a very quick way to open up your frequently used tabs every morning with just a few clicks and no typing into the address bar. This will be helpful for the rare times when our homepage is down, and you can't seem to find the links to Blackboard or Outlook. Have a watch! :)",https://facebook.com/story.php?story_fbid=2759258127665445&id=1724057111185557,"YOUTUBE.COM
Creating a Folder in Chrome for Fast Access to Favorites",2.0,"This video shows a very quick way to open up your frequently used tabs every morning with just a few clicks and no typing into the address bar. This will be helpful for the rare times when our homepage is down, and you can't seem to find the links to Blackboard or Outlook. Have a watch! :)

YOUTUBE.COM
Creating a Folder in Chrome for Fast Access to Favorites",2020-09-08 10:44:05,,
5,1.0,,34.0,,2759227114335213,"As some of you are aware, we had some difficulties with our website this morning for about 15 minutes. While it was not a huge deal, we realize that many of our faculty and students rely on our site for all of the links necessary to navigate throughout the day. All of the external sites we use, (Outlook, Blackboard, Skyward) were working fine. This is a good learning opportunity for us.

It might be a great idea for your students to ""favorite"", or create shortcuts, to all of our frequently used programs. That way even if our district site happens to have issues, you would still be able to navigate to those outside sites.

We hope this helps!

Have an amazing day Panther Families!",https://facebook.com/story.php?story_fbid=2759227114335213&id=1724057111185557,,0.0,"As some of you are aware, we had some difficulties with our website this morning for about 15 minutes. While it was not a huge deal, we realize that many of our faculty and students rely on our site for all of the links necessary to navigate throughout the day. All of the external sites we use, (Outlook, Blackboard, Skyward) were working fine. This is a good learning opportunity for us.

It might be a great idea for your students to ""favorite"", or create shortcuts, to all of our frequently used programs. That way even if our district site happens to have issues, you would still be able to navigate to those outside sites.

We hope this helps!

Have an amazing day Panther Families!",2020-09-08 09:59:54,,
6,7.0,,75.0,https://youtu.be/38y8VWHbmSs,2754894988101759,"Our Digital Media Club provided us with a first hand look at the new turf athletic field today. Looking pretty amazing! 💙💛😍💙💛

https://youtu.be/38y8VWHbmSs",,,0.0,"Our Digital Media Club provided us with a first hand look at the new turf athletic field today. Looking pretty amazing! 💙💛😍💙💛

https://youtu.be/38y8VWHbmSs",2020-09-03 18:14:24,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118819088_332420481171458_4186172337114869436_n.mp4?_nc_cat=109&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=yS3noZox5ZQAX_NzStG&_nc_ht=video-atl3-1.xx&oh=fcb6931072bc294b7af09401a8d6c134&oe=5F5DEC59,
7,3.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/118579194_2754579581466633_4906002975510708459_n.png?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=X7V123USJCsAX9L8tkX&_nc_ht=scontent-atl3-1.xx&oh=56c039a0f30ee6d2f01738e332428a62&oe=5F849AB0,48.0,,2754582358133022,,https://facebook.com/story.php?story_fbid=2754582358133022&id=1724057111185557,,0.0,,2020-09-03 10:33:57,,
8,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118720122_1578571199010308_470734265982625423_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=c4ZHa3ncdMcAX9MKMoU&_nc_ht=scontent-atl3-1.xx&tp=14&oh=a1499866d5b0e863ef20416ce35f0c30&oe=5F82FD70,8.0,,2752659981658593,,https://facebook.com/story.php?story_fbid=2752659981658593&id=1724057111185557,"O'Fallon Township High School Guidance Department
September 1 at 8:59 AM ·

Seniors: On October 14th, the State of Illinois is providing the SAT with Essay for Grade 12 students. Grade 12 students who choose to participate in the SAT with Essay on October 14 must check their OTHS student email and complete the registration form sent via email. There is no fee for this test. OTHS will manage the registration process for students who sign up. Once again, the deadline to register is Friday, September 4th. Questions? Email guidance@oths.us",0.0,"O'Fallon Township High School Guidance Department
September 1 at 8:59 AM ·

Seniors: On October 14th, the State of Illinois is providing the SAT with Essay for Grade 12 students. Grade 12 students who choose to participate in the SAT with Essay on October 14 must check their OTHS student email and complete the registration form sent via email. There is no fee for this test. OTHS will manage the registration process for students who sign up. Once again, the deadline to register is Friday, September 4th. Questions? Email guidance@oths.us",2020-09-01 10:34:09,,
9,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/118615184_2749159882008603_4430459963189026941_o.jpg?_nc_cat=109&_nc_sid=110474&_nc_ohc=nPmiRQbqJrcAX-R5XHm&_nc_ht=scontent-atl3-1.xx&tp=14&oh=2c31a4c5ef8571653ef86ae165c758a0&oe=5F843FBF,119.0,,2749159912008600,Our new turf is looking good. Anyone else remember that Snickers commercial where they are painting the end zone? Good thing they have spell check! 😂#pantherproud,https://facebook.com/story.php?story_fbid=2749159912008600&id=1724057111185557,,0.0,Our new turf is looking good. Anyone else remember that Snickers commercial where they are painting the end zone? Good thing they have spell check! 😂#pantherproud,2020-08-28 18:54:47,,
