,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/119182798_3551546934858344_7083646427219425010_o.png?_nc_cat=104&_nc_sid=2d5d41&_nc_ohc=6cXF1JaxtxkAX-0fATX&_nc_ht=scontent-atl3-1.xx&oh=65a7f09da78372967b62aa1a451d17e6&oe=5F80430A,20.0,,3551546931525011,"Today, we remember. #NeverForget",,,0.0,"Today, we remember. #NeverForget",2020-09-11 09:08:07,,
1,0.0,,3.0,https://hubs.ly/H0vClyr0,3548173841862320,"Don't forget to VOTE for the 2020 Central Penn Parent Family Favorites Awards! Votes will be accepted now until September 30th.

Vote for PA Distance for the Best Charter School, Best Cyber School, Best in Special Needs Education, and Best Summer Camp using the link below!

https://hubs.ly/H0vClyr0",https://facebook.com/story.php?story_fbid=3548173841862320&id=110975378915534,"CENTRALPENNPARENT.COM
2020 Family Favorites | Central Penn Parent",0.0,"Don't forget to VOTE for the 2020 Central Penn Parent Family Favorites Awards! Votes will be accepted now until September 30th.

Vote for PA Distance for the Best Charter School, Best Cyber School, Best in Special Needs Education, and Best Summer Camp using the link below!

https://hubs.ly/H0vClyr0

CENTRALPENNPARENT.COM
2020 Family Favorites | Central Penn Parent",2020-09-10 08:07:20,,
2,7.0,https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119065215_3545130328833338_3249056875981537269_n.jpg?_nc_cat=106&_nc_sid=8024bb&_nc_ohc=4OEIzcFJ_kUAX8nlMUq&_nc_ht=scontent-atl3-1.xx&tp=14&oh=397f8fa9cead4e65a3afa8695b6ec1d8&oe=5F82893B,14.0,,3545119798834391,"What does your school workstation look like? PA Distance 4th-grader, Nora, shared her at-home set-up with us, and we want to see yours!

Comment below with photos of your workstation. #WhereTeachingStillMatters",https://facebook.com/story.php?story_fbid=3545119798834391&id=110975378915534,,0.0,"What does your school workstation look like? PA Distance 4th-grader, Nora, shared her at-home set-up with us, and we want to see yours!

Comment below with photos of your workstation. #WhereTeachingStillMatters",2020-09-09 08:07:00,,
3,0.0,,11.0,https://hubs.ly/H0vDp-50,3542802582399446,"Congrats to Rocco P. for being our first #ArtistoftheWeek, for this school year, for his thaumatrope artwork!

Did you know that thaumatrope is an optical toy that was popular in the 19th century? A disk with a picture on each side is attached to two pieces of string. When the strings are twirled quickly between the fingers, the two images appear to blend into one due to something called ""vision persistence"". #TriviaTuesday

https://hubs.ly/H0vDp-50",https://facebook.com/story.php?story_fbid=3542802582399446&id=110975378915534,"YOUTUBE.COM
9/7 Artist of the Week: Rocco P.",0.0,"Congrats to Rocco P. for being our first #ArtistoftheWeek, for this school year, for his thaumatrope artwork!

Did you know that thaumatrope is an optical toy that was popular in the 19th century? A disk with a picture on each side is attached to two pieces of string. When the strings are twirled quickly between the fingers, the two images appear to blend into one due to something called ""vision persistence"". #TriviaTuesday

https://hubs.ly/H0vDp-50

YOUTUBE.COM
9/7 Artist of the Week: Rocco P.",2020-09-08 14:00:30,,
4,0.0,,2.0,https://hubs.ly/H0vCh9D0,3542348172444887,"#DYK that PA Distance has a school blog? It’s true! The blog is a great place to read about our teachers & staff, students, and other important things happening within the school. Check it out! #TrivaTuesday

Read the latest blog posts here: https://hubs.ly/H0vCh9D0

And sign up for our weekly emails, that contain the latest articles, here: https://hubs.ly/H0vCHWk0",https://facebook.com/story.php?story_fbid=3542348172444887&id=110975378915534,"LEARN.PADISTANCE.ORG
PA Distance Learning Blog",0.0,"#DYK that PA Distance has a school blog? It’s true! The blog is a great place to read about our teachers & staff, students, and other important things happening within the school. Check it out! #TrivaTuesday

Read the latest blog posts here: https://hubs.ly/H0vCh9D0

And sign up for our weekly emails, that contain the latest articles, here: https://hubs.ly/H0vCHWk0

LEARN.PADISTANCE.ORG
PA Distance Learning Blog",2020-09-08 11:00:17,,
5,0.0,,17.0,https://hubs.ly/H0vMt9m0,3539288959417475,"Mrs. Emily Bartko’s journey to becoming a PA Distance 3-6 grade Math Interventionist is unique. Beginning as a substitute teacher for Pine-Richland and Seneca Valley School Districts and working part-time at a coffee shop lead Mrs. Bartko to PA Distance through a much-welcome stroke of fate.

Read more about Mrs. Bartko on the blog: https://hubs.ly/H0vMt9m0",https://facebook.com/story.php?story_fbid=3539288959417475&id=110975378915534,"LEARN.PADISTANCE.ORG
Grades 3-6 Math Interventionist, Mrs. Emily Bartko, Helps Students Understand New Concepts",0.0,"Mrs. Emily Bartko’s journey to becoming a PA Distance 3-6 grade Math Interventionist is unique. Beginning as a substitute teacher for Pine-Richland and Seneca Valley School Districts and working part-time at a coffee shop lead Mrs. Bartko to PA Distance through a much-welcome stroke of fate.

Read more about Mrs. Bartko on the blog: https://hubs.ly/H0vMt9m0

LEARN.PADISTANCE.ORG
Grades 3-6 Math Interventionist, Mrs. Emily Bartko, Helps Students Understand New Concepts",2020-09-07 11:00:36,,
6,0.0,,2.0,https://hubs.ly/H0vDpZ60,3538842116128826,"Happy Labor Day, everyone!

The first Monday in September is Labor Day, a day to celebrate the American worker. Do you know the origins of #LaborDay?

https://hubs.ly/H0vDpZ60",https://facebook.com/story.php?story_fbid=3538842116128826&id=110975378915534,"YOUTUBE.COM
PBS LEARNING MEDIA | Labor Day | PBS KIDS",0.0,"Happy Labor Day, everyone!

The first Monday in September is Labor Day, a day to celebrate the American worker. Do you know the origins of #LaborDay?

https://hubs.ly/H0vDpZ60

YOUTUBE.COM
PBS LEARNING MEDIA | Labor Day | PBS KIDS",2020-09-07 08:07:19,,
7,0.0,,16.0,https://hubs.ly/H0vp_sg0,3530138616999176,"#ICYMI: Mrs. Lauren Donofrio has been teaching since 2013 but, as of February 2019, is a new addition to the PA Distance family. At PA Distance, she teaches 9th Grade English and 9th Grade Honors English.

This year, she is also teaching a Reading Foundations elective course for high school students who feel they need to strengthen their reading skills.

Read more about Mrs. Donofrio on the blog: https://hubs.ly/H0vp_sg0",https://facebook.com/story.php?story_fbid=3530138616999176&id=110975378915534,"LEARN.PADISTANCE.ORG
Teacher Spotlight: English Teacher Mrs. Lauren Donofrio",0.0,"#ICYMI: Mrs. Lauren Donofrio has been teaching since 2013 but, as of February 2019, is a new addition to the PA Distance family. At PA Distance, she teaches 9th Grade English and 9th Grade Honors English.

This year, she is also teaching a Reading Foundations elective course for high school students who feel they need to strengthen their reading skills.

Read more about Mrs. Donofrio on the blog: https://hubs.ly/H0vp_sg0

LEARN.PADISTANCE.ORG
Teacher Spotlight: English Teacher Mrs. Lauren Donofrio",2020-09-04 11:00:31,,
8,1.0,,15.0,https://www.wpxi.com/news/back-to-school/remote-learning-raises-concern-over-hackers-predators/TFCD6XFKLNDLDGGAFD7H6Z2J3A/,3529768687036169,,https://facebook.com/story.php?story_fbid=3529768687036169&id=110975378915534,,5.0,,2020-09-04 08:41:32,,
9,3.0,,18.0,,3527621493917555,"Today, in Mrs. Simmons' 7th-grade science class, her students applied their process knowledge of the scientific method to make and interpret observations in an interactive lab. She showed her students that raisins naturally sink to the bottom of the soda water when you first drop them in. But then, carbon dioxide (CO2) molecules start to rise and escape the water because they are much less dense than the water. When there are enough gas bubbles stuck to the raisins' wrinkles, it changes the buoyancy of the raisin and allows the raisin “to dance” or float to the surface. Once the bubbles pop at the surface, the raisin drops back down to the bottom!

They communicated their results and practiced their writing skills by completing lab reports about the science behind what they saw happening on their screens and in the video that Mrs. Simmons shared: #WhereTeachingStillMatters",,,0.0,"Today, in Mrs. Simmons' 7th-grade science class, her students applied their process knowledge of the scientific method to make and interpret observations in an interactive lab. She showed her students that raisins naturally sink to the bottom of the soda water when you first drop them in. But then, carbon dioxide (CO2) molecules start to rise and escape the water because they are much less dense than the water. When there are enough gas bubbles stuck to the raisins' wrinkles, it changes the buoyancy of the raisin and allows the raisin “to dance” or float to the surface. Once the bubbles pop at the surface, the raisin drops back down to the bottom!

They communicated their results and practiced their writing skills by completing lab reports about the science behind what they saw happening on their screens and in the video that Mrs. Simmons shared: #WhereTeachingStillMatters",2020-09-03 15:22:55,https://video-atl3-1.xx.fbcdn.net/v/t42.9040-2/118496517_642047440040851_5623197598596117013_n.mp4?_nc_cat=103&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=dOUR3gVSeKgAX8DWvKm&_nc_ht=video-atl3-1.xx&oh=00554cc9a40b2eee2a02c24e03a80381&oe=5F5C6674,
