,comments,image,likes,link,post_id,post_text,post_url,shared_text,shares,text,time,video,video_thumbnail
0,0.0,,2.0,https://shop.imarkfundraising.com/index.asp?PID=58003,945797559274248,"Hey Perkins Pirates, need a go-cup for your coffee? Water bottle for the gym?
The Perkins Athletic Boosters are selling custom Perkins Pirates water bottles, coffee cups, tumblers, koozies, and other drinkware. All proceeds from the sale benefit the booster club and the great work club members do for our student-athletes.
To order, click the link below.",https://facebook.com/story.php?story_fbid=945797559274248&id=240065076514170,"SHOP.IMARKFUNDRAISING.COM
Support a Fundraiser for Perkins Athletic Booster Club",3.0,"Hey Perkins Pirates, need a go-cup for your coffee? Water bottle for the gym?
The Perkins Athletic Boosters are selling custom Perkins Pirates water bottles, coffee cups, tumblers, koozies, and other drinkware. All proceeds from the sale benefit the booster club and the great work club members do for our student-athletes.
To order, click the link below.

SHOP.IMARKFUNDRAISING.COM
Support a Fundraiser for Perkins Athletic Booster Club",2020-08-14 10:07:10,,
1,10.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/117445130_944518686068802_6316294980266282031_n.jpg?_nc_cat=105&_nc_sid=110474&_nc_ohc=8ywVl0VKD4YAX-Om69t&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=ab5b02f3475616c121ef98fbe8c617aa&oe=5F83BB68,66.0,,944519706068700,"Congratulations to 2020 graduate Olivia Howard, PHS senior Collin Singler, and 2020 PHS wrestling team. On Wednesday, our Ohio State Senator Theresa Gavarone dropped by to deliver commendations to our PHS athletes.
Olivia was honored for being named to the 2020 All-Northwest District Div. II first team in basketball.
Collin was recognized for winning first place in the 100-yard butterfly and 200-yard individual medley at the 2020 Div. II Northwest District Swimming Championship meet.
The 2020 wrestling was honored for winning the Region 10 Duals Wrestling Championship.",https://facebook.com/story.php?story_fbid=944519706068700&id=240065076514170,,0.0,"Congratulations to 2020 graduate Olivia Howard, PHS senior Collin Singler, and 2020 PHS wrestling team. On Wednesday, our Ohio State Senator Theresa Gavarone dropped by to deliver commendations to our PHS athletes.
Olivia was honored for being named to the 2020 All-Northwest District Div. II first team in basketball.
Collin was recognized for winning first place in the 100-yard butterfly and 200-yard individual medley at the 2020 Div. II Northwest District Swimming Championship meet.
The 2020 wrestling was honored for winning the Region 10 Duals Wrestling Championship.",2020-08-12 17:16:21,,
2,16.0,,4.0,http://PerkinsSchools.org/,928638880990116,"Please be advised, the special session of the Perkins Local Schools Board of Education scheduled for this evening, Thursday, July 23, has been canceled due to restrictions imposed by the Erie County Health Department.
The meeting will be rescheduled for a future date in a location that can accommodate the public and allow attendees to voice their concerns. Notice of the meeting will be posted to the school district’s website at PerkinsSchools.org and shared via email.",https://facebook.com/story.php?story_fbid=928638880990116&id=240065076514170,,0.0,"Please be advised, the special session of the Perkins Local Schools Board of Education scheduled for this evening, Thursday, July 23, has been canceled due to restrictions imposed by the Erie County Health Department.
The meeting will be rescheduled for a future date in a location that can accommodate the public and allow attendees to voice their concerns. Notice of the meeting will be posted to the school district’s website at PerkinsSchools.org and shared via email.",2020-07-23 13:26:06,,
3,5.0,,71.0,https://sanduskyregister.com/news/266590/vince-donald-to-become-perkins-new-full-time-chief/,920775761776428,Congratulations Chief Donald!,https://facebook.com/story.php?story_fbid=920775761776428&id=240065076514170,"SANDUSKYREGISTER.COM
Vince Donald to become Perkins' new full-time chief",8.0,"Congratulations Chief Donald!

SANDUSKYREGISTER.COM
Vince Donald to become Perkins' new full-time chief",2020-07-13 13:45:30,,
4,9.0,,32.0,,916993408821330,"Perkins Local School District families: Earlier today we emailed a survey to parents and guardians. Please, take a few minutes and complete the survey.
We are working on a plan to restart our schools. Your input is important as we develop and implement this plan.
Thanks!",https://facebook.com/story.php?story_fbid=916993408821330&id=240065076514170,,0.0,"Perkins Local School District families: Earlier today we emailed a survey to parents and guardians. Please, take a few minutes and complete the survey.
We are working on a plan to restart our schools. Your input is important as we develop and implement this plan.
Thanks!",2020-07-08 16:56:01,,
5,17.0,https://scontent.fbna1-2.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/101856657_889437351576936_4023016379203452928_n.jpg?_nc_cat=100&_nc_sid=110474&_nc_ohc=SHiHrDLbUGAAX8cb2Xl&_nc_ht=scontent.fbna1-2.fna&tp=14&oh=77ac762c9670d5eec13c99293ddaad6c&oe=5F82AA06,99.0,,889437868243551,"Come and get it — it’s the last time this school year you’ll hear that. Today is the final lunch distribution for Perkins Local School students this school year.
A shoutout — and a big THANK YOU — to the Perkins Schools cafeteria crew.",https://facebook.com/story.php?story_fbid=889437868243551&id=240065076514170,,0.0,"Come and get it — it’s the last time this school year you’ll hear that. Today is the final lunch distribution for Perkins Local School students this school year.
A shoutout — and a big THANK YOU — to the Perkins Schools cafeteria crew.",2020-06-01 10:37:05,,
6,2.0,https://scontent.fbna1-1.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/95591176_870407253479946_6376267091401506816_o.jpg?_nc_cat=108&_nc_sid=9e2e56&_nc_ohc=Qjzy3R7koGUAX8hGhF3&_nc_ht=scontent.fbna1-1.fna&tp=14&oh=66f5f4e4a45cda6869226e2a72e38b20&oe=5F83171D,86.0,,870407406813264,The Perkins High School #classof2020 dropped by today to pick up their #capsandgowns — it’s always great to see these students. @ Perkins High School,https://facebook.com/story.php?story_fbid=870407406813264&id=240065076514170,,0.0,The Perkins High School #classof2020 dropped by today to pick up their #capsandgowns — it’s always great to see these students. @ Perkins High School,2020-05-05 16:59:41,,
7,5.0,,42.0,https://sanduskyregister.com/news/243794/perkins-student-commends-counselors/,867360520451286,"We miss you, too, Ben! Thanks for the letter.",https://facebook.com/story.php?story_fbid=867360520451286&id=240065076514170,"SANDUSKYREGISTER.COM
Perkins student commends counselors",0.0,"We miss you, too, Ben! Thanks for the letter.

SANDUSKYREGISTER.COM
Perkins student commends counselors",2020-05-01 14:35:30,,
8,2.0,,24.0,https://perkinsfacemasks.itemorder.com/sale?read_message=true,865731780614160,"Good morning Pirates!
The Perkins Athletic Booster Club is selling Perkins Face Masks. Proceeds from the sale will be divided between the Class of 2020 and a local food bank.
Thanks and Go Pirates!",https://facebook.com/story.php?story_fbid=865731780614160&id=240065076514170,"PERKINSFACEMASKS.ITEMORDER.COM
Perkins Custom Face Masks 2020",12.0,"Good morning Pirates!
The Perkins Athletic Booster Club is selling Perkins Face Masks. Proceeds from the sale will be divided between the Class of 2020 and a local food bank.
Thanks and Go Pirates!

PERKINSFACEMASKS.ITEMORDER.COM
Perkins Custom Face Masks 2020",2020-04-29 09:09:27,,
9,2.0,,6.0,https://www.applitrack.com/perkinsschools/OnlineApp/JobPostings/View.asp?AppliTrackJobId=539,865044054016266,"We're hiring: Perkins Local Schools has a vacancy for a lead nurse. For more information about the position or to apply, click the link below.",https://facebook.com/story.php?story_fbid=865044054016266&id=240065076514170,"APPLITRACK.COM
Online Employment Application | Open Positions",24.0,"We're hiring: Perkins Local Schools has a vacancy for a lead nurse. For more information about the position or to apply, click the link below.

APPLITRACK.COM
Online Employment Application | Open Positions",2020-04-28 09:50:33,,
10,1.0,,16.0,https://www.applitrack.com/perkinsschools/OnlineApp/JobPostings/View.asp?AppliTrackJobId=538,861391144381557,"We're hiring: Perkins Local Schools has a vacancy for an assistant principal at Briar Middle School. For more information or to apply, click the link below.",https://facebook.com/story.php?story_fbid=861391144381557&id=240065076514170,"APPLITRACK.COM
Online Employment Application | Open Positions",12.0,"We're hiring: Perkins Local Schools has a vacancy for an assistant principal at Briar Middle School. For more information or to apply, click the link below.

APPLITRACK.COM
Online Employment Application | Open Positions",2020-04-23 09:26:56,,
11,2.0,,22.0,https://youtu.be/ryK5H0qF_eA,861145534406118,"The Perkins Local School District Board of Education met for its April 2020 meeting on Wednesday. The meeting was held virtually. Below is an archived, unedited video of the meeting.",https://facebook.com/story.php?story_fbid=861145534406118&id=240065076514170,"YOUTUBE.COM
Perkins Local School District Board of Education Meeting, April 22",0.0,"The Perkins Local School District Board of Education met for its April 2020 meeting on Wednesday. The meeting was held virtually. Below is an archived, unedited video of the meeting.

YOUTUBE.COM
Perkins Local School District Board of Education Meeting, April 22",2020-04-23 01:02:41,,
12,5.0,,143.0,,859575331229805,"With the help of the Perkins Police and Ohio Highway Patrol, we’re celebrating the Perkins High School Class of 2020 by lighting up Firelands Regional Medical Center Stadium — for 20 minutes starting at 8:20 pm. #GoPirates #PerkinsNow #PerkinsPride🏴‍☠️",,,0.0,"With the help of the Perkins Police and Ohio Highway Patrol, we’re celebrating the Perkins High School Class of 2020 by lighting up Firelands Regional Medical Center Stadium — for 20 minutes starting at 8:20 pm. #GoPirates #PerkinsNow #PerkinsPride🏴‍☠️",2020-04-20 20:26:09,https://video.fbna1-1.fna.fbcdn.net/v/t42.9040-2/94442353_773578089837953_1667444834182365184_n.mp4?_nc_cat=107&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6ImxlZ2FjeV9zZCJ9&_nc_ohc=r24X3uFEFrsAX_CgPTj&_nc_ht=video.fbna1-1.fna&oh=6502150c2cb84ddbb701fb64cb61871a&oe=5F5C91BB,
